                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	9.95703	97.4531	122.379
String 00000, offset 7:	18.0039	16.5625	63.4141
String 00000, offset 14:	19.543	12.1992	59.1094
String 00000, offset 21:	23.793	12.0742	57.3867
String 00000, offset 28:	28.2539	11.5312	57.5742
String 00000, offset 35:	33.1328	12.9805	74.8242
String 00000, offset 42:	54.5039	12.8633	71.043
String 00000, offset 49:	63.0898	12.7148	67.7305
String 00000, offset 56:	62.9102	12.6797	65.6562
String 00000, offset 63:	66.8984	12.75	85.2539
String 00000, offset 70:	71.3867	13.0859	80.1719
String 00000, offset 77:	75.5586	12.9883	77.5312
String 00000, offset 84:	79.7578	12.6367	96.0977
String 00000, offset 91:	84.3906	13.25	94.3242
String 00000, offset 98:	88.3047	14.1641	91.0391
String 00000, offset 105:	92.6055	13.7188	112.52
String 00000, offset 112:	97.1133	13.957	109.707
String 00000, offset 119:	101.391	13.9648	133.973
String 00112233, offset 0:	13.4414	11.6836	52.3438
String 00112233, offset 7:	21.418	11.4648	53.0859
String 00112233, offset 14:	23.2578	11.3672	54.0273
String 00112233, offset 21:	27.6523	11.5508	55.1211
String 00112233, offset 28:	32.0742	12.1836	56.0234
String 00112233, offset 35:	57.5	13.5312	58.0469
String 00112233, offset 42:	61.5859	12.8984	59.4531
String 00112233, offset 49:	65.7539	12.8398	60.0977
String 00112233, offset 56:	70.207	12.8789	63.2188
String 00112233, offset 63:	74.5625	12.6641	72.668
String 00112233, offset 70:	78.625	13.5234	78.5703
String 00112233, offset 77:	83.1094	13.9102	79.8594
String 00112233, offset 84:	87.125	12.6484	82.6172
String 00112233, offset 91:	91.4961	13.2578	85.0469
String 00112233, offset 98:	95.7891	13.5469	85.0781
String 00112233, offset 105:	99.7969	14.2734	87.4023
String 00112233, offset 112:	104.129	14.1953	89.3828
String 00112233, offset 119:	148.652	14.0469	112.777
String 0123456789, offset 0:	17.7031	13.6719	73.5
String 0123456789, offset 7:	26.9102	14.1328	73.9336
String 0123456789, offset 14:	28.9102	14.1719	75.8867
String 0123456789, offset 21:	44.5703	13.4961	77.8008
String 0123456789, offset 28:	47.8242	12.793	78.2031
String 0123456789, offset 35:	63.4531	15.1445	77.3086
String 0123456789, offset 42:	68.1133	17.0195	70.3086
String 0123456789, offset 49:	64.8164	12.7109	71.3047
String 0123456789, offset 56:	69.2461	13.3242	74.2266
String 0123456789, offset 63:	73.2539	12.707	72.4297
