                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	11.4297	65.4336	101.855
String 00000, offset 7:	17.5625	12.0781	61.293
String 00000, offset 14:	19.3203	11.2773	56.8828
String 00000, offset 21:	23.2383	11.2812	49.4102
String 00000, offset 28:	28.2695	11.9766	45.4414
String 00000, offset 35:	48.3594	13.7344	69.1172
String 00000, offset 42:	52.9414	12.7773	65.8789
String 00000, offset 49:	57.3086	12.5078	61.7773
String 00000, offset 56:	61.3828	12.5234	58.0273
String 00000, offset 63:	65.6289	12.5234	83.1094
String 00000, offset 70:	69.7383	13.168	72.0273
String 00000, offset 77:	73.918	12.4961	70.4922
String 00000, offset 84:	78.2305	12.6836	85.5859
String 00000, offset 91:	82.1641	12.3711	87.0469
String 00000, offset 98:	86.5703	13.7383	81.5703
String 00000, offset 105:	90.8281	13.8398	101.738
String 00000, offset 112:	94.7266	13.6719	109.254
String 00000, offset 119:	98.9727	13.6406	121.793
String 00112233, offset 0:	19.2578	12.1211	40.5156
String 00112233, offset 7:	22.4805	11.3281	41.8711
String 00112233, offset 14:	24.5859	11.9922	42.8828
String 00112233, offset 21:	29.8555	11.3359	43.6445
String 00112233, offset 28:	51.3672	11.1211	45.5781
String 00112233, offset 35:	56.3984	13.7422	48.332
String 00112233, offset 42:	60.0898	12.4531	47.2461
String 00112233, offset 49:	64.5469	12.5312	49.332
String 00112233, offset 56:	68.5	12.4922	50.2188
String 00112233, offset 63:	72.7852	12.4336	52.7734
String 00112233, offset 70:	76.7422	13.1914	55.2188
String 00112233, offset 77:	81.1562	13.4805	54.6055
String 00112233, offset 84:	85.0234	12.5703	55.5898
String 00112233, offset 91:	89.4258	12.4961	55.1133
String 00112233, offset 98:	93.6523	13.3789	58.8633
String 00112233, offset 105:	97.7148	13.0859	63.9883
String 00112233, offset 112:	102.078	13.082	65.0391
String 00112233, offset 119:	105.957	13.1562	65.6641
String 0123456789, offset 0:	18.2656	11.2305	41.5273
String 0123456789, offset 7:	23.25	11.332	43.1953
String 0123456789, offset 14:	25.1172	11.4062	44.332
String 0123456789, offset 21:	31.1797	13.4805	46.5508
String 0123456789, offset 28:	42.0312	11.1445	48.3711
String 0123456789, offset 35:	59.2109	13.6797	46.9648
String 0123456789, offset 42:	59.1758	12.4688	49.2461
String 0123456789, offset 49:	63.3828	12.4453	50.8438
String 0123456789, offset 56:	67.3281	12.375	52.3125
String 0123456789, offset 63:	71.7461	12.3945	55.375
String 0123456789, offset 70:	75.707	13.0234	54.418
String 0123456789, offset 77:	80.1758	12.4531	62.5039
String 0123456789, offset 84:	84.1602	12.5312	57.5156
String 0123456789, offset 91:	88.2695	12.9961	58.1953
String 0123456789, offset 98:	92.6758	13.6719	58.4648
String 0123456789, offset 105:	96.4688	12.9844	59.0195
String 0123456789, offset 112:	100.945	13.5938	57.2539
String 0123456789, offset 119:	104.906	13.1406	61.5391
String 0000111100001111, offset 0:	22.9062	11.7656	50.6992
String 0000111100001111, offset 7:	30.3047	11.9297	51.7617
String 0000111100001111, offset 14:	32.418	11.3281	66.7578
String 0000111100001111, offset 21:	37.5898	11.3477	59.0273
String 0000111100001111, offset 28:	57.2891	11.1602	61.8867
String 0000111100001111, offset 35:	62.1172	12.9258	60.4766
String 0000111100001111, offset 42:	60.4375	12.5703	60.832
String 0000111100001111, offset 49:	70.2969	12.8008	54.7656
String 0000111100001111, offset 56:	74.6914	12.4766	60.4844
String 0000111100001111, offset 63:	78.6289	12.7422	57.6992
String 0000111100001111, offset 70:	82.9805	12.8633	70.418
String 0000111100001111, offset 77:	87.1836	13.043	67.9414
String 0000111100001111, offset 84:	91.1875	12.9453	64.1445
String 0000111100001111, offset 91:	92.2148	12.418	60.6211
String 0000111100001111, offset 98:	99.582	13.1172	62.7344
String 0000111100001111, offset 105:	103.859	13.6641	59.4375
String 0000111100001111, offset 112:	107.977	13.0273	61.332
String 0000111100001111, offset 119:	112.184	13.0195	80.9492
String 00000111110000022222, offset 0:	27.6289	11.543	54.2734
String 00000111110000022222, offset 7:	35.2422	11.2773	65.7539
String 00000111110000022222, offset 14:	37.4688	11.4141	55.9922
String 00000111110000022222, offset 21:	41.4922	11.3086	61.5312
String 00000111110000022222, offset 28:	49.0625	11.3984	57.7695
String 00000111110000022222, offset 35:	50.3203	13.7656	64.4297
String 00000111110000022222, offset 42:	54.3047	12.6602	81.4297
String 00000111110000022222, offset 49:	68.4805	14.2422	72.4141
String 00000111110000022222, offset 56:	73.293	14.957	94.6055
String 00000111110000022222, offset 63:	66.9375	12.4023	68.1055
String 00000111110000022222, offset 70:	72.5117	12.8867	71.9141
String 00000111110000022222, offset 77:	76.1445	13.1016	68.0156
String 00000111110000022222, offset 84:	80.3594	13.2695	76.5117
String 00000111110000022222, offset 91:	84.3008	13.1641	66.1641
String 00000111110000022222, offset 98:	89.3242	14.2266	73.2461
String 00000111110000022222, offset 105:	92.8086	13.5938	66.3008
String 00000111110000022222, offset 112:	96.3125	13.0234	76.0977
String 00000111110000022222, offset 119:	101.324	14.1875	67.9141
String 012345678901234567890, offset 0:	29.0117	11.3906	54.2969
String 012345678901234567890, offset 7:	48.7773	11.2773	55.7812
String 012345678901234567890, offset 14:	38.9805	11.3984	59.9141
String 012345678901234567890, offset 21:	43.5039	11.1914	58.4922
String 012345678901234567890, offset 28:	109.238	16.6602	87.9297
String 012345678901234567890, offset 35:	83.4102	24.4922	85.2734
String 012345678901234567890, offset 42:	63.2969	15.7461	71.3672
String 012345678901234567890, offset 49:	70.1406	14.5	70.0234
String 012345678901234567890, offset 56:	75.2188	14.3203	73.8242
String 012345678901234567890, offset 63:	81.3086	14.1797	80.0156
String 012345678901234567890, offset 70:	85.4531	15.082	73.4609
String 012345678901234567890, offset 77:	91.5781	14.8438	77.7891
String 012345678901234567890, offset 84:	94.9492	15.5391	75.625
String 012345678901234567890, offset 91:	101.23	14.2109	81.9766
String 012345678901234567890, offset 98:	104.113	14.9219	77.832
String 012345678901234567890, offset 105:	110.641	14.8672	77.1055
String 012345678901234567890, offset 112:	112.508	14.9531	81.2695
String 012345678901234567890, offset 119:	121.328	14.9062	80.75
String abc0, offset 0:	9.33594	13.957	39.8047
String abc0, offset 7:	18.4414	12.9883	45.9492
String abc0, offset 14:	34.375	11.2812	45.1289
String abc0, offset 21:	28.8008	11.8086	43.9141
String abc0, offset 28:	26.543	11.1367	49.1602
String abc0, offset 35:	39.2266	12.7812	51.8047
String abc0, offset 42:	51.9922	12.457	53.4102
String abc0, offset 49:	55.9062	12.3867	56.1289
String abc0, offset 56:	60.2617	12.3828	58.8594
String abc0, offset 63:	65.4492	12.2852	86.1719
String abc0, offset 70:	154.438	17.9883	90.1562
String abc0, offset 77:	72.8086	12.5312	90.8594
String abc0, offset 84:	76.7539	12.4805	90.8008
String abc0, offset 91:	81.375	12.4531	107.398
String abc0, offset 98:	85.3672	13.0859	106.871
String abc0, offset 105:	119.805	15.0039	125.711
String abc0, offset 112:	119.09	13.1094	117.68
String abc0, offset 119:	97.8281	13.0078	118.984
String aaaa0, offset 0:	9.71094	11.3672	37.5938
String aaaa0, offset 7:	17.3945	11.3281	42.7734
String aaaa0, offset 14:	19.5586	11.2461	43.5
String aaaa0, offset 21:	42.6602	12.8164	50.25
String aaaa0, offset 28:	32.0352	13.5547	52.1602
String aaaa0, offset 35:	47.4922	15.0117	71.2422
String aaaa0, offset 42:	53.3477	31.8672	60.5664
String aaaa0, offset 49:	65.8477	14.957	61.9336
String aaaa0, offset 56:	70.418	28.5156	53.5117
String aaaa0, offset 63:	65.6562	12.3008	88.6523
String aaaa0, offset 70:	79.9688	14.8359	72.3867
String aaaa0, offset 77:	94.2695	13.6055	61.9414
String aaaa0, offset 84:	106.758	14.1484	73.8242
String aaaa0, offset 91:	94.4102	14.2031	99.8789
String aaaa0, offset 98:	86.3008	13.0625	96.8281
String aaaa0, offset 105:	90.7344	13.0234	95.8672
String aaaa0, offset 112:	95.0508	12.9648	93.9453
String aaaa0, offset 119:	99.0273	12.9648	138.781
String abcabc0, offset 0:	15.0742	12.7812	44.1602
String abcabc0, offset 7:	25.2617	13.2617	48.1328
String abcabc0, offset 14:	27.5508	13.0234	55.4258
String abcabc0, offset 21:	50.5195	13.2031	49.457
String abcabc0, offset 28:	39.4922	13.6133	55.1211
String abcabc0, offset 35:	58.9336	14.8516	56.8164
String abcabc0, offset 42:	63.8516	14.5039	56.168
String abcabc0, offset 49:	68.5703	14.2578	59.1953
String abcabc0, offset 56:	73.3164	14.1211	61.293
String abcabc0, offset 63:	78.2188	14.1562	63.4883
String abcabc0, offset 70:	82.5898	14.5977	72.3281
String abcabc0, offset 77:	87.6758	14.1836	66.3633
String abcabc0, offset 84:	92.3047	14.1875	67.0195
String abcabc0, offset 91:	97.1836	14.3125	74.8633
String abcabc0, offset 98:	102.215	16.4141	83.3984
String abcabc0, offset 105:	106.941	15.6602	78.7266
String abcabc0, offset 112:	111.465	15.625	83.2969
String abcabc0, offset 119:	116.285	16.2148	84.2461
String NNRU4PI6P<5FJZJWL130ZETW, offset 2685:	3429.28	205.211	352.688
String HTXA6FB0O4SV<QW3CM[PWH2WMZF4IY, offset 79898:	102659	44430.4	6895.53
String 6, offset 163838:	100615	3979.36	3635.74
String [T4EJE89MDSP1Q9MJ4W?5@X77CROZ2, offset 1079:	997.516	175.91	139.172
String I1BCBA[EIFMFHQ@XFJV[U>Q3F7, offset 999:	935.664	477.613	142.703
String 9, offset 163838:	102452	3665.7	3557.79
String 7, offset 807:	519.145	22.8828	20.957
String G<SYZM886>3J?@><7HDHYUA>=07EYBQ, offset 18632:	21841.9	703.328	1231.07
String F?02JRNBMYMI<TIZN[NA?VAES, offset 2731:	2319.84	1426.33	301.988
String 4, offset 163838:	101882	3890.55	3557.73
String 1GLDC@6[?ZDXW@APOVAZG68WL@@MZE2, offset 137:	155.836	14.6133	89.2695
String WVU[0AH07J, offset 1381:	1054.42	99.6211	318.824
String 0UYV, offset 49301:	30846.2	1182.91	25222.8
String YR5DM[FIQDFCZ=EOBQSWY, offset 931:	773.25	392.457	145.906
String 6, offset 163838:	102907	3763.51	3633.54
String 8, offset 163838:	101167	3808.34	3637.68
String 7BE4[2UF5MDRT1T, offset 7449:	4702.86	159.594	970.203
String DXW@APO2AZ, offset 147:	124.367	118.52	70.0625
String QM3J@OE3PY413DBMG, offset 3775:	3364.54	189.141	448.012
String FBD9RJ, offset 4458:	4336.55	2159.99	1442.6
String QXVG<8VKH, offset 91649:	117272	2270.61	18864.9
String 1, offset 2166:	1378.99	44.1836	41.7969
String 51TN, offset 9384:	5912.38	201.59	4792.23
String SLU8@<77JUVP6, offset 11601:	13867.8	506.027	1720.36
String 0, offset 163838:	102180	3810.87	3650.58
String 4, offset 163838:	101625	3786.85	3572.21
String BT98HTDMY[, offset 1755:	1562.19	641.797	349.625
String =C3TYG61=@?KNN89GQ=Q9MHOY>XSIZ, offset 710:	648.469	343.082	116.445
String JRN3MYMI2TIZN[N9?, offset 2735:	2273.38	1222.35	379.668
String Y6, offset 18239:	21613.1	588.082	25782.8
String E=<X7S5<FAOI4, offset 2503:	2227.8	116.266	369.223
String 52BS3CUPU3KU@W2, offset 11268:	6980.58	229.031	1563.53
String Z6, offset 22605:	28259.7	675.156	31935.5
String N4G4=QQMH48>2SIZOKA<C>GY@8=6, offset 724:	613.832	578.781	101.16
String 2, offset 611:	399.418	19.3516	18.332
String 6[GPB, offset 41469:	25358.8	922.379	16005.7
String DCZCEDI2, offset 3838:	2967.2	159.859	887.715
String F2LVAHH5, offset 59813:	76529.8	31780.8	14399.6
String 6KJI04X9PW40HJ1IPRIT=>=V3>, offset 2393:	1668.36	53.2773	257.699
String AYESVW[9AU9O, offset 43093:	55007.5	1001.17	6772.33
String N1PJ@V0, offset 1961:	1804.9	88.3672	607.266
String JAPZ@SHK7, offset 5306:	5794.5	182.184	1091.23
String Y>WH@OQ7<<KG, offset 5489:	5347.31	161.816	842.246
String 8YK9Y4AX, offset 3077:	1958.32	84.6445	684.168
String >Y9, offset 841:	732.426	53.0938	626.078
