                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	78.9688	28.8438	365.906	26.8125
Length   64/  1, alignment  0/ 9, fail :	76.0625	15.8438	21.1562	14.25
Length   64/  2, alignment  1/ 3, found:	81.4375	82.75	18.3125	62.5625
Length   64/  2, alignment  0/ 9, fail :	81.5312	49.3438	35.5	54.0938
Length   64/  3, alignment  1/ 3, found:	64.25	111	18.4375	128.562
Length   64/  3, alignment  0/ 9, fail :	67.1562	80.25	24.9062	120.844
Length   64/  4, alignment  1/ 3, found:	72.9375	125	18	110.844
Length   64/  4, alignment  0/ 9, fail :	61.3438	117.094	25.5312	95.375
Length   64/  5, alignment  1/ 3, found:	81.6562	135.031	17.875	99.4062
Length   64/  5, alignment  0/ 9, fail :	63.0625	117.344	25.5312	98.4062
Length   64/  6, alignment  1/ 3, found:	73.2188	243.594	26.4688	94.4062
Length   64/  6, alignment  0/ 9, fail :	60.8125	230.656	29.4062	88.6875
Length   64/  7, alignment  1/ 3, found:	70.9688	232.938	26.5625	87.375
Length   64/  7, alignment  0/ 9, fail :	71.5938	222.719	34.75	79
Length   64/  8, alignment  1/ 3, found:	68.9375	183.531	25.9688	81.25
Length   64/  8, alignment  0/ 9, fail :	69.4375	191.75	30.2188	77.5625
Length   64/  9, alignment  1/ 3, found:	79.9688	109.5	27.75	84.8438
Length   64/  9, alignment  0/ 9, fail :	79.3438	95.75	23.9375	80.0625
Length   64/ 10, alignment  1/ 3, found:	73.8125	26.0938	22.6875	28.9062
Length   64/ 10, alignment  0/ 9, fail :	73	15.5938	22.875	17.5938
Length   64/ 11, alignment  1/ 3, found:	59.125	122.812	21.1875	87.875
Length   64/ 11, alignment  0/ 9, fail :	63.4375	99.0625	23.5625	79.9688
Length   64/ 12, alignment  1/ 3, found:	77.5625	138.094	23.8125	94.2812
Length   64/ 12, alignment  0/ 9, fail :	60.5625	112.375	23.3125	89.0312
Length   64/ 13, alignment  1/ 3, found:	64.4062	186.969	23.0625	117.781
