                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	73.0625	36.3125	398.312	24.7188
Length   64/  1, alignment  0/ 9, fail :	72.1875	16.1562	19.7812	14
Length   64/  2, alignment  1/ 3, found:	86.625	81.4375	17.125	62.0312
Length   64/  2, alignment  0/ 9, fail :	77.0625	49.1875	25.5938	51.625
Length   64/  3, alignment  1/ 3, found:	60.4062	99.625	18.6875	127.312
Length   64/  3, alignment  0/ 9, fail :	54.9375	72.8125	24.625	111.906
Length   64/  4, alignment  1/ 3, found:	63.8125	121.812	17.875	99.3125
Length   64/  4, alignment  0/ 9, fail :	67.4375	112.156	24.6562	85.0312
Length   64/  5, alignment  1/ 3, found:	79.4688	124.812	19.125	93.2188
Length   64/  5, alignment  0/ 9, fail :	55.6562	107.781	23.625	89.75
Length   64/  6, alignment  1/ 3, found:	76.3438	225.844	28.6562	92.0625
Length   64/  6, alignment  0/ 9, fail :	63.875	230.844	28.9688	93.9688
Length   64/  7, alignment  1/ 3, found:	74.0625	229.906	27.9375	86.3125
Length   64/  7, alignment  0/ 9, fail :	71.0938	224.188	34.2188	82.5312
Length   64/  8, alignment  1/ 3, found:	80.0312	191.344	25.7812	82.625
Length   64/  8, alignment  0/ 9, fail :	70.9688	191.688	31.9375	76.6562
Length   64/  9, alignment  1/ 3, found:	80.8125	108.938	27.0312	90.4062
Length   64/  9, alignment  0/ 9, fail :	81.2188	93.2812	23	81.8125
Length   64/ 10, alignment  1/ 3, found:	69.8125	26.8125	23.75	25.3438
Length   64/ 10, alignment  0/ 9, fail :	72.1562	14.6875	22.9375	15.2188
Length   64/ 11, alignment  1/ 3, found:	60.5625	131	22.625	87.5
Length   64/ 11, alignment  0/ 9, fail :	61.6562	102.406	23.625	82.125
Length   64/ 12, alignment  1/ 3, found:	70.2188	140.188	22.75	96.6875
Length   64/ 12, alignment  0/ 9, fail :	53.2812	109.688	23.25	87.125
Length   64/ 13, alignment  1/ 3, found:	77.75	192.688	23.875	114.938
Length   64/ 13, alignment  0/ 9, fail :	64.875	181.406	23.75	104.125
Length   64/ 14, alignment  1/ 3, found:	80.6875	196.25	25.9688	105.188
Length   64/ 14, alignment  0/ 9, fail :	77.6875	194.625	24	99.6875
Length   64/ 15, alignment  1/ 3, found:	61.1562	234.844	25.2188	96.625
Length   64/ 15, alignment  0/ 9, fail :	57.1562	233.531	24	89.6562
Length   64/ 16, alignment  1/ 3, found:	58.0312	237.906	26.0938	92.9062
Length   64/ 16, alignment  0/ 9, fail :	64.5625	341.75	26.4688	82.1875
Length   96/  1, alignment  1/ 3, found:	90.875	17.75	19.5938	18.3125
Length   96/  1, alignment  0/ 9, fail :	90.8125	15.9688	19.7812	14.4375
Length   96/  2, alignment  1/ 3, found:	108.625	196.312	27.25	155.062
Length   96/  2, alignment  0/ 9, fail :	81.75	171.719	24.2188	138.062
Length   96/  3, alignment  1/ 3, found:	93.125	98.3438	35.625	157.625
Length   96/  3, alignment  0/ 9, fail :	88.0938	86.375	27.9062	149.531
Length   96/  4, alignment  1/ 3, found:	86.75	98.1562	27.125	136.156
Length   96/  4, alignment  0/ 9, fail :	84.7188	79.4375	25.5312	121.688
Length   96/  5, alignment  1/ 3, found:	81.2812	202.156	35.625	102.719
Length   96/  5, alignment  0/ 9, fail :	82.7188	191.25	26.5938	97.625
Length   96/  6, alignment  1/ 3, found:	93.9688	312.156	30.9062	97.1562
Length   96/  6, alignment  0/ 9, fail :	85.5625	312.594	22.75	95.5
Length   96/  7, alignment  1/ 3, found:	82.375	423.125	29.7188	98.4688
Length   96/  7, alignment  0/ 9, fail :	76.0625	255.688	23.125	87.8438
Length   96/  8, alignment  1/ 3, found:	95.8125	30.5625	31.2812	26.2188
Length   96/  8, alignment  0/ 9, fail :	92.4688	17.125	23.25	16.2812
Length   96/  9, alignment  1/ 3, found:	123.188	123.5	36.6875	91.125
Length   96/  9, alignment  0/ 9, fail :	129.781	96	28	89.6875
Length   96/ 10, alignment  1/ 3, found:	92.5625	248.188	33.3438	110.844
Length   96/ 10, alignment  0/ 9, fail :	84.9688	258.656	24.0625	101.25
Length   96/ 11, alignment  1/ 3, found:	98.3438	296.344	39.3438	97.5938
Length   96/ 11, alignment  0/ 9, fail :	89.5	298.25	26.4688	89.75
Length   96/ 12, alignment  1/ 3, found:	86.9375	292.906	35.3125	88.1562
Length   96/ 12, alignment  0/ 9, fail :	94.2812	292.688	23.9688	88.6875
Length   96/ 13, alignment  1/ 3, found:	93.3438	25.8125	35.4688	24.6562
Length   96/ 13, alignment  0/ 9, fail :	92.6875	14.375	23.4375	18.625
Length   96/ 14, alignment  1/ 3, found:	80.4688	286.844	41.9375	89.0312
Length   96/ 14, alignment  0/ 9, fail :	82.9375	285.156	28.0312	88.6562
Length   96/ 15, alignment  1/ 3, found:	97.9688	149.75	37.2812	97.25
Length   96/ 15, alignment  0/ 9, fail :	85.8438	124.781	23.5312	97.4688
Length   96/ 16, alignment  1/ 3, found:	95.0312	22.8125	38.2188	24.2812
Length   96/ 16, alignment  0/ 9, fail :	91.5	14.3125	23.7812	13.625
Length  128/  1, alignment  1/ 3, found:	112.031	20.5312	23.625	16.0938
Length  128/  1, alignment  0/ 9, fail :	111.844	15.4688	23.0625	16.8125
Length  128/  2, alignment  1/ 3, found:	128.969	106.688	31.5	214.312
Length  128/  2, alignment  0/ 9, fail :	128.531	82	29.4688	200.562
Length  128/  3, alignment  1/ 3, found:	121.281	196.125	28	203.219
Length  128/  3, alignment  0/ 9, fail :	110.125	174.531	29.1562	198.719
Length  128/  4, alignment  1/ 3, found:	138.062	111.188	36.375	143.719
Length  128/  4, alignment  0/ 9, fail :	110.219	95.875	41.1875	129.219
Length  128/  5, alignment  1/ 3, found:	114.875	392.125	37.25	118.094
Length  128/  5, alignment  0/ 9, fail :	111.719	387.375	41.25	113.219
Length  128/  6, alignment  1/ 3, found:	116.344	135.75	36.25	105.188
Length  128/  6, alignment  0/ 9, fail :	126.25	122	41.875	101.125
Length  128/  7, alignment  1/ 3, found:	127.562	86.4375	34.3438	79.7188
Length  128/  7, alignment  0/ 9, fail :	118.25	71.2812	36.9062	75.2812
Length  128/  8, alignment  1/ 3, found:	166.781	185.656	34.3125	97.9688
Length  128/  8, alignment  0/ 9, fail :	161.656	163.156	30.8438	95.875
Length  128/  9, alignment  1/ 3, found:	113.75	27.875	34.5312	27.5625
Length  128/  9, alignment  0/ 9, fail :	115.094	23.6875	28.75	24.4688
Length  128/ 10, alignment  1/ 3, found:	115.219	273.875	40.0625	100.5
Length  128/ 10, alignment  0/ 9, fail :	167.5	285.406	33.3438	93.2812
Length  128/ 11, alignment  1/ 3, found:	107.594	377.938	35.6562	100.781
Length  128/ 11, alignment  0/ 9, fail :	105.438	373.312	30.0938	92.7812
Length  128/ 12, alignment  1/ 3, found:	115.281	28.3125	35.9062	28.5938
Length  128/ 12, alignment  0/ 9, fail :	112.344	24.5	29.1562	24.7188
Length  128/ 13, alignment  1/ 3, found:	102.406	359.125	34.8438	95.75
Length  128/ 13, alignment  0/ 9, fail :	107.406	352.969	28.6875	89.375
Length  128/ 14, alignment  1/ 3, found:	197.719	315.875	41	92.5
