                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	78.4062	29.5312	514.938	186.531
Length   64/  1, alignment  0/ 9, fail :	77.4375	15.7188	19.7812	14.5
Length   64/  2, alignment  1/ 3, found:	90.6875	87.0312	18.4375	63.9375
Length   64/  2, alignment  0/ 9, fail :	80.9688	51.2812	37.4375	55.6875
Length   64/  3, alignment  1/ 3, found:	67.375	98.8438	16.5938	122.344
Length   64/  3, alignment  0/ 9, fail :	62.4062	74.5	25.5312	116.469
Length   64/  4, alignment  1/ 3, found:	65.9062	117.625	17.2188	104.438
Length   64/  4, alignment  0/ 9, fail :	67.2812	111.094	23.5625	85.0938
Length   64/  5, alignment  1/ 3, found:	88.6562	120.406	18.6875	92.5
Length   64/  5, alignment  0/ 9, fail :	58.3438	112.094	23.5938	92.2812
Length   64/  6, alignment  1/ 3, found:	70.6562	233.562	28.375	98.2188
Length   64/  6, alignment  0/ 9, fail :	65.0625	238.062	30.7812	91.625
Length   64/  7, alignment  1/ 3, found:	74.4062	236.688	26.5312	88.2812
Length   64/  7, alignment  0/ 9, fail :	70.5938	227.375	33.8438	82.7812
Length   64/  8, alignment  1/ 3, found:	84.2188	187.969	23.9375	82.875
Length   64/  8, alignment  0/ 9, fail :	71.3438	195.25	31.5	79
Length   64/  9, alignment  1/ 3, found:	86.9688	118.562	29.4062	88.5312
Length   64/  9, alignment  0/ 9, fail :	83.5312	96.7812	24.6562	88.0312
Length   64/ 10, alignment  1/ 3, found:	78.75	26.3438	24.2188	31.8438
Length   64/ 10, alignment  0/ 9, fail :	74.4688	17.4375	23.6875	16.2188
Length   64/ 11, alignment  1/ 3, found:	64.8438	129.312	22.375	88.6562
Length   64/ 11, alignment  0/ 9, fail :	66.25	101.531	23.6562	83.1875
Length   64/ 12, alignment  1/ 3, found:	83.125	144.312	22.9062	97.0938
Length   64/ 12, alignment  0/ 9, fail :	58.5312	112.844	24.4375	90.3125
Length   64/ 13, alignment  1/ 3, found:	71.9375	193.469	23.75	117.156
Length   64/ 13, alignment  0/ 9, fail :	63.625	187	24.2188	108.219
Length   64/ 14, alignment  1/ 3, found:	89.2188	203.938	23.4688	107.156
Length   64/ 14, alignment  0/ 9, fail :	80.4375	201.062	23.5625	103.281
Length   64/ 15, alignment  1/ 3, found:	61.5312	242.5	24.375	98.9062
Length   64/ 15, alignment  0/ 9, fail :	61.9688	239.531	24	90.5625
Length   64/ 16, alignment  1/ 3, found:	59.3125	246.062	25.1562	91.1875
Length   64/ 16, alignment  0/ 9, fail :	65.0938	229.812	27.625	85.5
Length   96/  1, alignment  1/ 3, found:	94.1562	20.4688	21.625	19.5938
Length   96/  1, alignment  0/ 9, fail :	95.375	19.6562	19.4375	18.5625
Length   96/  2, alignment  1/ 3, found:	106.469	196.25	28.0625	154.75
Length   96/  2, alignment  0/ 9, fail :	89.8125	179.219	24.0938	145.375
Length   96/  3, alignment  1/ 3, found:	105.594	101.219	33.2812	165.094
Length   96/  3, alignment  0/ 9, fail :	91.25	81.9375	28.6562	157.406
Length   96/  4, alignment  1/ 3, found:	88.9062	98.8125	29.2188	144.281
Length   96/  4, alignment  0/ 9, fail :	138.25	80.625	24.1562	129.219
Length   96/  5, alignment  1/ 3, found:	108.062	210.312	36.625	112.156
Length   96/  5, alignment  0/ 9, fail :	88.2812	196.531	28.625	106.281
Length   96/  6, alignment  1/ 3, found:	112.031	321.281	32.75	106
Length   96/  6, alignment  0/ 9, fail :	85.2188	325.969	23.625	102.219
Length   96/  7, alignment  1/ 3, found:	89.0938	308.594	32.1875	93.9062
Length   96/  7, alignment  0/ 9, fail :	98.1562	269.938	24.4688	90.4375
Length   96/  8, alignment  1/ 3, found:	102.719	27.0312	31.5	33.9688
Length   96/  8, alignment  0/ 9, fail :	95.5	15.3438	23.6875	16.75
Length   96/  9, alignment  1/ 3, found:	124.844	118.25	36.25	92.1562
Length   96/  9, alignment  0/ 9, fail :	132.938	95.5	29.5312	96.1875
Length   96/ 10, alignment  1/ 3, found:	92.4688	250.094	33	114.25
Length   96/ 10, alignment  0/ 9, fail :	91.3125	263.75	23.75	105.375
Length   96/ 11, alignment  1/ 3, found:	103.438	300.344	40.2812	100.812
Length   96/ 11, alignment  0/ 9, fail :	90.5938	298.469	26.1562	92.0312
Length   96/ 12, alignment  1/ 3, found:	82.3125	302.062	35.2188	95.6875
Length   96/ 12, alignment  0/ 9, fail :	102.094	296.812	24.5312	87.625
Length   96/ 13, alignment  1/ 3, found:	97.8438	24.5938	36.3125	28
Length   96/ 13, alignment  0/ 9, fail :	94.0312	14.3438	23.8438	15.9688
Length   96/ 14, alignment  1/ 3, found:	82.5	298.844	42.2188	94.0312
Length   96/ 14, alignment  0/ 9, fail :	77.9375	288.688	27.3125	88.4062
Length   96/ 15, alignment  1/ 3, found:	93.4062	155.438	38.2188	100.312
Length   96/ 15, alignment  0/ 9, fail :	89.1562	125.469	24.3438	100.875
Length   96/ 16, alignment  1/ 3, found:	94.4688	24.5625	42.125	26.5
Length   96/ 16, alignment  0/ 9, fail :	93.2812	14.7188	24.4062	15.6562
Length  128/  1, alignment  1/ 3, found:	114.656	21.0312	24.7188	19.7188
Length  128/  1, alignment  0/ 9, fail :	114.75	19.3438	23.3438	15.4688
Length  128/  2, alignment  1/ 3, found:	133.906	101.312	34.7812	220.844
Length  128/  2, alignment  0/ 9, fail :	138.781	86.4375	31.875	205.125
Length  128/  3, alignment  1/ 3, found:	179	201.844	28.7188	207.531
Length  128/  3, alignment  0/ 9, fail :	118.75	172.781	30.2812	200.062
Length  128/  4, alignment  1/ 3, found:	121.688	120.594	40.4375	150.438
Length  128/  4, alignment  0/ 9, fail :	110.375	105.5	42.9062	130.688
Length  128/  5, alignment  1/ 3, found:	164.844	398.469	35.75	141.688
Length  128/  5, alignment  0/ 9, fail :	123.688	396.281	42.25	127.312
Length  128/  6, alignment  1/ 3, found:	132.969	135.625	37.5625	105
Length  128/  6, alignment  0/ 9, fail :	133.906	122.5	43.2188	119.969
Length  128/  7, alignment  1/ 3, found:	127.75	82	34.2812	82.9375
Length  128/  7, alignment  0/ 9, fail :	122.5	68.75	40.2812	80.625
Length  128/  8, alignment  1/ 3, found:	168.938	191.938	35.7188	97.9062
Length  128/  8, alignment  0/ 9, fail :	166.344	167.094	29.7188	98.1562
Length  128/  9, alignment  1/ 3, found:	122.156	25.9688	33.5938	27.4375
Length  128/  9, alignment  0/ 9, fail :	115.438	24.0312	30.0312	23.8438
Length  128/ 10, alignment  1/ 3, found:	115.562	281.281	35.875	102.406
Length  128/ 10, alignment  0/ 9, fail :	169.219	293.188	36.5625	91.75
Length  128/ 11, alignment  1/ 3, found:	112.094	374.781	36.875	95.375
Length  128/ 11, alignment  0/ 9, fail :	109.312	381.156	29.7188	102.594
Length  128/ 12, alignment  1/ 3, found:	121.281	26.9688	36.9062	29.8438
Length  128/ 12, alignment  0/ 9, fail :	118.75	23.7188	29.7812	26.6875
Length  128/ 13, alignment  1/ 3, found:	120.594	363.844	35.5312	100.656
Length  128/ 13, alignment  0/ 9, fail :	113.688	366.719	29.1562	92.625
