                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	10.5039	83.8594	109.867
String 00000, offset 7:	18.8672	11.8672	60.4375
String 00000, offset 14:	19.2227	11.3594	54.4102
String 00000, offset 21:	23.6172	11.2812	51.5586
String 00000, offset 28:	27.7852	11.7227	44.5898
String 00000, offset 35:	48.5156	13.4492	68.5312
String 00000, offset 42:	53.1055	13.0469	68.8086
String 00000, offset 49:	57.2461	12.4453	63.3125
String 00000, offset 56:	61.2852	12.3477	54.8125
String 00000, offset 63:	65.7188	12.3633	78.4883
String 00000, offset 70:	69.7383	13.5742	72.4531
String 00000, offset 77:	74.0938	13.3711	68.6094
String 00000, offset 84:	78.1562	12.5078	62.3398
String 00000, offset 91:	82.1172	12.3984	86.3555
String 00000, offset 98:	86.6016	13.75	82.0938
String 00000, offset 105:	90.5625	13.332	79.3008
String 00000, offset 112:	94.6875	13.0273	129.312
String 00000, offset 119:	99.0234	12.9961	120.566
String 00112233, offset 0:	14.5273	12.0742	40.0508
String 00112233, offset 7:	20.9062	11.3164	41.6641
String 00112233, offset 14:	23.125	11.1914	43.1797
String 00112233, offset 21:	27.3242	11.2188	43.8594
String 00112233, offset 28:	38.8359	11.4297	45.5469
String 00112233, offset 35:	56	13.0469	47.0664
String 00112233, offset 42:	60.2695	12.7422	47.7227
String 00112233, offset 49:	64.3047	12.6992	48.1992
String 00112233, offset 56:	68.6211	13.1992	52.668
String 00112233, offset 63:	72.5703	13.0078	54.543
String 00112233, offset 70:	76.8281	13.1328	54.1797
String 00112233, offset 77:	81.1406	13.0625	54.9023
String 00112233, offset 84:	85.0859	12.582	55.5039
String 00112233, offset 91:	89.4688	12.6094	58.0664
String 00112233, offset 98:	93.4609	13.6406	56.8008
String 00112233, offset 105:	97.8633	13.0625	63.3906
String 00112233, offset 112:	101.973	13.6602	65.0078
String 00112233, offset 119:	105.91	13.1797	68.3008
String 0123456789, offset 0:	15.4766	11.2344	42.8672
String 0123456789, offset 7:	23.3984	11.1719	43.0352
String 0123456789, offset 14:	25.3203	11.3906	45.5078
String 0123456789, offset 21:	36.4609	11.3594	46.0586
String 0123456789, offset 28:	36.0781	11.332	48.1289
String 0123456789, offset 35:	55.2852	13.6016	46.3711
String 0123456789, offset 42:	59.3047	12.6328	49.2695
String 0123456789, offset 49:	63.4883	12.5703	49.5234
String 0123456789, offset 56:	67.5039	12.4141	51.2812
String 0123456789, offset 63:	71.5039	12.3984	50.7578
String 0123456789, offset 70:	75.7383	12.8633	53.5938
String 0123456789, offset 77:	80.2031	12.5469	55.9141
String 0123456789, offset 84:	84.0742	12.5156	56.2305
String 0123456789, offset 91:	88.4297	12.668	59.2109
String 0123456789, offset 98:	92.3359	13.6289	55.5156
String 0123456789, offset 105:	96.7773	13.582	58.5117
String 0123456789, offset 112:	100.816	13.0234	60.043
String 0123456789, offset 119:	104.883	13.6016	61.4727
String 0000111100001111, offset 0:	23.0508	11.3789	49.9336
String 0000111100001111, offset 7:	30.2734	11.1992	49.8867
String 0000111100001111, offset 14:	32.3164	11.4062	66.8164
String 0000111100001111, offset 21:	36.7539	11.4141	59.2109
String 0000111100001111, offset 28:	41.8867	11.3984	63.5586
String 0000111100001111, offset 35:	63.9883	12.7539	57.3008
String 0000111100001111, offset 42:	66.1875	12.3164	60.4688
String 0000111100001111, offset 49:	70.3945	13.2266	55.1641
String 0000111100001111, offset 56:	74.4766	12.4531	62.2422
String 0000111100001111, offset 63:	78.6953	12.375	60.5977
String 0000111100001111, offset 70:	82.9336	13.3477	70.4883
String 0000111100001111, offset 77:	86.8203	13.625	67.4414
String 0000111100001111, offset 84:	91.3711	12.6523	70.2422
String 0000111100001111, offset 91:	95.3008	13.25	65.2539
String 0000111100001111, offset 98:	99.4727	13.0547	63.7031
String 0000111100001111, offset 105:	103.945	13.0312	57.4297
String 0000111100001111, offset 112:	107.812	13.0078	61.5469
String 0000111100001111, offset 119:	112.266	13.5625	81.918
String 00000111110000022222, offset 0:	28.1562	11.4062	53.9766
String 00000111110000022222, offset 7:	35.2031	11.4297	64.8125
String 00000111110000022222, offset 14:	37.4844	11.4297	54.9805
String 00000111110000022222, offset 21:	41.6172	11.4961	61.4883
String 00000111110000022222, offset 28:	45.6992	11.3125	56.6914
String 00000111110000022222, offset 35:	50.043	12.9492	62.1484
String 00000111110000022222, offset 42:	53.7031	13.1172	59.0977
String 00000111110000022222, offset 49:	58.125	13.1172	62.6289
String 00000111110000022222, offset 56:	62.2031	12.2773	76.3359
String 00000111110000022222, offset 63:	66.7422	12.5312	65.7852
String 00000111110000022222, offset 70:	73	12.8008	75.2266
String 00000111110000022222, offset 77:	89.8867	14.3711	76.8984
String 00000111110000022222, offset 84:	92.7539	15.1719	95.9062
String 00000111110000022222, offset 91:	86.5195	13.0859	67.8828
String 00000111110000022222, offset 98:	90.7656	13.043	73.0469
String 00000111110000022222, offset 105:	92.8359	13.0469	65.5625
String 00000111110000022222, offset 112:	96.8984	14.1953	76.9688
String 00000111110000022222, offset 119:	100.352	12.9844	67.7344
String 012345678901234567890, offset 0:	32.25	11.4531	55.8438
String 012345678901234567890, offset 7:	48.7695	11.3828	55.4258
String 012345678901234567890, offset 14:	39.5039	11.4062	59.75
String 012345678901234567890, offset 21:	43.2266	11.3828	59.3945
String 012345678901234567890, offset 28:	47	11.9062	57.5234
String 012345678901234567890, offset 35:	51.7031	12.8984	62.0742
String 012345678901234567890, offset 42:	55.7578	12.6133	60.8164
String 012345678901234567890, offset 49:	60.0039	12.4219	60.0352
String 012345678901234567890, offset 56:	64.1133	13.0508	66.8945
String 012345678901234567890, offset 63:	94.0781	14.1641	72.25
String 012345678901234567890, offset 70:	84.3477	15.9922	73.293
String 012345678901234567890, offset 77:	88.5039	14.3281	79.2969
String 012345678901234567890, offset 84:	94.5859	15.0742	74.3555
String 012345678901234567890, offset 91:	98.8945	14.5117	82.1406
String 012345678901234567890, offset 98:	116.145	13.6719	90.3945
String 012345678901234567890, offset 105:	106.926	14.9688	77.8477
String 012345678901234567890, offset 112:	111.988	15.5273	81.9023
String 012345678901234567890, offset 119:	121.598	15.5625	82.5078
String abc0, offset 0:	9.29688	13.0586	40.4766
String abc0, offset 7:	18.4961	12.9961	44.3711
String abc0, offset 14:	35.1836	12.4219	43.3281
String abc0, offset 21:	23.4062	11.9531	44.8711
String abc0, offset 28:	26.5664	11.9062	65.1992
String abc0, offset 35:	60.6094	17.6484	55.7852
String abc0, offset 42:	61.6172	16.457	56.4336
