                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	17.3867	55.4336	82.8281
String 00000, offset 7:	25.5312	22.6719	98.8008
String 00000, offset 14:	35.4062	21.6172	91.3203
String 00000, offset 21:	44.2227	24.207	83.8438
String 00000, offset 28:	53.7812	22.1289	77.5234
String 00000, offset 35:	62.957	26.4336	118.465
String 00000, offset 42:	90.4648	24.4609	111.277
String 00000, offset 49:	97.6289	24.3711	100.75
String 00000, offset 56:	106.441	25.7188	94.7266
String 00000, offset 63:	113.707	25	129.07
String 00000, offset 70:	122.402	25.3242	134.648
String 00000, offset 77:	129.168	26.125	116.066
String 00000, offset 84:	137.859	25.1484	111.496
String 00000, offset 91:	144.035	24.9453	173.754
String 00000, offset 98:	153.031	25.5625	166.984
String 00000, offset 105:	158.34	26.9414	159.742
String 00000, offset 112:	169.023	26.0625	172.688
String 00000, offset 119:	176.781	27.0156	182.406
String 00112233, offset 0:	21.6719	21.9023	65.4492
String 00112233, offset 7:	32.2617	22.3125	70.418
String 00112233, offset 14:	41.1797	21.9375	74.6875
String 00112233, offset 21:	50.2578	21.6562	73.2539
String 00112233, offset 28:	60.043	26.5977	80.9453
String 00112233, offset 35:	90.6406	24.4805	80.2266
String 00112233, offset 42:	95.8398	25.1484	79.9219
String 00112233, offset 49:	103.195	26.4492	83.543
String 00112233, offset 56:	110.957	23.8203	86.1484
String 00112233, offset 63:	119.566	25.5117	78.4648
String 00112233, offset 70:	123.758	26.1484	90.5117
String 00112233, offset 77:	122.691	25.2266	92.0352
String 00112233, offset 84:	141.531	25.7422	94.7344
String 00112233, offset 91:	149.43	24.8555	96.4961
String 00112233, offset 98:	157.184	25.1328	98.7656
String 00112233, offset 105:	164.668	27.3203	106.801
String 00112233, offset 112:	173.254	27.5586	108.508
String 00112233, offset 119:	181.637	25.6562	114.461
String 0123456789, offset 0:	27.0742	21.7109	70.8477
String 0123456789, offset 7:	36.5625	21.0078	73.5312
String 0123456789, offset 14:	45.6914	23.8242	76.8984
String 0123456789, offset 21:	54.8242	21.7031	80.8711
String 0123456789, offset 28:	63.3398	21.7852	82.1914
String 0123456789, offset 35:	73.5156	25.5508	79.7578
String 0123456789, offset 42:	82.8242	26.0586	83.1953
String 0123456789, offset 49:	106.016	24.0391	86.7188
String 0123456789, offset 56:	114.039	24.6172	92.2695
String 0123456789, offset 63:	121.91	24.4453	87.8906
String 0123456789, offset 70:	130.98	25.2617	89.4844
String 0123456789, offset 77:	136.844	24.5859	96.1289
String 0123456789, offset 84:	145.684	25.6094	98.3789
String 0123456789, offset 91:	153.23	24.0078	98.9883
String 0123456789, offset 98:	160.965	26.582	98.0156
String 0123456789, offset 105:	168.797	24.5547	101.598
String 0123456789, offset 112:	176.758	27.0273	101.461
String 0123456789, offset 119:	188.156	27.6094	103.941
String 0000111100001111, offset 0:	40.6562	20.3867	86.7539
String 0000111100001111, offset 7:	50.1953	24.5078	87.3359
String 0000111100001111, offset 14:	58.4336	22.6719	106.988
String 0000111100001111, offset 21:	67.8984	25.1484	102.238
String 0000111100001111, offset 28:	76.8008	23.332	104.527
String 0000111100001111, offset 35:	85.1484	25.875	104.398
String 0000111100001111, offset 42:	95.8594	23.9766	101.477
String 0000111100001111, offset 49:	104.75	24.4336	94.5703
String 0000111100001111, offset 56:	114.492	24.5781	107.32
String 0000111100001111, offset 63:	123.266	24.2305	97.2539
String 0000111100001111, offset 70:	149.789	24.3008	115.211
