                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	72.1875	27.0938	370.656	23.1562
Length   64/  1, alignment  0/ 9, fail :	71.2812	16.5312	20.6875	13.5625
Length   64/  2, alignment  1/ 3, found:	75.6562	77.8125	16.0938	57.9688
Length   64/  2, alignment  0/ 9, fail :	76.0625	52.7188	25.6562	51.0938
Length   64/  3, alignment  1/ 3, found:	56.4062	105.906	17.1875	122.188
Length   64/  3, alignment  0/ 9, fail :	57.3438	83.8125	23.5625	114.062
Length   64/  4, alignment  1/ 3, found:	67.0312	117.406	17.4062	98.3438
Length   64/  4, alignment  0/ 9, fail :	59.75	111.062	23.8438	84.5938
Length   64/  5, alignment  1/ 3, found:	80.9688	125.531	19.5938	90.4062
Length   64/  5, alignment  0/ 9, fail :	56.7188	103.844	23.5	94.3438
Length   64/  6, alignment  1/ 3, found:	67.5625	229.781	25.5625	98.4688
Length   64/  6, alignment  0/ 9, fail :	63.0938	232.562	29.0625	87.7812
Length   64/  7, alignment  1/ 3, found:	76.5938	227.219	25.1562	87.125
Length   64/  7, alignment  0/ 9, fail :	75.2812	220.625	32.5625	79.75
Length   64/  8, alignment  1/ 3, found:	73.375	187.312	26.5312	82.6875
Length   64/  8, alignment  0/ 9, fail :	70.6562	191.438	31.75	78.4375
Length   64/  9, alignment  1/ 3, found:	79.7812	111.719	25.2188	92.0625
Length   64/  9, alignment  0/ 9, fail :	78.2188	94.2188	23.875	85.9375
Length   64/ 10, alignment  1/ 3, found:	74.0625	27.3125	23.0312	26.2188
Length   64/ 10, alignment  0/ 9, fail :	71.9375	15.0312	23.25	18.5
Length   64/ 11, alignment  1/ 3, found:	62.8438	129.531	20.8438	85.4375
Length   64/ 11, alignment  0/ 9, fail :	64.5312	103.094	23.375	83.1875
Length   64/ 12, alignment  1/ 3, found:	83.25	141.438	21.8125	93.5938
Length   64/ 12, alignment  0/ 9, fail :	63.2188	112.875	23.3125	87.5938
Length   64/ 13, alignment  1/ 3, found:	62.625	190.781	22.625	112.719
Length   64/ 13, alignment  0/ 9, fail :	57.7812	183.125	23.2812	104.812
Length   64/ 14, alignment  1/ 3, found:	62.0625	195.469	24.1875	106.656
Length   64/ 14, alignment  0/ 9, fail :	78.5	196.969	23.5312	98.9688
Length   64/ 15, alignment  1/ 3, found:	61.1562	234.469	25.4062	95.6875
Length   64/ 15, alignment  0/ 9, fail :	56.5312	233.438	23.375	90.4688
Length   64/ 16, alignment  1/ 3, found:	58.625	234.969	25.8125	97.25
Length   64/ 16, alignment  0/ 9, fail :	64.75	222.938	26.9375	86.5625
Length   96/  1, alignment  1/ 3, found:	95.125	18.375	20.6562	18.375
Length   96/  1, alignment  0/ 9, fail :	93.2188	19.25	18.3125	17.8125
Length   96/  2, alignment  1/ 3, found:	85.1562	195.469	29.2812	154.031
Length   96/  2, alignment  0/ 9, fail :	78	177.031	26.9375	143.594
Length   96/  3, alignment  1/ 3, found:	95.0625	105.844	35.3125	160.375
Length   96/  3, alignment  0/ 9, fail :	87.8125	81.4688	29.9062	154.75
Length   96/  4, alignment  1/ 3, found:	103.812	92.3125	27.8125	141.438
Length   96/  4, alignment  0/ 9, fail :	81.8125	77.25	24.8438	124.312
Length   96/  5, alignment  1/ 3, found:	77.375	205.938	36.6875	105.812
Length   96/  5, alignment  0/ 9, fail :	79.5938	190.656	27.3125	97.0938
Length   96/  6, alignment  1/ 3, found:	110.438	313.625	30.3438	97.8125
Length   96/  6, alignment  0/ 9, fail :	106.781	315.906	23.1875	93.1562
Length   96/  7, alignment  1/ 3, found:	78.8438	296.062	29.3438	95.0938
Length   96/  7, alignment  0/ 9, fail :	99.1875	263.875	23.4688	87.125
Length   96/  8, alignment  1/ 3, found:	96	28.8438	28.4688	27.4375
Length   96/  8, alignment  0/ 9, fail :	91.7188	15.9688	23.375	17.3438
Length   96/  9, alignment  1/ 3, found:	119	111.594	35.125	93.9688
Length   96/  9, alignment  0/ 9, fail :	132.812	98.0938	29	88.125
Length   96/ 10, alignment  1/ 3, found:	91.5625	242.562	31.5312	106.5
Length   96/ 10, alignment  0/ 9, fail :	92.7812	254.469	23.8438	103.656
Length   96/ 11, alignment  1/ 3, found:	97.9688	292.875	36.4375	97.0938
Length   96/ 11, alignment  0/ 9, fail :	90.375	291.312	26.6875	89.8438
Length   96/ 12, alignment  1/ 3, found:	79.4375	291.938	36.875	87.5312
Length   96/ 12, alignment  0/ 9, fail :	97.3125	290.312	25.2188	87.1875
