                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	122.062	39.2812	539.656	207.781
Length   64/  1, alignment  0/ 9, fail :	119.531	29.6562	34.7188	26.875
Length   64/  2, alignment  1/ 3, found:	124.062	483.375	32.4375	71.9375
Length   64/  2, alignment  0/ 9, fail :	134.062	94.25	47.7812	83.1875
Length   64/  3, alignment  1/ 3, found:	117.812	167.062	32.8125	174.5
Length   64/  3, alignment  0/ 9, fail :	113.75	144.219	46.0625	161.406
Length   64/  4, alignment  1/ 3, found:	112.688	193.531	33.4688	180.719
Length   64/  4, alignment  0/ 9, fail :	114.312	198.469	46.5938	160.125
Length   64/  5, alignment  1/ 3, found:	117.812	215.719	32.5625	171.875
Length   64/  5, alignment  0/ 9, fail :	115.5	203.75	44.0312	174.344
Length   64/  6, alignment  1/ 3, found:	530.531	315.188	52.3438	164.125
Length   64/  6, alignment  0/ 9, fail :	116.219	313.156	58.5	293.469
Length   64/  7, alignment  1/ 3, found:	131.438	306.906	51.375	166.375
Length   64/  7, alignment  0/ 9, fail :	142.312	301.125	67.6875	161.156
Length   64/  8, alignment  1/ 3, found:	131.812	265.062	43.3438	165.156
Length   64/  8, alignment  0/ 9, fail :	129.438	278.188	58.5	127.812
Length   64/  9, alignment  1/ 3, found:	123.719	209.75	45.5	163.812
Length   64/  9, alignment  0/ 9, fail :	129.094	312	43.7188	156.625
Length   64/ 10, alignment  1/ 3, found:	127.312	56.1875	46.25	52.3438
Length   64/ 10, alignment  0/ 9, fail :	124.438	29.4062	48.75	29.1875
Length   64/ 11, alignment  1/ 3, found:	112.625	218.5	41.9375	163.062
Length   64/ 11, alignment  0/ 9, fail :	120.906	209.625	46.7188	155.062
Length   64/ 12, alignment  1/ 3, found:	140.438	236.156	46.6875	177.625
Length   64/ 12, alignment  0/ 9, fail :	119.5	218.062	42.7188	174.844
Length   64/ 13, alignment  1/ 3, found:	112.938	322.094	42.6562	206.969
Length   64/ 13, alignment  0/ 9, fail :	115.719	311	45.875	210.062
Length   64/ 14, alignment  1/ 3, found:	141.938	303.656	46.375	194.656
Length   64/ 14, alignment  0/ 9, fail :	138.281	314.375	44.2812	192.25
Length   64/ 15, alignment  1/ 3, found:	112.156	348.281	48.5	182.625
Length   64/ 15, alignment  0/ 9, fail :	113.875	336.281	44.3125	167.531
Length   64/ 16, alignment  1/ 3, found:	119.844	351.062	45.9375	174.688
Length   64/ 16, alignment  0/ 9, fail :	123.594	351.188	49.9375	156.594
Length   96/  1, alignment  1/ 3, found:	163.719	33.4062	43.0938	30.1562
Length   96/  1, alignment  0/ 9, fail :	168.125	36.0625	33.4375	30.4062
Length   96/  2, alignment  1/ 3, found:	212.656	252.719	47.0312	212.062
Length   96/  2, alignment  0/ 9, fail :	172.938	231.125	48.0312	208.938
Length   96/  3, alignment  1/ 3, found:	183.344	155.438	65.0625	235.719
Length   96/  3, alignment  0/ 9, fail :	172.406	149.156	50.5312	231.406
Length   96/  4, alignment  1/ 3, found:	209.406	187.312	51.2188	226.719
Length   96/  4, alignment  0/ 9, fail :	165.562	166.969	42.5938	203.469
Length   96/  5, alignment  1/ 3, found:	163.625	294.406	62.7188	195.281
Length   96/  5, alignment  0/ 9, fail :	176.812	298.844	54.75	189.031
Length   96/  6, alignment  1/ 3, found:	170.969	385.406	51.8438	189.219
Length   96/  6, alignment  0/ 9, fail :	162.531	414.25	45.5625	181.281
Length   96/  7, alignment  1/ 3, found:	183	580.969	54.9375	171.531
Length   96/  7, alignment  0/ 9, fail :	162.219	519.188	43.4688	171.031
Length   96/  8, alignment  1/ 3, found:	175.875	55.5938	55.9375	59.25
Length   96/  8, alignment  0/ 9, fail :	164.812	31.6875	43.3438	30.625
Length   96/  9, alignment  1/ 3, found:	165.375	220.531	62.3125	166.969
Length   96/  9, alignment  0/ 9, fail :	181.875	194.156	48.6562	165.469
Length   96/ 10, alignment  1/ 3, found:	165.969	344.219	49.9375	187.812
Length   96/ 10, alignment  0/ 9, fail :	177.312	364.469	44.9062	193.406
Length   96/ 11, alignment  1/ 3, found:	173.625	403.719	69.6875	161
Length   96/ 11, alignment  0/ 9, fail :	179.375	394.281	52.9688	171.562
Length   96/ 12, alignment  1/ 3, found:	172.438	410.875	63.4375	149.281
Length   96/ 12, alignment  0/ 9, fail :	185.281	375.719	42.25	155.375
Length   96/ 13, alignment  1/ 3, found:	165.688	51	60.125	54.3125
Length   96/ 13, alignment  0/ 9, fail :	157.156	25.1562	41.3125	28.9688
Length   96/ 14, alignment  1/ 3, found:	160.844	380.344	64.375	163.062
Length   96/ 14, alignment  0/ 9, fail :	160.375	370.781	49.8125	152.406
Length   96/ 15, alignment  1/ 3, found:	157.281	247.5	61.3438	170.281
Length   96/ 15, alignment  0/ 9, fail :	172.969	221.531	42.875	164.438
Length   96/ 16, alignment  1/ 3, found:	158.406	47.7188	66.2812	51.1875
Length   96/ 16, alignment  0/ 9, fail :	156.5	26.5	41.3125	31.25
Length  128/  1, alignment  1/ 3, found:	192.562	33.4688	43.6562	30.0938
Length  128/  1, alignment  0/ 9, fail :	189.156	28.6875	40.875	29.4062
Length  128/  2, alignment  1/ 3, found:	210.906	159.562	52.3438	277.875
Length  128/  2, alignment  0/ 9, fail :	203.5	146.125	50.75	280.469
