                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	73.0625	30.6562	327.688	118.625
Length   64/  1, alignment  0/ 9, fail :	104.344	22	29.9062	24.9688
Length   64/  2, alignment  1/ 3, found:	106.719	367.031	16.4688	55.8125
Length   64/  2, alignment  0/ 9, fail :	75.9062	45.9375	26.5312	56.4062
Length   64/  3, alignment  1/ 3, found:	57.7812	96.1875	17.6562	120.969
Length   64/  3, alignment  0/ 9, fail :	53.25	72.9375	26.0312	113.062
Length   64/  4, alignment  1/ 3, found:	64.0625	120.781	16.8438	99.3125
Length   64/  4, alignment  0/ 9, fail :	58.1875	109.875	23.7812	85.6875
Length   64/  5, alignment  1/ 3, found:	75.1562	122.812	19.7188	88.6562
Length   64/  5, alignment  0/ 9, fail :	57.6875	110.125	23.2188	90.3438
Length   64/  6, alignment  1/ 3, found:	66.3438	226.969	27.125	91.6875
Length   64/  6, alignment  0/ 9, fail :	62.7188	230.344	29.25	90.8438
Length   64/  7, alignment  1/ 3, found:	72.8125	228.938	26.9688	83
Length   64/  7, alignment  0/ 9, fail :	69.6562	220.531	33.2812	80.7812
Length   64/  8, alignment  1/ 3, found:	68.25	186	24.9062	79.9062
Length   64/  8, alignment  0/ 9, fail :	68.6875	193.062	30.7812	79.0938
Length   64/  9, alignment  1/ 3, found:	83.7188	113	26.0312	87.25
Length   64/  9, alignment  0/ 9, fail :	79.5938	91.75	23.9688	79.4062
Length   64/ 10, alignment  1/ 3, found:	72.5	24.8438	25.4688	30.1562
Length   64/ 10, alignment  0/ 9, fail :	73.125	19.4062	24.2812	15.7812
Length   64/ 11, alignment  1/ 3, found:	59.375	130.031	22.75	86.625
Length   64/ 11, alignment  0/ 9, fail :	62.5938	101.312	23.625	82.375
Length   64/ 12, alignment  1/ 3, found:	77.25	139.969	23.125	93.125
Length   64/ 12, alignment  0/ 9, fail :	60.1875	112.594	23.7188	85.9375
Length   64/ 13, alignment  1/ 3, found:	64.0625	195.438	25.25	112.906
Length   64/ 13, alignment  0/ 9, fail :	58.4062	183.812	22.4375	106.906
Length   64/ 14, alignment  1/ 3, found:	75.5938	194.781	24.9062	105
Length   64/ 14, alignment  0/ 9, fail :	73.5625	198.312	23.8438	94.9688
Length   64/ 15, alignment  1/ 3, found:	59.5	232.812	27.375	94.0312
Length   64/ 15, alignment  0/ 9, fail :	59.625	234.781	23.6562	87.9688
Length   64/ 16, alignment  1/ 3, found:	56.9062	237.125	25.7188	91.0625
Length   64/ 16, alignment  0/ 9, fail :	63.2812	223.812	27.9375	82.875
Length   96/  1, alignment  1/ 3, found:	94.6875	18	21.4688	16.5625
Length   96/  1, alignment  0/ 9, fail :	92.625	15.5938	17.9375	17.2812
Length   96/  2, alignment  1/ 3, found:	86.5	204.688	27.7812	153.625
Length   96/  2, alignment  0/ 9, fail :	87	177.688	23.8438	142.25
Length   96/  3, alignment  1/ 3, found:	91.5625	103.25	31.8125	161.469
Length   96/  3, alignment  0/ 9, fail :	89.2812	83.1562	28.4375	152.781
Length   96/  4, alignment  1/ 3, found:	80.9062	92.8438	28.4375	139.219
Length   96/  4, alignment  0/ 9, fail :	84.0312	79.25	24.4688	107.844
Length   96/  5, alignment  1/ 3, found:	84.2188	199.75	33.9688	100.625
Length   96/  5, alignment  0/ 9, fail :	78.8438	195.5	28.4062	96.5625
Length   96/  6, alignment  1/ 3, found:	109.562	313.5	33.3438	102.156
Length   96/  6, alignment  0/ 9, fail :	107.406	321.156	22.9375	91.9062
Length   96/  7, alignment  1/ 3, found:	82.7812	299.281	30.8125	98.75
Length   96/  7, alignment  0/ 9, fail :	99.5938	258.406	22.625	86.8125
Length   96/  8, alignment  1/ 3, found:	97.2812	27.8125	30.5938	32.8438
Length   96/  8, alignment  0/ 9, fail :	91.8125	15.8438	23.5312	15.2812
Length   96/  9, alignment  1/ 3, found:	123.25	118.906	34.6562	93.5312
Length   96/  9, alignment  0/ 9, fail :	132.938	95.5	29.1875	88.8438
Length   96/ 10, alignment  1/ 3, found:	89.5312	248.156	32.5625	105.75
Length   96/ 10, alignment  0/ 9, fail :	87.4062	256.688	23.9375	100.688
Length   96/ 11, alignment  1/ 3, found:	118.188	291.875	37.25	95.4375
Length   96/ 11, alignment  0/ 9, fail :	87.9375	291.562	27	90.25
Length   96/ 12, alignment  1/ 3, found:	79.9375	291.312	34.2188	89.2812
Length   96/ 12, alignment  0/ 9, fail :	94.5625	291.094	23.5	85.9062
Length   96/ 13, alignment  1/ 3, found:	94.5938	24.3438	34.7188	32.3125
Length   96/ 13, alignment  0/ 9, fail :	91.3125	14.625	23.4375	14.1875
Length   96/ 14, alignment  1/ 3, found:	83.25	291.75	38.4688	90.25
Length   96/ 14, alignment  0/ 9, fail :	123.625	283.688	27.375	89.7188
Length   96/ 15, alignment  1/ 3, found:	91.3125	146.812	37.4688	96.5625
Length   96/ 15, alignment  0/ 9, fail :	86.4688	123.25	23.6562	98.5312
Length   96/ 16, alignment  1/ 3, found:	94.4688	24.4688	38.2188	28.1875
Length   96/ 16, alignment  0/ 9, fail :	91.25	14.75	23.7188	16.8438
Length  128/  1, alignment  1/ 3, found:	112.312	17.8125	24.6562	17.5312
