                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	9.57422	58.0273	115.285
String 00000, offset 7:	17.5859	32.7305	60.3164
String 00000, offset 14:	19.3672	11.1484	55.0352
String 00000, offset 21:	23.1914	11.6992	51.5977
String 00000, offset 28:	27.8125	11.168	44.043
String 00000, offset 35:	48.418	13.1094	67.8203
String 00000, offset 42:	52.9375	12.5391	65.4688
String 00000, offset 49:	57.3164	12.5234	60.4531
String 00000, offset 56:	61.332	13.0664	54.3047
String 00000, offset 63:	65.6953	12.168	78.0625
String 00000, offset 70:	69.7266	13.2578	71.6602
String 00000, offset 77:	74.0156	12.8398	67.6914
String 00000, offset 84:	78.2266	13.6523	63.3516
String 00000, offset 91:	82.1602	12.9727	114.25
String 00000, offset 98:	86.4492	14.1719	105.559
String 00000, offset 105:	90.8008	13.2773	99.2109
String 00000, offset 112:	94.8008	13.082	125.297
String 00000, offset 119:	98.9414	13.0508	119.402
String 00112233, offset 0:	19.3359	11.3047	40.3047
String 00112233, offset 7:	22.1562	11.4219	41.7422
String 00112233, offset 14:	24.125	11.4062	43.2578
String 00112233, offset 21:	28.1836	11.8477	43.7734
String 00112233, offset 28:	44.3711	11.2148	45.3945
String 00112233, offset 35:	56.1211	12.9883	46.5508
String 00112233, offset 42:	60.125	12.5469	47.2266
String 00112233, offset 49:	64.3906	12.418	48.2812
String 00112233, offset 56:	68.4531	12.9844	51.5273
String 00112233, offset 63:	72.8359	12.9492	51.8672
String 00112233, offset 70:	76.6992	13.2617	55.1914
String 00112233, offset 77:	81.1562	13.0234	53.5859
String 00112233, offset 84:	85.2695	12.6016	55.1484
String 00112233, offset 91:	89.3906	12.3789	57.4922
String 00112233, offset 98:	93.6875	13.7422	58.6953
String 00112233, offset 105:	97.5781	13.582	64.1016
String 00112233, offset 112:	102.18	13.5625	64.8477
String 00112233, offset 119:	106.062	12.9883	66.4258
String 0123456789, offset 0:	16.6641	11.1758	42.4883
String 0123456789, offset 7:	24.6484	11.2891	42.7266
String 0123456789, offset 14:	26.4648	11.2148	45.0781
String 0123456789, offset 21:	31.3125	11.8359	46.0117
String 0123456789, offset 28:	48.9531	11.8359	47.582
String 0123456789, offset 35:	58.7812	12.7422	46.2188
String 0123456789, offset 42:	62.7969	12.6953	48.0977
String 0123456789, offset 49:	67.0352	12.4453	50.9609
String 0123456789, offset 56:	70.9023	12.4375	51.8438
String 0123456789, offset 63:	75.1172	12.9648	54.1016
String 0123456789, offset 70:	79.1367	13.4336	53.8398
String 0123456789, offset 77:	83.418	12.4297	62.6367
String 0123456789, offset 84:	87.5977	12.9805	57.0859
String 0123456789, offset 91:	91.7109	12.3555	58.4961
String 0123456789, offset 98:	96.1289	14.375	58.3242
String 0123456789, offset 105:	99.9648	12.9688	59.5508
String 0123456789, offset 112:	104.426	12.9414	60.6523
String 0123456789, offset 119:	108.66	12.9844	60.6211
String 0000111100001111, offset 0:	23.8633	11.3047	49.8555
String 0000111100001111, offset 7:	31.7617	11.8789	51.7109
String 0000111100001111, offset 14:	33.5	11.1055	66.3945
String 0000111100001111, offset 21:	37.8867	12.1016	58.0547
String 0000111100001111, offset 28:	43.125	11.3359	62.2852
