                       	basic_memmem	twoway_memmem	memmem
String abc0, offset 28:	30.4492	12.7812	56.3047
String abc0, offset 35:	38.7031	14.875	61.3086
String abc0, offset 42:	59.6602	14.3438	61.0977
String abc0, offset 49:	64.4375	14.3047	64.6094
String abc0, offset 56:	70.0391	14.9297	67.5898
String abc0, offset 63:	73.7852	14.2344	96.0156
String abc0, offset 70:	78.418	14.7266	74.3008
String abc0, offset 77:	83.7305	14.4609	78.8711
String abc0, offset 84:	88.1914	14.9883	81.2227
String abc0, offset 91:	92.9688	14.1719	98.3008
String abc0, offset 98:	98	15.7969	125.828
String abc0, offset 105:	102.875	16.5078	124.922
String abc0, offset 112:	107.473	15.6562	132.762
String abc0, offset 119:	113.992	15.0078	135.195
String aaaa0, offset 0:	11.1055	13.9023	41.8789
String aaaa0, offset 7:	19.9062	13.7344	60.0547
String aaaa0, offset 14:	21.9961	15.4219	51.0859
String aaaa0, offset 21:	27.2188	13.125	51.0547
String aaaa0, offset 28:	32.7695	13.6719	52.4766
String aaaa0, offset 35:	38.4219	15.0898	61.0391
String aaaa0, offset 42:	53.6953	14.0195	61.4727
String aaaa0, offset 49:	65.9102	14.2734	61.4609
String aaaa0, offset 56:	70.4727	22.6289	80.1445
String aaaa0, offset 63:	75.2461	14.9688	70.707
String aaaa0, offset 70:	79.8672	15.4688	71.1133
String aaaa0, offset 77:	84.7617	15.0664	73.8398
String aaaa0, offset 84:	89.5938	14.9766	72.8008
String aaaa0, offset 91:	94.1406	14.2109	84.6289
String aaaa0, offset 98:	99.2109	15.4297	112.305
String aaaa0, offset 105:	104.051	15.7227	108.855
String aaaa0, offset 112:	108.773	15.0742	82.6094
String aaaa0, offset 119:	113.355	15.5898	127.027
String abcabc0, offset 0:	15.0352	13.6641	42.75
String abcabc0, offset 7:	27.9141	13.6953	47.9219
String abcabc0, offset 14:	37.8281	23.5352	56.0664
String abcabc0, offset 21:	35.207	13.1328	49.5625
String abcabc0, offset 28:	58.9297	13.5156	55.1914
String abcabc0, offset 35:	65.7031	14.9102	57.5391
String abcabc0, offset 42:	67.5156	15.0117	55.7969
String abcabc0, offset 49:	74.4336	14.2891	59.1641
String abcabc0, offset 56:	77.0156	14.2812	65.3086
String abcabc0, offset 63:	78.5156	14.2422	62.9727
String abcabc0, offset 70:	82.6328	14.9844	64.4609
String abcabc0, offset 77:	87.7188	14.7812	65.9922
String abcabc0, offset 84:	92.5742	14.2656	65.8477
String abcabc0, offset 91:	97.0469	14.1641	75.957
String abcabc0, offset 98:	102.137	15.1133	88.4141
String abcabc0, offset 105:	140.512	22.8438	99.5195
String abcabc0, offset 112:	151.805	24.1289	113.238
String abcabc0, offset 119:	170.695	31.7969	141.012
String NNRU4PI6P<5FJZJWL130ZETW, offset 2685:	2623.18	192.449	353.402
