                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	73.125	24.75	343.562	25.4688
Length   64/  1, alignment  0/ 9, fail :	72.6875	13.3125	19.3438	13.2188
Length   64/  2, alignment  1/ 3, found:	75.2812	82.9688	16.5312	56.5312
Length   64/  2, alignment  0/ 9, fail :	74.625	45.2188	25.5312	52.9688
Length   64/  3, alignment  1/ 3, found:	66.7812	102.656	18.0625	128.969
Length   64/  3, alignment  0/ 9, fail :	66.4688	77.0625	25.75	119.281
Length   64/  4, alignment  1/ 3, found:	66.3438	125.219	18.8125	106.406
Length   64/  4, alignment  0/ 9, fail :	62.7812	115.531	27.0625	94.9688
Length   64/  5, alignment  1/ 3, found:	78.8125	128	18.8125	100.375
Length   64/  5, alignment  0/ 9, fail :	58.1562	114.812	25.5312	101.062
Length   64/  6, alignment  1/ 3, found:	73.5625	247.031	28.4375	101.656
Length   64/  6, alignment  0/ 9, fail :	65.9062	247.406	32.5625	100.5
Length   64/  7, alignment  1/ 3, found:	76.8125	246.312	30.3438	90.0625
Length   64/  7, alignment  0/ 9, fail :	72.2812	240.094	34.9688	86.875
Length   64/  8, alignment  1/ 3, found:	72.5	198.781	27.25	86.875
Length   64/  8, alignment  0/ 9, fail :	74.9688	207.406	33	83.9062
Length   64/  9, alignment  1/ 3, found:	80.3438	106.156	24.0938	87.5625
Length   64/  9, alignment  0/ 9, fail :	77.875	96.0625	23.6875	83.9688
Length   64/ 10, alignment  1/ 3, found:	70.1562	26.8125	25.625	29.9062
Length   64/ 10, alignment  0/ 9, fail :	71.375	15.25	23.7188	14.6875
Length   64/ 11, alignment  1/ 3, found:	61.4062	126.719	23.9062	87.8438
Length   64/ 11, alignment  0/ 9, fail :	62.4062	103.438	23.75	78.8125
Length   64/ 12, alignment  1/ 3, found:	81.3438	139.094	23.5625	94.5938
Length   64/ 12, alignment  0/ 9, fail :	60.0625	116.031	24.125	88.3125
Length   64/ 13, alignment  1/ 3, found:	65.875	192.781	24.125	113.938
Length   64/ 13, alignment  0/ 9, fail :	59.4375	181	23.5625	103.844
Length   64/ 14, alignment  1/ 3, found:	75.2812	196.5	24.125	104.938
Length   64/ 14, alignment  0/ 9, fail :	77.9375	195.875	23.4688	99.7188
Length   64/ 15, alignment  1/ 3, found:	59.625	238.844	26.3438	95.5625
Length   64/ 15, alignment  0/ 9, fail :	55.9062	235.781	23.3125	90.0938
Length   64/ 16, alignment  1/ 3, found:	58.6875	237.125	26.3125	87.875
Length   64/ 16, alignment  0/ 9, fail :	62.0312	221.531	27.4375	80.8125
Length   96/  1, alignment  1/ 3, found:	92.5938	19.8438	21.8438	16.2812
Length   96/  1, alignment  0/ 9, fail :	92.75	17.0312	19.3438	15.5312
Length   96/  2, alignment  1/ 3, found:	91.6562	195.875	27.5	152.094
Length   96/  2, alignment  0/ 9, fail :	83.125	177.875	23.9688	143.969
Length   96/  3, alignment  1/ 3, found:	92.3125	100.062	35.375	162.031
Length   96/  3, alignment  0/ 9, fail :	86.875	84.9688	30.5938	156.156
Length   96/  4, alignment  1/ 3, found:	86.1875	91.5625	28.8125	138.062
Length   96/  4, alignment  0/ 9, fail :	76.75	79.4062	23.9375	123.75
Length   96/  5, alignment  1/ 3, found:	80.4062	197.5	34.7812	105.5
Length   96/  5, alignment  0/ 9, fail :	77.5625	193.25	27.8438	100.75
Length   96/  6, alignment  1/ 3, found:	106.812	315.938	35.9375	102.656
Length   96/  6, alignment  0/ 9, fail :	102.906	319.062	25.9375	94.8125
Length   96/  7, alignment  1/ 3, found:	88.9062	298.25	31	94.0625
Length   96/  7, alignment  0/ 9, fail :	98.2188	260.562	23.6562	88.8125
Length   96/  8, alignment  1/ 3, found:	100.25	25.7188	30.7188	27.6875
Length   96/  8, alignment  0/ 9, fail :	91.9375	16.8125	23.5625	15.375
Length   96/  9, alignment  1/ 3, found:	123.562	114.188	38.0625	89.2188
Length   96/  9, alignment  0/ 9, fail :	129.5	93.3438	28.9062	91.25
Length   96/ 10, alignment  1/ 3, found:	87	252.656	34.6875	107.719
Length   96/ 10, alignment  0/ 9, fail :	85.1875	255.938	23.6562	100.312
Length   96/ 11, alignment  1/ 3, found:	103.438	290.562	41.25	97.2812
Length   96/ 11, alignment  0/ 9, fail :	89.0938	292.875	27.25	90.125
Length   96/ 12, alignment  1/ 3, found:	82.8438	290.5	37	88.9062
