                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	10.2812	88.7617	54.2969
String 00000, offset 7:	19.0078	12.4336	63.8125
String 00000, offset 14:	20.4258	12.4844	59.0273
String 00000, offset 21:	25.3203	11.6602	54.6328
String 00000, offset 28:	30.3359	12.3164	48.7617
String 00000, offset 35:	50.8047	13.6016	71.2305
String 00000, offset 42:	55.3359	12.9844	69.0469
String 00000, offset 49:	60.0352	12.9141	64.1211
String 00000, offset 56:	64.207	13.5391	58.0117
String 00000, offset 63:	68.4922	12.9688	82.418
String 00000, offset 70:	72.9141	14.3867	80.832
String 00000, offset 77:	77.918	13.3242	71.8047
String 00000, offset 84:	81.7031	12.9531	88.668
String 00000, offset 91:	85.9023	13.5859	90.6797
String 00000, offset 98:	90.1875	14.2734	85.8242
String 00000, offset 105:	94.7812	13.5117	106.078
String 00000, offset 112:	99.2031	13.625	117.102
String 00000, offset 119:	103.336	13.6055	126.793
String 00112233, offset 0:	13.8398	12.5859	41.8555
String 00112233, offset 7:	22.0039	11.8203	43.2812
String 00112233, offset 14:	24.082	11.8164	44.6836
String 00112233, offset 21:	29.582	11.6445	45.9414
String 00112233, offset 28:	32.832	11.8359	47.6055
String 00112233, offset 35:	58.5977	13.5781	48.4453
String 00112233, offset 42:	62.9258	13.1055	49.1328
String 00112233, offset 49:	67.0938	12.9219	53.3672
String 00112233, offset 56:	71.6133	12.957	53.8477
String 00112233, offset 63:	75.8516	13.5117	54.9141
String 00112233, offset 70:	80.2734	14.7383	55.8672
String 00112233, offset 77:	84.5312	13.0781	57.3945
String 00112233, offset 84:	89.125	13.0234	58.3945
String 00112233, offset 91:	93.2617	13.1094	60.5977
String 00112233, offset 98:	97.6328	13.7422	60.0352
String 00112233, offset 105:	102.219	13.6328	65.7109
String 00112233, offset 112:	106.203	13.5977	66.875
String 00112233, offset 119:	110.777	13.5664	68.293
String 0123456789, offset 0:	16.3164	11.7031	44.625
String 0123456789, offset 7:	24.5469	12.332	44.7852
String 0123456789, offset 14:	26.25	11.8477	46.1719
String 0123456789, offset 21:	30.8203	11.6641	49.3711
String 0123456789, offset 28:	45.8789	11.6055	50.4648
String 0123456789, offset 35:	57.5625	13.5547	48.3281
String 0123456789, offset 42:	61.6719	13.0625	50.6875
String 0123456789, offset 49:	66.0938	13.0703	52.2305
String 0123456789, offset 56:	70.4023	12.9805	54.543
String 0123456789, offset 63:	74.6641	12.9492	60.6641
String 0123456789, offset 70:	79.2422	13.4727	56.082
String 0123456789, offset 77:	83.9727	13.6523	62.125
String 0123456789, offset 84:	87.9805	13.0195	59.6758
String 0123456789, offset 91:	92.4453	13.0234	61.1719
String 0123456789, offset 98:	96.7539	13.6719	61.2539
String 0123456789, offset 105:	100.832	13.6016	61.8945
String 0123456789, offset 112:	105.5	13.6094	62.9961
String 0123456789, offset 119:	109.668	13.6094	63.4688
String 0000111100001111, offset 0:	24.0625	11.6836	51.7891
String 0000111100001111, offset 7:	31.7656	11.9062	53.2773
String 0000111100001111, offset 14:	33.7695	11.8281	69.332
String 0000111100001111, offset 21:	38.25	11.9922	61.4844
String 0000111100001111, offset 28:	52.9531	12.4531	64.2539
String 0000111100001111, offset 35:	64.793	13.7422	59.7656
String 0000111100001111, offset 42:	69.207	13.0703	62.2617
String 0000111100001111, offset 49:	73.5781	13.7578	56.6836
String 0000111100001111, offset 56:	77.9766	13.4023	64.1133
String 0000111100001111, offset 63:	82.1992	12.9453	59.1602
String 0000111100001111, offset 70:	86.6016	14.0547	70.0977
String 0000111100001111, offset 77:	91.1016	13.0469	65.5391
String 0000111100001111, offset 84:	95.1172	14.2422	66.7344
String 0000111100001111, offset 91:	99.7617	13.6211	62.9805
String 0000111100001111, offset 98:	104.227	13.7695	66.4102
String 0000111100001111, offset 105:	108.352	13.625	60.9219
String 0000111100001111, offset 112:	112.891	13.6094	66.9961
String 0000111100001111, offset 119:	117.559	13.6484	84.0273
String 00000111110000022222, offset 0:	28.707	12.0234	54.8477
String 00000111110000022222, offset 7:	37.0547	11.8086	65.4922
String 00000111110000022222, offset 14:	39.1055	11.7695	57.8281
String 00000111110000022222, offset 21:	43.8594	11.7852	63.668
String 00000111110000022222, offset 28:	48.7773	12.8164	58.4336
String 00000111110000022222, offset 35:	52.168	13.7031	68.4531
String 00000111110000022222, offset 42:	56.4141	13.8164	60.8164
String 00000111110000022222, offset 49:	61.3164	13.6602	65.0234
String 00000111110000022222, offset 56:	65.2539	13.2227	78.9219
String 00000111110000022222, offset 63:	69.4922	12.9336	70.6406
String 00000111110000022222, offset 70:	75.2734	14.1016	75.6445
String 00000111110000022222, offset 77:	82.1328	13.6406	66.7266
String 00000111110000022222, offset 84:	83.918	13.6602	80.9531
String 00000111110000022222, offset 91:	88.8594	13.0547	68.5469
String 00000111110000022222, offset 98:	91.5664	13.5078	75.6758
String 00000111110000022222, offset 105:	96.2109	31.4414	75.0234
String 00000111110000022222, offset 112:	114.148	15.5781	86.9336
String 00000111110000022222, offset 119:	121.609	13.5547	70.9648
String 012345678901234567890, offset 0:	33.9492	11.9219	57.4727
String 012345678901234567890, offset 7:	50.4727	11.8828	58.1719
String 012345678901234567890, offset 14:	40.5391	12.5391	62.7812
String 012345678901234567890, offset 21:	45.2773	11.8984	61.3594
String 012345678901234567890, offset 28:	49.3086	11.7734	64.1367
String 012345678901234567890, offset 35:	53	13.4648	65.2773
String 012345678901234567890, offset 42:	57.543	13.6484	64.4844
String 012345678901234567890, offset 49:	63.6914	12.9141	63.3516
String 012345678901234567890, offset 56:	67.2227	13.6719	67.2812
String 012345678901234567890, offset 63:	71.0781	12.9062	66.1719
String 012345678901234567890, offset 70:	75.2266	13.6055	66.5625
String 012345678901234567890, offset 77:	81.8086	13.3711	70.1328
String 012345678901234567890, offset 84:	84.8047	12.9102	68.0312
String 012345678901234567890, offset 91:	90.1445	13.5547	74.5977
String 012345678901234567890, offset 98:	95.8594	13.625	73.5312
String 012345678901234567890, offset 105:	97.9023	13.6016	69.918
String 012345678901234567890, offset 112:	103.156	14.2188	74.8477
String 012345678901234567890, offset 119:	106.148	13.6094	74.8711
String abc0, offset 0:	8.42969	11.8906	36.6445
String abc0, offset 7:	16.7031	11.832	41.5352
String abc0, offset 14:	18.7031	11.8086	43.2734
