                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	70.9688	29.6562	361.594	148.531
Length   64/  1, alignment  0/ 9, fail :	69.2812	13.3125	19.9688	14
Length   64/  2, alignment  1/ 3, found:	74.0312	79.7188	16.3125	58.875
Length   64/  2, alignment  0/ 9, fail :	73.6562	45.3125	26.3125	51.3438
Length   64/  3, alignment  1/ 3, found:	61.9062	102.438	15.9688	117.656
Length   64/  3, alignment  0/ 9, fail :	56.8438	75.3438	24.5312	110.438
Length   64/  4, alignment  1/ 3, found:	61.5938	117.031	17.2188	96.0625
Length   64/  4, alignment  0/ 9, fail :	67.2812	107.281	23.0625	87.8438
Length   64/  5, alignment  1/ 3, found:	57.2188	118.562	17.8125	90.5625
Length   64/  5, alignment  0/ 9, fail :	55.7812	100.906	22.4062	94.8125
Length   64/  6, alignment  1/ 3, found:	69.75	221.031	25.9688	95.375
Length   64/  6, alignment  0/ 9, fail :	60.125	229.156	28.125	86.2812
Length   64/  7, alignment  1/ 3, found:	76.6562	224.375	26.4375	84.75
Length   64/  7, alignment  0/ 9, fail :	70.7812	217.719	32.1875	84.9062
Length   64/  8, alignment  1/ 3, found:	69.0938	179.969	25.9062	81.9375
Length   64/  8, alignment  0/ 9, fail :	68.875	185.75	29.6562	77.125
Length   64/  9, alignment  1/ 3, found:	88.0625	109.438	26.5938	87.9375
Length   64/  9, alignment  0/ 9, fail :	77.9062	88.0938	22.9375	85.4062
Length   64/ 10, alignment  1/ 3, found:	70.4062	26.0625	24.25	27.25
Length   64/ 10, alignment  0/ 9, fail :	68.375	14.8438	23.125	13.5625
Length   64/ 11, alignment  1/ 3, found:	62.9688	124.031	24.25	84.3438
Length   64/ 11, alignment  0/ 9, fail :	73.7188	100.5	23	81.0312
Length   64/ 12, alignment  1/ 3, found:	80.9688	132.5	23.625	93.4062
Length   64/ 12, alignment  0/ 9, fail :	53.5	114.062	23.125	84.8438
Length   64/ 13, alignment  1/ 3, found:	64.75	187.625	22.1875	114.125
Length   64/ 13, alignment  0/ 9, fail :	65.25	175.656	23.3125	100.812
Length   64/ 14, alignment  1/ 3, found:	79.3438	191.156	24.5	103.938
Length   64/ 14, alignment  0/ 9, fail :	77	192.312	23.125	96.125
Length   64/ 15, alignment  1/ 3, found:	60	231.719	26.0312	94.5938
Length   64/ 15, alignment  0/ 9, fail :	55.4375	226.969	23.25	86
Length   64/ 16, alignment  1/ 3, found:	57.7812	227.625	27.75	89.6562
Length   64/ 16, alignment  0/ 9, fail :	62.4062	218.594	26.8125	83.4062
Length   96/  1, alignment  1/ 3, found:	90.375	18.625	20.2188	16.6562
Length   96/  1, alignment  0/ 9, fail :	90.8125	14.375	17.75	14.6562
Length   96/  2, alignment  1/ 3, found:	127.875	192.531	25.9062	156
Length   96/  2, alignment  0/ 9, fail :	85.0938	170.719	23.9375	139.031
Length   96/  3, alignment  1/ 3, found:	92.8125	92.375	31	156.469
Length   96/  3, alignment  0/ 9, fail :	87.25	78.25	27.375	150.75
Length   96/  4, alignment  1/ 3, found:	76.1562	92.4375	26.6875	137.844
Length   96/  4, alignment  0/ 9, fail :	128.656	77.625	23	121.812
Length   96/  5, alignment  1/ 3, found:	86.1875	199.219	33.25	106.656
Length   96/  5, alignment  0/ 9, fail :	76.2188	194.656	27.25	98.2812
Length   96/  6, alignment  1/ 3, found:	100.812	309.344	29.4062	98.2812
Length   96/  6, alignment  0/ 9, fail :	91.6562	312.719	22.6562	96.75
Length   96/  7, alignment  1/ 3, found:	92.0938	292.969	29.4062	90.4688
Length   96/  7, alignment  0/ 9, fail :	78	260.969	23.0625	87.375
Length   96/  8, alignment  1/ 3, found:	93.0625	25.9688	30.0938	28.25
Length   96/  8, alignment  0/ 9, fail :	91.125	16.0938	23.0625	14.625
Length   96/  9, alignment  1/ 3, found:	122.875	114.375	32.125	88.5938
Length   96/  9, alignment  0/ 9, fail :	130.938	92.4062	26.6562	88.7188
Length   96/ 10, alignment  1/ 3, found:	83.6875	233.375	30.875	105.062
Length   96/ 10, alignment  0/ 9, fail :	85.3438	252.406	23.0625	97.9688
Length   96/ 11, alignment  1/ 3, found:	99.2188	288.656	38.0312	90.3125
Length   96/ 11, alignment  0/ 9, fail :	86.625	284.594	28	85.625
Length   96/ 12, alignment  1/ 3, found:	80.4062	283.312	34.3438	84.2812
Length   96/ 12, alignment  0/ 9, fail :	91.6562	282.875	24.125	84.9062
Length   96/ 13, alignment  1/ 3, found:	93.2188	24.125	34.2188	26.625
Length   96/ 13, alignment  0/ 9, fail :	91.5625	14.1875	23	15.5938
Length   96/ 14, alignment  1/ 3, found:	80.7188	275	40.6562	88.0938
Length   96/ 14, alignment  0/ 9, fail :	77.8125	273.062	25.8125	86.6875
Length   96/ 15, alignment  1/ 3, found:	88.8438	148.469	34.8438	97.8438
Length   96/ 15, alignment  0/ 9, fail :	87.375	122	23.25	97.0312
Length   96/ 16, alignment  1/ 3, found:	89.5938	24.1875	35.9062	25.6562
Length   96/ 16, alignment  0/ 9, fail :	90.7812	13.125	22.9375	14.9688
Length  128/  1, alignment  1/ 3, found:	109.688	16.2812	23.625	16.4688
Length  128/  1, alignment  0/ 9, fail :	110.656	15.6562	21.3438	16.625
Length  128/  2, alignment  1/ 3, found:	128.875	94.625	31.75	212.156
Length  128/  2, alignment  0/ 9, fail :	122.438	77	29.5938	196.5
Length  128/  3, alignment  1/ 3, found:	102.031	180.781	27.9375	199.812
Length  128/  3, alignment  0/ 9, fail :	156.969	163.312	28.7188	187.125
Length  128/  4, alignment  1/ 3, found:	127.875	114.875	37.7812	136.875
Length  128/  4, alignment  0/ 9, fail :	101.906	93.3438	41	126.438
Length  128/  5, alignment  1/ 3, found:	117.656	379.875	34.875	129.781
Length  128/  5, alignment  0/ 9, fail :	115.969	378.938	40.4062	120.531
Length  128/  6, alignment  1/ 3, found:	121.031	126.312	35.6562	98.0938
Length  128/  6, alignment  0/ 9, fail :	107.719	115.969	39.75	95.25
Length  128/  7, alignment  1/ 3, found:	126.719	80.4375	36.125	77.2812
Length  128/  7, alignment  0/ 9, fail :	119.125	65.5312	38.1875	73.4062
Length  128/  8, alignment  1/ 3, found:	164.188	180.031	32.4375	93.7812
Length  128/  8, alignment  0/ 9, fail :	159.688	159.312	29.7812	92.5938
Length  128/  9, alignment  1/ 3, found:	117.156	24.9688	30.125	27.375
Length  128/  9, alignment  0/ 9, fail :	110.5	20.9062	28.9688	22.8125
Length  128/ 10, alignment  1/ 3, found:	108.406	272.094	38.5938	99.2812
Length  128/ 10, alignment  0/ 9, fail :	100.625	281.031	32.5938	88.2188
Length  128/ 11, alignment  1/ 3, found:	106.344	360.125	34.5312	94.1875
Length  128/ 11, alignment  0/ 9, fail :	106.438	361.938	28.5	95.2812
Length  128/ 12, alignment  1/ 3, found:	113.5	24.6562	35.875	29.9062
Length  128/ 12, alignment  0/ 9, fail :	112.844	22.5	29.4062	25.6562
Length  128/ 13, alignment  1/ 3, found:	108.656	346.5	35.2812	94.875
Length  128/ 13, alignment  0/ 9, fail :	102.281	349.406	29.4062	87.6875
