                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	80.6562	35.1562	367.406	128.938
Length   64/  1, alignment  0/ 9, fail :	75.2812	16.7812	19.9062	16.9688
Length   64/  2, alignment  1/ 3, found:	81.875	222.781	19.4688	63.5
Length   64/  2, alignment  0/ 9, fail :	83.1875	50.3125	26.6875	60.375
Length   64/  3, alignment  1/ 3, found:	65.125	103.875	19.7188	126.406
Length   64/  3, alignment  0/ 9, fail :	65.8438	81.2188	26.6562	119.312
Length   64/  4, alignment  1/ 3, found:	63.9375	126.938	18.1875	106.312
Length   64/  4, alignment  0/ 9, fail :	65.9062	116.719	25.3438	92.9062
Length   64/  5, alignment  1/ 3, found:	86	137.438	19.0312	99.375
Length   64/  5, alignment  0/ 9, fail :	58.3438	173.812	23.6875	98.6875
Length   64/  6, alignment  1/ 3, found:	71.2812	225.531	27.75	95.125
Length   64/  6, alignment  0/ 9, fail :	64.8438	231.188	30.2188	90.0312
Length   64/  7, alignment  1/ 3, found:	84.2188	231.438	26	83.875
Length   64/  7, alignment  0/ 9, fail :	69.0938	221.094	32	81.375
Length   64/  8, alignment  1/ 3, found:	66.6875	185.281	24.9688	85.6875
Length   64/  8, alignment  0/ 9, fail :	69	192.312	32.0625	76.3125
Length   64/  9, alignment  1/ 3, found:	80.4062	114.312	26.6875	85.375
Length   64/  9, alignment  0/ 9, fail :	82.6562	90.8125	23.9688	86.1875
Length   64/ 10, alignment  1/ 3, found:	72.5	28.4062	26.125	27.5
Length   64/ 10, alignment  0/ 9, fail :	73.25	16.8125	23.25	17.875
Length   64/ 11, alignment  1/ 3, found:	65.9688	135.719	21.7812	85.8125
Length   64/ 11, alignment  0/ 9, fail :	61.125	100.938	23.4375	82.3125
Length   64/ 12, alignment  1/ 3, found:	78.0625	142.812	21.4688	99.625
Length   64/ 12, alignment  0/ 9, fail :	335.094	123.938	24.0312	94.75
Length   64/ 13, alignment  1/ 3, found:	64.4688	192.75	25.6562	116.469
Length   64/ 13, alignment  0/ 9, fail :	57.8438	314.188	25.4688	120.531
Length   64/ 14, alignment  1/ 3, found:	85.1562	213.062	27.0312	123.188
Length   64/ 14, alignment  0/ 9, fail :	82.5625	211.438	24.8438	110.344
Length   64/ 15, alignment  1/ 3, found:	72.4375	252.531	29.5312	102.344
Length   64/ 15, alignment  0/ 9, fail :	61.4688	251.75	25.2188	94.9062
Length   64/ 16, alignment  1/ 3, found:	63.6875	258.469	27.9375	99.8125
Length   64/ 16, alignment  0/ 9, fail :	68.1875	222.688	27.5	82.125
Length   96/  1, alignment  1/ 3, found:	93.8125	16.8438	20.3438	16.1562
Length   96/  1, alignment  0/ 9, fail :	92.0625	15	17.625	16.2188
Length   96/  2, alignment  1/ 3, found:	96.125	195.188	26.9375	157.594
Length   96/  2, alignment  0/ 9, fail :	86.8125	174.125	25.9062	142.312
Length   96/  3, alignment  1/ 3, found:	91.9375	101.312	32.5	161.188
Length   96/  3, alignment  0/ 9, fail :	87.5	80.7188	30.5938	152.031
Length   96/  4, alignment  1/ 3, found:	83.5312	92	28.3125	138.344
Length   96/  4, alignment  0/ 9, fail :	77.75	82.0625	22.9375	129.188
Length   96/  5, alignment  1/ 3, found:	96.3438	204.375	33.3438	108.125
Length   96/  5, alignment  0/ 9, fail :	77.6875	189.156	28.0625	99.625
Length   96/  6, alignment  1/ 3, found:	110.844	317.719	28.75	104.938
Length   96/  6, alignment  0/ 9, fail :	88.7188	317.781	23.4375	91.0625
Length   96/  7, alignment  1/ 3, found:	87.125	297.906	30.3438	93.3438
Length   96/  7, alignment  0/ 9, fail :	97.5312	255.688	22.8125	88
Length   96/  8, alignment  1/ 3, found:	95.875	25.5938	30.125	28.3125
Length   96/  8, alignment  0/ 9, fail :	92.5	20.4688	23.8125	16.4375
Length   96/  9, alignment  1/ 3, found:	125.781	118.75	34.8125	90.8125
Length   96/  9, alignment  0/ 9, fail :	133.688	95.125	29	87.2188
Length   96/ 10, alignment  1/ 3, found:	80.1562	249.844	32.4688	108.5
Length   96/ 10, alignment  0/ 9, fail :	94.5625	257.844	23.3125	100.844
Length   96/ 11, alignment  1/ 3, found:	101.469	288.594	39.4375	96.7188
Length   96/ 11, alignment  0/ 9, fail :	87.9688	294.281	26.9062	87.3438
Length   96/ 12, alignment  1/ 3, found:	82.7188	286.719	35.75	92.5938
Length   96/ 12, alignment  0/ 9, fail :	96.125	300.938	24.4062	89.0938
Length   96/ 13, alignment  1/ 3, found:	100.312	28.6875	36	28.7188
Length   96/ 13, alignment  0/ 9, fail :	94.4062	14.625	23.8438	15.3125
Length   96/ 14, alignment  1/ 3, found:	93.3438	291.5	42.4375	92.5625
Length   96/ 14, alignment  0/ 9, fail :	81.8125	291.062	29.4688	90.8125
Length   96/ 15, alignment  1/ 3, found:	98.3438	157.219	37.1562	103.625
Length   96/ 15, alignment  0/ 9, fail :	90.3125	129.906	24.2188	104.75
Length   96/ 16, alignment  1/ 3, found:	96.8125	23.7188	37.4375	25.625
Length   96/ 16, alignment  0/ 9, fail :	93	14.6562	24	15.0312
Length  128/  1, alignment  1/ 3, found:	114.25	20.1875	25.0938	17.5625
Length  128/  1, alignment  0/ 9, fail :	116.031	15.4062	23.9062	15.9062
Length  128/  2, alignment  1/ 3, found:	145.125	117.062	33.1875	216.656
Length  128/  2, alignment  0/ 9, fail :	230.281	116.219	34.9062	202.969
Length  128/  3, alignment  1/ 3, found:	250.938	217.094	27.625	206.906
Length  128/  3, alignment  0/ 9, fail :	218.688	191.344	30.3438	198.156
Length  128/  4, alignment  1/ 3, found:	225.219	125.781	36.75	147.969
Length  128/  4, alignment  0/ 9, fail :	126.062	100.188	42.5	133.125
Length  128/  5, alignment  1/ 3, found:	213.562	398.062	35.1562	139.406
Length  128/  5, alignment  0/ 9, fail :	194.812	403.562	41.2812	128.125
Length  128/  6, alignment  1/ 3, found:	186.812	140.5	36.625	115.5
Length  128/  6, alignment  0/ 9, fail :	169.5	127.125	42.8125	118.562
Length  128/  7, alignment  1/ 3, found:	130.281	92.4062	34.0938	77.9375
Length  128/  7, alignment  0/ 9, fail :	123.75	74.4062	37.875	77.0312
Length  128/  8, alignment  1/ 3, found:	213.406	217.406	36.25	104.875
Length  128/  8, alignment  0/ 9, fail :	171.906	166.656	30.8125	96.625
Length  128/  9, alignment  1/ 3, found:	115.531	28.9688	32.5938	28.9375
Length  128/  9, alignment  0/ 9, fail :	114.5	23.75	31.3438	24.9062
Length  128/ 10, alignment  1/ 3, found:	233.688	311.844	39.5	99.9062
Length  128/ 10, alignment  0/ 9, fail :	221.656	325.125	33.6562	94.4688
Length  128/ 11, alignment  1/ 3, found:	178.312	389.719	40.0938	99.875
Length  128/ 11, alignment  0/ 9, fail :	165.406	421.031	28.9062	104
Length  128/ 12, alignment  1/ 3, found:	121.281	31.4062	41.125	33.4688
Length  128/ 12, alignment  0/ 9, fail :	115.594	28.75	29.3438	28.6562
Length  128/ 13, alignment  1/ 3, found:	241.625	390.656	37.9062	100.438
Length  128/ 13, alignment  0/ 9, fail :	218.062	390.094	29.7812	95.9375
Length  128/ 14, alignment  1/ 3, found:	214.688	329.125	42.8438	97.0625
Length  128/ 14, alignment  0/ 9, fail :	217.469	333.375	33.1562	93.4688
Length  128/ 15, alignment  1/ 3, found:	222	414.75	39.2812	99.25
Length  128/ 15, alignment  0/ 9, fail :	161.594	403.656	29.0938	92.6562
Length  128/ 16, alignment  1/ 3, found:	206.719	152.469	39.4688	104.25
Length  128/ 16, alignment  0/ 9, fail :	202.062	105.156	28.8438	98.875
Length  160/  1, alignment  1/ 3, found:	135.969	26.4375	22.625	25.7812
Length  160/  1, alignment  0/ 9, fail :	138.469	23.625	23	23.1875
Length  160/  2, alignment  1/ 3, found:	191.031	226.656	33.5	167.594
Length  160/  2, alignment  0/ 9, fail :	190.375	224.25	30.0625	154.781
Length  160/  3, alignment  1/ 3, found:	274.25	141.812	46.5312	246.062
Length  160/  3, alignment  0/ 9, fail :	207.344	140.781	44.8438	240.625
Length  160/  4, alignment  1/ 3, found:	344.469	248.156	52.0938	185.031
Length  160/  4, alignment  0/ 9, fail :	284.688	238.656	44.375	163.469
Length  160/  5, alignment  1/ 3, found:	258.281	168.625	44.2188	189.469
Length  160/  5, alignment  0/ 9, fail :	186.219	130.406	39.25	143.781
Length  160/  6, alignment  1/ 3, found:	274.781	219.562	46.5625	138.906
Length  160/  6, alignment  0/ 9, fail :	223.125	192.688	38.8438	123.312
Length  160/  7, alignment  1/ 3, found:	265.344	333.719	47.7188	121.594
Length  160/  7, alignment  0/ 9, fail :	225.219	284.125	40.625	119.781
Length  160/  8, alignment  1/ 3, found:	244.844	441.125	48.1562	125.719
Length  160/  8, alignment  0/ 9, fail :	207.906	399.031	42.1562	118.125
Length  160/  9, alignment  1/ 3, found:	281.562	452.969	43.0938	120.656
Length  160/  9, alignment  0/ 9, fail :	250.625	390.031	33.4062	117.156
Length  160/ 10, alignment  1/ 3, found:	275.188	528.625	53.5938	115.969
Length  160/ 10, alignment  0/ 9, fail :	250.562	478.031	45.0312	113.688
Length  160/ 11, alignment  1/ 3, found:	240.562	470.781	41.0625	104.688
Length  160/ 11, alignment  0/ 9, fail :	241.5	411.156	29.0312	94.0938
Length  160/ 12, alignment  1/ 3, found:	173.312	379.25	42.7188	105
Length  160/ 12, alignment  0/ 9, fail :	186.281	311.438	30.0938	94.5625
Length  160/ 13, alignment  1/ 3, found:	247.062	507.781	65.7188	108.094
Length  160/ 13, alignment  0/ 9, fail :	183.625	446.5	46.875	105.719
Length  160/ 14, alignment  1/ 3, found:	205.469	445.656	58.3125	108.938
Length  160/ 14, alignment  0/ 9, fail :	187.5	417.094	43.5312	103.031
