                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	9.98047	86.1562	112.48
String 00000, offset 7:	17.5469	11.5664	60.2617
String 00000, offset 14:	19.2891	11.3086	55.5742
String 00000, offset 21:	23.4297	11.7891	50.8672
String 00000, offset 28:	27.6133	11.7383	45.8945
String 00000, offset 35:	48.5977	13.207	67.9219
String 00000, offset 42:	53.1875	12.5	142.547
String 00000, offset 49:	57.1523	12.4453	85.918
String 00000, offset 56:	70.4648	14.3125	63.1914
String 00000, offset 63:	75.1211	14.5117	90.2148
String 00000, offset 70:	80.0469	15.168	81.7695
String 00000, offset 77:	85.0234	14.5586	77.5547
String 00000, offset 84:	89.3125	14.2188	83.8984
String 00000, offset 91:	82.3242	12.9453	86.4531
String 00000, offset 98:	86.5	13.7031	81.7227
String 00000, offset 105:	90.4414	13.2539	100.375
String 00000, offset 112:	94.9961	13.6172	102.496
String 00000, offset 119:	99.2891	13.6719	120.906
String 00112233, offset 0:	13.2734	11.4219	40.4688
String 00112233, offset 7:	21.1875	11.2305	41.7266
String 00112233, offset 14:	22.9531	11.293	42.8281
String 00112233, offset 21:	26.9883	11.1836	43.5508
String 00112233, offset 28:	41.1953	11.2227	44.8789
String 00112233, offset 35:	56.1836	12.6523	44.7227
String 00112233, offset 42:	60.2539	12.4844	46.9883
String 00112233, offset 49:	64.5469	13.0156	49.8633
String 00112233, offset 56:	68.8906	12.4453	51.7344
String 00112233, offset 63:	72.6836	12.3633	52.7148
String 00112233, offset 70:	76.9922	13.2461	54.2422
String 00112233, offset 77:	81	13.5703	54.6055
String 00112233, offset 84:	85.4453	12.4609	55.9727
String 00112233, offset 91:	89.375	12.4414	56.5508
String 00112233, offset 98:	93.7617	13.6953	58.7891
String 00112233, offset 105:	97.8711	13.1172	68.9844
String 00112233, offset 112:	101.855	13.1484	64.8281
String 00112233, offset 119:	106.402	13.0469	66.1016
String 0123456789, offset 0:	15.3086	11.3008	42.0156
String 0123456789, offset 7:	23.4922	11.5508	42.457
String 0123456789, offset 14:	25.2734	11.3984	44.6133
String 0123456789, offset 21:	29.7383	11.3203	45.8047
String 0123456789, offset 28:	50.9492	11.1445	47.2969
String 0123456789, offset 35:	55.3203	13.0234	46.4961
String 0123456789, offset 42:	59.6836	13.1406	49.9609
String 0123456789, offset 49:	63.3828	12.168	50.0352
String 0123456789, offset 56:	67.7305	12.4805	51.6523
String 0123456789, offset 63:	71.5977	12.3438	50.8047
String 0123456789, offset 70:	75.8438	13.4883	54.5664
String 0123456789, offset 77:	79.7969	13.0352	55.4258
String 0123456789, offset 84:	84.3125	12.4727	56.1133
String 0123456789, offset 91:	88.2578	13.6133	58.4727
String 0123456789, offset 98:	92.5586	13.0469	56.7695
String 0123456789, offset 105:	96.668	13.0625	58.9062
String 0123456789, offset 112:	100.848	13.0039	57.3398
String 0123456789, offset 119:	105.336	13.0938	60.7617
String 0000111100001111, offset 0:	22.5508	11.4141	51.0586
String 0000111100001111, offset 7:	30.6641	11.9922	51.4062
String 0000111100001111, offset 14:	32.2695	11.4141	66.1172
String 0000111100001111, offset 21:	36.7695	11.5625	58.6094
String 0000111100001111, offset 28:	41.9883	11.8828	61.9922
String 0000111100001111, offset 35:	46.8906	12.707	58.3438
String 0000111100001111, offset 42:	49.5234	12.5312	63.1719
String 0000111100001111, offset 49:	70.5273	12.5469	57.0078
String 0000111100001111, offset 56:	74.8125	12.4453	65.375
String 0000111100001111, offset 63:	78.8594	12.9648	57.0742
String 0000111100001111, offset 70:	83.0117	13.0469	70
String 0000111100001111, offset 77:	87.2031	13.625	67.3359
String 0000111100001111, offset 84:	91.1055	13.3398	64.3906
String 0000111100001111, offset 91:	95.5508	12.3164	60.4766
String 0000111100001111, offset 98:	99.6523	13.0938	62.1016
String 0000111100001111, offset 105:	103.82	13.0078	59.6797
String 0000111100001111, offset 112:	108.191	13	61.5195
String 0000111100001111, offset 119:	112.145	13.043	80.9375
String 00000111110000022222, offset 0:	27.4531	11.3125	54.332
String 00000111110000022222, offset 7:	35.3281	11.3906	66.1562
String 00000111110000022222, offset 14:	37.7031	11.9453	55.6562
String 00000111110000022222, offset 21:	41.7109	11.2578	63.6289
String 00000111110000022222, offset 28:	46.7109	12.8711	57.2461
String 00000111110000022222, offset 35:	50.043	13.7656	66.3008
String 00000111110000022222, offset 42:	53.8242	12.6328	59.168
String 00000111110000022222, offset 49:	57.9805	12.4688	62.9727
String 00000111110000022222, offset 56:	62.4727	12.8242	76.3125
String 00000111110000022222, offset 63:	66.5352	12.3867	67.3125
String 00000111110000022222, offset 70:	72.4375	12.8867	84.793
String 00000111110000022222, offset 77:	88.4961	14.3281	77.5039
String 00000111110000022222, offset 84:	91.8945	14.2969	88.8672
String 00000111110000022222, offset 91:	97.4375	14.1953	74.0586
String 00000111110000022222, offset 98:	102.562	14.9961	83.2969
String 00000111110000022222, offset 105:	105.5	14.9531	74.8438
String 00000111110000022222, offset 112:	110.355	14.9688	86.9258
String 00000111110000022222, offset 119:	115.324	14.875	78.1836
String 012345678901234567890, offset 0:	36.793	12.8633	63.7773
String 012345678901234567890, offset 7:	55.9062	13.0312	65.5625
String 012345678901234567890, offset 14:	44.5938	14.8203	70.7344
String 012345678901234567890, offset 21:	66.7852	16.8242	92.2852
String 012345678901234567890, offset 28:	117.398	15.7578	72.0664
String 012345678901234567890, offset 35:	110.379	22.5039	99.1094
String 012345678901234567890, offset 42:	130.375	23.7578	87.0195
String 012345678901234567890, offset 49:	119.648	22.1406	68.9531
String 012345678901234567890, offset 56:	142.355	23.5508	87.7891
String 012345678901234567890, offset 63:	153.312	22.3516	105.906
String 012345678901234567890, offset 70:	173.254	17.4492	78.5039
String 012345678901234567890, offset 77:	156.809	24.5234	80.9766
String 012345678901234567890, offset 84:	101.461	13.1992	68.1289
String 012345678901234567890, offset 91:	116.359	15.7422	79.5742
String 012345678901234567890, offset 98:	104.914	13.0508	69.0938
String 012345678901234567890, offset 105:	93.8242	13.9258	68.2031
String 012345678901234567890, offset 112:	100.707	13.625	71.9375
String 012345678901234567890, offset 119:	102.047	31.6016	82.1484
String abc0, offset 0:	9.75391	12.8789	39.4727
String abc0, offset 7:	18.582	13.9336	44.9375
String abc0, offset 14:	20.7266	12.957	46.9766
String abc0, offset 21:	26.8359	13.6797	49.7305
String abc0, offset 28:	30.9844	12.8945	69.9609
String abc0, offset 35:	63.1719	22.75	68.6211
String abc0, offset 42:	73.4766	20.6328	200.574
String abc0, offset 49:	92.7227	23.7852	89.9414
String abc0, offset 56:	111.137	25.0117	91.2344
String abc0, offset 63:	110	23.4453	96.9531
String abc0, offset 70:	109.973	15.4688	74.2031
String abc0, offset 77:	83.4648	14.1953	77.3711
String abc0, offset 84:	88.6484	14.9023	81.082
String abc0, offset 91:	141.406	29.6406	155.918
String abc0, offset 98:	140.625	27.375	189.695
String abc0, offset 105:	126.324	16.3477	110.344
String abc0, offset 112:	108.336	14.9922	133.945
String abc0, offset 119:	112.852	14.9062	136.234
String aaaa0, offset 0:	11.0742	13.418	42.3359
String aaaa0, offset 7:	20.2227	12.8477	49.6875
String aaaa0, offset 14:	22.1055	12.9883	50.2266
String aaaa0, offset 21:	38.1719	18.4141	58.0234
String aaaa0, offset 28:	55.7305	16.625	57.9961
String aaaa0, offset 35:	71.543	21.7031	89.3125
String aaaa0, offset 42:	97.0156	18.8711	65.3906
String aaaa0, offset 49:	80.7773	16.625	65.3828
String aaaa0, offset 56:	90.3477	16.6133	60.7383
String aaaa0, offset 63:	93.2148	18.6602	86.418
String aaaa0, offset 70:	96.6289	18.9219	86.9414
String aaaa0, offset 77:	101.43	29.1367	134.98
String aaaa0, offset 84:	102.98	16.7617	85.0234
String aaaa0, offset 91:	116.68	16.8633	100.992
String aaaa0, offset 98:	127.434	24.0312	104.266
String aaaa0, offset 105:	133.883	21.9414	96.9062
String aaaa0, offset 112:	131.141	24.2227	99.5195
String aaaa0, offset 119:	134.262	21.0859	131.859
String abcabc0, offset 0:	20.3281	19.6602	53.3555
String abcabc0, offset 7:	27.7383	16.125	59.0195
String abcabc0, offset 14:	35.2383	16.168	49.9648
String abcabc0, offset 21:	43.5	17.8125	57.5508
String abcabc0, offset 28:	38.3516	11.4688	48.3516
String abcabc0, offset 35:	51.4414	13.0234	48.8281
String abcabc0, offset 42:	55.6992	12.7344	47.0039
String abcabc0, offset 49:	59.668	12.5469	51.4805
String abcabc0, offset 56:	64.082	12.5312	53.7188
String abcabc0, offset 63:	71.25	12.4375	54.418
String abcabc0, offset 70:	72.3359	13.4414	59.1602
String abcabc0, offset 77:	76.3516	12.6289	59.043
String abcabc0, offset 84:	80.8359	12.6484	57.6172
String abcabc0, offset 91:	84.9766	12.6172	67.1094
String abcabc0, offset 98:	89	14.3398	73.6523
String abcabc0, offset 105:	93.4844	13.7891	68.2539
String abcabc0, offset 112:	97.2656	13.332	74.3984
String abcabc0, offset 119:	101.668	13.1016	80.8242
String NNRU4PI6P<5FJZJWL130ZETW, offset 2685:	2366.48	169.23	308.602
String HTXA6FB0O4SV<QW3CM[PWH2WMZF4IY, offset 79898:	111332	43525.4	7160.3
String 6, offset 163838:	101011	4245.82	4066.84
String [T4EJE89MDSP1Q9MJ4W?5@X77CROZ2, offset 1079:	955.281	169.152	157.16
String I1BCBA[EIFMFHQ@XFJV[U>Q3F7, offset 999:	854.352	505.844	136.184
String 9, offset 163838:	100943	3800.67	3557.73
String 7, offset 807:	518.859	22.5352	20.8711
String G<SYZM886>3J?@><7HDHYUA>=07EYBQ, offset 18632:	22622.4	636.555	1235.07
String F?02JRNBMYMI<TIZN[NA?VAES, offset 2731:	2472.38	1258.04	274.59
String 4, offset 163838:	101322	3692.45	3651.9
String 1GLDC@6[?ZDXW@APOVAZG68WL@@MZE2, offset 137:	159.004	15.3516	81.0195
String WVU[0AH07J, offset 1381:	1060.1	103.078	324.277
String 0UYV, offset 49301:	30830.8	1132.82	25448.4
String YR5DM[FIQDFCZ=EOBQSWY, offset 931:	744.137	385.137	179.789
String 6, offset 163838:	102373	3672.54	3590.36
String 8, offset 163838:	101880	3851.84	3569.09
String 7BE4[2UF5MDRT1T, offset 7449:	4675.91	162.816	995.008
String DXW@APO2AZ, offset 147:	126.48	122	69.168
String QM3J@OE3PY413DBMG, offset 3775:	3469.19	192.742	462.367
String FBD9RJ, offset 4458:	4591.26	2152.5	1433.05
String QXVG<8VKH, offset 91649:	117425	2170.93	18972.2
String 1, offset 2166:	1379.26	54.0508	42.0938
String 51TN, offset 9384:	6093.93	198.246	4934.41
String SLU8@<77JUVP6, offset 11601:	14316.9	438.309	1733.98
String 0, offset 163838:	102195	3735.12	3555.79
String 4, offset 163838:	102415	3803.32	3557.29
String BT98HTDMY[, offset 1755:	1493.06	640.031	348.91
String =C3TYG61=@?KNN89GQ=Q9MHOY>XSIZ, offset 710:	647.219	344.98	133.043
