                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	72.5938	31.8125	470.5	33.9062
Length   64/  1, alignment  0/ 9, fail :	76.75	15.4688	20.4062	13.9375
Length   64/  2, alignment  1/ 3, found:	82.125	424.688	19	62.7812
Length   64/  2, alignment  0/ 9, fail :	81.5	50.1875	29	54.9375
Length   64/  3, alignment  1/ 3, found:	65.0938	99.4688	19.6875	130.344
Length   64/  3, alignment  0/ 9, fail :	58.875	79.2812	25.6562	120.156
Length   64/  4, alignment  1/ 3, found:	63.6562	130.406	18.9688	110.375
Length   64/  4, alignment  0/ 9, fail :	61.3438	124.438	24.2812	95.4375
Length   64/  5, alignment  1/ 3, found:	88.9688	130.656	19.3438	100.188
Length   64/  5, alignment  0/ 9, fail :	59.25	110.438	24.5	101.625
Length   64/  6, alignment  1/ 3, found:	70.9688	246.125	26.875	101.312
Length   64/  6, alignment  0/ 9, fail :	64.4375	250.75	33.1875	106.969
Length   64/  7, alignment  1/ 3, found:	76.4062	249.219	28.4375	113.25
Length   64/  7, alignment  0/ 9, fail :	65.7812	215.562	32.4375	76.6562
Length   64/  8, alignment  1/ 3, found:	70.0938	180.094	23.3125	79.4688
Length   64/  8, alignment  0/ 9, fail :	65.875	188.406	29.7188	76.2812
Length   64/  9, alignment  1/ 3, found:	85.1875	106.75	28.9688	87.9062
Length   64/  9, alignment  0/ 9, fail :	77.4375	90.625	23.4375	84.4688
Length   64/ 10, alignment  1/ 3, found:	70.5312	27.5	24.2188	28.6875
Length   64/ 10, alignment  0/ 9, fail :	71.1562	14.875	23	15.0938
Length   64/ 11, alignment  1/ 3, found:	61.2188	121.469	21.6875	86.5
Length   64/ 11, alignment  0/ 9, fail :	63.625	102.906	22.9375	77.9375
Length   64/ 12, alignment  1/ 3, found:	79.7188	141.625	22.125	94.0312
Length   64/ 12, alignment  0/ 9, fail :	55.125	112.469	22.875	87.125
Length   64/ 13, alignment  1/ 3, found:	68.9375	191.562	24.2812	114.906
Length   64/ 13, alignment  0/ 9, fail :	60.5	176.219	23.375	105.75
