                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	112.594	36.6875	527.406	41.0625
Length   64/  1, alignment  0/ 9, fail :	112.906	23.25	30.75	17.3125
Length   64/  2, alignment  1/ 3, found:	137	131.75	29.7812	78.2812
Length   64/  2, alignment  0/ 9, fail :	124.031	91.9375	43.75	72.5625
Length   64/  3, alignment  1/ 3, found:	112.656	161.438	30.0625	168.719
Length   64/  3, alignment  0/ 9, fail :	107.594	135.094	42.2188	155.594
Length   64/  4, alignment  1/ 3, found:	105.062	175.531	29.5312	166.656
Length   64/  4, alignment  0/ 9, fail :	98.5312	184.156	40.25	147.781
Length   64/  5, alignment  1/ 3, found:	105.312	191.688	30.8438	154.812
Length   64/  5, alignment  0/ 9, fail :	108.062	184.844	41.875	158.938
Length   64/  6, alignment  1/ 3, found:	111.656	290.906	50.6875	156.125
Length   64/  6, alignment  0/ 9, fail :	112.719	295.875	53.1562	165.688
Length   64/  7, alignment  1/ 3, found:	114.75	648.625	50.9688	153.188
Length   64/  7, alignment  0/ 9, fail :	128.938	283.188	60.875	138.25
Length   64/  8, alignment  1/ 3, found:	110.875	236.406	41.625	154.344
Length   64/  8, alignment  0/ 9, fail :	119.125	260.062	53.5938	136.938
Length   64/  9, alignment  1/ 3, found:	114.625	189.219	43.9688	159.5
Length   64/  9, alignment  0/ 9, fail :	114.562	138.281	40	146.312
Length   64/ 10, alignment  1/ 3, found:	123.5	44.4688	41.6562	57.5938
Length   64/ 10, alignment  0/ 9, fail :	116.969	25.2188	39.625	25.2188
Length   64/ 11, alignment  1/ 3, found:	103.531	201.312	36.0312	156.469
Length   64/ 11, alignment  0/ 9, fail :	108	199.031	39.625	143.969
Length   64/ 12, alignment  1/ 3, found:	129.844	215.625	40.25	164.5
Length   64/ 12, alignment  0/ 9, fail :	107.781	195.562	40.5625	159.5
Length   64/ 13, alignment  1/ 3, found:	126.688	292.25	40.5	196.75
Length   64/ 13, alignment  0/ 9, fail :	110.25	270.25	39.0312	172.5
Length   64/ 14, alignment  1/ 3, found:	131.281	285.469	44.75	181.688
Length   64/ 14, alignment  0/ 9, fail :	124.75	293.719	42.2812	172.812
Length   64/ 15, alignment  1/ 3, found:	106.75	340.969	40.875	161.5
Length   64/ 15, alignment  0/ 9, fail :	104.562	317.344	40	169.5
Length   64/ 16, alignment  1/ 3, found:	115.219	333.562	43.4062	157.469
Length   64/ 16, alignment  0/ 9, fail :	110.969	311.25	45.625	152.156
Length   96/  1, alignment  1/ 3, found:	150.25	30.8438	33.6562	29.2188
Length   96/  1, alignment  0/ 9, fail :	155.875	27.5	33.1562	26.0625
Length   96/  2, alignment  1/ 3, found:	158.312	251.75	47.7188	200
Length   96/  2, alignment  0/ 9, fail :	149.281	221.906	43.625	192.75
Length   96/  3, alignment  1/ 3, found:	160.312	151.438	55.4375	226.406
Length   96/  3, alignment  0/ 9, fail :	180.094	138.531	51.5	212.875
Length   96/  4, alignment  1/ 3, found:	164.5	160	46.4062	229.719
Length   96/  4, alignment  0/ 9, fail :	156.906	152.094	40.0312	213
Length   96/  5, alignment  1/ 3, found:	148.906	280.906	61.3438	189.594
Length   96/  5, alignment  0/ 9, fail :	153.594	280.031	50.0625	178.812
Length   96/  6, alignment  1/ 3, found:	191.5	363.219	52.7812	176.219
Length   96/  6, alignment  0/ 9, fail :	173.625	378.125	39.7188	168.875
Length   96/  7, alignment  1/ 3, found:	173.562	532.125	53.5625	153.5
Length   96/  7, alignment  0/ 9, fail :	142.75	505.5	42.1562	159.938
Length   96/  8, alignment  1/ 3, found:	173.562	44.6562	51.3438	53.6562
Length   96/  8, alignment  0/ 9, fail :	150.812	30.2812	39.4688	30.4062
Length   96/  9, alignment  1/ 3, found:	161.031	201.781	64.75	169.688
Length   96/  9, alignment  0/ 9, fail :	167.031	187.25	49.0938	153.719
Length   96/ 10, alignment  1/ 3, found:	162.219	309.5	56.6875	178.125
Length   96/ 10, alignment  0/ 9, fail :	161.594	342.812	40.75	187.688
Length   96/ 11, alignment  1/ 3, found:	156.469	375.688	61.4062	166.219
Length   96/ 11, alignment  0/ 9, fail :	159.562	367.719	45.4375	163.156
Length   96/ 12, alignment  1/ 3, found:	138.188	367.094	61.5938	161.406
Length   96/ 12, alignment  0/ 9, fail :	165.094	358.344	43.0625	153.844
Length   96/ 13, alignment  1/ 3, found:	153.969	45.0625	62.5312	51.875
Length   96/ 13, alignment  0/ 9, fail :	151.219	26.2188	40.3125	29.6562
Length   96/ 14, alignment  1/ 3, found:	156.844	363.281	66.9688	161.312
Length   96/ 14, alignment  0/ 9, fail :	159.438	355.812	42.0625	151.5
Length   96/ 15, alignment  1/ 3, found:	154.125	242	65.1562	172.312
Length   96/ 15, alignment  0/ 9, fail :	151.594	224.75	41.625	173.5
Length   96/ 16, alignment  1/ 3, found:	165.969	47.5312	61.2188	47.0938
Length   96/ 16, alignment  0/ 9, fail :	153.219	27.4375	39.6875	26.5312
Length  128/  1, alignment  1/ 3, found:	188.469	33.5938	38.7812	33.2188
Length  128/  1, alignment  0/ 9, fail :	186.75	29.4688	42	30
Length  128/  2, alignment  1/ 3, found:	207.094	155.438	51.0625	271.156
Length  128/  2, alignment  0/ 9, fail :	209.938	146.125	54.0625	271.719
Length  128/  3, alignment  1/ 3, found:	218.125	265.156	42.6562	273.688
Length  128/  3, alignment  0/ 9, fail :	199.812	232.75	55.125	278.594
Length  128/  4, alignment  1/ 3, found:	212.531	172.781	59.6875	237.438
Length  128/  4, alignment  0/ 9, fail :	203.594	180.531	74	238.25
Length  128/  5, alignment  1/ 3, found:	209.812	451.562	57.1562	228.594
Length  128/  5, alignment  0/ 9, fail :	210.25	445.375	68	204.031
Length  128/  6, alignment  1/ 3, found:	210.062	193.094	62.8125	184.406
Length  128/  6, alignment  0/ 9, fail :	210.062	182	77.4375	199.219
Length  128/  7, alignment  1/ 3, found:	200.594	146.875	61.0312	138.531
Length  128/  7, alignment  0/ 9, fail :	203.625	138.844	65.9062	135.125
Length  128/  8, alignment  1/ 3, found:	212.594	265.344	60.9688	164.938
Length  128/  8, alignment  0/ 9, fail :	206.625	255.031	50.25	167.938
Length  128/  9, alignment  1/ 3, found:	195.25	49.375	57.7812	53.9688
Length  128/  9, alignment  0/ 9, fail :	201.969	41.25	53.1562	46.5625
Length  128/ 10, alignment  1/ 3, found:	199.688	355.875	61.7188	166.531
Length  128/ 10, alignment  0/ 9, fail :	205.75	354.875	54	163.312
Length  128/ 11, alignment  1/ 3, found:	198.406	456.562	58.5	168.438
Length  128/ 11, alignment  0/ 9, fail :	199.281	442.375	49.75	166.844
Length  128/ 12, alignment  1/ 3, found:	193.219	52.2188	57.7188	52.8438
Length  128/ 12, alignment  0/ 9, fail :	200.812	45.3125	48.4688	45.9375
Length  128/ 13, alignment  1/ 3, found:	194.812	450.781	59	171.344
Length  128/ 13, alignment  0/ 9, fail :	197.969	435.969	51.6875	158.062
Length  128/ 14, alignment  1/ 3, found:	231.562	388.281	63.4375	170.531
Length  128/ 14, alignment  0/ 9, fail :	240.312	386.219	54.625	160.688
Length  128/ 15, alignment  1/ 3, found:	202.906	444.281	59.1875	170.188
Length  128/ 15, alignment  0/ 9, fail :	208.531	445.656	51.2812	168.031
Length  128/ 16, alignment  1/ 3, found:	188.812	221.344	61.0938	175.281
Length  128/ 16, alignment  0/ 9, fail :	195.812	190.812	51.7812	176.219
Length  160/  1, alignment  1/ 3, found:	226.844	43.2188	40.6875	39.5312
Length  160/  1, alignment  0/ 9, fail :	235.719	36.75	42.5938	39.75
Length  160/  2, alignment  1/ 3, found:	276.344	238.094	60.8438	221.094
Length  160/  2, alignment  0/ 9, fail :	279	230.594	50.75	217.219
Length  160/  3, alignment  1/ 3, found:	255.75	167.469	80.1562	267.406
Length  160/  3, alignment  0/ 9, fail :	239.844	159	72.8125	343.219
Length  160/  4, alignment  1/ 3, found:	268.75	298.844	82.5	242.188
Length  160/  4, alignment  0/ 9, fail :	234.719	258.156	62.1562	216.969
