                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	15.6523	67.6133	87.3984
String 00000, offset 7:	25.2148	22.8906	102.512
String 00000, offset 14:	34.4805	22.9062	93.6523
String 00000, offset 21:	42.5664	22.3359	84.3203
String 00000, offset 28:	53.6719	22.0039	77.3555
String 00000, offset 35:	61.9023	25.7188	117.926
String 00000, offset 42:	71.0781	25.5117	107.297
String 00000, offset 49:	85.8555	25.457	102.715
String 00000, offset 56:	104.859	26.1172	94.4102
String 00000, offset 63:	113.379	25.293	132.73
String 00000, offset 70:	120.863	26.7734	123.75
String 00000, offset 77:	128.938	26.1953	133.598
String 00000, offset 84:	136.922	25.4922	135.5
String 00000, offset 91:	142.387	25.5078	148.383
String 00000, offset 98:	152.535	27.5078	139.465
String 00000, offset 105:	159.402	27.4883	136.512
String 00000, offset 112:	167.043	26.2344	172.066
String 00000, offset 119:	175.07	27.3438	182.824
String 00112233, offset 0:	23.4844	21.3555	68.582
String 00112233, offset 7:	32.4258	22.4766	69.8555
String 00112233, offset 14:	41.3789	20.793	71.9609
String 00112233, offset 21:	50.4375	21.3281	74.5508
String 00112233, offset 28:	58.8281	22.25	77.0898
String 00112233, offset 35:	69.75	24.9727	79.3711
String 00112233, offset 42:	87.6602	25.0039	82.25
String 00112233, offset 49:	103.441	26.582	87.7734
String 00112233, offset 56:	111.613	27.4531	86.4258
String 00112233, offset 63:	116.293	25.6094	84.9297
String 00112233, offset 70:	127.023	26.625	88.375
String 00112233, offset 77:	133.066	25.9961	92.5039
String 00112233, offset 84:	141.176	25.0859	95.3242
String 00112233, offset 91:	149.453	25.2344	97.7188
String 00112233, offset 98:	157.461	27.1133	100.684
String 00112233, offset 105:	164.727	26.8203	106.777
String 00112233, offset 112:	172.961	28.4844	110.863
String 00112233, offset 119:	182.332	26.4336	111.918
String 0123456789, offset 0:	26.6992	21.3164	72.1523
String 0123456789, offset 7:	36.2695	23.2188	73.7852
String 0123456789, offset 14:	45.3164	21.0195	76.0859
String 0123456789, offset 21:	54.3945	23.1953	82.7734
String 0123456789, offset 28:	64.0391	21.0664	81.9609
