                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	10.125	58.4727	95.0625
String 00000, offset 7:	17.8828	11.9297	61.6953
String 00000, offset 14:	19.7969	12.1562	57.7305
String 00000, offset 21:	23.9609	11.7305	51.8164
String 00000, offset 28:	28.168	11.582	47.9297
String 00000, offset 35:	49.3945	13.7422	83.8359
String 00000, offset 42:	53.207	12.5547	67.5742
String 00000, offset 49:	57.1562	12.4336	61.4688
String 00000, offset 56:	61.5547	12.418	54.5273
String 00000, offset 63:	65.4453	12.3516	79.0742
String 00000, offset 70:	69.8008	13.7773	72.1445
String 00000, offset 77:	74.0273	12.5781	68.0977
String 00000, offset 84:	78.2852	13.1797	84.6914
String 00000, offset 91:	82.543	12.4023	112.121
String 00000, offset 98:	86.5352	13.8008	105.777
String 00000, offset 105:	90.5391	13.2578	102.648
String 00000, offset 112:	94.9258	14.1875	116.84
String 00000, offset 119:	99.168	14.2188	121.254
String 00112233, offset 0:	16.7305	11.7383	41.5625
String 00112233, offset 7:	27.0898	11.5	42.6172
String 00112233, offset 14:	26.2266	11.7617	43.4336
String 00112233, offset 21:	30.5352	11.8086	43.7812
String 00112233, offset 28:	38.2578	12.3867	45.8008
String 00112233, offset 35:	56.0312	13.6406	46.4414
String 00112233, offset 42:	60.4219	12.6016	49.5117
String 00112233, offset 49:	64.2539	12.6211	51.043
String 00112233, offset 56:	68.5898	12.6719	50.9062
String 00112233, offset 63:	72.5273	12.9688	52.7617
String 00112233, offset 70:	77.0078	13.9805	54.4336
String 00112233, offset 77:	80.9141	13.0625	57.9492
String 00112233, offset 84:	85.4492	13.1016	55.2812
String 00112233, offset 91:	89.5078	13.0859	57.1875
String 00112233, offset 98:	93.4922	13.6094	58.0625
String 00112233, offset 105:	97.9688	13.1328	66.0781
String 00112233, offset 112:	101.824	13.125	68.4531
String 00112233, offset 119:	106.117	13.5938	69.2461
String 0123456789, offset 0:	15.4219	11.6133	43.5977
String 0123456789, offset 7:	23.375	11.6055	44.3008
String 0123456789, offset 14:	25.1484	11.5898	46.0977
String 0123456789, offset 21:	29.6484	11.4766	47.7969
String 0123456789, offset 28:	44.5625	11.9922	49.3633
String 0123456789, offset 35:	55.1289	13.1641	48.4609
String 0123456789, offset 42:	59.2188	12.7539	49.293
String 0123456789, offset 49:	63.3203	12.7695	50.2812
String 0123456789, offset 56:	67.543	12.7188	52.9883
String 0123456789, offset 63:	71.3906	12.625	52.0273
String 0123456789, offset 70:	75.7148	13.3477	54.8672
String 0123456789, offset 77:	79.8125	13.5234	56.4844
String 0123456789, offset 84:	84.1914	13.0781	58.1328
String 0123456789, offset 91:	88.4062	13.7109	59.2656
String 0123456789, offset 98:	92.3359	13.1719	57.5859
String 0123456789, offset 105:	96.7461	13.1719	60.082
String 0123456789, offset 112:	100.883	13.6719	60.9414
String 0123456789, offset 119:	104.914	13.6953	61.5469
String 0000111100001111, offset 0:	22.9727	11.9453	50.9219
String 0000111100001111, offset 7:	30.3047	11.9453	52.25
String 0000111100001111, offset 14:	32.1875	11.9375	74.1797
String 0000111100001111, offset 21:	36.5469	11.9609	61.3711
String 0000111100001111, offset 28:	57.3438	11.8438	66.1328
String 0000111100001111, offset 35:	62.1172	13.3086	58.957
String 0000111100001111, offset 42:	66.1406	13.5586	64.0742
String 0000111100001111, offset 49:	70.3633	13.0781	58.6562
String 0000111100001111, offset 56:	74.3789	13.0703	64.7305
String 0000111100001111, offset 63:	78.6055	13.0234	57.6562
String 0000111100001111, offset 70:	82.9258	13.9023	71.7109
String 0000111100001111, offset 77:	86.957	13.4102	64.4141
String 0000111100001111, offset 84:	91.2656	13.2344	66.2539
String 0000111100001111, offset 91:	95.3672	13.2188	60.8828
String 0000111100001111, offset 98:	99.543	14.5664	63.3984
String 0000111100001111, offset 105:	103.973	14.1328	58.75
String 0000111100001111, offset 112:	107.848	14.1406	61.5859
String 0000111100001111, offset 119:	112.113	13.9961	87.582
String 00000111110000022222, offset 0:	27.4453	11.3906	58.7656
