                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	10.418	57.5391	114.91
String 00000, offset 7:	17.6875	12.3984	60.8359
String 00000, offset 14:	19.3516	11.25	58.1133
String 00000, offset 21:	24.8398	11.9609	51.543
String 00000, offset 28:	29.4961	11.7852	46.5977
String 00000, offset 35:	33.9727	13.2266	68.7617
String 00000, offset 42:	45.7461	12.5156	64.5938
String 00000, offset 49:	57.8945	12.4023	60.5703
String 00000, offset 56:	61.5234	12.4219	54.3633
String 00000, offset 63:	65.8555	12.0859	79.0781
String 00000, offset 70:	69.8281	13.8594	71.7422
String 00000, offset 77:	74.0469	12.5312	67.5977
String 00000, offset 84:	78.2266	12.418	86.0938
String 00000, offset 91:	82.3398	12.4141	86.6797
String 00000, offset 98:	86.75	13.5664	106.062
String 00000, offset 105:	90.7734	13.4023	100.098
String 00000, offset 112:	94.8008	14.1562	101.961
String 00000, offset 119:	99.1133	13.5938	119.664
String 00112233, offset 0:	16.5703	14.1914	40.8672
String 00112233, offset 7:	20.9258	11.2383	41.1172
String 00112233, offset 14:	22.8672	11.2656	42.6406
String 00112233, offset 21:	28.1914	11.2656	44.5
String 00112233, offset 28:	32.8945	11.2188	45.0547
String 00112233, offset 35:	56.3203	13.1719	45.4609
String 00112233, offset 42:	60.4688	12.5703	47.0352
String 00112233, offset 49:	64.4766	12.4453	48.8516
String 00112233, offset 56:	68.6602	12.4609	49.3086
String 00112233, offset 63:	72.6602	12.3867	52.082
String 00112233, offset 70:	77.0078	13.1094	53.5703
String 00112233, offset 77:	81.1523	13.0312	54.4805
String 00112233, offset 84:	85.3242	12.9961	56.1758
String 00112233, offset 91:	89.625	12.5	57.4805
String 00112233, offset 98:	93.4336	14.4805	57.4961
String 00112233, offset 105:	97.9414	14.2344	64.4805
String 00112233, offset 112:	102.055	13.1797	64.7461
String 00112233, offset 119:	106.062	13.0547	66.1133
String 0123456789, offset 0:	18.3867	11.2891	41.7539
String 0123456789, offset 7:	23.6992	11.3125	44.125
String 0123456789, offset 14:	25.4102	11.8945	45.0703
String 0123456789, offset 21:	29.4805	11.2461	46.4727
String 0123456789, offset 28:	42.6953	11.1445	48.4062
String 0123456789, offset 35:	55.0508	13.6094	46.4961
String 0123456789, offset 42:	59.2031	13.1641	49.3984
String 0123456789, offset 49:	63.207	12.4258	50.9414
String 0123456789, offset 56:	67.4414	12.4688	52.1211
String 0123456789, offset 63:	71.5039	12.5938	52.5898
