                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length  128/  8, alignment  0/ 9, fail :	164.438	163.906	31.375	95.125
Length  128/  9, alignment  1/ 3, found:	120.031	29.125	33.5	29.7812
Length  128/  9, alignment  0/ 9, fail :	114.625	25.0312	29.4062	23.875
Length  128/ 10, alignment  1/ 3, found:	120.969	280.344	38.4062	100.375
Length  128/ 10, alignment  0/ 9, fail :	117.156	294.344	34.0312	94.8125
Length  128/ 11, alignment  1/ 3, found:	117.219	375.531	34.7188	94.4062
Length  128/ 11, alignment  0/ 9, fail :	109.688	379.531	29.6562	98.75
Length  128/ 12, alignment  1/ 3, found:	120.188	29.3438	34.5312	36.375
Length  128/ 12, alignment  0/ 9, fail :	116.031	21.9375	30.4688	26.6875
Length  128/ 13, alignment  1/ 3, found:	105	366.719	34.8438	99.2188
Length  128/ 13, alignment  0/ 9, fail :	104.531	364.469	30.125	91.375
Length  128/ 14, alignment  1/ 3, found:	134.469	314.75	41.5	97.7812
Length  128/ 14, alignment  0/ 9, fail :	176.875	316.188	33.2812	90.75
Length  128/ 15, alignment  1/ 3, found:	121.031	377.438	36.625	102.406
Length  128/ 15, alignment  0/ 9, fail :	117.5	370.625	28.9688	91.8125
Length  128/ 16, alignment  1/ 3, found:	109.562	129.219	37.6875	100.062
Length  128/ 16, alignment  0/ 9, fail :	101.906	109.031	30.0938	100.312
Length  160/  1, alignment  1/ 3, found:	136.625	25.9375	22.875	24
Length  160/  1, alignment  0/ 9, fail :	137.062	21.4062	24.0625	20.3438
Length  160/  2, alignment  1/ 3, found:	175.594	204.688	32.0625	169.125
Length  160/  2, alignment  0/ 9, fail :	165.844	183.844	30.0938	158.625
Length  160/  3, alignment  1/ 3, found:	150.5	125.219	48.5	247.281
Length  160/  3, alignment  0/ 9, fail :	142.844	106.094	43.6562	241.938
Length  160/  4, alignment  1/ 3, found:	145.438	250.875	52.8438	177.125
Length  160/  4, alignment  0/ 9, fail :	146.531	226.719	47.9688	170.531
Length  160/  5, alignment  1/ 3, found:	148.531	154.062	43.9062	148.969
Length  160/  5, alignment  0/ 9, fail :	139.625	134.281	40.875	144.969
Length  160/  6, alignment  1/ 3, found:	165.531	225.781	47.2188	133.688
Length  160/  6, alignment  0/ 9, fail :	140.75	194.094	40.4375	128.062
Length  160/  7, alignment  1/ 3, found:	165	311	47.7812	124.844
Length  160/  7, alignment  0/ 9, fail :	139.219	291.188	40.875	125.656
Length  160/  8, alignment  1/ 3, found:	153.969	434.375	50.8125	131.406
Length  160/  8, alignment  0/ 9, fail :	145.062	404.969	42.0312	122.875
Length  160/  9, alignment  1/ 3, found:	161.469	413.219	44.8125	123.312
Length  160/  9, alignment  0/ 9, fail :	137.562	383.938	34.625	116.812
Length  160/ 10, alignment  1/ 3, found:	161.031	498.781	56.3125	123.688
Length  160/ 10, alignment  0/ 9, fail :	140.469	454.656	43.0938	115.125
Length  160/ 11, alignment  1/ 3, found:	150.438	451.562	44.7812	97.3125
Length  160/ 11, alignment  0/ 9, fail :	133.906	387.156	29.4688	96.2188
Length  160/ 12, alignment  1/ 3, found:	161.719	350.188	38.7812	98.4688
Length  160/ 12, alignment  0/ 9, fail :	162.531	301.438	29.2812	94.1562
Length  160/ 13, alignment  1/ 3, found:	196.75	470.781	64.6875	100.188
Length  160/ 13, alignment  0/ 9, fail :	182.281	447.625	45.8438	96.7812
Length  160/ 14, alignment  1/ 3, found:	185.531	420.781	57.4688	106.188
Length  160/ 14, alignment  0/ 9, fail :	135.281	415.938	44.5625	98.9375
Length  160/ 15, alignment  1/ 3, found:	177.812	458.094	58.1562	106.094
Length  160/ 15, alignment  0/ 9, fail :	149.375	450.812	44.375	106.094
Length  160/ 16, alignment  1/ 3, found:	159.375	436.875	65.125	106.406
Length  160/ 16, alignment  0/ 9, fail :	148.594	412.219	46.9062	100.688
Length  192/  1, alignment  1/ 3, found:	151.375	25.375	26.1562	22.25
Length  192/  1, alignment  0/ 9, fail :	151.594	22.75	25.75	20.1562
Length  192/  2, alignment  1/ 3, found:	150.938	33.1875	36.2812	29.1875
Length  192/  2, alignment  0/ 9, fail :	146.625	20.3438	33.7188	21.7188
Length  192/  3, alignment  1/ 3, found:	149.531	29.9062	34.7188	30.0312
Length  192/  3, alignment  0/ 9, fail :	146.25	17.9375	32.4375	19.0312
Length  192/  4, alignment  1/ 3, found:	198.406	213.375	33.375	173.5
Length  192/  4, alignment  0/ 9, fail :	166.844	197.312	32.5625	161.719
Length  192/  5, alignment  1/ 3, found:	253.156	393.312	31.875	133.25
Length  192/  5, alignment  0/ 9, fail :	157.406	380.375	31.625	125.656
Length  192/  6, alignment  1/ 3, found:	168.312	454.156	37.7812	138.375
Length  192/  6, alignment  0/ 9, fail :	159.062	442.375	38.2188	129.594
Length  192/  7, alignment  1/ 3, found:	172.125	476.375	52.8438	131.062
Length  192/  7, alignment  0/ 9, fail :	149.062	448.094	47.9062	117.188
Length  192/  8, alignment  1/ 3, found:	227.688	516.906	43.8438	131
Length  192/  8, alignment  0/ 9, fail :	226.031	497.688	44.0938	121.844
