                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	70.7812	27.0625	360.5	125.344
Length   64/  1, alignment  0/ 9, fail :	69.8125	13.875	18.375	13
Length   64/  2, alignment  1/ 3, found:	83.6875	174.938	15.8438	57.4062
Length   64/  2, alignment  0/ 9, fail :	74.125	45.3125	25.0312	50.75
Length   64/  3, alignment  1/ 3, found:	68.6875	92.9375	16.0312	117.781
Length   64/  3, alignment  0/ 9, fail :	54	71.75	23.7188	110.906
Length   64/  4, alignment  1/ 3, found:	65.3125	115.75	18.1875	96.6875
Length   64/  4, alignment  0/ 9, fail :	60.6562	105.188	23.0625	84.7812
Length   64/  5, alignment  1/ 3, found:	64.3125	117.594	19.5625	91.25
Length   64/  5, alignment  0/ 9, fail :	58.625	100.875	22.6875	93.9062
Length   64/  6, alignment  1/ 3, found:	71	223.438	28.0625	93.5312
Length   64/  6, alignment  0/ 9, fail :	61.6562	230.719	31.1875	87.6875
Length   64/  7, alignment  1/ 3, found:	71.625	223.156	26.1562	82.0625
Length   64/  7, alignment  0/ 9, fail :	68.875	215.562	32.5	80.2188
Length   64/  8, alignment  1/ 3, found:	72.0625	178.375	24.2812	79.9688
Length   64/  8, alignment  0/ 9, fail :	66.625	184.156	29.2188	75.9688
Length   64/  9, alignment  1/ 3, found:	81.5	107.094	28.375	84.7188
Length   64/  9, alignment  0/ 9, fail :	78.1875	90.8125	24.25	84.8125
Length   64/ 10, alignment  1/ 3, found:	69.0312	25.9062	26.3125	26.8438
Length   64/ 10, alignment  0/ 9, fail :	70.7188	15.6562	22.8125	18.5625
Length   64/ 11, alignment  1/ 3, found:	59.8438	120.312	22	83.5625
Length   64/ 11, alignment  0/ 9, fail :	62.2188	97.0938	22.875	81.4062
Length   64/ 12, alignment  1/ 3, found:	80.3438	137.625	24.25	91.5625
Length   64/ 12, alignment  0/ 9, fail :	57.9062	108.875	22.3125	85.75
Length   64/ 13, alignment  1/ 3, found:	67.125	190.938	24.9688	112.531
Length   64/ 13, alignment  0/ 9, fail :	59	179.969	22.5625	106.094
Length   64/ 14, alignment  1/ 3, found:	84.3438	191.875	26.5	101.188
Length   64/ 14, alignment  0/ 9, fail :	78.9688	191.75	22.875	93.6562
Length   64/ 15, alignment  1/ 3, found:	60.125	232.438	24.125	91.9375
Length   64/ 15, alignment  0/ 9, fail :	57.2188	231.031	23	90.4062
Length   64/ 16, alignment  1/ 3, found:	59.625	231.094	27.625	87.0938
Length   64/ 16, alignment  0/ 9, fail :	65.4062	221.094	25.5938	84.4688
Length   96/  1, alignment  1/ 3, found:	92.5	18.0625	18.5	15.375
Length   96/  1, alignment  0/ 9, fail :	91.0625	15.8438	17.875	15.5312
Length   96/  2, alignment  1/ 3, found:	217.969	198.719	26.75	153.594
Length   96/  2, alignment  0/ 9, fail :	83.25	174.188	25.2188	143.094
Length   96/  3, alignment  1/ 3, found:	96.2188	95.9375	33.5625	161.062
Length   96/  3, alignment  0/ 9, fail :	89.2812	81.8125	29.7188	153.25
Length   96/  4, alignment  1/ 3, found:	90.9062	92.3125	30.5625	135.781
Length   96/  4, alignment  0/ 9, fail :	77.9375	78.8438	24.9062	124.906
Length   96/  5, alignment  1/ 3, found:	89.8438	198.594	34.2812	105.188
Length   96/  5, alignment  0/ 9, fail :	78.375	188.844	27.75	100
Length   96/  6, alignment  1/ 3, found:	120.562	312.594	33.8438	103.594
Length   96/  6, alignment  0/ 9, fail :	110.438	314.188	26.8125	94.0312
Length   96/  7, alignment  1/ 3, found:	108.531	297.312	29.2188	92.4062
Length   96/  7, alignment  0/ 9, fail :	81.875	259.062	23.875	87.9375
Length   96/  8, alignment  1/ 3, found:	100.688	28.0625	30.2188	26.125
Length   96/  8, alignment  0/ 9, fail :	94.4062	15.0312	23.4062	15.5938
Length   96/  9, alignment  1/ 3, found:	122.938	113.625	32.7812	95.1562
Length   96/  9, alignment  0/ 9, fail :	131.031	94.9375	28.0625	87.3125
Length   96/ 10, alignment  1/ 3, found:	83.5625	250.781	33.2812	105.469
Length   96/ 10, alignment  0/ 9, fail :	83.5312	256.625	23.6875	100.5
Length   96/ 11, alignment  1/ 3, found:	98.625	292.688	42.375	97.4375
Length   96/ 11, alignment  0/ 9, fail :	90.5	290.031	26.875	89.6562
Length   96/ 12, alignment  1/ 3, found:	82.125	292.438	34.9375	89.4062
Length   96/ 12, alignment  0/ 9, fail :	96.0625	288.844	24.5	86.1875
Length   96/ 13, alignment  1/ 3, found:	93.8438	24.3438	34.3438	25.3125
Length   96/ 13, alignment  0/ 9, fail :	92.4688	14.4062	23.1875	14.8438
Length   96/ 14, alignment  1/ 3, found:	78	288	39.4062	90.8125
Length   96/ 14, alignment  0/ 9, fail :	91.625	281.5	26.4375	86.1875
Length   96/ 15, alignment  1/ 3, found:	90.125	153.781	37.1875	98.2188
Length   96/ 15, alignment  0/ 9, fail :	86.8125	121.531	23.5938	97.7812
Length   96/ 16, alignment  1/ 3, found:	92.125	25.5938	36.25	24.9688
Length   96/ 16, alignment  0/ 9, fail :	91.5	14.6562	23.6562	14.5938
Length  128/  1, alignment  1/ 3, found:	110.938	17.5	23.3438	17.75
Length  128/  1, alignment  0/ 9, fail :	112.875	16.75	22.125	16.0312
Length  128/  2, alignment  1/ 3, found:	126.781	106.312	30.2188	214.188
Length  128/  2, alignment  0/ 9, fail :	131.75	83.9062	30.4688	199.438
Length  128/  3, alignment  1/ 3, found:	119.469	192.25	28.6562	203.719
Length  128/  3, alignment  0/ 9, fail :	139.156	166.594	30.5625	194.406
Length  128/  4, alignment  1/ 3, found:	125.344	111.469	43.2188	145.688
Length  128/  4, alignment  0/ 9, fail :	102.938	98.7188	42.9062	129.906
Length  128/  5, alignment  1/ 3, found:	122.312	390.531	33.5312	136.156
Length  128/  5, alignment  0/ 9, fail :	116.125	386.188	38.0938	123.688
Length  128/  6, alignment  1/ 3, found:	115.719	136.625	34.9062	103.406
Length  128/  6, alignment  0/ 9, fail :	130.344	118.875	42.0625	99.25
Length  128/  7, alignment  1/ 3, found:	125.594	84.5938	33.4062	84.0312
Length  128/  7, alignment  0/ 9, fail :	122.719	68.25	39.0312	78.3125
Length  128/  8, alignment  1/ 3, found:	170.656	186	35.0938	98.0938
Length  128/  8, alignment  0/ 9, fail :	161.656	159.688	29.5312	95.3438
Length  128/  9, alignment  1/ 3, found:	116.656	28.2188	33.0312	26.9375
Length  128/  9, alignment  0/ 9, fail :	111.969	22.4062	28.9062	22.8125
Length  128/ 10, alignment  1/ 3, found:	109.688	277.125	38.7188	96.5
Length  128/ 10, alignment  0/ 9, fail :	145.094	289.594	33.4375	90.5938
Length  128/ 11, alignment  1/ 3, found:	111.031	372.281	33.8438	98.0312
Length  128/ 11, alignment  0/ 9, fail :	106.156	371.531	28.4375	96.9688
Length  128/ 12, alignment  1/ 3, found:	116.281	28.3438	36.375	29.2812
Length  128/ 12, alignment  0/ 9, fail :	113.25	23.6875	28.8438	27.9375
Length  128/ 13, alignment  1/ 3, found:	107.719	356.875	35.4375	95.625
Length  128/ 13, alignment  0/ 9, fail :	114.312	354.875	29.3438	89.9688
Length  128/ 14, alignment  1/ 3, found:	125.344	311.969	40.6875	94.7188
Length  128/ 14, alignment  0/ 9, fail :	171.219	308.156	33.0625	89.625
Length  128/ 15, alignment  1/ 3, found:	119.906	363.844	35.4375	96.375
Length  128/ 15, alignment  0/ 9, fail :	115.812	362.281	29.1562	91.3125
Length  128/ 16, alignment  1/ 3, found:	116.281	127.438	36.5625	98.7188
Length  128/ 16, alignment  0/ 9, fail :	98.8438	104	29.4062	96.125
Length  160/  1, alignment  1/ 3, found:	133.75	26.75	22.375	22.8125
Length  160/  1, alignment  0/ 9, fail :	134	24	21.7188	22.75
Length  160/  2, alignment  1/ 3, found:	171.969	197.312	31.6562	166.812
Length  160/  2, alignment  0/ 9, fail :	162.656	182.562	29.6562	153.844
Length  160/  3, alignment  1/ 3, found:	146	118.375	45.125	242.375
Length  160/  3, alignment  0/ 9, fail :	139.156	99.9375	41.1875	235.812
Length  160/  4, alignment  1/ 3, found:	173.125	240.531	53.6562	176.938
Length  160/  4, alignment  0/ 9, fail :	169.719	221.281	48.5312	167.219
Length  160/  5, alignment  1/ 3, found:	174.25	147.125	41.8125	150.188
Length  160/  5, alignment  0/ 9, fail :	134.281	129.719	37.6875	138.531
Length  160/  6, alignment  1/ 3, found:	156.906	221.531	45.2812	131.688
Length  160/  6, alignment  0/ 9, fail :	158.688	191.688	40.0625	128.562
Length  160/  7, alignment  1/ 3, found:	136.625	304.406	44.9375	123.875
Length  160/  7, alignment  0/ 9, fail :	139.812	284.406	40.8125	121.719
Length  160/  8, alignment  1/ 3, found:	153.281	426.781	48.0938	130.344
Length  160/  8, alignment  0/ 9, fail :	145.312	393.688	41.6875	118.688
Length  160/  9, alignment  1/ 3, found:	151.5	399.906	45.75	120.844
Length  160/  9, alignment  0/ 9, fail :	129.781	372.281	35.5625	112.844
Length  160/ 10, alignment  1/ 3, found:	152	488.312	51.5	122.75
Length  160/ 10, alignment  0/ 9, fail :	144.031	445.656	42.3125	113.219
Length  160/ 11, alignment  1/ 3, found:	149	775.188	43.9688	111.531
Length  160/ 11, alignment  0/ 9, fail :	303.719	423.875	32	107.281
Length  160/ 12, alignment  1/ 3, found:	174.031	381.469	44.5312	111.281
Length  160/ 12, alignment  0/ 9, fail :	181.75	329.062	31.875	101.312
Length  160/ 13, alignment  1/ 3, found:	212.906	522.719	69.0938	107.406
Length  160/ 13, alignment  0/ 9, fail :	201.531	488.844	50.9375	104.625
Length  160/ 14, alignment  1/ 3, found:	194.406	462.906	65.3125	111.719
Length  160/ 14, alignment  0/ 9, fail :	150.625	455.625	47.625	105.812
Length  160/ 15, alignment  1/ 3, found:	192.406	504.938	63.3125	113.812
Length  160/ 15, alignment  0/ 9, fail :	157.594	493.875	48.2188	114.062
Length  160/ 16, alignment  1/ 3, found:	173.062	476.656	65.4688	105.406
Length  160/ 16, alignment  0/ 9, fail :	146	413.656	46.9375	98.5312
Length  192/  1, alignment  1/ 3, found:	150.25	23.9688	25.625	22.75
Length  192/  1, alignment  0/ 9, fail :	151.625	22.2188	24.5938	21.3125
Length  192/  2, alignment  1/ 3, found:	154.125	34.4688	35.2188	28.8125
Length  192/  2, alignment  0/ 9, fail :	149.812	20.3438	36	20.7188
Length  192/  3, alignment  1/ 3, found:	147.531	29.5938	33.3438	33.3438
Length  192/  3, alignment  0/ 9, fail :	149.188	18.5	33.5625	18.875
Length  192/  4, alignment  1/ 3, found:	207.375	221.469	32.4688	177.031
Length  192/  4, alignment  0/ 9, fail :	180.531	198.844	32.7188	165.344
Length  192/  5, alignment  1/ 3, found:	257	407.594	36.125	132
