                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	9.65234	57.3164	114.848
String 00000, offset 7:	17.7031	12.1055	60.207
String 00000, offset 14:	19.5391	11.2109	54.7305
String 00000, offset 21:	23.5039	11.25	51.6211
String 00000, offset 28:	27.7227	11.7227	45.5312
String 00000, offset 35:	48.293	13	68.6367
String 00000, offset 42:	53.125	12.6719	64.4062
String 00000, offset 49:	57.1523	12.3945	61.9141
String 00000, offset 56:	61.4492	12.3789	53.5547
String 00000, offset 63:	65.5547	12.9648	83.8828
String 00000, offset 70:	69.8398	13.0312	71.6562
String 00000, offset 77:	73.9492	13.1406	68.6523
String 00000, offset 84:	78.0547	12.3555	63.4492
String 00000, offset 91:	82.457	12.4062	114.109
String 00000, offset 98:	86.3867	13.7344	106
String 00000, offset 105:	90.6172	13.5391	101.871
String 00000, offset 112:	94.9648	13.5664	124.582
String 00000, offset 119:	99.1445	13.6133	119.055
String 00112233, offset 0:	17.8672	13.2422	40.0742
String 00112233, offset 7:	22.375	11.8516	41.8945
String 00112233, offset 14:	24.2773	11.3359	42.5742
String 00112233, offset 21:	28.1133	11.3516	43.8594
String 00112233, offset 28:	42.75	11.2539	44.7148
String 00112233, offset 35:	56.0312	13.0078	44.9531
String 00112233, offset 42:	60.2695	12.2539	47.1445
String 00112233, offset 49:	64.3477	12.4141	47.4219
String 00112233, offset 56:	68.5469	12.4609	50.4062
String 00112233, offset 63:	72.6328	12.3359	51.7969
String 00112233, offset 70:	76.8711	13.0781	54.1406
String 00112233, offset 77:	80.9062	12.4688	54.7969
String 00112233, offset 84:	85.2617	13.0781	57.6445
String 00112233, offset 91:	89.168	12.4609	57.0781
String 00112233, offset 98:	93.6797	13.625	58.5312
String 00112233, offset 105:	97.707	13.5664	63.1055
String 00112233, offset 112:	101.738	13.582	64.5586
String 00112233, offset 119:	106.285	13.0234	65.9297
String 0123456789, offset 0:	16.7461	11.2969	41.5703
String 0123456789, offset 7:	24.6055	11.4062	43.3906
String 0123456789, offset 14:	26.2578	12.3242	45.0938
String 0123456789, offset 21:	30.7812	11.9219	46.8281
String 0123456789, offset 28:	54.3359	11.2383	46.75
String 0123456789, offset 35:	58.4414	13.0391	46.4805
String 0123456789, offset 42:	62.6172	12.5234	48.7383
String 0123456789, offset 49:	66.5938	12.4297	51.5156
String 0123456789, offset 56:	71.0039	12.4609	51.2422
String 0123456789, offset 63:	75.1016	12.3711	50.4961
String 0123456789, offset 70:	79.6133	12.8672	59.6523
String 0123456789, offset 77:	83.2578	13.7344	61.3477
String 0123456789, offset 84:	103.016	15.6914	66.6719
String 0123456789, offset 91:	101.672	14.375	66.9297
String 0123456789, offset 98:	106.07	14.9961	63.5156
String 0123456789, offset 105:	110.656	14.8906	67.918
String 0123456789, offset 112:	115.719	16.2695	69.5273
String 0123456789, offset 119:	120.711	14.9375	81.8633
String 0000111100001111, offset 0:	22.8594	11.1523	50.2891
String 0000111100001111, offset 7:	30.3945	11.4375	51.1211
String 0000111100001111, offset 14:	33.5859	12.4922	66.3477
String 0000111100001111, offset 21:	37.9648	11.2656	59.2461
String 0000111100001111, offset 28:	42.5117	11.8828	61.9883
String 0000111100001111, offset 35:	66.0039	12.9492	57.6406
String 0000111100001111, offset 42:	69.957	12.5078	59.75
String 0000111100001111, offset 49:	73.8945	13.0938	55.25
String 0000111100001111, offset 56:	78.1094	13.0312	62.5234
String 0000111100001111, offset 63:	76.6094	12.7891	60.0156
String 0000111100001111, offset 70:	86.2812	13.3711	66.8594
String 0000111100001111, offset 77:	90.6797	12.4844	64.1367
String 0000111100001111, offset 84:	94.5664	12.4609	70.4883
String 0000111100001111, offset 91:	98.8789	12.957	66.5898
String 0000111100001111, offset 98:	103.164	13.7891	69.625
String 0000111100001111, offset 105:	107.062	13.0977	59.3516
String 0000111100001111, offset 112:	111.52	12.9844	62.5391
String 0000111100001111, offset 119:	135.449	15.4766	93.1484
String 00000111110000022222, offset 0:	32.9922	12.9688	61.4609
String 00000111110000022222, offset 7:	41.9727	13.457	79.4766
String 00000111110000022222, offset 14:	44.2148	13.0391	66.8594
String 00000111110000022222, offset 21:	48.1992	13.0625	70.2891
String 00000111110000022222, offset 28:	53.7109	13.457	67.3203
String 00000111110000022222, offset 35:	57.8555	14.5508	75.7539
String 00000111110000022222, offset 42:	62.2383	14.4102	68.4766
String 00000111110000022222, offset 49:	69.8086	14.2344	71.9609
String 00000111110000022222, offset 56:	72.1602	14.6953	87.2383
String 00000111110000022222, offset 63:	78.6289	13.8555	79.4453
String 00000111110000022222, offset 70:	81.5859	14.2812	84.7539
String 00000111110000022222, offset 77:	88.8438	14.3398	96.4688
String 00000111110000022222, offset 84:	92.8359	12.5859	77.3945
String 00000111110000022222, offset 91:	138.473	16.9258	74.0234
String 00000111110000022222, offset 98:	141.863	18.0586	86.9727
String 00000111110000022222, offset 105:	146.363	21.4531	69.2305
String 00000111110000022222, offset 112:	161.699	23.1133	75.7734
String 00000111110000022222, offset 119:	106.031	12.957	67.8516
String 012345678901234567890, offset 0:	29.1367	11.2383	55.5586
String 012345678901234567890, offset 7:	48.7383	11.8555	55.7891
String 012345678901234567890, offset 14:	39.0156	11.8711	60.5156
String 012345678901234567890, offset 21:	42.5703	11.2656	60
String 012345678901234567890, offset 28:	47.457	11.8594	57.668
String 012345678901234567890, offset 35:	53.2344	12.9766	62.5
String 012345678901234567890, offset 42:	58.5195	12.6367	60.6562
String 012345678901234567890, offset 49:	60.6367	13.0547	62.332
String 012345678901234567890, offset 56:	64.6289	12.4297	64.0039
String 012345678901234567890, offset 63:	67.875	12.3398	62.7734
String 012345678901234567890, offset 70:	74.5859	12.9102	64.1133
String 012345678901234567890, offset 77:	78.2422	12.4805	66.8828
String 012345678901234567890, offset 84:	81.8633	13.1172	70.2188
String 012345678901234567890, offset 91:	85.4648	12.5391	69.4297
String 012345678901234567890, offset 98:	88.9062	13.6328	91.8203
String 012345678901234567890, offset 105:	108.652	15.8125	77.4414
String 012345678901234567890, offset 112:	125.391	13.0234	71.7812
String 012345678901234567890, offset 119:	117.277	14.8906	83.1875
String abc0, offset 0:	9.33984	13.0156	48.9883
String abc0, offset 7:	16.0352	11.1523	38.7812
String abc0, offset 14:	18.2266	11.3672	48.0156
String abc0, offset 21:	26.6367	13.5195	50.8516
String abc0, offset 28:	30.6211	12.8789	55.1133
String abc0, offset 35:	40.707	13.4805	51.5898
String abc0, offset 42:	75.7695	15.1133	60.2617
String abc0, offset 49:	64.4844	14.418	63.875
String abc0, offset 56:	78.1328	12.5547	58.3125
String abc0, offset 63:	64.4453	12.9766	81.5625
String abc0, offset 70:	68.793	13.0938	65.1172
String abc0, offset 77:	72.7461	12.4844	67.2031
String abc0, offset 84:	88.3555	14.4141	103.727
String abc0, offset 91:	92.9844	14.4414	138.527
String abc0, offset 98:	130.406	23.3281	154.141
String abc0, offset 105:	147.711	19.3164	138.363
String abc0, offset 112:	140.961	20.957	172.07
String abc0, offset 119:	172.836	13.1641	93.8164
String aaaa0, offset 0:	9.53906	12.1562	36.6562
String aaaa0, offset 7:	17.6016	11.375	43.168
String aaaa0, offset 14:	19.4648	11.2617	42.8242
String aaaa0, offset 21:	26.8047	13.0469	52.6055
String aaaa0, offset 28:	59.5195	21.4961	80.8359
String aaaa0, offset 35:	67.4883	25.7812	92.5078
String aaaa0, offset 42:	79.6641	27.8906	87.4492
String aaaa0, offset 49:	91.0625	27.7422	64.6406
String aaaa0, offset 56:	70.3711	14.9883	62.582
String aaaa0, offset 63:	75.3125	14.6836	71.9375
String aaaa0, offset 70:	80.0039	15.0273	70.6602
String aaaa0, offset 77:	92.8906	21.7773	91.2578
String aaaa0, offset 84:	95.2031	14.3672	71.168
String aaaa0, offset 91:	94.6016	14.2266	111.848
String aaaa0, offset 98:	99.1055	15.4531	110.422
String aaaa0, offset 105:	103.852	15.2148	107.598
String aaaa0, offset 112:	117.602	13.5859	94.2852
String aaaa0, offset 119:	99.1641	13.0234	106.156
String abcabc0, offset 0:	14.3359	11.7109	39.0977
String abcabc0, offset 7:	22.0508	11.4297	41.2852
String abcabc0, offset 14:	24.9453	11.9453	42.6484
String abcabc0, offset 21:	30.6523	11.2812	43.6602
String abcabc0, offset 28:	48.4844	11.9219	46.7969
String abcabc0, offset 35:	59.5664	13.0938	48.332
String abcabc0, offset 42:	55.9844	12.5156	52.1523
String abcabc0, offset 49:	59.4727	12.4375	56.957
String abcabc0, offset 56:	63.8359	12.4531	57.9414
String abcabc0, offset 63:	68.0352	12.9648	58.9727
String abcabc0, offset 70:	72.168	12.8555	62.668
String abcabc0, offset 77:	76.4453	12.5547	58.9688
String abcabc0, offset 84:	80.4766	12.4531	55.9805
String abcabc0, offset 91:	84.7461	12.6055	65.6016
String abcabc0, offset 98:	88.832	13.1328	66.5273
String abcabc0, offset 105:	93.2461	13.0781	68.2773
String abcabc0, offset 112:	97.3711	13.7422	73.1406
String abcabc0, offset 119:	101.375	12.9727	73.8555
String NNRU4PI6P<5FJZJWL130ZETW, offset 2685:	2247.93	166.539	306.914
String HTXA6FB0O4SV<QW3CM[PWH2WMZF4IY, offset 79898:	99889.6	44486.8	7842.09
String 6, offset 163838:	100092	3626.61	3494.16
String [T4EJE89MDSP1Q9MJ4W?5@X77CROZ2, offset 1079:	975.691	166.387	129.969
String I1BCBA[EIFMFHQ@XFJV[U>Q3F7, offset 999:	835.102	467.867	132.465
String 9, offset 163838:	100887	3717.04	3777.96
String 7, offset 807:	519.215	22.9531	21.1875
String G<SYZM886>3J?@><7HDHYUA>=07EYBQ, offset 18632:	21697.8	650.48	1213.02
String F?02JRNBMYMI<TIZN[NA?VAES, offset 2731:	2439.95	1258.92	273.863
String 4, offset 163838:	100764	3921.07	3559.32
String 1GLDC@6[?ZDXW@APOVAZG68WL@@MZE2, offset 137:	156.629	14.9023	75.7266
String WVU[0AH07J, offset 1381:	1068.95	100.367	317.309
String 0UYV, offset 49301:	30456.7	1150.69	24969.6
String YR5DM[FIQDFCZ=EOBQSWY, offset 931:	771.633	395.867	147.727
String 6, offset 163838:	102279	3822.38	3803.4
String 8, offset 163838:	100604	3728.88	3589.7
String 7BE4[2UF5MDRT1T, offset 7449:	4702.34	159.625	971.898
String DXW@APO2AZ, offset 147:	126.902	118.973	66.7812
String QM3J@OE3PY413DBMG, offset 3775:	3413.57	191.594	455.102
String FBD9RJ, offset 4458:	4436.93	2162.13	1445.27
