                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	10.5586	57.8711	114.41
String 00000, offset 7:	19.25	26.8789	60.5625
String 00000, offset 14:	19.2773	11.3594	54.668
String 00000, offset 21:	23.3672	11.9297	50.125
String 00000, offset 28:	27.7461	11.1914	45.0781
String 00000, offset 35:	48.4062	13.25	68.3125
String 00000, offset 42:	53.168	12.3359	68.0664
String 00000, offset 49:	57.2578	13.043	60.7383
String 00000, offset 56:	61.5	12.6094	53.6406
String 00000, offset 63:	65.4688	12.4688	79.0898
String 00000, offset 70:	69.8789	13.1641	71.25
String 00000, offset 77:	73.9688	13.125	70.3789
String 00000, offset 84:	78.1055	12.5586	84.3438
String 00000, offset 91:	82.4023	12.5	113.715
String 00000, offset 98:	86.4727	13.4336	81.9844
String 00000, offset 105:	90.625	13.293	100.684
String 00000, offset 112:	95.0742	13.6406	102.27
String 00000, offset 119:	99.0742	13.1797	105.426
String 00112233, offset 0:	14.4414	11.4062	41.0312
String 00112233, offset 7:	21.0781	11.2305	41.9609
String 00112233, offset 14:	22.9219	11.9453	42.6016
String 00112233, offset 21:	27.0586	11.3086	44.0742
String 00112233, offset 28:	42.5625	11.3398	44.9141
String 00112233, offset 35:	56.4844	12.625	45.6172
String 00112233, offset 42:	60.25	13.1914	47.4062
String 00112233, offset 49:	64.4844	12.5547	48.0703
String 00112233, offset 56:	68.7461	12.5625	49.9414
String 00112233, offset 63:	72.8008	12.4531	52.8164
String 00112233, offset 70:	77.0078	13.8398	55.4453
String 00112233, offset 77:	81.2383	12.4688	54.2539
String 00112233, offset 84:	85.3438	12.4805	56.1484
String 00112233, offset 91:	89.5547	12.4688	55.8672
String 00112233, offset 98:	93.7695	13.2539	58.543
String 00112233, offset 105:	97.8398	13.1406	63.2734
String 00112233, offset 112:	102.188	13.1484	65.8086
String 00112233, offset 119:	106.234	13.2188	66.8086
String 0123456789, offset 0:	18.2188	11.2031	41.1836
String 0123456789, offset 7:	23.4375	11.3516	42.3086
String 0123456789, offset 14:	25.1445	11.8281	45.4414
String 0123456789, offset 21:	29.3164	11.2109	46.2109
String 0123456789, offset 28:	34.8047	12.3398	48.2148
String 0123456789, offset 35:	54.8555	12.9023	46.5664
String 0123456789, offset 42:	59.2266	12.6094	49.0859
String 0123456789, offset 49:	63.1758	12.4609	49.8633
String 0123456789, offset 56:	67.3281	12.4141	51.2656
String 0123456789, offset 63:	71.6523	12.3828	50.1719
String 0123456789, offset 70:	75.8203	12.8242	54.8359
String 0123456789, offset 77:	79.9766	12.4766	60.543
String 0123456789, offset 84:	84.1836	13.0469	63.2031
String 0123456789, offset 91:	88.2734	12.9609	62.125
String 0123456789, offset 98:	92.7148	13.6719	61.9844
String 0123456789, offset 105:	96.5664	13.6797	59.6367
String 0123456789, offset 112:	100.867	13.3281	57.5547
String 0123456789, offset 119:	105.086	13.2227	60.5703
String 0000111100001111, offset 0:	22.9961	11.3438	50.1875
String 0000111100001111, offset 7:	30.2344	12.0078	51.6211
String 0000111100001111, offset 14:	32.2461	13.4102	66.1641
String 0000111100001111, offset 21:	36.3711	11.5664	59.1836
String 0000111100001111, offset 28:	52.4609	11.7461	63.8281
String 0000111100001111, offset 35:	57.9336	13.5859	58.1328
String 0000111100001111, offset 42:	66.293	12.5547	59.8242
String 0000111100001111, offset 49:	70.2148	13.1172	56.7773
String 0000111100001111, offset 56:	74.582	12.4609	62.4492
String 0000111100001111, offset 63:	78.6328	12.4688	59.6289
String 0000111100001111, offset 70:	82.9336	13.0703	71.207
String 0000111100001111, offset 77:	87.1211	12.8789	63.2305
String 0000111100001111, offset 84:	90.9883	12.957	66.5195
String 0000111100001111, offset 91:	95.4492	12.9766	61.8164
String 0000111100001111, offset 98:	99.5508	13.6875	63.1641
String 0000111100001111, offset 105:	103.59	13.6562	60.7695
String 0000111100001111, offset 112:	128.297	15.0586	71.5039
String 0000111100001111, offset 119:	128.629	13.6953	80.8164
String 00000111110000022222, offset 0:	28.0312	11.1836	54.6797
String 00000111110000022222, offset 7:	35.3594	11.4688	63.2578
String 00000111110000022222, offset 14:	37.4258	12.2617	55.0977
String 00000111110000022222, offset 21:	41.9102	11.2305	64
String 00000111110000022222, offset 28:	45.5156	11.7148	57.3945
String 00000111110000022222, offset 35:	50.1719	12.9883	63.0859
String 00000111110000022222, offset 42:	53.9883	12.8477	59.5664
String 00000111110000022222, offset 49:	58.2656	12.5	68.0234
String 00000111110000022222, offset 56:	63.7266	13.3086	76.3242
