                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	9.67188	57.3945	111.188
String 00000, offset 7:	17.5078	12.2773	60.5469
String 00000, offset 14:	19.2969	11.3203	56.5391
String 00000, offset 21:	24.5703	11.6914	51.9766
String 00000, offset 28:	27.5586	11.1992	46.2773
String 00000, offset 35:	42.375	13.0938	68.4375
String 00000, offset 42:	48.2891	13.2852	64.6914
String 00000, offset 49:	57.3008	12.418	59.875
String 00000, offset 56:	61.293	12.4102	54.1875
String 00000, offset 63:	65.6094	12.3633	78.7188
String 00000, offset 70:	69.7266	13.8008	72.1602
String 00000, offset 77:	73.9258	12.7305	67.8594
String 00000, offset 84:	78.2539	12.457	62.6641
String 00000, offset 91:	82.1328	12.9844	114.148
String 00000, offset 98:	86.4961	13.8789	105.094
String 00000, offset 105:	90.8125	13.8086	101.477
String 00000, offset 112:	94.9492	13.0703	129.328
String 00000, offset 119:	98.9414	13.625	119.258
String 00112233, offset 0:	13.4766	11.6055	40.4766
String 00112233, offset 7:	20.9844	11.1367	39.8672
String 00112233, offset 14:	22.9844	11.1523	42.6953
String 00112233, offset 21:	27.082	11.7227	43.4453
String 00112233, offset 28:	43.7227	11.1289	45.4844
String 00112233, offset 35:	56.3984	13.4844	45.7617
String 00112233, offset 42:	59.9531	12.5547	46.8281
String 00112233, offset 49:	64.3555	12.4844	47.8906
String 00112233, offset 56:	68.3398	13.0625	49.6328
String 00112233, offset 63:	72.7695	12.3789	51.1133
String 00112233, offset 70:	76.7148	13.7031	53.3867
String 00112233, offset 77:	81.125	12.5156	53.3477
String 00112233, offset 84:	85.0156	12.418	57.1211
String 00112233, offset 91:	89.4766	13.0391	54.8672
String 00112233, offset 98:	93.4766	13.0703	58.6641
String 00112233, offset 105:	97.6523	13.8008	63.9453
String 00112233, offset 112:	102.047	13.6602	65.5234
String 00112233, offset 119:	105.98	13.0625	65.9883
String 0123456789, offset 0:	16.3633	12.6094	43.0117
String 0123456789, offset 7:	23.3594	11.3906	47.0039
String 0123456789, offset 14:	25.25	11.4062	45.5703
String 0123456789, offset 21:	29.3789	11.3828	46.2266
String 0123456789, offset 28:	44.2148	11.8477	47.1758
String 0123456789, offset 35:	55.1875	13.1328	46.7188
String 0123456789, offset 42:	59.043	12.5781	49.7188
String 0123456789, offset 49:	63.4844	12.457	50.4961
String 0123456789, offset 56:	67.5039	12.4336	51.4062
String 0123456789, offset 63:	71.8516	12.9766	52.0469
String 0123456789, offset 70:	75.6523	13.4961	53.2305
String 0123456789, offset 77:	80.0586	13.6094	63.082
String 0123456789, offset 84:	84.1367	12.4102	62.2852
String 0123456789, offset 91:	88.2891	12.9609	59.2031
String 0123456789, offset 98:	92.4766	13.6641	56.2891
String 0123456789, offset 105:	96.543	13.0781	59.1719
String 0123456789, offset 112:	100.922	14.2266	60.582
String 0123456789, offset 119:	104.855	13.1992	61.6641
String 0000111100001111, offset 0:	22.7969	11.9375	50.3125
String 0000111100001111, offset 7:	30.582	13.4883	52.4844
String 0000111100001111, offset 14:	32.6094	11.3672	66.7773
String 0000111100001111, offset 21:	36.5625	11.3516	59.4141
String 0000111100001111, offset 28:	42.0664	11.5273	63.8594
String 0000111100001111, offset 35:	45.0234	13.5859	58.9883
String 0000111100001111, offset 42:	66.1797	12.6406	61.6133
String 0000111100001111, offset 49:	70.4258	12.3945	55.8594
String 0000111100001111, offset 56:	74.7344	12.4766	65.7539
String 0000111100001111, offset 63:	78.5781	12.3477	56.6523
String 0000111100001111, offset 70:	83.0234	12.8711	67.4375
String 0000111100001111, offset 77:	87.0117	12.4492	63.4453
String 0000111100001111, offset 84:	91.2656	12.9414	66.125
String 0000111100001111, offset 91:	95.4336	12.4336	61.5586
String 0000111100001111, offset 98:	99.4336	14.1875	71.3047
String 0000111100001111, offset 105:	103.91	14.1953	58.1328
String 0000111100001111, offset 112:	107.965	13.6875	61.8867
String 0000111100001111, offset 119:	112.113	14.043	82.4648
String 00000111110000022222, offset 0:	31.5273	11.1836	54.1875
String 00000111110000022222, offset 7:	35.4023	11.3672	63.8984
String 00000111110000022222, offset 14:	37.8945	11.3438	56.9297
String 00000111110000022222, offset 21:	41.4805	11.4219	62.6875
String 00000111110000022222, offset 28:	46.0039	11.3047	57.668
String 00000111110000022222, offset 35:	50.3047	12.7539	83.6055
String 00000111110000022222, offset 42:	63.2578	14.5352	67.6836
String 00000111110000022222, offset 49:	66.8789	14.3086	81.4922
String 00000111110000022222, offset 56:	62.1953	12.8008	76.1133
String 00000111110000022222, offset 63:	70.2578	12.3633	66.1328
String 00000111110000022222, offset 70:	71.8125	13.6367	74.8555
String 00000111110000022222, offset 77:	77.5859	13.6875	67.9844
String 00000111110000022222, offset 84:	80.5234	12.9375	74
String 00000111110000022222, offset 91:	85.5938	13.0469	65.4727
String 00000111110000022222, offset 98:	88.5273	13.6484	73.5938
String 00000111110000022222, offset 105:	93.3086	13.0312	65.8008
String 00000111110000022222, offset 112:	96.3125	13.0938	77.0625
String 00000111110000022222, offset 119:	100.938	14.2031	67.7734
String 012345678901234567890, offset 0:	31.7539	11.4297	56.0586
String 012345678901234567890, offset 7:	48.6719	11.3516	56.0664
String 012345678901234567890, offset 14:	39.0117	11.2266	63.4492
String 012345678901234567890, offset 21:	94.0781	19.043	84.4062
String 012345678901234567890, offset 28:	107.395	21.0703	78.6641
String 012345678901234567890, offset 35:	63.9453	15.543	71.1641
String 012345678901234567890, offset 42:	63.6914	14.4023	70.2969
String 012345678901234567890, offset 49:	69.6172	14.4297	68.832
String 012345678901234567890, offset 56:	73.8398	15.0977	83.957
String 012345678901234567890, offset 63:	92.0469	14.2266	72.1992
String 012345678901234567890, offset 70:	84.0273	14.2656	74.0039
String 012345678901234567890, offset 77:	90.0625	14.3203	79.1875
String 012345678901234567890, offset 84:	94.457	14.8672	75.3516
String 012345678901234567890, offset 91:	99.5664	14.1875	91.5117
String 012345678901234567890, offset 98:	89.7383	13.2734	69.4453
String 012345678901234567890, offset 105:	93.1953	13.5977	69.4727
String 012345678901234567890, offset 112:	112.891	15.582	83.8594
String 012345678901234567890, offset 119:	116.668	14.9609	81.9844
String abc0, offset 0:	9.69531	14.0664	40.2461
String abc0, offset 7:	18.582	13	39.1992
String abc0, offset 14:	17.9805	11.2422	41.0703
String abc0, offset 21:	24.0742	12.9141	48.0234
String abc0, offset 28:	46.7461	15.9922	53.7188
String abc0, offset 35:	47.9766	13.1172	52.4297
String abc0, offset 42:	52.9727	13.0234	52.3359
String abc0, offset 49:	56.5273	12.0977	55.9844
String abc0, offset 56:	60.3164	12.5469	59.0742
String abc0, offset 63:	64.3164	12.4453	81.8398
String abc0, offset 70:	68.7461	13.4414	84.7578
String abc0, offset 77:	84.0195	14.9336	77.4844
String abc0, offset 84:	88.8438	14.8594	104.141
String abc0, offset 91:	94.3164	14.2031	122.434
String abc0, offset 98:	98.4102	15.0039	123.195
String abc0, offset 105:	103.363	30.3906	131.734
String abc0, offset 112:	107.91	15.2734	133.059
String abc0, offset 119:	112.754	16.293	136.391
String aaaa0, offset 0:	11.4453	15.0586	42.3359
String aaaa0, offset 7:	20.0234	12.8633	49.9648
String aaaa0, offset 14:	22.2578	13.082	50.957
String aaaa0, offset 21:	26.8359	12.8633	49.5078
String aaaa0, offset 28:	57.0625	12.9648	51.1758
String aaaa0, offset 35:	55.5273	15.3086	61.5391
String aaaa0, offset 42:	51.4062	14.7461	60.8242
String aaaa0, offset 49:	65.8477	14.2812	61.9961
String aaaa0, offset 56:	70.3867	14.3516	61.1133
String aaaa0, offset 63:	75.3828	14.457	71.0117
String aaaa0, offset 70:	79.7812	14.9766	74.1172
String aaaa0, offset 77:	84.8125	14.9844	70.1875
String aaaa0, offset 84:	89.7109	15.3125	72.0078
String aaaa0, offset 91:	94.3164	15.5352	85.4531
String aaaa0, offset 98:	99.2266	15.1211	82.7578
String aaaa0, offset 105:	104.098	14.9961	107.172
String aaaa0, offset 112:	108.691	15.082	82.2461
String aaaa0, offset 119:	113.531	14.9531	121.867
String abcabc0, offset 0:	13.5039	13.125	44.6797
String abcabc0, offset 7:	22.6055	12.7773	46.75
String abcabc0, offset 14:	24.8711	12.7461	48.1914
String abcabc0, offset 21:	30.7969	13.4648	49.5469
String abcabc0, offset 28:	52.9648	12.6328	54.0156
String abcabc0, offset 35:	58.9258	14.8984	56.4922
String abcabc0, offset 42:	63.4336	14.2344	59.2148
String abcabc0, offset 49:	98.0781	21.5547	71.6445
String abcabc0, offset 56:	105.738	22.9297	74.9141
String abcabc0, offset 63:	114.371	26.2578	80.8906
