                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length   64/  1, alignment  1/ 3, found:	77.75	32.3125	450.156	28.6875
Length   64/  1, alignment  0/ 9, fail :	76.625	15.5938	20.5312	14.0625
Length   64/  2, alignment  1/ 3, found:	90.375	96.0625	17.0938	68.125
Length   64/  2, alignment  0/ 9, fail :	81.4062	52.7188	28.9062	61.5312
Length   64/  3, alignment  1/ 3, found:	69.5938	98.4688	19.5625	132.594
Length   64/  3, alignment  0/ 9, fail :	63.6875	81.5625	27.375	121.062
Length   64/  4, alignment  1/ 3, found:	64	126.625	18.875	109.812
Length   64/  4, alignment  0/ 9, fail :	62.1875	117.438	25.3125	92.2188
Length   64/  5, alignment  1/ 3, found:	62.8125	119.062	18.5	91.4375
Length   64/  5, alignment  0/ 9, fail :	53.6562	100.25	23.6875	87.9062
Length   64/  6, alignment  1/ 3, found:	94.5312	225.906	25.4688	94.7188
Length   64/  6, alignment  0/ 9, fail :	62.0938	225.969	28.6562	90.8125
Length   64/  7, alignment  1/ 3, found:	72.3125	222.625	26.375	83.8438
Length   64/  7, alignment  0/ 9, fail :	65.0938	216.906	34.9375	75.9062
Length   64/  8, alignment  1/ 3, found:	72.5	183.312	24.7812	82.25
Length   64/  8, alignment  0/ 9, fail :	72.75	519.719	30.7188	75.5312
Length   64/  9, alignment  1/ 3, found:	90.4375	109	29.7812	97.5
Length   64/  9, alignment  0/ 9, fail :	87.8125	97.0938	24.9062	84.0938
Length   64/ 10, alignment  1/ 3, found:	82.1875	27.75	31.9375	34.0938
Length   64/ 10, alignment  0/ 9, fail :	75.9062	16.7188	25.0312	16.7812
Length   64/ 11, alignment  1/ 3, found:	67.875	136.812	24.7188	94.3125
Length   64/ 11, alignment  0/ 9, fail :	69.4062	113.625	25.0938	86.2812
Length   64/ 12, alignment  1/ 3, found:	89.75	154.562	24.8438	102.906
Length   64/ 12, alignment  0/ 9, fail :	64.4375	126.969	25.0938	93.2812
Length   64/ 13, alignment  1/ 3, found:	73.8125	203.031	25.2812	124.406
Length   64/ 13, alignment  0/ 9, fail :	62.25	197.156	25.0938	112.094
Length   64/ 14, alignment  1/ 3, found:	87.1875	209.375	25.0938	111.344
Length   64/ 14, alignment  0/ 9, fail :	79.1562	211.594	25.0312	115.781
Length   64/ 15, alignment  1/ 3, found:	62.2812	229.375	23	93.7188
Length   64/ 15, alignment  0/ 9, fail :	55.5312	229.781	23.0625	91.8125
Length   64/ 16, alignment  1/ 3, found:	58.4375	234.344	24.25	92.75
Length   64/ 16, alignment  0/ 9, fail :	65.2188	220.25	26.4375	80.9375
Length   96/  1, alignment  1/ 3, found:	91.4375	17.625	20.1562	17.4688
Length   96/  1, alignment  0/ 9, fail :	90.2812	16.5312	18.1875	14.8438
Length   96/  2, alignment  1/ 3, found:	93.4688	191.75	25.8438	155.938
Length   96/  2, alignment  0/ 9, fail :	83.5938	174.375	24.7188	139.281
Length   96/  3, alignment  1/ 3, found:	92.25	99.875	34.0625	156.594
Length   96/  3, alignment  0/ 9, fail :	94.6875	78.6562	27.375	150.562
Length   96/  4, alignment  1/ 3, found:	89.7188	96.6562	27.3125	132.438
Length   96/  4, alignment  0/ 9, fail :	74.8125	77.625	24.0312	120.781
Length   96/  5, alignment  1/ 3, found:	132.125	193.594	37.0312	104.531
Length   96/  5, alignment  0/ 9, fail :	79.5312	187.969	28.125	95.9375
Length   96/  6, alignment  1/ 3, found:	109.875	306.312	28.7188	104.125
Length   96/  6, alignment  0/ 9, fail :	82.375	309.094	23.5	92.5938
Length   96/  7, alignment  1/ 3, found:	91.9375	292.688	30.6875	90.875
Length   96/  7, alignment  0/ 9, fail :	78.6875	265.906	22.9375	85.1562
Length   96/  8, alignment  1/ 3, found:	94.2188	32.3438	30.125	28.5312
Length   96/  8, alignment  0/ 9, fail :	90.875	13.625	22.9375	16.4062
Length   96/  9, alignment  1/ 3, found:	121.812	114.781	34.8438	90.3125
Length   96/  9, alignment  0/ 9, fail :	115.656	95.5	26.5625	89.8125
Length   96/ 10, alignment  1/ 3, found:	81.0312	240.031	31.25	105.969
Length   96/ 10, alignment  0/ 9, fail :	92.0625	254.5	23.3125	97.5312
Length   96/ 11, alignment  1/ 3, found:	104.438	285.281	37.5625	92.7188
Length   96/ 11, alignment  0/ 9, fail :	86.1875	288.156	25.5938	86.875
Length   96/ 12, alignment  1/ 3, found:	83.125	280.844	34.8438	88.6562
Length   96/ 12, alignment  0/ 9, fail :	92.8438	285.344	23.5625	84.4062
Length   96/ 13, alignment  1/ 3, found:	92.7812	23.6875	35.9062	25.9688
Length   96/ 13, alignment  0/ 9, fail :	91.375	15.4062	23.0312	14.125
Length   96/ 14, alignment  1/ 3, found:	87	278.25	41.25	89.4375
Length   96/ 14, alignment  0/ 9, fail :	99.1875	277.219	27.125	84.4062
Length   96/ 15, alignment  1/ 3, found:	89.4688	148.719	35.5625	97.8438
Length   96/ 15, alignment  0/ 9, fail :	86.125	120.031	23.125	97.2812
