                       	basic_memmem	twoway_memmem	memmem
String 00000, offset 0:	10.4492	88.9453	61.8945
String 00000, offset 7:	17.5469	11.707	60.2969
String 00000, offset 14:	19.2344	11.1992	55.6133
String 00000, offset 21:	23.3828	11.8047	50.7266
String 00000, offset 28:	27.6016	11.2969	45.5898
String 00000, offset 35:	48.4141	13.082	68.6641
String 00000, offset 42:	53.1562	12.4727	65.4336
String 00000, offset 49:	57.2305	12.4648	60.8047
String 00000, offset 56:	61.3633	12.9883	56.375
String 00000, offset 63:	65.5781	12.4062	78.3164
String 00000, offset 70:	69.6719	13.0469	71.3125
String 00000, offset 77:	74.2656	13.1172	72.4453
String 00000, offset 84:	78.125	12.8633	85.2383
String 00000, offset 91:	82.3477	12.3945	86.5625
String 00000, offset 98:	86.6016	13.7188	82.5664
String 00000, offset 105:	90.5352	13.2305	101.445
String 00000, offset 112:	94.9883	13.2109	101.078
String 00000, offset 119:	99.1875	14.2188	123.301
String 00112233, offset 0:	16.9844	11.375	40.3086
String 00112233, offset 7:	26.9961	11.1758	41.2539
String 00112233, offset 14:	25.3086	11.2109	42.4258
String 00112233, offset 21:	29.2891	11.3438	43.5664
String 00112233, offset 28:	41.9688	11.1445	46.0195
String 00112233, offset 35:	55.3438	13.543	45.8711
String 00112233, offset 42:	59.2188	12.4609	47.3594
String 00112233, offset 49:	64.1094	12.4219	48.7227
String 00112233, offset 56:	68.1289	12.4102	50.4648
String 00112233, offset 63:	71.375	12.9453	52.6328
String 00112233, offset 70:	76.4219	13.1406	55.375
String 00112233, offset 77:	79.8984	12.5312	54.418
String 00112233, offset 84:	84.2031	12.4727	55.8906
String 00112233, offset 91:	88.1211	13.0234	56.8164
String 00112233, offset 98:	92.5586	13.75	57.3945
String 00112233, offset 105:	97.7578	13.0547	62.8125
String 00112233, offset 112:	101.375	13.0547	64.9883
String 00112233, offset 119:	105.938	12.9922	66.9648
String 0123456789, offset 0:	16.7852	13.4648	42.0234
String 0123456789, offset 7:	23.5	11.9922	42.7656
String 0123456789, offset 14:	25.3711	11.3359	45.8125
String 0123456789, offset 21:	29.5938	11.3984	47.3516
