
Results For: strncmp
len,align1,align2,strlen
13,4032,0,13,1.092
13,4016,0,13,1.066
13,4056,4016,13,1.004
13,4000,0,13,1.087
13,3984,0,13,1.058
13,4040,3984,13,1.024
14,0,0,14,1.142
14,14,0,14,0.997
14,2048,2047,14,0.933
14,2047,2048,14,0.849
14,4082,0,14,1.069
14,4080,0,14,1.072
14,4088,4080,14,0.884
14,4064,0,14,1.137
14,4048,0,14,1.121
14,4072,4048,14,1.026
14,4032,0,14,1.093
14,4016,0,14,1.077
14,4056,4016,14,1.0
14,4000,0,14,1.11
14,3984,0,14,1.084
14,4040,3984,14,1.039
15,0,0,15,1.138
15,15,0,15,1.028
15,2048,2047,15,0.926
15,2047,2048,15,0.845
15,4081,0,15,1.023
15,4080,0,15,1.077
15,4088,4080,15,0.884
15,4064,0,15,1.088
15,4048,0,15,1.094
15,4072,4048,15,1.022
15,4032,0,15,1.086
15,4016,0,15,1.061
15,4056,4016,15,0.993
15,4000,0,15,1.093
15,3984,0,15,1.066
15,4040,3984,15,1.031
16,0,0,16,0.995
16,16,0,16,0.972
16,2048,2047,16,0.932
16,2047,2048,16,0.844
16,4080,0,16,0.999
16,4088,4080,16,0.848
16,4064,0,16,1.0
16,4048,0,16,0.998
16,4072,4048,16,0.948
16,4032,0,16,0.999
16,4016,0,16,1.0
16,4056,4016,16,0.953
16,4000,0,16,0.999
16,3984,0,16,0.998
16,4040,3984,16,0.948
17,0,0,17,0.971
17,17,0,17,0.933
17,2048,2047,17,0.952
17,2047,2048,17,0.975
17,4079,0,17,0.973
17,4080,0,17,0.955
17,4088,4080,17,0.873
17,4064,0,17,0.971
17,4048,0,17,0.955
17,4072,4048,17,0.929
17,4032,0,17,0.953
17,4016,0,17,0.941
17,4056,4016,17,0.928
17,4000,0,17,0.945
17,3984,0,17,0.931
17,4040,3984,17,0.927
18,0,0,18,0.971
18,18,0,18,0.933
18,2048,2047,18,0.86
18,2047,2048,18,0.809
18,4078,0,18,0.947
18,4080,0,18,0.941
18,4088,4080,18,0.888
18,4064,0,18,0.971
18,4048,0,18,0.947
18,4072,4048,18,0.927
18,4032,0,18,0.956
18,4016,0,18,0.929
18,4056,4016,18,0.926
18,4000,0,18,0.954
18,3984,0,18,0.931
18,4040,3984,18,0.928
19,0,0,19,0.97
19,19,0,19,0.936
19,2048,2047,19,0.874
19,2047,2048,19,0.813
19,4077,0,19,0.949
19,4080,0,19,0.954
19,4088,4080,19,0.868
19,4064,0,19,0.968
19,4048,0,19,0.948
19,4072,4048,19,0.929
19,4032,0,19,0.953
19,4016,0,19,0.939
19,4056,4016,19,0.93
19,4000,0,19,0.937
19,3984,0,19,0.938
19,4040,3984,19,0.93
20,0,0,20,0.969
20,20,0,20,0.929
20,2048,2047,20,0.876
20,2047,2048,20,0.816
20,4076,0,20,0.937
20,4080,0,20,0.961
20,4088,4080,20,0.877
20,4064,0,20,0.965
20,4048,0,20,0.953
20,4072,4048,20,0.927
20,4032,0,20,0.942
20,4016,0,20,0.932
20,4056,4016,20,0.928
20,4000,0,20,0.954
20,3984,0,20,0.941
20,4040,3984,20,0.928
21,0,0,21,0.969
21,21,0,21,0.928
21,2048,2047,21,0.885
21,2047,2048,21,0.812
21,4075,0,21,0.959
21,4080,0,21,0.947
21,4088,4080,21,0.873
21,4064,0,21,0.953
21,4048,0,21,0.961
21,4072,4048,21,0.93
21,4032,0,21,0.949
21,4016,0,21,0.948
21,4056,4016,21,0.928
21,4000,0,21,0.952
21,3984,0,21,0.925
21,4040,3984,21,0.927
22,0,0,22,0.971
22,22,0,22,0.93
22,2048,2047,22,0.885
22,2047,2048,22,0.807
22,4074,0,22,0.943
22,4080,0,22,0.956
22,4088,4080,22,0.873
22,4064,0,22,0.962
22,4048,0,22,0.96
22,4072,4048,22,0.928
