
Results For: strncmp
len,align1,align2,strlen
73,4072,4048,9,0.934
73,4032,0,9,0.915
73,4016,0,9,0.951
73,4056,4016,9,0.886
73,4000,0,9,0.95
73,3984,0,9,0.934
73,4040,3984,9,0.873
74,0,0,10,0.95
74,10,0,10,0.89
74,2048,2047,10,0.894
74,2047,2048,10,0.818
74,4086,0,10,0.814
74,4080,0,10,0.954
74,4088,4080,10,0.89
74,4064,0,10,0.952
74,4048,0,10,0.953
74,4072,4048,10,0.945
74,4032,0,10,0.918
74,4016,0,10,0.951
74,4056,4016,10,0.905
74,4000,0,10,0.953
74,3984,0,10,0.926
74,4040,3984,10,0.9
75,0,0,11,0.948
75,11,0,11,0.901
75,2048,2047,11,0.902
75,2047,2048,11,0.814
75,4085,0,11,0.815
75,4080,0,11,0.953
75,4088,4080,11,0.882
75,4064,0,11,0.95
75,4048,0,11,0.95
75,4072,4048,11,0.93
75,4032,0,11,0.899
75,4016,0,11,0.949
75,4056,4016,11,0.913
75,4000,0,11,0.949
75,3984,0,11,0.943
75,4040,3984,11,0.897
76,0,0,12,0.946
76,12,0,12,0.9
76,2048,2047,12,0.896
76,2047,2048,12,0.813
76,4084,0,12,0.811
76,4080,0,12,0.954
76,4088,4080,12,0.887
76,4064,0,12,0.95
76,4048,0,12,0.953
76,4072,4048,12,0.953
76,4032,0,12,0.915
76,4016,0,12,0.934
76,4056,4016,12,0.897
76,4000,0,12,0.95
76,3984,0,12,0.954
76,4040,3984,12,0.9
77,0,0,13,0.946
77,13,0,13,0.873
77,2048,2047,13,0.891
77,2047,2048,13,0.819
77,4083,0,13,0.819
77,4080,0,13,0.95
77,4088,4080,13,0.889
77,4064,0,13,0.947
77,4048,0,13,0.953
77,4072,4048,13,0.932
77,4032,0,13,0.908
77,4016,0,13,0.951
77,4056,4016,13,0.887
77,4000,0,13,0.943
77,3984,0,13,0.954
77,4040,3984,13,0.872
78,0,0,14,0.943
78,14,0,14,0.892
78,2048,2047,14,0.896
78,2047,2048,14,0.819
78,4082,0,14,0.815
78,4080,0,14,0.949
78,4088,4080,14,0.887
78,4064,0,14,0.95
78,4048,0,14,0.949
78,4072,4048,14,0.954
78,4032,0,14,0.91
78,4016,0,14,0.946
78,4056,4016,14,0.916
78,4000,0,14,0.943
78,3984,0,14,0.946
78,4040,3984,14,0.902
79,0,0,15,0.941
79,15,0,15,0.879
79,2048,2047,15,0.9
79,2047,2048,15,0.817
79,4081,0,15,0.813
79,4080,0,15,0.95
79,4088,4080,15,0.88
79,4064,0,15,0.951
79,4048,0,15,0.95
79,4072,4048,15,0.955
79,4032,0,15,0.894
79,4016,0,15,0.951
79,4056,4016,15,0.885
79,4000,0,15,0.948
79,3984,0,15,0.95
79,4040,3984,15,0.904
80,0,0,16,0.943
80,16,0,16,0.932
80,2048,2047,16,0.901
80,2047,2048,16,0.819
80,4080,0,16,0.943
80,4088,4080,16,0.844
80,4064,0,16,0.943
80,4048,0,16,0.945
80,4072,4048,16,0.938
80,4032,0,16,0.935
80,4016,0,16,0.928
80,4056,4016,16,0.939
80,4000,0,16,0.944
80,3984,0,16,0.94
80,4040,3984,16,0.937
81,0,0,17,0.943
81,17,0,17,0.938
81,2048,2047,17,0.839
81,2047,2048,17,0.782
81,4079,0,17,0.803
81,4080,0,17,0.941
81,4088,4080,17,0.856
81,4064,0,17,0.945
81,4048,0,17,0.944
81,4072,4048,17,0.937
81,4032,0,17,0.935
81,4016,0,17,0.924
81,4056,4016,17,0.942
81,4000,0,17,0.944
81,3984,0,17,0.938
81,4040,3984,17,0.94
82,0,0,18,0.939
82,18,0,18,0.936
82,2048,2047,18,0.863
82,2047,2048,18,0.78
82,4078,0,18,0.8
82,4080,0,18,0.945
82,4088,4080,18,0.855
82,4064,0,18,0.943
82,4048,0,18,0.945
82,4072,4048,18,0.933
82,4032,0,18,0.936
82,4016,0,18,0.934
82,4056,4016,18,0.94
82,4000,0,18,0.944
82,3984,0,18,0.934
82,4040,3984,18,0.937
83,0,0,19,0.943
83,19,0,19,0.938
83,2048,2047,19,0.864
83,2047,2048,19,0.782
83,4077,0,19,0.8
83,4080,0,19,0.943
83,4088,4080,19,0.849
83,4064,0,19,0.944
83,4048,0,19,0.945
83,4072,4048,19,0.936
83,4032,0,19,0.939
83,4016,0,19,0.924
83,4056,4016,19,0.942
83,4000,0,19,0.945
83,3984,0,19,0.931
83,4040,3984,19,0.937
84,0,0,20,0.939
84,20,0,20,0.937
84,2048,2047,20,0.869
84,2047,2048,20,0.78
84,4076,0,20,0.799
84,4080,0,20,0.944
84,4088,4080,20,0.844
84,4064,0,20,0.944
84,4048,0,20,0.943
84,4072,4048,20,0.938
84,4032,0,20,0.935
84,4016,0,20,0.923
84,4056,4016,20,0.939
84,4000,0,20,0.944
84,3984,0,20,0.931
84,4040,3984,20,0.935
85,0,0,21,0.941
85,21,0,21,0.938
85,2048,2047,21,0.872
85,2047,2048,21,0.783
85,4075,0,21,0.799
85,4080,0,21,0.94
85,4088,4080,21,0.846
85,4064,0,21,0.941
85,4048,0,21,0.943
85,4072,4048,21,0.937
85,4032,0,21,0.938
85,4016,0,21,0.929
85,4056,4016,21,0.941
85,4000,0,21,0.944
85,3984,0,21,0.928
85,4040,3984,21,0.937
86,0,0,22,0.935
86,22,0,22,0.934
86,2048,2047,22,0.872
86,2047,2048,22,0.781
86,4074,0,22,0.797
86,4080,0,22,0.938
86,4088,4080,22,0.847
86,4064,0,22,0.94
86,4048,0,22,0.944
86,4072,4048,22,0.938
86,4032,0,22,0.935
86,4016,0,22,0.927
86,4056,4016,22,0.941
86,4000,0,22,0.944
86,3984,0,22,0.934
86,4040,3984,22,0.936
87,0,0,23,0.94
87,23,0,23,0.936
87,2048,2047,23,0.874
87,2047,2048,23,0.78
87,4073,0,23,0.798
87,4080,0,23,0.943
87,4088,4080,23,0.843
87,4064,0,23,0.945
87,4048,0,23,0.943
87,4072,4048,23,0.936
87,4032,0,23,0.945
87,4016,0,23,0.933
87,4056,4016,23,0.941
87,4000,0,23,0.947
87,3984,0,23,0.934
87,4040,3984,23,0.937
88,0,0,24,0.935
88,24,0,24,0.801
88,2048,2047,24,0.866
88,2047,2048,24,0.783
88,4072,0,24,0.799
88,4080,0,24,0.941
88,4088,4080,24,0.835
88,4064,0,24,0.939
88,4048,0,24,0.943
88,4032,0,24,0.941
88,4016,0,24,0.924
88,4056,4016,24,0.803
88,4000,0,24,0.943
88,3984,0,24,0.936
88,4040,3984,24,0.799
89,0,0,25,0.938
89,25,0,25,0.8
89,2048,2047,25,0.87
89,2047,2048,25,0.78
89,4071,0,25,0.798
89,4080,0,25,0.941
89,4088,4080,25,0.833
89,4064,0,25,0.938
89,4048,0,25,0.942
89,4072,4048,25,0.798
89,4032,0,25,0.941
89,4016,0,25,0.932
89,4056,4016,25,0.801
89,4000,0,25,0.945
89,3984,0,25,0.933
89,4040,3984,25,0.799
90,0,0,26,0.939
90,26,0,26,0.801
90,2048,2047,26,0.865
90,2047,2048,26,0.782
90,4070,0,26,0.798
90,4080,0,26,0.943
90,4088,4080,26,0.84
90,4064,0,26,0.942
90,4048,0,26,0.944
90,4072,4048,26,0.799
90,4032,0,26,0.942
90,4016,0,26,0.933
90,4056,4016,26,0.801
90,4000,0,26,0.942
90,3984,0,26,0.931
90,4040,3984,26,0.8
91,0,0,27,0.941
91,27,0,27,0.802
91,2048,2047,27,0.869
91,2047,2048,27,0.782
91,4069,0,27,0.799
91,4080,0,27,0.938
91,4088,4080,27,0.835
91,4064,0,27,0.94
91,4048,0,27,0.943
91,4072,4048,27,0.799
91,4032,0,27,0.943
91,4016,0,27,0.932
91,4056,4016,27,0.799
91,4000,0,27,0.941
91,3984,0,27,0.939
91,4040,3984,27,0.799
92,0,0,28,0.944
92,28,0,28,0.799
92,2048,2047,28,0.872
92,2047,2048,28,0.784
92,4068,0,28,0.8
92,4080,0,28,0.943
92,4088,4080,28,0.84
92,4064,0,28,0.935
92,4048,0,28,0.944
92,4072,4048,28,0.799
92,4032,0,28,0.94
92,4016,0,28,0.93
92,4056,4016,28,0.8
92,4000,0,28,0.943
92,3984,0,28,0.936
92,4040,3984,28,0.799
93,0,0,29,0.937
93,29,0,29,0.8
93,2048,2047,29,0.872
93,2047,2048,29,0.781
93,4067,0,29,0.801
93,4080,0,29,0.943
93,4088,4080,29,0.83
93,4064,0,29,0.945
93,4048,0,29,0.941
93,4072,4048,29,0.8
93,4032,0,29,0.941
93,4016,0,29,0.932
93,4056,4016,29,0.802
93,4000,0,29,0.942
93,3984,0,29,0.937
93,4040,3984,29,0.799
94,0,0,30,0.944
94,30,0,30,0.799
94,2048,2047,30,0.873
94,2047,2048,30,0.782
94,4066,0,30,0.799
94,4080,0,30,0.937
94,4088,4080,30,0.83
94,4064,0,30,0.935
94,4048,0,30,0.934
94,4072,4048,30,0.799
94,4032,0,30,0.936
94,4016,0,30,0.928
94,4056,4016,30,0.8
94,4000,0,30,0.942
94,3984,0,30,0.936
94,4040,3984,30,0.799
95,0,0,31,0.938
95,31,0,31,0.8
95,2048,2047,31,0.872
95,2047,2048,31,0.787
95,4065,0,31,0.801
95,4080,0,31,0.939
95,4088,4080,31,0.822
95,4064,0,31,0.94
95,4048,0,31,0.942
95,4072,4048,31,0.799
95,4032,0,31,0.943
95,4016,0,31,0.929
95,4056,4016,31,0.8
95,4000,0,31,0.941
95,3984,0,31,0.937
95,4040,3984,31,0.8
96,0,0,32,0.839
96,32,0,32,0.846
96,2048,2047,32,0.873
96,2047,2048,32,0.784
96,4064,0,32,0.837
96,4080,0,32,0.843
96,4088,4080,32,0.831
96,4048,0,32,0.835
96,4072,4048,32,0.799
96,4032,0,32,0.839
96,4016,0,32,0.845
96,4056,4016,32,0.799
96,4000,0,32,0.838
96,3984,0,32,0.833
96,4040,3984,32,0.798
104,0,0,40,0.84
104,40,0,40,0.772
104,2048,2047,40,0.821
104,2047,2048,40,0.781
104,4056,0,40,0.77
104,4080,0,40,0.84
104,4088,4080,40,0.848
104,4064,0,40,0.839
104,4048,0,40,0.838
104,4072,4048,40,0.814
104,4032,0,40,0.845
104,4016,0,40,0.84
104,4000,0,40,0.838
104,3984,0,40,0.844
104,4040,3984,40,0.77
112,0,0,48,0.794
112,48,0,48,0.795
112,2048,2047,48,0.844
112,2047,2048,48,0.78
112,4048,0,48,0.792
112,4080,0,48,0.793
112,4088,4080,48,0.851
112,4064,0,48,0.791
112,4072,4048,48,0.803
112,4032,0,48,0.796
112,4016,0,48,0.793
112,4056,4016,48,0.771
112,4000,0,48,0.792
112,3984,0,48,0.793
112,4040,3984,48,0.769
120,0,0,56,0.794
120,56,0,56,0.768
120,2048,2047,56,0.812
120,2047,2048,56,0.759
120,4040,0,56,0.769
120,4080,0,56,0.791
120,4088,4080,56,0.83
120,4064,0,56,0.792
120,4048,0,56,0.793
120,4072,4048,56,0.786
120,4032,0,56,0.793
120,4016,0,56,0.792
120,4056,4016,56,0.769
120,4000,0,56,0.795
120,3984,0,56,0.793
128,0,0,64,0.818
128,64,0,64,0.854
128,2048,2047,64,0.839
128,2047,2048,64,0.758
128,4032,0,64,0.83
128,4080,0,64,0.828
128,4088,4080,64,0.834
128,4064,0,64,0.816
128,4048,0,64,0.829
128,4072,4048,64,0.787
128,4016,0,64,0.854
128,4056,4016,64,0.77
128,4000,0,64,0.834
128,3984,0,64,0.875
128,4040,3984,64,0.772
136,0,0,72,0.816
136,72,0,72,0.763
136,2048,2047,72,0.793
136,2047,2048,72,0.764
136,4024,0,72,0.779
136,4080,0,72,0.835
136,4088,4080,72,0.848
136,4064,0,72,0.821
136,4048,0,72,0.834
136,4072,4048,72,0.792
136,4032,0,72,0.833
136,4016,0,72,0.889
136,4056,4016,72,0.801
136,4000,0,72,0.822
136,3984,0,72,0.883
136,4040,3984,72,0.76
144,0,0,80,0.836
144,80,0,80,0.905
144,2048,2047,80,0.797
144,2047,2048,80,0.766
144,4016,0,80,0.837
144,4080,0,80,0.836
144,4088,4080,80,0.849
144,4064,0,80,0.835
144,4048,0,80,0.84
144,4072,4048,80,0.788
144,4032,0,80,0.841
144,4056,4016,80,0.799
144,4000,0,80,0.841
144,3984,0,80,0.853
144,4040,3984,80,0.76
152,0,0,88,0.836
152,88,0,88,0.776
152,2048,2047,88,0.79
152,2047,2048,88,0.753
152,4008,0,88,0.771
152,4080,0,88,0.838
152,4088,4080,88,0.841
152,4064,0,88,0.835
152,4048,0,88,0.836
152,4072,4048,88,0.771
152,4032,0,88,0.835
152,4016,0,88,0.844
152,4056,4016,88,0.78
152,4000,0,88,0.84
152,3984,0,88,0.837
152,4040,3984,88,0.772
160,0,0,96,0.86
160,96,0,96,0.855
160,2048,2047,96,0.795
160,2047,2048,96,0.754
160,4000,0,96,0.859
160,4080,0,96,0.858
160,4088,4080,96,0.836
160,4064,0,96,0.859
160,4048,0,96,0.859
160,4072,4048,96,0.781
160,4032,0,96,0.857
160,4016,0,96,0.856
160,4056,4016,96,0.777
160,3984,0,96,0.856
160,4040,3984,96,0.769
168,0,0,104,0.86
168,104,0,104,0.768
168,2048,2047,104,0.796
168,2047,2048,104,0.755
168,3992,0,104,0.787
168,4080,0,104,0.857
168,4088,4080,104,0.886
168,4064,0,104,0.859
168,4048,0,104,0.858
168,4072,4048,104,0.777
168,4032,0,104,0.857
168,4016,0,104,0.856
168,4056,4016,104,0.774
168,4000,0,104,0.859
168,3984,0,104,0.856
168,4040,3984,104,0.793
176,0,0,112,0.892
176,112,0,112,0.891
176,2048,2047,112,0.795
176,2047,2048,112,0.753
176,3984,0,112,0.891
176,4080,0,112,0.891
176,4088,4080,112,0.906
176,4064,0,112,0.891
176,4048,0,112,0.891
176,4072,4048,112,0.778
176,4032,0,112,0.89
176,4016,0,112,0.889
176,4056,4016,112,0.776
176,4000,0,112,0.889
176,4040,3984,112,0.774
184,0,0,120,0.891
184,120,0,120,0.791
184,2048,2047,120,0.793
184,2047,2048,120,0.754
184,3976,0,120,0.772
184,4080,0,120,0.891
184,4088,4080,120,0.842
184,4064,0,120,0.892
184,4048,0,120,0.891
184,4072,4048,120,0.786
184,4032,0,120,0.89
184,4016,0,120,0.888
184,4056,4016,120,0.787
184,4000,0,120,0.889
184,3984,0,120,0.886
184,4040,3984,120,0.788
192,0,0,128,0.9
192,128,0,128,0.891
192,2048,2047,128,0.8
192,2047,2048,128,0.752
192,3968,0,128,0.894
192,4080,0,128,0.895
192,4088,4080,128,0.872
192,4064,0,128,0.901
192,4048,0,128,0.897
192,4072,4048,128,0.781
192,4032,0,128,0.899
192,4016,0,128,0.891
192,4056,4016,128,0.784
192,4000,0,128,0.895
192,3984,0,128,0.893
192,4040,3984,128,0.789
200,0,0,136,0.9
200,136,0,136,0.775
200,2048,2047,136,0.8
200,2047,2048,136,0.769
200,3960,0,136,0.801
200,4080,0,136,0.896
200,4088,4080,136,0.866
200,4064,0,136,0.9
200,4048,0,136,0.898
200,4072,4048,136,0.799
200,4032,0,136,0.899
200,4016,0,136,0.893
200,4056,4016,136,0.798
200,4000,0,136,0.898
200,3984,0,136,0.895
200,4040,3984,136,0.787
208,0,0,144,0.924
208,144,0,144,0.918
208,2048,2047,144,0.807
208,2047,2048,144,0.771
208,3952,0,144,0.922
208,4080,0,144,0.922
208,4088,4080,144,0.877
208,4064,0,144,0.922
208,4048,0,144,0.923
208,4072,4048,144,0.796
208,4032,0,144,0.923
208,4016,0,144,0.92
208,4056,4016,144,0.798
208,4000,0,144,0.923
208,3984,0,144,0.917
208,4040,3984,144,0.786
216,0,0,152,0.924
216,152,0,152,0.781
216,2048,2047,152,0.814
216,2047,2048,152,0.772
216,3944,0,152,0.784
216,4080,0,152,0.922
216,4088,4080,152,0.869
216,4064,0,152,0.924
216,4048,0,152,0.924
216,4072,4048,152,0.802
216,4032,0,152,0.923
216,4016,0,152,0.92
216,4056,4016,152,0.799
216,4000,0,152,0.923
216,3984,0,152,0.921
216,4040,3984,152,0.797
224,0,0,160,0.934
224,160,0,160,0.922
224,2048,2047,160,0.821
224,2047,2048,160,0.772
224,3936,0,160,0.922
224,4080,0,160,0.932
224,4088,4080,160,0.88
224,4064,0,160,0.934
224,4048,0,160,0.932
224,4072,4048,160,0.803
224,4032,0,160,0.931
224,4016,0,160,0.921
224,4056,4016,160,0.801
224,4000,0,160,0.929
224,3984,0,160,0.925
224,4040,3984,160,0.798
256,0,0,192,0.967
256,192,0,192,0.953
256,2048,2047,192,0.826
256,2047,2048,192,0.786
256,3904,0,192,0.958
256,4080,0,192,0.962
256,4088,4080,192,0.888
256,4064,0,192,0.968
256,4048,0,192,0.96
256,4072,4048,192,0.817
256,4032,0,192,0.96
256,4016,0,192,0.957
256,4056,4016,192,0.814
256,4000,0,192,0.963
256,3984,0,192,0.958
256,4040,3984,192,0.812
288,0,0,224,0.966
288,224,0,224,0.962
288,2048,2047,224,0.832
288,2047,2048,224,0.791
288,3872,0,224,0.99
288,4080,0,224,0.976
288,4088,4080,224,0.905
288,4064,0,224,0.976
288,4048,0,224,0.974
288,4072,4048,224,0.823
288,4032,0,224,0.971
288,4016,0,224,0.97
288,4056,4016,224,0.829
288,4000,0,224,0.976
288,3984,0,224,0.969
288,4040,3984,224,0.809
320,0,0,256,0.924
320,256,0,256,0.925
320,2048,2047,256,0.831
320,2047,2048,256,0.802
320,3840,0,256,0.926
320,4080,0,256,0.927
320,4088,4080,256,0.924
320,4064,0,256,0.933
320,4048,0,256,0.93
320,4072,4048,256,0.822
320,4032,0,256,0.934
320,4016,0,256,0.925
320,4056,4016,256,0.828
320,4000,0,256,0.931
320,3984,0,256,0.926
320,4040,3984,256,0.821
576,0,0,512,1.029
576,512,0,512,1.039
576,2048,2047,512,0.84
576,2047,2048,512,0.784
576,3584,0,512,1.035
576,4080,0,512,1.041
576,4088,4080,512,0.91
576,4064,0,512,1.04
576,4048,0,512,1.038
576,4072,4048,512,0.838
576,4032,0,512,1.04
576,4016,0,512,1.037
576,4056,4016,512,0.85
576,4000,0,512,1.037
576,3984,0,512,1.036
576,4040,3984,512,0.84
1088,0,0,1024,0.961
1088,1024,0,1024,1.097
1088,2048,2047,1024,0.875
1088,2047,2048,1024,0.887
1088,3072,0,1024,1.074
1088,4080,0,1024,0.897
1088,4088,4080,1024,0.909
1088,4064,0,1024,0.897
1088,4048,0,1024,0.896
1088,4072,4048,1024,0.894
1088,4032,0,1024,0.911
1088,4016,0,1024,0.901
1088,4056,4016,1024,0.885
1088,4000,0,1024,0.886
1088,3984,0,1024,0.919
1088,4040,3984,1024,0.889
2112,0,0,2048,1.146
2112,2048,0,2048,1.107
2112,2047,2048,2048,0.858
2112,4080,0,2048,1.133
2112,4088,4080,2048,0.88
2112,4064,0,2048,1.137
2112,4048,0,2048,1.134
2112,4072,4048,2048,0.873
2112,4032,0,2048,1.138
2112,4016,0,2048,1.135
2112,4056,4016,2048,0.87
2112,4000,0,2048,1.132
2112,3984,0,2048,1.132
2112,4040,3984,2048,0.872
4160,0,0,4096,1.16
4160,2048,2047,4096,0.868
4160,2047,2048,4096,0.867
4160,4016,0,4096,1.16
4160,4000,0,4096,1.166
4160,3984,0,4096,1.161
129,0,0,1,0.951
129,1,0,1,0.906
129,2048,2047,1,0.888
129,2047,2048,1,0.814
129,4095,0,1,0.813
129,4080,0,1,0.952
129,4088,4080,1,1.004
129,4064,0,1,0.953
129,4048,0,1,0.94
129,4072,4048,1,0.943
129,4032,0,1,0.942
129,4016,0,1,0.946
129,4056,4016,1,0.935
129,4000,0,1,0.947
129,3984,0,1,0.915
129,4040,3984,1,0.883
130,0,0,2,0.948
130,2,0,2,0.876
130,2048,2047,2,0.905
130,2047,2048,2,0.817
130,4094,0,2,0.816
130,4080,0,2,0.948
130,4088,4080,2,1.003
130,4064,0,2,0.948
130,4048,0,2,0.954
130,4072,4048,2,0.946
130,4032,0,2,0.948
130,4016,0,2,0.941
130,4056,4016,2,0.954
130,4000,0,2,0.947
130,3984,0,2,0.9
130,4040,3984,2,0.871
131,0,0,3,0.951
131,3,0,3,0.888
131,2048,2047,3,0.898
131,2047,2048,3,0.815
131,4093,0,3,0.816
131,4080,0,3,0.947
131,4088,4080,3,1.001
131,4064,0,3,0.946
131,4048,0,3,0.949
131,4072,4048,3,0.928
131,4032,0,3,0.943
131,4016,0,3,0.931
131,4056,4016,3,0.929
131,4000,0,3,0.94
131,3984,0,3,0.894
131,4040,3984,3,0.878
132,0,0,4,0.954
132,4,0,4,0.89
132,2048,2047,4,0.894
132,2047,2048,4,0.817
132,4092,0,4,0.815
132,4080,0,4,0.952
132,4088,4080,4,1.002
132,4064,0,4,0.946
132,4048,0,4,0.951
132,4072,4048,4,0.929
132,4032,0,4,0.942
132,4016,0,4,0.946
132,4056,4016,4,0.943
132,4000,0,4,0.952
132,3984,0,4,0.914
132,4040,3984,4,0.869
133,0,0,5,0.954
133,5,0,5,0.9
133,2048,2047,5,0.898
133,2047,2048,5,0.815
133,4091,0,5,0.816
133,4080,0,5,0.947
133,4088,4080,5,1.002
133,4064,0,5,0.949
133,4048,0,5,0.943
133,4072,4048,5,0.931
133,4032,0,5,0.936
133,4016,0,5,0.942
133,4056,4016,5,0.914
133,4000,0,5,0.947
133,3984,0,5,0.948
133,4040,3984,5,0.932
134,0,0,6,0.954
134,6,0,6,0.895
134,2048,2047,6,0.897
134,2047,2048,6,0.812
134,4090,0,6,0.814
134,4080,0,6,0.946
134,4088,4080,6,1.005
134,4064,0,6,0.948
134,4048,0,6,0.944
134,4072,4048,6,0.928
134,4032,0,6,0.946
134,4016,0,6,0.944
134,4056,4016,6,0.944
134,4000,0,6,0.947
134,3984,0,6,0.952
134,4040,3984,6,0.926
135,0,0,7,0.947
135,7,0,7,0.888
135,2048,2047,7,0.894
135,2047,2048,7,0.813
135,4089,0,7,0.814
135,4080,0,7,0.952
135,4088,4080,7,1.003
135,4064,0,7,0.949
135,4048,0,7,0.95
135,4072,4048,7,0.952
135,4032,0,7,0.95
135,4016,0,7,0.952
135,4056,4016,7,0.949
135,4000,0,7,0.953
135,3984,0,7,0.951
135,4040,3984,7,0.95
136,0,0,8,0.951
136,8,0,8,0.902
136,2048,2047,8,0.897
136,2047,2048,8,0.816
136,4088,0,8,0.815
136,4080,0,8,0.953
136,4064,0,8,0.952
136,4048,0,8,0.949
136,4072,4048,8,0.938
136,4032,0,8,0.954
136,4016,0,8,0.953
136,4056,4016,8,0.938
136,4000,0,8,0.953
136,3984,0,8,0.952
136,4040,3984,8,0.943
137,0,0,9,0.952
137,9,0,9,0.865
137,2048,2047,9,0.893
137,2047,2048,9,0.816
137,4087,0,9,0.815
137,4080,0,9,0.953
137,4088,4080,9,0.893
137,4064,0,9,0.953
137,4048,0,9,0.952
137,4072,4048,9,0.946
137,4032,0,9,0.948
137,4016,0,9,0.953
137,4056,4016,9,0.953
137,4000,0,9,0.941
137,3984,0,9,0.954
137,4040,3984,9,0.954
138,0,0,10,0.952
138,10,0,10,0.872
138,2048,2047,10,0.901
138,2047,2048,10,0.815
138,4086,0,10,0.815
138,4080,0,10,0.946
138,4088,4080,10,0.886
138,4064,0,10,0.952
138,4048,0,10,0.953
138,4072,4048,10,0.94
138,4032,0,10,0.954
138,4016,0,10,0.949
138,4056,4016,10,0.944
138,4000,0,10,0.949
138,3984,0,10,0.949
138,4040,3984,10,0.946
139,0,0,11,0.953
139,11,0,11,0.887
139,2048,2047,11,0.896
139,2047,2048,11,0.815
139,4085,0,11,0.817
139,4080,0,11,0.944
139,4088,4080,11,0.885
139,4064,0,11,0.952
139,4048,0,11,0.948
139,4072,4048,11,0.943
139,4032,0,11,0.952
139,4016,0,11,0.952
139,4056,4016,11,0.93
139,4000,0,11,0.953
139,3984,0,11,0.953
139,4040,3984,11,0.94
140,0,0,12,0.95
140,12,0,12,0.894
140,2048,2047,12,0.898
140,2047,2048,12,0.816
140,4084,0,12,0.814
140,4080,0,12,0.954
140,4088,4080,12,0.878
140,4064,0,12,0.953
140,4048,0,12,0.952
140,4072,4048,12,0.944
140,4032,0,12,0.948
140,4016,0,12,0.949
140,4056,4016,12,0.935
140,4000,0,12,0.953
140,3984,0,12,0.953
140,4040,3984,12,0.945
141,0,0,13,0.948
141,13,0,13,0.882
141,2048,2047,13,0.905
141,2047,2048,13,0.814
141,4083,0,13,0.814
141,4080,0,13,0.953
141,4088,4080,13,0.883
141,4064,0,13,0.952
141,4048,0,13,0.95
141,4072,4048,13,0.935
141,4032,0,13,0.953
141,4016,0,13,0.934
141,4056,4016,13,0.93
141,4000,0,13,0.953
141,3984,0,13,0.954
141,4040,3984,13,0.934
142,0,0,14,0.949
142,14,0,14,0.908
142,2048,2047,14,0.9
142,2047,2048,14,0.817
142,4082,0,14,0.815
142,4080,0,14,0.952
142,4088,4080,14,0.885
142,4064,0,14,0.953
142,4048,0,14,0.952
142,4072,4048,14,0.948
142,4032,0,14,0.951
142,4016,0,14,0.951
142,4056,4016,14,0.949
142,4000,0,14,0.948
142,3984,0,14,0.953
142,4040,3984,14,0.947
143,0,0,15,0.955
143,15,0,15,0.895
143,2048,2047,15,0.903
143,2047,2048,15,0.82
143,4081,0,15,0.814
143,4080,0,15,0.952
143,4088,4080,15,0.884
143,4064,0,15,0.951
143,4048,0,15,0.953
143,4072,4048,15,0.949
143,4032,0,15,0.952
143,4016,0,15,0.95
143,4056,4016,15,0.945
143,4000,0,15,0.953
143,3984,0,15,0.951
143,4040,3984,15,0.954
144,0,0,16,0.937
144,16,0,16,0.933
144,2048,2047,16,0.901
144,2047,2048,16,0.821
144,4080,0,16,0.944
144,4088,4080,16,0.846
144,4064,0,16,0.938
144,4048,0,16,0.943
144,4072,4048,16,0.939
144,4032,0,16,0.941
144,4016,0,16,0.928
144,4056,4016,16,0.937
144,4000,0,16,0.942
144,3984,0,16,0.934
144,4040,3984,16,0.936
145,0,0,17,0.943
145,17,0,17,0.939
145,2048,2047,17,0.843
145,2047,2048,17,0.782
145,4079,0,17,0.805
145,4080,0,17,0.94
145,4088,4080,17,0.865
145,4064,0,17,0.944
145,4048,0,17,0.942
145,4072,4048,17,0.938
145,4032,0,17,0.942
145,4016,0,17,0.94
145,4056,4016,17,0.938
145,4000,0,17,0.943
145,3984,0,17,0.938
145,4040,3984,17,0.935
146,0,0,18,0.936
146,18,0,18,0.938
146,2048,2047,18,0.872
146,2047,2048,18,0.787
146,4078,0,18,0.798
146,4080,0,18,0.937
146,4088,4080,18,0.859
146,4064,0,18,0.942
146,4048,0,18,0.943
146,4072,4048,18,0.937
146,4032,0,18,0.942
146,4016,0,18,0.933
146,4056,4016,18,0.935
146,4000,0,18,0.94
146,3984,0,18,0.938
146,4040,3984,18,0.935
147,0,0,19,0.944
147,19,0,19,0.935
147,2048,2047,19,0.875
147,2047,2048,19,0.783
147,4077,0,19,0.798
147,4080,0,19,0.943
147,4088,4080,19,0.853
147,4064,0,19,0.937
147,4048,0,19,0.941
147,4072,4048,19,0.935
147,4032,0,19,0.943
147,4016,0,19,0.935
147,4056,4016,19,0.938
147,4000,0,19,0.942
147,3984,0,19,0.932
147,4040,3984,19,0.936
148,0,0,20,0.932
148,20,0,20,0.938
148,2048,2047,20,0.873
148,2047,2048,20,0.785
148,4076,0,20,0.801
148,4080,0,20,0.945
148,4088,4080,20,0.85
148,4064,0,20,0.944
148,4048,0,20,0.941
148,4072,4048,20,0.935
148,4032,0,20,0.944
148,4016,0,20,0.933
148,4056,4016,20,0.94
148,4000,0,20,0.938
148,3984,0,20,0.935
148,4040,3984,20,0.936
149,0,0,21,0.943
149,21,0,21,0.936
149,2048,2047,21,0.872
149,2047,2048,21,0.779
149,4075,0,21,0.8
149,4080,0,21,0.941
149,4088,4080,21,0.848
149,4064,0,21,0.945
149,4048,0,21,0.945
149,4072,4048,21,0.935
