
Results For: strrchr
len,align,pos,seek,max_char,freq
2048,4,256,23,127,4,1.165
2048,0,512,23,127,4,1.103
2048,5,512,23,127,4,1.145
2048,0,1024,23,127,4,1.523
2048,6,1024,23,127,4,1.531
2048,0,2048,23,127,4,1.501
2048,7,2048,23,127,4,1.5
2048,0,4096,23,127,4,1.494
2048,8,4096,23,127,4,1.493
256,1,64,23,127,4,1.457
256,15,64,23,127,4,1.456
256,2,64,23,127,4,1.457
256,30,64,23,127,4,1.456
256,3,64,23,127,4,1.456
256,45,64,23,127,4,1.489
256,4,64,23,127,4,1.456
256,60,64,23,127,4,1.426
256,5,64,23,127,4,1.455
256,75,64,23,127,4,1.458
256,6,64,23,127,4,1.455
256,90,64,23,127,4,1.458
256,7,64,23,127,4,1.45
256,105,64,23,127,4,1.488
1,0,0,23,127,4,1.253
2,0,1,23,127,4,1.265
3,0,2,23,127,4,1.262
4,0,3,23,127,4,1.258
5,0,4,23,127,4,1.264
6,0,5,23,127,4,1.261
7,0,6,23,127,4,1.283
8,0,7,23,127,4,1.264
9,0,8,23,127,4,1.269
10,0,9,23,127,4,1.253
11,0,10,23,127,4,1.256
12,0,11,23,127,4,1.259
13,0,12,23,127,4,1.258
14,0,13,23,127,4,1.26
15,0,14,23,127,4,1.25
16,0,15,23,127,4,1.256
17,0,16,23,127,4,1.256
18,0,17,23,127,4,1.256
19,0,18,23,127,4,1.253
20,0,19,23,127,4,1.256
21,0,20,23,127,4,1.256
22,0,21,23,127,4,1.256
23,0,22,23,127,4,1.249
24,0,23,23,127,4,1.251
25,0,24,23,127,4,1.257
26,0,25,23,127,4,1.261
27,0,26,23,127,4,1.256
28,0,27,23,127,4,1.26
29,0,28,23,127,4,1.254
30,0,29,23,127,4,1.259
31,0,30,23,127,4,1.254
32,0,31,23,127,4,1.593
2048,0,32,23,127,8,1.354
2048,1,32,23,127,8,1.34
2048,0,64,23,127,8,1.105
2048,2,64,23,127,8,1.103
2048,0,128,23,127,8,1.217
2048,3,128,23,127,8,1.209
2048,0,256,23,127,8,1.213
2048,4,256,23,127,8,1.212
2048,0,512,23,127,8,1.175
2048,5,512,23,127,8,1.169
2048,0,1024,23,127,8,1.533
2048,6,1024,23,127,8,1.536
2048,0,2048,23,127,8,1.553
2048,7,2048,23,127,8,1.555
2048,0,4096,23,127,8,1.493
2048,8,4096,23,127,8,1.493
256,1,64,23,127,8,1.457
256,15,64,23,127,8,1.457
256,2,64,23,127,8,1.457
256,30,64,23,127,8,1.456
256,3,64,23,127,8,1.457
256,45,64,23,127,8,1.489
256,4,64,23,127,8,1.448
256,60,64,23,127,8,1.419
256,5,64,23,127,8,1.453
256,75,64,23,127,8,1.455
256,6,64,23,127,8,1.445
256,90,64,23,127,8,1.452
256,7,64,23,127,8,1.449
256,105,64,23,127,8,1.483
1,0,0,23,127,8,1.254
2,0,1,23,127,8,1.253
3,0,2,23,127,8,1.255
4,0,3,23,127,8,1.263
5,0,4,23,127,8,1.258
6,0,5,23,127,8,1.263
7,0,6,23,127,8,1.263
8,0,7,23,127,8,1.257
9,0,8,23,127,8,1.251
10,0,9,23,127,8,1.254
11,0,10,23,127,8,1.258
12,0,11,23,127,8,1.258
13,0,12,23,127,8,1.255
14,0,13,23,127,8,1.256
15,0,14,23,127,8,1.258
16,0,15,23,127,8,1.256
17,0,16,23,127,8,1.253
18,0,17,23,127,8,1.253
19,0,18,23,127,8,1.258
20,0,19,23,127,8,1.255
21,0,20,23,127,8,1.254
22,0,21,23,127,8,1.261
23,0,22,23,127,8,1.254
24,0,23,23,127,8,1.251
25,0,24,23,127,8,1.256
26,0,25,23,127,8,1.256
27,0,26,23,127,8,1.265
28,0,27,23,127,8,1.258
29,0,28,23,127,8,1.272
30,0,29,23,127,8,1.254
31,0,30,23,127,8,1.265
32,0,31,23,127,8,1.592
2048,0,32,23,127,16,1.358
2048,1,32,23,127,16,1.357
2048,0,64,23,127,16,1.104
2048,2,64,23,127,16,1.102
2048,0,128,23,127,16,1.207
2048,3,128,23,127,16,1.214
2048,0,256,23,127,16,1.209
2048,4,256,23,127,16,1.212
2048,0,512,23,127,16,1.441
2048,5,512,23,127,16,1.456
2048,0,1024,23,127,16,1.761
2048,6,1024,23,127,16,1.5
2048,0,2048,23,127,16,1.306
2048,7,2048,23,127,16,1.281
2048,0,4096,23,127,16,1.549
2048,8,4096,23,127,16,1.549
256,1,64,23,127,16,1.435
256,15,64,23,127,16,1.457
256,2,64,23,127,16,1.456
256,30,64,23,127,16,1.456
256,3,64,23,127,16,1.457
256,45,64,23,127,16,1.489
256,4,64,23,127,16,1.457
256,60,64,23,127,16,1.426
256,5,64,23,127,16,1.457
256,75,64,23,127,16,1.458
256,6,64,23,127,16,1.447
256,90,64,23,127,16,1.456
256,7,64,23,127,16,1.453
256,105,64,23,127,16,1.483
1,0,0,23,127,16,1.255
2,0,1,23,127,16,1.253
3,0,2,23,127,16,1.271
4,0,3,23,127,16,1.263
5,0,4,23,127,16,1.263
6,0,5,23,127,16,1.259
7,0,6,23,127,16,1.256
8,0,7,23,127,16,1.253
9,0,8,23,127,16,1.258
10,0,9,23,127,16,1.255
11,0,10,23,127,16,1.255
12,0,11,23,127,16,1.255
13,0,12,23,127,16,1.252
14,0,13,23,127,16,1.253
15,0,14,23,127,16,1.253
16,0,15,23,127,16,1.256
17,0,16,23,127,16,1.253
18,0,17,23,127,16,1.256
19,0,18,23,127,16,1.254
20,0,19,23,127,16,1.255
21,0,20,23,127,16,1.253
22,0,21,23,127,16,1.255
23,0,22,23,127,16,1.255
24,0,23,23,127,16,1.255
25,0,24,23,127,16,1.253
26,0,25,23,127,16,1.259
27,0,26,23,127,16,1.256
28,0,27,23,127,16,1.256
29,0,28,23,127,16,1.263
30,0,29,23,127,16,1.269
31,0,30,23,127,16,1.266
32,0,31,23,127,16,1.592
