
Results For: strncat
align1,align2 ,len1 ,len2 ,max_char ,n    ,new    ,old    ,new/old 
0     ,0      ,32   ,32   ,127      ,2    ,17.844 ,19.958 ,0.894   
0     ,0      ,32   ,32   ,127      ,2048 ,19.872 ,21.092 ,0.942   
0     ,0      ,32   ,32   ,127      ,32   ,18.416 ,19.808 ,0.93    
0     ,0      ,32   ,32   ,127      ,512  ,19.872 ,20.753 ,0.958   
0     ,0      ,32   ,32   ,127      ,8    ,17.928 ,19.231 ,0.932   
0     ,0      ,32   ,8    ,127      ,128  ,20.73  ,19.522 ,1.062   
0     ,0      ,32   ,8    ,127      ,2    ,18.605 ,19.094 ,0.974   
0     ,0      ,32   ,8    ,127      ,2048 ,20.736 ,19.515 ,1.063   
0     ,0      ,32   ,8    ,127      ,32   ,18.777 ,18.66  ,1.006   
0     ,0      ,32   ,8    ,127      ,512  ,20.729 ,19.469 ,1.065   
0     ,0      ,32   ,8    ,127      ,8    ,18.633 ,18.734 ,0.995   
0     ,0      ,4    ,4    ,127      ,128  ,18.825 ,19.299 ,0.975   
0     ,0      ,4    ,4    ,127      ,2    ,18.63  ,20.576 ,0.905   
0     ,0      ,4    ,4    ,127      ,2048 ,18.865 ,20.186 ,0.935   
0     ,0      ,4    ,4    ,127      ,32   ,18.764 ,19.497 ,0.962   
0     ,0      ,4    ,4    ,127      ,512  ,18.806 ,19.674 ,0.956   
0     ,0      ,4    ,4    ,127      ,8    ,18.759 ,19.411 ,0.966   
0     ,0      ,512  ,128  ,127      ,128  ,20.573 ,23.002 ,0.894   
0     ,0      ,512  ,128  ,127      ,2    ,17.952 ,20.154 ,0.891   
0     ,0      ,512  ,128  ,127      ,2048 ,26.704 ,30.195 ,0.884   
0     ,0      ,512  ,128  ,127      ,32   ,17.831 ,19.988 ,0.892   
0     ,0      ,512  ,128  ,127      ,512  ,26.34  ,29.688 ,0.887   
0     ,0      ,512  ,128  ,127      ,8    ,18.18  ,19.753 ,0.92    
0     ,0      ,512  ,448  ,127      ,512  ,28.213 ,30.488 ,0.925   
0     ,0      ,512  ,480  ,127      ,512  ,28.057 ,30.522 ,0.919   
0     ,0      ,512  ,512  ,127      ,128  ,21.108 ,23.597 ,0.895   
0     ,0      ,512  ,512  ,127      ,2    ,17.956 ,19.373 ,0.927   
0     ,0      ,512  ,512  ,127      ,2048 ,29.683 ,30.103 ,0.986   
0     ,0      ,512  ,512  ,127      ,32   ,18.175 ,19.673 ,0.924   
0     ,0      ,512  ,512  ,127      ,448  ,26.884 ,29.61  ,0.908   
0     ,0      ,512  ,512  ,127      ,480  ,28.283 ,30.521 ,0.927   
0     ,0      ,512  ,512  ,127      ,512  ,28.74  ,29.763 ,0.966   
0     ,0      ,512  ,512  ,127      ,544  ,33.211 ,32.222 ,1.031   
0     ,0      ,512  ,512  ,127      ,576  ,29.033 ,31.781 ,0.914   
0     ,0      ,512  ,512  ,127      ,8    ,17.966 ,19.467 ,0.923   
0     ,0      ,512  ,544  ,127      ,512  ,28.302 ,31.033 ,0.912   
0     ,0      ,512  ,576  ,127      ,512  ,27.54  ,31.766 ,0.867   
