Results For: strchrnul
alignment,length ,max_char ,pos  ,rand ,rand-addr ,seek_char   ,__strchrnul_evex ,__strchrnul_evex512 
1        ,256    ,127      ,128  ,0    ,0         ,0           ,6.943            ,6.306               ,1.101               
1        ,256    ,127      ,160  ,0    ,0         ,0           ,10.778           ,6.343               ,1.699               
1        ,256    ,127      ,192  ,0    ,0         ,0           ,12.175           ,7.194               ,1.692               
1        ,256    ,127      ,224  ,0    ,0         ,0           ,12.333           ,7.175               ,1.719               
1        ,256    ,127      ,288  ,0    ,0         ,0           ,13.156           ,7.76                ,1.695               
1        ,256    ,127      ,32   ,0    ,0         ,0           ,5.158            ,3.848               ,1.34                
1        ,256    ,127      ,320  ,0    ,0         ,0           ,13.218           ,7.662               ,1.725               
1        ,256    ,127      ,352  ,0    ,0         ,0           ,13.227           ,7.655               ,1.728               
1        ,256    ,127      ,384  ,0    ,0         ,0           ,12.975           ,7.712               ,1.683               
1        ,256    ,127      ,416  ,0    ,0         ,0           ,13.231           ,7.731               ,1.712               
1        ,256    ,127      ,448  ,0    ,0         ,0           ,13.055           ,7.71                ,1.693               
1        ,256    ,127      ,480  ,0    ,0         ,0           ,13.309           ,7.772               ,1.712               
1        ,256    ,127      ,512  ,0    ,0         ,0           ,13.25            ,7.735               ,1.713               
1        ,256    ,127      ,544  ,0    ,0         ,0           ,13.25            ,7.687               ,1.724               
1        ,256    ,127      ,576  ,0    ,0         ,0           ,13.028           ,7.677               ,1.697               
1        ,256    ,127      ,64   ,0    ,0         ,0           ,5.075            ,5.641               ,0.9                 
1        ,256    ,127      ,64   ,0    ,0         ,23          ,5.32             ,5.833               ,0.912               
1        ,256    ,127      ,96   ,0    ,0         ,0           ,5.85             ,5.698               ,1.027               
1        ,26     ,127      ,25   ,0    ,0         ,0           ,3.391            ,3.883               ,0.873               
1        ,26     ,127      ,25   ,0    ,0         ,23          ,3.357            ,3.797               ,0.884               
1        ,27     ,127      ,26   ,0    ,0         ,0           ,3.362            ,3.895               ,0.863               
1        ,27     ,127      ,26   ,0    ,0         ,23          ,3.376            ,3.823               ,0.883               
1        ,272    ,127      ,16   ,0    ,0         ,0           ,3.427            ,3.865               ,0.887               
1        ,28     ,127      ,27   ,0    ,0         ,0           ,3.375            ,3.843               ,0.878               
1        ,28     ,127      ,27   ,0    ,0         ,23          ,3.353            ,3.766               ,0.89                
1        ,286    ,127      ,287  ,0    ,0         ,0           ,12.983           ,7.729               ,1.68                
1        ,287    ,127      ,286  ,0    ,0         ,0           ,13.39            ,7.693               ,1.74                
1        ,288    ,127      ,128  ,0    ,0         ,0           ,6.975            ,6.306               ,1.106               
1        ,288    ,127      ,256  ,0    ,0         ,0           ,13.193           ,7.804               ,1.691               
1        ,288    ,127      ,32   ,0    ,0         ,0           ,5.136            ,3.797               ,1.353               
1        ,288    ,127      ,512  ,0    ,0         ,0           ,14.065           ,7.76                ,1.812               
1        ,288    ,127      ,64   ,0    ,0         ,0           ,5.172            ,5.802               ,0.891               
1        ,29     ,127      ,28   ,0    ,0         ,0           ,3.393            ,3.855               ,0.88                
1        ,29     ,127      ,28   ,0    ,0         ,23          ,3.324            ,3.707               ,0.897               
1        ,3      ,127      ,2    ,0    ,0         ,0           ,3.496            ,3.74                ,0.935               
1        ,3      ,127      ,2    ,0    ,0         ,23          ,3.483            ,3.824               ,0.911               
1        ,30     ,127      ,29   ,0    ,0         ,0           ,3.299            ,3.837               ,0.86                
1        ,30     ,127      ,29   ,0    ,0         ,23          ,3.266            ,3.865               ,0.845               
1        ,30     ,127      ,31   ,0    ,0         ,0           ,3.231            ,3.896               ,0.829               
1        ,304    ,127      ,16   ,0    ,0         ,0           ,3.464            ,3.897               ,0.889               
1        ,31     ,127      ,30   ,0    ,0         ,0           ,3.224            ,3.761               ,0.857               
1        ,31     ,127      ,30   ,0    ,0         ,23          ,3.218            ,3.912               ,0.823               
1        ,32     ,127      ,128  ,0    ,0         ,0           ,5.259            ,3.888               ,1.353               
1        ,32     ,127      ,160  ,0    ,0         ,0           ,5.399            ,4.063               ,1.329               
1        ,32     ,127      ,192  ,0    ,0         ,0           ,5.158            ,3.887               ,1.327               
1        ,32     ,127      ,224  ,0    ,0         ,0           ,5.19             ,3.845               ,1.35                
1        ,32     ,127      ,256  ,0    ,0         ,0           ,5.116            ,3.876               ,1.32                
1        ,32     ,127      ,288  ,0    ,0         ,0           ,5.133            ,3.859               ,1.33                
1        ,32     ,127      ,31   ,0    ,0         ,0           ,3.265            ,3.848               ,0.848               
1        ,32     ,127      ,31   ,0    ,0         ,23          ,3.227            ,3.905               ,0.826               
1        ,32     ,127      ,320  ,0    ,0         ,0           ,5.176            ,3.794               ,1.364               
1        ,32     ,127      ,352  ,0    ,0         ,0           ,5.149            ,3.869               ,1.331               
1        ,32     ,127      ,64   ,0    ,0         ,0           ,5.153            ,3.841               ,1.341               
1        ,32     ,127      ,96   ,0    ,0         ,0           ,5.441            ,3.938               ,1.382               
1        ,320    ,127      ,128  ,0    ,0         ,0           ,6.94             ,6.26                ,1.108               
1        ,320    ,127      ,256  ,0    ,0         ,0           ,13.024           ,7.749               ,1.681               
