strchr-extra/run1/sunil1//bench-strchr0.out
strchr-extra/run1/sunil1//bench-strchr1.out
strchr-extra/run1/sunil1//bench-strchr2.out
strchr-extra/run1/sunil1//bench-strchr3.out
strchr-extra/run1/sunil1//bench-strchr4.out
strchr-extra/run1/sunil1//bench-strchr5.out
strchr-extra/run1/sunil1//bench-strchr6.out
strchr-extra/run1/sunil1//bench-strchr7.out
strchr-extra/run1/sunil1//bench-strchr8.out
strchr-extra/run1/sunil1//bench-strchr9.out
strchr-extra/run1/strchr1//bench-strchr0.out
strchr-extra/run1/strchr1//bench-strchr1.out
strchr-extra/run1/strchr1//bench-strchr2.out
strchr-extra/run1/strchr1//bench-strchr3.out
strchr-extra/run1/strchr1//bench-strchr4.out
strchr-extra/run1/strchr1//bench-strchr5.out
strchr-extra/run1/strchr1//bench-strchr6.out
strchr-extra/run1/strchr1//bench-strchr7.out
strchr-extra/run1/strchr1//bench-strchr8.out
strchr-extra/run1/strchr1//bench-strchr9.out

Results For: strchr
alignment,length ,max_char ,pos       ,rand ,rand-addr ,seek_char   ,sunil1      ,strchr1 ,sunil1/strchr1 
7        ,4096   ,127      ,2048      ,0    ,0         ,0           ,34.374      ,34.901  ,0.985          
7        ,4096   ,127      ,2048      ,0    ,0         ,23          ,34.064      ,34.631  ,0.984          
80       ,512    ,127      ,256       ,0    ,0         ,0           ,7.92        ,7.349   ,1.078          
80       ,512    ,127      ,256       ,0    ,0         ,23          ,7.978       ,7.44    ,1.072          
81       ,512    ,127      ,256       ,0    ,0         ,23          ,7.916       ,7.399   ,1.07           
96       ,512    ,127      ,256       ,0    ,0         ,0           ,7.939       ,7.351   ,1.08           
96       ,512    ,127      ,256       ,0    ,0         ,23          ,7.95        ,7.367   ,1.079          
97       ,512    ,127      ,256       ,0    ,0         ,23          ,7.966       ,7.41    ,1.075          
alignment,length ,max_char ,pos       ,rand ,rand-addr ,region-size ,seek_char   ,sunil1  ,strchr1        ,sunil1/strchr1 
0        ,1      ,127      ,0         ,0    ,1         ,131072      ,0           ,5.219   ,4.573          ,1.141          
0        ,1      ,127      ,0         ,0    ,1         ,262144      ,0           ,5.211   ,4.668          ,1.116          
0        ,1      ,127      ,0         ,0    ,1         ,524288      ,0           ,5.482   ,4.83           ,1.135          
0        ,10     ,127      ,9         ,0    ,1         ,131072      ,0           ,5.115   ,4.553          ,1.124          
0        ,10     ,127      ,9         ,0    ,1         ,262144      ,0           ,5.268   ,4.626          ,1.139          
0        ,10     ,127      ,9         ,0    ,1         ,524288      ,0           ,5.565   ,4.792          ,1.161          
0        ,11     ,127      ,10        ,0    ,1         ,131072      ,0           ,5.09    ,4.504          ,1.13           
0        ,11     ,127      ,10        ,0    ,1         ,262144      ,0           ,5.247   ,4.569          ,1.148          
0        ,11     ,127      ,10        ,0    ,1         ,524288      ,0           ,5.552   ,4.836          ,1.148          
0        ,12     ,127      ,11        ,0    ,1         ,131072      ,0           ,5.076   ,4.577          ,1.109          
0        ,12     ,127      ,11        ,0    ,1         ,262144      ,0           ,5.243   ,4.625          ,1.134          
0        ,12     ,127      ,11        ,0    ,1         ,524288      ,0           ,5.519   ,4.849          ,1.138          
0        ,126    ,127      ,127       ,0    ,1         ,262144      ,0           ,7.332   ,6.016          ,1.219          
0        ,126    ,127      ,127       ,0    ,1         ,524288      ,0           ,7.627   ,6.454          ,1.182          
0        ,127    ,127      ,126       ,0    ,1         ,262144      ,0           ,7.328   ,5.992          ,1.223          
