
Results For: strcmp
length, align1, align2
   480,   4032,      0, 1.134
   480,   4016,      0, 1.135
   480,   4056,   4016,  0.86
   480,   4000,      0, 1.137
   480,   3984,      0, 1.134
   480,   4040,   3984, 0.861
   512,      0,      0, 1.132
   512,    512,      0, 1.146
   512,   2048,   2047, 0.893
   512,   2047,   2048, 0.868
   512,   3584,      0, 1.143
   512,   4080,      0, 1.141
   512,   4088,   4080, 0.888
   512,   4064,      0, 1.142
   512,   4048,      0, 1.142
   512,   4072,   4048, 0.876
   512,   4032,      0, 1.146
   512,   4016,      0, 1.148
   512,   4056,   4016, 0.872
   512,   4000,      0, 1.151
   512,   3984,      0, 1.145
   512,   4040,   3984, 0.872
  1024,      0,      0, 0.988
  1024,   1024,      0, 1.201
  1024,   2048,   2047, 0.957
  1024,   2047,   2048, 0.977
  1024,   3072,      0,  1.04
  1024,   4080,      0, 0.976
  1024,   4088,   4080,  0.99
  1024,   4064,      0, 0.987
  1024,   4048,      0, 0.973
  1024,   4072,   4048, 0.984
  1024,   4032,      0,  0.98
  1024,   4016,      0, 0.968
  1024,   4056,   4016, 0.985
  1024,   4000,      0, 0.983
  1024,   3984,      0, 0.971
  1024,   4040,   3984, 0.977
  2048,      0,      0, 1.292
  2048,   2048,      0,  1.17
  2048,   2047,   2048, 0.935
  2048,   4080,      0, 1.262
  2048,   4088,   4080,  0.99
  2048,   4064,      0, 1.287
  2048,   4048,      0, 1.271
  2048,   4072,   4048, 0.986
  2048,   4032,      0, 1.292
  2048,   4016,      0, 1.235
  2048,   4056,   4016, 0.988
  2048,   4000,      0, 1.261
  2048,   3984,      0, 1.247
  2048,   4040,   3984, 0.992
  4096,      0,      0, 1.255
  4096,   2048,   2047, 0.969
  4096,   2047,   2048, 0.973
  4096,   4080,      0, 1.244
  4096,   4088,   4080, 0.997
  4096,   4064,      0, 1.262
  4096,   4048,      0,  1.25
  4096,   4072,   4048, 0.991
  4096,   4032,      0, 1.232
  4096,   4016,      0, 1.226
  4096,   4056,   4016, 0.995
  4096,   4000,      0, 1.239
  4096,   3984,      0, 1.237
  4096,   4040,   3984, 0.988
     4,      1,      2, 0.964
     8,      2,      3, 0.964
    16,      3,      4, 0.964
    32,      4,      5, 0.928
    64,      5,      6, 0.869
   128,      6,      7, 0.781
   256,      7,      8, 0.797
   512,      8,      9, 0.878
  1024,      9,     10, 0.989
    16,      1,      2, 0.963
    16,      2,      1, 0.963
    32,      2,      4, 0.897
    64,      3,      6, 0.814
    64,      6,      3, 0.756
   128,      4,      8, 0.756
   128,      8,      4, 0.746
   256,      5,     10, 0.787
   256,     10,      5,  0.77
   512,      6,     12, 0.877
   512,     12,      6,  0.85
  1024,      7,     14,   1.0
  1024,     14,      7, 0.987
     1,   8177,   8177, 0.997
     2,   8178,   8178,   1.0
     3,   8179,   8179, 0.999
     4,   8180,   8180,   1.0
     5,   8181,   8181,   1.0
     6,   8182,   8182,   1.0
     7,   8183,   8183,   1.0
     8,   8168,   8168, 0.964
     9,   8169,   8169, 0.965
    10,   8170,   8170,  0.96
    11,   8171,   8171, 0.959
    12,   8172,   8172, 0.962
    13,   8173,   8173, 0.961
    14,   8174,   8174, 0.963
    15,   8175,   8175, 0.963
    16,   8160,   8160, 0.958
    17,   8161,   8161, 0.972
    18,   8162,   8162, 0.973
    19,   8163,   8163, 0.974
    20,   8164,   8164, 0.971
    21,   8165,   8165, 0.973
    22,   8166,   8166, 0.969
    23,   8167,   8167, 0.978
    24,   8152,   8152, 0.969
    25,   8153,   8153, 0.875
    26,   8154,   8154, 0.869
    27,   8155,   8155, 0.871
    28,   8156,   8156,  0.87
    29,   8157,   8157,  0.86
    30,   8158,   8158, 0.859
    31,   8159,   8159, 0.859
     1,   8176,   8176, 0.972
     1,   8175,   8176, 0.964
     1,   8184,   8176,   1.0
     2,   8176,   8176, 0.968
     2,   8175,   8176, 1.061
     2,   8174,   8176, 1.045
     2,   8184,   8176,   1.0
     3,   8176,   8176, 0.968
     3,   8175,   8176, 1.008
     3,   8173,   8176, 1.027
     3,   8184,   8176, 0.998
     4,   8176,   8176, 0.965
     4,   8175,   8176, 0.997
     4,   8172,   8176, 0.997
     4,   8184,   8176,   1.0
     5,   8176,   8176, 0.968
     5,   8175,   8176, 0.999
     5,   8171,   8176, 1.001
     5,   8184,   8176,   1.0
     6,   8176,   8176, 0.977
     6,   8175,   8176, 0.985
     6,   8170,   8176, 0.992
     6,   8184,   8176, 0.998
     7,   8176,   8176, 0.964
     7,   8175,   8176, 1.018
     7,   8169,   8176, 1.014
     7,   8168,   8176, 0.969
     8,   8176,   8176, 0.964
     8,   8175,   8176,  0.99
     9,   8176,   8176, 0.964
     9,   8175,   8176, 0.973
     9,   8167,   8176, 0.965
     9,   8168,   8176, 0.966
    10,   8176,   8176, 0.964
    10,   8175,   8176, 0.935
    10,   8166,   8176, 0.973
    10,   8168,   8176, 0.965
    11,   8176,   8176, 0.964
    11,   8175,   8176, 0.964
    11,   8165,   8176, 0.943
    11,   8168,   8176, 0.965
    12,   8176,   8176, 0.964
    12,   8175,   8176, 0.946
    12,   8164,   8176, 0.941
    12,   8168,   8176, 0.966
    13,   8176,   8176, 0.964
    13,   8175,   8176, 0.958
    13,   8163,   8176, 0.962
    13,   8168,   8176, 0.965
    14,   8176,   8176, 0.964
    14,   8175,   8176, 0.949
    14,   8162,   8176, 0.955
    14,   8168,   8176, 0.966
    15,   8160,   8160, 0.964
    15,   8161,   8160, 0.955
    15,   8168,   8160, 0.961
    16,   8159,   8160, 0.928
    16,   8168,   8160, 0.916
    17,   8160,   8160, 0.973
    17,   8159,   8160,  0.85
    17,   8168,   8160, 0.916
    18,   8160,   8160, 0.979
    18,   8159,   8160,  0.85
    18,   8158,   8160, 0.873
    18,   8168,   8160, 0.917
    19,   8160,   8160, 0.971
    19,   8159,   8160, 0.859
    19,   8157,   8160,  0.86
    19,   8168,   8160, 0.916
    20,   8160,   8160, 0.983
    20,   8159,   8160, 0.853
    20,   8156,   8160, 0.885
    20,   8168,   8160, 0.917
    21,   8160,   8160, 0.973
    21,   8159,   8160, 0.852
    21,   8155,   8160, 0.861
    21,   8168,   8160, 0.915
    22,   8160,   8160, 0.971
    22,   8159,   8160, 0.853
    22,   8154,   8160, 0.853
    22,   8168,   8160, 0.915
    23,   8160,   8160, 0.971
    23,   8159,   8160, 0.849
    23,   8153,   8160, 0.869
    23,   8152,   8160, 0.917
    24,   8160,   8160, 0.971
    24,   8159,   8160, 0.851
    25,   8160,   8160, 0.971
    25,   8159,   8160,  0.85
    25,   8151,   8160, 0.854
    25,   8152,   8160, 0.853
    26,   8160,   8160, 0.971
    26,   8159,   8160, 0.848
    26,   8150,   8160, 0.847
    26,   8152,   8160, 0.868
    27,   8160,   8160, 0.981
    27,   8159,   8160,  0.85
    27,   8149,   8160, 0.861
    27,   8152,   8160, 0.869
    28,   8160,   8160, 0.971
    28,   8159,   8160, 0.852
    28,   8148,   8160, 0.881
    28,   8152,   8160, 0.865
    29,   8160,   8160, 0.971
    29,   8159,   8160,  0.85
    29,   8147,   8160, 0.869
    29,   8152,   8160, 0.866
    30,   8160,   8160, 0.972
    30,   8159,   8160, 0.852
    30,   8146,   8160, 0.858
    30,   8152,   8160, 0.864
    31,   8144,   8144, 0.971
    31,   8145,   8144,  0.79
    31,   8152,   8144, 0.793
    32,   8144,   8144, 0.977
    32,   8143,   8144, 0.796
    32,   8152,   8144, 0.792
    40,   8144,   8144, 0.865
    40,   8136,   8144, 0.805
    40,   8143,   8144, 0.812
    48,   8128,   8128, 0.831
    48,   8127,   8128, 0.757
    48,   8136,   8128, 0.769
    56,   8128,   8128,  0.83
    56,   8120,   8128, 0.767
    56,   8127,   8128, 0.774
    64,   8112,   8112, 0.864
    64,   8111,   8112, 0.757
    64,   8120,   8112, 0.747
    72,   8112,   8112, 0.852
    72,   8104,   8112, 0.762
    72,   8111,   8112, 0.774
    80,   8096,   8096, 0.811
    80,   8095,   8096, 0.739
    80,   8104,   8096, 0.741
    88,   8096,   8096, 0.811
    88,   8088,   8096, 0.766
    88,   8095,   8096, 0.768
    96,   8080,   8080, 0.813
    96,   8079,   8080, 0.742
    96,   8088,   8080, 0.743
   104,   8080,   8080, 0.813
   104,   8072,   8080, 0.762
   104,   8079,   8080, 0.763
   112,   8064,   8064, 0.859
   112,   8063,   8064, 0.734
   112,   8072,   8064, 0.728
   120,   8064,   8064,  0.86
   120,   8056,   8064, 0.759
   120,   8063,   8064, 0.756
   128,   8048,   8048, 0.875
   128,   8047,   8048, 0.729
   128,   8056,   8048, 0.732
   136,   8048,   8048, 0.887
   136,   8040,   8048, 0.753
   136,   8047,   8048,  0.75
   144,   8032,   8032, 0.908
   144,   8031,   8032,  0.73
   144,   8040,   8032, 0.733
   152,   8032,   8032, 0.908
   152,   8024,   8032, 0.753
   152,   8031,   8032, 0.752
   160,   8016,   8016, 0.932
   160,   8015,   8016, 0.725
   160,   8024,   8016, 0.729
   192,   7984,   7984,  0.97
   192,   7983,   7984, 0.737
   192,   7992,   7984, 0.743
   224,   7952,   7952,  1.01
   224,   7951,   7952, 0.747
   224,   7960,   7952, 0.751
   256,   7920,   7920, 1.035
   256,   7919,   7920, 0.763
   256,   7928,   7920, 0.775
   288,   7888,   7888, 1.069
   288,   7887,   7888, 0.756
   288,   7896,   7888, 0.766
   320,   7856,   7856,  1.07
   320,   7855,   7856,  0.78
   320,   7864,   7856, 0.816
   352,   7824,   7824, 1.092
   352,   7823,   7824,   0.8
   352,   7832,   7824, 0.803
   384,   7792,   7792, 1.106
   384,   7791,   7792, 0.814
   384,   7800,   7792, 0.839
   416,   7760,   7760, 1.117
   416,   7759,   7760, 0.823
   416,   7768,   7760, 0.826
   448,   7728,   7728, 1.127
   448,   7727,   7728, 0.837
   448,   7736,   7728, 0.854
   480,   7696,   7696, 1.129
   480,   7695,   7696, 0.842
   480,   7704,   7696, 0.838
   512,   7664,   7664,  1.13
   512,   7663,   7664, 0.848
   512,   7672,   7664, 0.888
  1024,   7152,   7152, 0.984
  1024,   7151,   7152, 0.979
  1024,   7160,   7152, 0.946
  2048,   6128,   6128, 1.292
  2048,   6127,   6128, 0.991
  2048,   6136,   6128, 0.981
  4096,   4079,   4080, 0.993
     4,   8177,   8178, 1.087
     8,   8178,   8179, 1.099
    16,   8163,   8164, 0.964
    32,   8148,   8149, 0.928
    64,   8117,   8118, 0.848
   128,   8054,   8055, 0.793
   256,   7927,   7928, 0.819
  1024,   7161,   7162, 0.974
    16,   8161,   8162, 0.965
    16,   8162,   8161, 0.964
    32,   8146,   8148, 0.893
    64,   8115,   8118, 0.817
    64,   8118,   8115, 0.747
   128,   8052,   8056, 0.796
   256,   7925,   7930, 0.828
   256,   7930,   7925, 0.788
   512,   7670,   7676, 0.897
   512,   7676,   7670,  0.87
  1024,   7159,   7166, 0.979
  1024,   7166,   7159, 0.969
   128,   8063,   8063, 0.996
   129,   8062,   8063,  0.99
   130,   8061,   8062, 0.995
   131,   8060,   8061,   1.0
   132,   8059,   8060, 0.998
   133,   8058,   8059,   1.0
   134,   8057,   8058, 0.997
   135,   8056,   8057, 0.999
   136,   8055,   8056,   1.0
   137,   8054,   8055,   1.0
   138,   8053,   8054, 0.997
   139,   8052,   8053,   1.0
   140,   8051,   8052,   1.0
   141,   8050,   8051, 0.999
   142,   8049,   8050,   1.0
   143,   8048,   8049, 0.885
   144,   8047,   8048, 0.904
   145,   8046,   8047, 0.908
   146,   8045,   8046, 0.908
   147,   8044,   8045, 0.908
   148,   8043,   8044, 0.902
   149,   8042,   8043, 0.906
   150,   8041,   8042, 0.906
   151,   8040,   8041, 0.908
   152,   8039,   8040, 0.908
   153,   8038,   8039, 0.908
   154,   8037,   8038, 0.908
   155,   8036,   8037, 0.908
   156,   8035,   8036, 0.908
   157,   8034,   8035, 0.908
   158,   8033,   8034, 0.899
