strchr-extra/sunil1//bench-strchr0.out
strchr-extra/sunil1//bench-strchr1.out
strchr-extra/sunil1//bench-strchr2.out
strchr-extra/sunil1//bench-strchr3.out
strchr-extra/sunil1//bench-strchr4.out
strchr-extra/sunil1//bench-strchr5.out
strchr-extra/sunil1//bench-strchr6.out
strchr-extra/sunil1//bench-strchr7.out
strchr-extra/sunil1//bench-strchr8.out
strchr-extra/sunil1//bench-strchr9.out
strchr-extra/strchr0//bench-strchr0.out
strchr-extra/strchr0//bench-strchr1.out
strchr-extra/strchr0//bench-strchr2.out
strchr-extra/strchr0//bench-strchr3.out
strchr-extra/strchr0//bench-strchr4.out
strchr-extra/strchr0//bench-strchr5.out
strchr-extra/strchr0//bench-strchr6.out
strchr-extra/strchr0//bench-strchr7.out
strchr-extra/strchr0//bench-strchr8.out
strchr-extra/strchr0//bench-strchr9.out

Results For: strchr
alignment,length ,max_char ,pos       ,rand ,rand-addr ,seek_char   ,sunil1      ,strchr0 ,sunil1/strchr0 
1        ,3      ,127      ,2         ,0    ,0         ,0           ,4.21        ,4.012   ,1.049          
1        ,3      ,127      ,2         ,0    ,0         ,23          ,4.227       ,4.012   ,1.054          
1        ,30     ,127      ,29        ,0    ,0         ,0           ,4.301       ,4.05    ,1.062          
1        ,30     ,127      ,29        ,0    ,0         ,23          ,4.191       ,4.005   ,1.046          
1        ,30     ,127      ,31        ,0    ,0         ,0           ,4.313       ,4.019   ,1.073          
1        ,304    ,127      ,16        ,0    ,0         ,0           ,4.268       ,4.035   ,1.058          
1        ,31     ,127      ,30        ,0    ,0         ,0           ,3.957       ,3.718   ,1.064          
1        ,31     ,127      ,30        ,0    ,0         ,23          ,4.223       ,4.059   ,1.04           
1        ,32     ,127      ,128       ,0    ,0         ,0           ,4.267       ,3.985   ,1.071          
1        ,32     ,127      ,160       ,0    ,0         ,0           ,4.277       ,3.975   ,1.076          
1        ,32     ,127      ,192       ,0    ,0         ,0           ,4.226       ,3.957   ,1.068          
1        ,32     ,127      ,224       ,0    ,0         ,0           ,4.299       ,4.055   ,1.06           
1        ,32     ,127      ,256       ,0    ,0         ,0           ,4.282       ,4.038   ,1.06           
1        ,32     ,127      ,288       ,0    ,0         ,0           ,4.255       ,3.966   ,1.073          
1        ,32     ,127      ,31        ,0    ,0         ,0           ,4.252       ,3.985   ,1.067          
1        ,32     ,127      ,31        ,0    ,0         ,23          ,4.265       ,3.987   ,1.07           
1        ,32     ,127      ,320       ,0    ,0         ,0           ,4.238       ,4.057   ,1.044          
1        ,32     ,127      ,352       ,0    ,0         ,0           ,4.324       ,4.004   ,1.08           
1        ,32     ,127      ,64        ,0    ,0         ,0           ,4.355       ,3.985   ,1.093          
1        ,32     ,127      ,96        ,0    ,0         ,0           ,4.289       ,3.969   ,1.081          
1        ,320    ,127      ,128       ,0    ,0         ,0           ,6.434       ,5.889   ,1.092          
1        ,320    ,127      ,256       ,0    ,0         ,0           ,8.088       ,7.669   ,1.055          
1        ,320    ,127      ,32        ,0    ,0         ,0           ,4.318       ,4.02    ,1.074          
1        ,320    ,127      ,512       ,0    ,0         ,0           ,12.185      ,11.228  ,1.085          
1        ,320    ,127      ,64        ,0    ,0         ,0           ,5.571       ,4.764   ,1.169          
1        ,336    ,127      ,16        ,0    ,0         ,0           ,4.31        ,4.02    ,1.072          
1        ,352    ,127      ,128       ,0    ,0         ,0           ,6.4         ,5.836   ,1.097          
1        ,352    ,127      ,256       ,0    ,0         ,0           ,8.055       ,7.673   ,1.05           
1        ,352    ,127      ,32        ,0    ,0         ,0           ,4.296       ,4.005   ,1.073          
1        ,352    ,127      ,512       ,0    ,0         ,0           ,12.156      ,11.223  ,1.083          
1        ,352    ,127      ,64        ,0    ,0         ,0           ,5.578       ,4.816   ,1.158          
1        ,3776   ,127      ,4096      ,0    ,0         ,0           ,55.323      ,55.505  ,0.997          
1        ,3808   ,127      ,4096      ,0    ,0         ,0           ,55.731      ,56.415  ,0.988          
1        ,384    ,127      ,128       ,0    ,0         ,0           ,6.309       ,5.832   ,1.082          
1        ,384    ,127      ,256       ,0    ,0         ,0           ,8.103       ,7.719   ,1.05           
1        ,384    ,127      ,512       ,0    ,0         ,0           ,13.029      ,11.948  ,1.09           
1        ,384    ,127      ,64        ,0    ,0         ,0           ,5.57        ,4.778   ,1.166          
1        ,3840   ,127      ,4096      ,0    ,0         ,0           ,56.667      ,59.899  ,0.946          
1        ,3872   ,127      ,4096      ,0    ,0         ,0           ,57.0        ,58.142  ,0.98           
1        ,3904   ,127      ,4096      ,0    ,0         ,0           ,58.365      ,58.975  ,0.99           
1        ,3936   ,127      ,4096      ,0    ,0         ,0           ,57.884      ,58.968  ,0.982          
1        ,3968   ,127      ,4096      ,0    ,0         ,0           ,58.871      ,59.599  ,0.988          
1        ,4      ,127      ,3         ,0    ,0         ,0           ,4.217       ,4.084   ,1.032          
1        ,4      ,127      ,3         ,0    ,0         ,23          ,4.23        ,4.054   ,1.044          
1        ,4000   ,127      ,4096      ,0    ,0         ,0           ,58.82       ,59.991  ,0.98           
1        ,4032   ,127      ,4096      ,0    ,0         ,0           ,59.058      ,59.546  ,0.992          
1        ,4064   ,127      ,4096      ,0    ,0         ,0           ,58.616      ,59.645  ,0.983          
1        ,4096   ,127      ,32        ,0    ,0         ,0           ,4.311       ,3.955   ,1.09           
1        ,4096   ,127      ,32        ,0    ,0         ,23          ,4.317       ,4.025   ,1.073          
1        ,4096   ,127      ,3776      ,0    ,0         ,0           ,55.845      ,56.129  ,0.995          
1        ,4096   ,127      ,3808      ,0    ,0         ,0           ,55.528      ,56.27   ,0.987          
1        ,4096   ,127      ,3840      ,0    ,0         ,0           ,57.107      ,58.088  ,0.983          
1        ,4096   ,127      ,3872      ,0    ,0         ,0           ,57.405      ,58.188  ,0.987          
1        ,4096   ,127      ,3904      ,0    ,0         ,0           ,57.573      ,59.322  ,0.971          
1        ,4096   ,127      ,3936      ,0    ,0         ,0           ,58.477      ,60.626  ,0.965          
1        ,4096   ,127      ,3968      ,0    ,0         ,0           ,58.71       ,59.646  ,0.984          
1        ,4096   ,127      ,4000      ,0    ,0         ,0           ,58.815      ,59.6    ,0.987          
1        ,4096   ,127      ,4032      ,0    ,0         ,0           ,59.368      ,59.714  ,0.994          
1        ,4096   ,127      ,4064      ,0    ,0         ,0           ,58.979      ,59.704  ,0.988          
1        ,4096   ,127      ,4128      ,0    ,0         ,0           ,60.521      ,62.619  ,0.966          
1        ,4096   ,127      ,4160      ,0    ,0         ,0           ,59.969      ,61.342  ,0.978          
1        ,4096   ,127      ,4192      ,0    ,0         ,0           ,60.235      ,61.347  ,0.982          
1        ,4096   ,127      ,4224      ,0    ,0         ,0           ,60.726      ,61.604  ,0.986          
1        ,4096   ,127      ,4256      ,0    ,0         ,0           ,60.641      ,60.88   ,0.996          
1        ,4096   ,127      ,4288      ,0    ,0         ,0           ,60.473      ,61.74   ,0.979          
1        ,4096   ,127      ,4320      ,0    ,0         ,0           ,60.48       ,61.472  ,0.984          
1        ,4096   ,127      ,4352      ,0    ,0         ,0           ,60.191      ,61.398  ,0.98           
1        ,4096   ,127      ,4384      ,0    ,0         ,0           ,60.395      ,61.523  ,0.982          
1        ,4096   ,127      ,4416      ,0    ,0         ,0           ,60.513      ,62.007  ,0.976          
1        ,4128   ,127      ,4096      ,0    ,0         ,0           ,60.278      ,61.342  ,0.983          
1        ,416    ,127      ,128       ,0    ,0         ,0           ,6.374       ,5.817   ,1.096          
1        ,416    ,127      ,256       ,0    ,0         ,0           ,8.096       ,7.673   ,1.055          
1        ,416    ,127      ,512       ,0    ,0         ,0           ,12.962      ,11.834  ,1.095          
1        ,4160   ,127      ,4096      ,0    ,0         ,0           ,60.332      ,61.499  ,0.981          
1        ,4192   ,127      ,4096      ,0    ,0         ,0           ,59.982      ,61.868  ,0.97           
1        ,4224   ,127      ,4096      ,0    ,0         ,0           ,60.012      ,66.042  ,0.909          
1        ,4256   ,127      ,4096      ,0    ,0         ,0           ,59.679      ,61.478  ,0.971          
1        ,4288   ,127      ,4096      ,0    ,0         ,0           ,60.365      ,60.869  ,0.992          
1        ,4320   ,127      ,4096      ,0    ,0         ,0           ,60.666      ,61.535  ,0.986          
1        ,4352   ,127      ,4096      ,0    ,0         ,0           ,60.344      ,61.584  ,0.98           
1        ,4384   ,127      ,4096      ,0    ,0         ,0           ,60.428      ,60.981  ,0.991          
1        ,4416   ,127      ,4096      ,0    ,0         ,0           ,62.975      ,63.068  ,0.999          
1        ,448    ,127      ,128       ,0    ,0         ,0           ,6.358       ,5.936   ,1.071          
1        ,448    ,127      ,256       ,0    ,0         ,0           ,8.044       ,7.634   ,1.054          
1        ,448    ,127      ,512       ,0    ,0         ,0           ,12.832      ,12.043  ,1.066          
1        ,48     ,127      ,16        ,0    ,0         ,0           ,4.277       ,3.955   ,1.081          
1        ,480    ,127      ,256       ,0    ,0         ,0           ,8.031       ,7.681   ,1.046          
1        ,480    ,127      ,512       ,0    ,0         ,0           ,12.847      ,12.032  ,1.068          
