combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex ,__strnlen_evex_sunil 
352 ,0     ,127      ,512    ,13.487         ,13.654               ,0.988 
352 ,1     ,127      ,512    ,13.533         ,13.624               ,0.993 
352 ,64    ,127      ,512    ,14.723         ,15.206               ,0.968 
512 ,0     ,127      ,352    ,10.254         ,11.315               ,0.906 
512 ,1     ,127      ,352    ,10.204         ,11.39                ,0.896 
512 ,64    ,127      ,352    ,12.07          ,13.249               ,0.911 
704 ,0     ,127      ,512    ,11.974         ,12.937               ,0.926 
704 ,1     ,127      ,512    ,13.812         ,15.747               ,0.877 
704 ,64    ,127      ,512    ,13.846         ,15.951               ,0.868 
512 ,0     ,127      ,704    ,15.964         ,16.055               ,0.994 
512 ,1     ,127      ,704    ,15.909         ,16.109               ,0.988 
512 ,64    ,127      ,704    ,17.306         ,17.157               ,1.009 
320 ,0     ,127      ,512    ,13.595         ,13.751               ,0.989 
320 ,1     ,127      ,512    ,13.369         ,13.5                 ,0.99  
320 ,64    ,127      ,512    ,14.124         ,14.59                ,0.968 
512 ,0     ,127      ,320    ,10.367         ,11.284               ,0.919 
512 ,1     ,127      ,320    ,10.345         ,11.671               ,0.886 
512 ,64    ,127      ,320    ,10.395         ,11.244               ,0.925 
736 ,0     ,127      ,512    ,12.017         ,13.206               ,0.91  
736 ,1     ,127      ,512    ,13.884         ,15.316               ,0.907 
736 ,64    ,127      ,512    ,13.874         ,15.881               ,0.874 
512 ,0     ,127      ,736    ,15.968         ,16.071               ,0.994 
512 ,1     ,127      ,736    ,15.928         ,16.348               ,0.974 
512 ,64    ,127      ,736    ,17.355         ,17.047               ,1.018 
288 ,0     ,127      ,512    ,12.866         ,13.311               ,0.967 
288 ,1     ,127      ,512    ,12.667         ,13.15                ,0.963 
288 ,64    ,127      ,512    ,13.473         ,13.703               ,0.983 
512 ,0     ,127      ,288    ,10.023         ,11.408               ,0.879 
512 ,1     ,127      ,288    ,10.192         ,11.058               ,0.922 
512 ,64    ,127      ,288    ,9.989          ,11.192               ,0.892 
768 ,0     ,127      ,512    ,11.941         ,12.867               ,0.928 
768 ,1     ,127      ,512    ,13.859         ,15.782               ,0.878 
768 ,64    ,127      ,512    ,13.884         ,15.643               ,0.888 
512 ,0     ,127      ,768    ,15.878         ,16.054               ,0.989 
512 ,1     ,127      ,768    ,15.923         ,16.263               ,0.979 
512 ,64    ,127      ,768    ,17.456         ,17.211               ,1.014 
800 ,0     ,127      ,512    ,11.964         ,12.823               ,0.933 
800 ,1     ,127      ,512    ,13.804         ,15.682               ,0.88  
800 ,64    ,127      ,512    ,13.944         ,15.771               ,0.884 
512 ,0     ,127      ,800    ,15.833         ,16.137               ,0.981 
512 ,1     ,127      ,800    ,15.971         ,16.078               ,0.993 
512 ,64    ,127      ,800    ,17.362         ,17.19                ,1.01  
224 ,0     ,127      ,512    ,11.939         ,11.954               ,0.999 
224 ,1     ,127      ,512    ,11.709         ,11.992               ,0.976 
224 ,64    ,127      ,512    ,12.714         ,13.26                ,0.959 
512 ,0     ,127      ,224    ,8.493          ,9.567                ,0.888 
512 ,1     ,127      ,224    ,9.429          ,9.069                ,1.04  
512 ,64    ,127      ,224    ,8.395          ,11.44                ,0.734 
832 ,0     ,127      ,512    ,11.962         ,13.039               ,0.917 
832 ,1     ,127      ,512    ,13.853         ,15.749               ,0.88  
832 ,64    ,127      ,512    ,13.892         ,16.026               ,0.867 
512 ,0     ,127      ,832    ,15.964         ,16.038               ,0.995 
512 ,1     ,127      ,832    ,15.964         ,16.148               ,0.989 
512 ,64    ,127      ,832    ,17.364         ,17.216               ,1.009 
192 ,0     ,127      ,512    ,11.841         ,11.745               ,1.008 
192 ,1     ,127      ,512    ,11.694         ,11.669               ,1.002 
192 ,64    ,127      ,512    ,12.358         ,12.641               ,0.978 
512 ,0     ,127      ,192    ,7.771          ,9.309                ,0.835 
512 ,1     ,127      ,192    ,8.333          ,9.286                ,0.897 
512 ,64    ,127      ,192    ,7.807          ,9.342                ,0.836 
864 ,0     ,127      ,512    ,11.957         ,13.133               ,0.91  
864 ,1     ,127      ,512    ,13.833         ,15.951               ,0.867 
864 ,64    ,127      ,512    ,13.875         ,15.699               ,0.884 
512 ,0     ,127      ,864    ,15.856         ,16.113               ,0.984 
512 ,1     ,127      ,864    ,15.943         ,16.148               ,0.987 
512 ,64    ,127      ,864    ,17.352         ,17.272               ,1.005 
160 ,0     ,127      ,512    ,10.989         ,11.443               ,0.96  
160 ,1     ,127      ,512    ,10.939         ,11.36                ,0.963 
160 ,64    ,127      ,512    ,11.776         ,11.914               ,0.988 
512 ,0     ,127      ,160    ,6.417          ,7.204                ,0.891 
512 ,1     ,127      ,160    ,7.648          ,9.687                ,0.789 
512 ,64    ,127      ,160    ,6.487          ,6.854                ,0.946 
896 ,0     ,127      ,512    ,11.983         ,13.164               ,0.91  
896 ,1     ,127      ,512    ,13.834         ,15.703               ,0.881 
896 ,64    ,127      ,512    ,13.858         ,15.892               ,0.872 
512 ,0     ,127      ,896    ,15.951         ,16.108               ,0.99  
512 ,1     ,127      ,896    ,15.891         ,16.045               ,0.99  
512 ,64    ,127      ,896    ,17.409         ,17.106               ,1.018 
928 ,0     ,127      ,512    ,11.952         ,13.185               ,0.907 
928 ,1     ,127      ,512    ,13.866         ,16.247               ,0.853 
928 ,64    ,127      ,512    ,13.896         ,16.132               ,0.861 
512 ,0     ,127      ,928    ,15.942         ,16.091               ,0.991 
512 ,1     ,127      ,928    ,16.024         ,16.262               ,0.985 
512 ,64    ,127      ,928    ,17.45          ,17.136               ,1.018 
96  ,0     ,127      ,512    ,6.084          ,6.831                ,0.891 
96  ,1     ,127      ,512    ,6.09           ,6.635                ,0.918 
96  ,64    ,127      ,512    ,6.087          ,6.618                ,0.92  
512 ,0     ,127      ,96     ,4.977          ,6.104                ,0.815 
512 ,1     ,127      ,96     ,5.801          ,6.469                ,0.897 
512 ,64    ,127      ,96     ,4.771          ,6.031                ,0.791 
960 ,0     ,127      ,512    ,12.006         ,13.136               ,0.914 
960 ,1     ,127      ,512    ,13.812         ,16.079               ,0.859 
960 ,64    ,127      ,512    ,13.902         ,15.542               ,0.895 
512 ,0     ,127      ,960    ,15.984         ,16.121               ,0.992 
512 ,1     ,127      ,960    ,15.965         ,16.156               ,0.988 
512 ,64    ,127      ,960    ,17.34          ,17.055               ,1.017 
992 ,0     ,127      ,512    ,12.085         ,13.422               ,0.9   
992 ,1     ,127      ,512    ,13.831         ,15.979               ,0.866 
992 ,64    ,127      ,512    ,14.009         ,15.607               ,0.898 
512 ,0     ,127      ,992    ,15.937         ,16.182               ,0.985 
512 ,1     ,127      ,992    ,16.063         ,16.109               ,0.997 
512 ,64    ,127      ,992    ,17.417         ,17.187               ,1.013 
1024,0     ,127      ,512    ,12.014         ,13.072               ,0.919 
1024,1     ,127      ,512    ,13.885         ,15.627               ,0.888 
1024,64    ,127      ,512    ,13.906         ,16.13                ,0.862 
512 ,0     ,127      ,1024   ,15.977         ,16.049               ,0.996 
512 ,1     ,127      ,1024   ,15.941         ,16.14                ,0.988 
512 ,64    ,127      ,1024   ,17.41          ,17.131               ,1.016 
1056,0     ,127      ,512    ,12.039         ,13.125               ,0.917 
1056,1     ,127      ,512    ,13.843         ,15.615               ,0.887 
1056,64    ,127      ,512    ,13.956         ,15.699               ,0.889 
512 ,0     ,127      ,1056   ,16.093         ,16.033               ,1.004 
512 ,1     ,127      ,1056   ,15.949         ,16.04                ,0.994 
512 ,64    ,127      ,1056   ,17.44          ,17.249               ,1.011 
1088,0     ,127      ,512    ,12.065         ,13.181               ,0.915 
1088,1     ,127      ,512    ,13.856         ,15.99                ,0.867 
1088,64    ,127      ,512    ,13.896         ,15.633               ,0.889 
512 ,0     ,127      ,1088   ,15.884         ,16.304               ,0.974 
512 ,1     ,127      ,1088   ,15.972         ,16.353               ,0.977 
512 ,64    ,127      ,1088   ,17.369         ,17.111               ,1.015 
1120,0     ,127      ,512    ,12.015         ,12.901               ,0.931 
1120,1     ,127      ,512    ,13.865         ,16.023               ,0.865 
1120,64    ,127      ,512    ,13.882         ,16.094               ,0.863 
512 ,0     ,127      ,1120   ,15.916         ,16.045               ,0.992 
512 ,1     ,127      ,1120   ,15.999         ,16.083               ,0.995 
512 ,64    ,127      ,1120   ,17.402         ,17.134               ,1.016 
1152,0     ,127      ,512    ,12.027         ,13.125               ,0.916 
1152,1     ,127      ,512    ,13.836         ,15.732               ,0.879 
1152,64    ,127      ,512    ,13.846         ,15.893               ,0.871 
512 ,0     ,127      ,1152   ,16.023         ,16.078               ,0.997 
512 ,1     ,127      ,1152   ,15.959         ,16.088               ,0.992 
512 ,64    ,127      ,1152   ,17.388         ,17.117               ,1.016 
1184,0     ,127      ,512    ,12.039         ,12.958               ,0.929 
1184,1     ,127      ,512    ,13.793         ,15.623               ,0.883 
1184,64    ,127      ,512    ,13.907         ,15.935               ,0.873 
512 ,0     ,127      ,1184   ,16.06          ,16.041               ,1.001 
512 ,1     ,127      ,1184   ,16.047         ,16.082               ,0.998 
512 ,64    ,127      ,1184   ,17.424         ,17.197               ,1.013 
1216,0     ,127      ,512    ,12.041         ,13.16                ,0.915 
1216,1     ,127      ,512    ,13.89          ,15.705               ,0.884 
1216,64    ,127      ,512    ,13.897         ,15.952               ,0.871 
512 ,0     ,127      ,1216   ,16.016         ,16.057               ,0.997 
512 ,1     ,127      ,1216   ,18.039         ,18.267               ,0.988 
512 ,64    ,127      ,1216   ,20.831         ,19.314               ,1.079 
1024,0     ,127      ,1024   ,18.702         ,19.441               ,0.962 
1024,1     ,127      ,1024   ,22.526         ,22.403               ,1.005 
1024,64    ,127      ,1024   ,23.84          ,23.135               ,1.031 
1056,0     ,127      ,1024   ,19.322         ,20.29                ,0.952 
1056,1     ,127      ,1024   ,23.658         ,23.88                ,0.991 
1056,64    ,127      ,1024   ,24.614         ,24.258               ,1.015 
1024,0     ,127      ,1056   ,23.252         ,23.159               ,1.004 
1024,1     ,127      ,1056   ,23.296         ,23.031               ,1.011 
1024,64    ,127      ,1056   ,24.621         ,24.162               ,1.019 
992 ,0     ,127      ,1024   ,22.711         ,22.806               ,0.996 
992 ,1     ,127      ,1024   ,22.792         ,22.397               ,1.018 
992 ,64    ,127      ,1024   ,23.896         ,23.76                ,1.006 
1024,0     ,127      ,992    ,19.334         ,20.656               ,0.936 
1024,1     ,127      ,992    ,19.288         ,20.002               ,0.964 
1024,64    ,127      ,992    ,24.645         ,23.915               ,1.031 
1088,0     ,127      ,1024   ,19.299         ,20.795               ,0.928 
1088,1     ,127      ,1024   ,24.657         ,23.72                ,1.039 
1088,64    ,127      ,1024   ,20.999         ,22.57                ,0.93  
1024,0     ,127      ,1088   ,23.261         ,23.658               ,0.983 
1024,1     ,127      ,1088   ,23.33          ,23.383               ,0.998 
1024,64    ,127      ,1088   ,24.632         ,23.896               ,1.031 
960 ,0     ,127      ,1024   ,22.707         ,22.699               ,1.0   
960 ,1     ,127      ,1024   ,22.899         ,22.218               ,1.031 
960 ,64    ,127      ,1024   ,23.282         ,23.117               ,1.007 
1024,0     ,127      ,960    ,20.291         ,21.593               ,0.94  
1024,1     ,127      ,960    ,20.261         ,21.962               ,0.923 
1024,64    ,127      ,960    ,20.402         ,21.489               ,0.949 
1120,0     ,127      ,1024   ,20.311         ,21.541               ,0.943 
1120,1     ,127      ,1024   ,27.074         ,26.398               ,1.026 
1120,64    ,127      ,1024   ,22.048         ,23.686               ,0.931 
1024,0     ,127      ,1120   ,25.85          ,25.466               ,1.015 
1024,1     ,127      ,1120   ,26.027         ,25.215               ,1.032 
1024,64    ,127      ,1120   ,26.989         ,29.571               ,0.913 
928 ,0     ,127      ,1024   ,23.738         ,26.446               ,0.898 
928 ,1     ,127      ,1024   ,21.911         ,22.142               ,0.99  
928 ,64    ,127      ,1024   ,22.708         ,22.386               ,1.014 
1024,0     ,127      ,928    ,19.289         ,20.419               ,0.945 
1024,1     ,127      ,928    ,19.303         ,20.465               ,0.943 
1024,64    ,127      ,928    ,19.359         ,20.267               ,0.955 
1152,0     ,127      ,1024   ,19.29          ,20.311               ,0.95  
1152,1     ,127      ,1024   ,20.986         ,23.726               ,0.885 
1152,64    ,127      ,1024   ,21.015         ,23.451               ,0.896 
1024,0     ,127      ,1152   ,23.285         ,22.893               ,1.017 
1024,1     ,127      ,1152   ,23.264         ,22.865               ,1.017 
1024,64    ,127      ,1152   ,24.77          ,23.815               ,1.04  
896 ,0     ,127      ,1024   ,21.31          ,21.256               ,1.003 
896 ,1     ,127      ,1024   ,21.337         ,21.186               ,1.007 
896 ,64    ,127      ,1024   ,22.773         ,22.166               ,1.027 
1024,0     ,127      ,896    ,17.638         ,19.346               ,0.912 
1024,1     ,127      ,896    ,19.365         ,20.2                 ,0.959 
1024,64    ,127      ,896    ,19.291         ,20.112               ,0.959 
1184,0     ,127      ,1024   ,19.355         ,20.103               ,0.963 
1184,1     ,127      ,1024   ,21.107         ,22.792               ,0.926 
1184,64    ,127      ,1024   ,20.997         ,22.569               ,0.93  
1024,0     ,127      ,1184   ,23.241         ,22.866               ,1.016 
1024,1     ,127      ,1184   ,23.21          ,22.823               ,1.017 
1024,64    ,127      ,1184   ,24.678         ,23.781               ,1.038 
864 ,0     ,127      ,1024   ,20.884         ,20.541               ,1.017 
864 ,1     ,127      ,1024   ,20.875         ,20.564               ,1.015 
864 ,64    ,127      ,1024   ,21.854         ,21.978               ,0.994 
1024,0     ,127      ,864    ,17.664         ,19.344               ,0.913 
1024,1     ,127      ,864    ,17.595         ,19.292               ,0.912 
1024,64    ,127      ,864    ,19.283         ,20.403               ,0.945 
1216,0     ,127      ,1024   ,19.292         ,19.814               ,0.974 
1216,1     ,127      ,1024   ,20.978         ,22.542               ,0.931 
1216,64    ,127      ,1024   ,20.982         ,22.52                ,0.932 
1024,0     ,127      ,1216   ,23.329         ,22.992               ,1.015 
1024,1     ,127      ,1216   ,23.354         ,22.884               ,1.021 
1024,64    ,127      ,1216   ,24.621         ,23.766               ,1.036 
832 ,0     ,127      ,1024   ,20.891         ,20.501               ,1.019 
832 ,1     ,127      ,1024   ,20.851         ,20.447               ,1.02  
832 ,64    ,127      ,1024   ,21.32          ,21.739               ,0.981 
1024,0     ,127      ,832    ,17.631         ,19.221               ,0.917 
1024,1     ,127      ,832    ,17.599         ,19.397               ,0.907 
1024,64    ,127      ,832    ,17.635         ,19.335               ,0.912 
1248,0     ,127      ,1024   ,19.373         ,20.552               ,0.943 
1248,1     ,127      ,1024   ,20.998         ,23.501               ,0.893 
1248,64    ,127      ,1024   ,20.98          ,23.099               ,0.908 
1024,0     ,127      ,1248   ,23.38          ,23.311               ,1.003 
1024,1     ,127      ,1248   ,23.369         ,23.203               ,1.007 
1024,64    ,127      ,1248   ,24.685         ,24.123               ,1.023 
800 ,0     ,127      ,1024   ,19.993         ,20.154               ,0.992 
800 ,1     ,127      ,1024   ,19.998         ,20.139               ,0.993 
800 ,64    ,127      ,1024   ,20.826         ,20.671               ,1.007 
1024,0     ,127      ,800    ,17.542         ,19.18                ,0.915 
1024,1     ,127      ,800    ,17.546         ,19.182               ,0.915 
1024,64    ,127      ,800    ,17.546         ,19.093               ,0.919 
1280,0     ,127      ,1024   ,19.3           ,19.966               ,0.967 
1280,1     ,127      ,1024   ,20.914         ,22.504               ,0.929 
1280,64    ,127      ,1024   ,20.957         ,22.291               ,0.94  
1024,0     ,127      ,1280   ,23.28          ,22.962               ,1.014 
1024,1     ,127      ,1280   ,23.319         ,22.789               ,1.023 
1024,64    ,127      ,1280   ,24.587         ,23.833               ,1.032 
768 ,0     ,127      ,1024   ,19.477         ,19.628               ,0.992 
768 ,1     ,127      ,1024   ,19.481         ,19.442               ,1.002 
768 ,64    ,127      ,1024   ,20.833         ,20.433               ,1.02  
1024,0     ,127      ,768    ,15.638         ,17.62                ,0.887 
1024,1     ,127      ,768    ,17.593         ,19.165               ,0.918 
1024,64    ,127      ,768    ,17.594         ,19.252               ,0.914 
1312,0     ,127      ,1024   ,19.274         ,20.143               ,0.957 
1312,1     ,127      ,1024   ,20.934         ,22.967               ,0.912 
1312,64    ,127      ,1024   ,20.988         ,23.817               ,0.881 
1024,0     ,127      ,1312   ,23.356         ,23.752               ,0.983 
1024,1     ,127      ,1312   ,23.3           ,23.36                ,0.997 
1024,64    ,127      ,1312   ,24.689         ,24.319               ,1.015 
736 ,0     ,127      ,1024   ,19.069         ,18.751               ,1.017 
736 ,1     ,127      ,1024   ,19.028         ,18.754               ,1.015 
736 ,64    ,127      ,1024   ,19.983         ,20.142               ,0.992 
1024,0     ,127      ,736    ,15.673         ,18.545               ,0.845 
1024,1     ,127      ,736    ,15.684         ,17.741               ,0.884 
1024,64    ,127      ,736    ,17.606         ,19.608               ,0.898 
1344,0     ,127      ,1024   ,19.292         ,19.943               ,0.967 
1344,1     ,127      ,1024   ,20.914         ,22.535               ,0.928 
1344,64    ,127      ,1024   ,20.954         ,22.941               ,0.913 
1024,0     ,127      ,1344   ,23.293         ,23.039               ,1.011 
1024,1     ,127      ,1344   ,23.278         ,22.865               ,1.018 
1024,64    ,127      ,1344   ,24.577         ,23.602               ,1.041 
704 ,0     ,127      ,1024   ,19.059         ,18.773               ,1.015 
704 ,1     ,127      ,1024   ,18.991         ,18.631               ,1.019 
704 ,64    ,127      ,1024   ,19.475         ,19.93                ,0.977 
1024,0     ,127      ,704    ,15.708         ,18.876               ,0.832 
1024,1     ,127      ,704    ,15.628         ,18.431               ,0.848 
1024,64    ,127      ,704    ,15.646         ,18.411               ,0.85  
1376,0     ,127      ,1024   ,19.27          ,19.974               ,0.965 
1376,1     ,127      ,1024   ,20.991         ,22.854               ,0.918 
1376,64    ,127      ,1024   ,20.943         ,22.86                ,0.916 
1024,0     ,127      ,1376   ,23.264         ,22.9                 ,1.016 
1024,1     ,127      ,1376   ,23.131         ,22.69                ,1.019 
1024,64    ,127      ,1376   ,24.514         ,23.759               ,1.032 
672 ,0     ,127      ,1024   ,18.036         ,18.722               ,0.963 
672 ,1     ,127      ,1024   ,18.001         ,18.504               ,0.973 
672 ,64    ,127      ,1024   ,19.033         ,18.85                ,1.01  
1024,0     ,127      ,672    ,15.671         ,18.866               ,0.831 
1024,1     ,127      ,672    ,15.661         ,18.408               ,0.851 
1024,64    ,127      ,672    ,15.679         ,18.87                ,0.831 
1408,0     ,127      ,1024   ,19.252         ,20.402               ,0.944 
1408,1     ,127      ,1024   ,20.91          ,23.232               ,0.9   
1408,64    ,127      ,1024   ,20.935         ,23.068               ,0.908 
1024,0     ,127      ,1408   ,23.224         ,23.209               ,1.001 
1024,1     ,127      ,1408   ,23.236         ,23.134               ,1.004 
1024,64    ,127      ,1408   ,24.629         ,24.179               ,1.019 
640 ,0     ,127      ,1024   ,17.737         ,17.909               ,0.99  
640 ,1     ,127      ,1024   ,17.765         ,18.132               ,0.98  
640 ,64    ,127      ,1024   ,18.961         ,18.757               ,1.011 
1024,0     ,127      ,640    ,13.768         ,15.138               ,0.909 
1024,1     ,127      ,640    ,15.623         ,18.637               ,0.838 
1024,64    ,127      ,640    ,15.701         ,19.227               ,0.817 
1440,0     ,127      ,1024   ,19.295         ,19.974               ,0.966 
1440,1     ,127      ,1024   ,20.871         ,22.618               ,0.923 
1440,64    ,127      ,1024   ,20.928         ,22.394               ,0.935 
1024,0     ,127      ,1440   ,23.243         ,23.393               ,0.994 
1024,1     ,127      ,1440   ,23.212         ,22.764               ,1.02  
1024,64    ,127      ,1440   ,24.664         ,23.648               ,1.043 
608 ,0     ,127      ,1024   ,17.264         ,17.088               ,1.01  
608 ,1     ,127      ,1024   ,17.244         ,17.054               ,1.011 
608 ,64    ,127      ,1024   ,18.068         ,18.579               ,0.973 
1024,0     ,127      ,608    ,13.842         ,15.577               ,0.889 
1024,1     ,127      ,608    ,13.805         ,15.005               ,0.92  
1024,64    ,127      ,608    ,15.71          ,18.098               ,0.868 
1472,0     ,127      ,1024   ,19.241         ,20.374               ,0.944 
1472,1     ,127      ,1024   ,20.958         ,22.682               ,0.924 
1472,64    ,127      ,1024   ,20.923         ,22.507               ,0.93  
1024,0     ,127      ,1472   ,23.165         ,22.806               ,1.016 
1024,1     ,127      ,1472   ,23.241         ,22.864               ,1.017 
1024,64    ,127      ,1472   ,24.656         ,23.873               ,1.033 
576 ,0     ,127      ,1024   ,17.371         ,16.969               ,1.024 
576 ,1     ,127      ,1024   ,17.282         ,17.011               ,1.016 
576 ,64    ,127      ,1024   ,17.877         ,17.988               ,0.994 
1024,0     ,127      ,576    ,13.91          ,15.677               ,0.887 
1024,1     ,127      ,576    ,13.86          ,15.823               ,0.876 
1024,64    ,127      ,576    ,13.876         ,15.652               ,0.887 
1504,0     ,127      ,1024   ,19.188         ,20.544               ,0.934 
1504,1     ,127      ,1024   ,20.868         ,23.142               ,0.902 
1504,64    ,127      ,1024   ,20.99          ,23.284               ,0.901 
1024,0     ,127      ,1504   ,23.136         ,23.12                ,1.001 
1024,1     ,127      ,1504   ,23.116         ,23.097               ,1.001 
1024,64    ,127      ,1504   ,24.524         ,24.018               ,1.021 
544 ,0     ,127      ,1024   ,16.266         ,16.783               ,0.969 
544 ,1     ,127      ,1024   ,16.229         ,16.807               ,0.966 
544 ,64    ,127      ,1024   ,17.291         ,17.074               ,1.013 
1024,0     ,127      ,544    ,13.865         ,15.505               ,0.894 
1024,1     ,127      ,544    ,13.807         ,15.497               ,0.891 
1024,64    ,127      ,544    ,13.813         ,15.711               ,0.879 
1536,0     ,127      ,1024   ,19.179         ,20.236               ,0.948 
1536,1     ,127      ,1024   ,20.887         ,23.12                ,0.903 
1536,64    ,127      ,1024   ,20.891         ,22.988               ,0.909 
1024,0     ,127      ,1536   ,23.112         ,22.982               ,1.006 
1024,1     ,127      ,1536   ,23.14          ,22.977               ,1.007 
1024,64    ,127      ,1536   ,24.55          ,23.528               ,1.043 
1568,0     ,127      ,1024   ,19.433         ,20.151               ,0.964 
1568,1     ,127      ,1024   ,21.041         ,22.608               ,0.931 
1568,64    ,127      ,1024   ,21.068         ,22.456               ,0.938 
1024,0     ,127      ,1568   ,23.251         ,22.788               ,1.02  
1024,1     ,127      ,1568   ,23.198         ,22.751               ,1.02  
1024,64    ,127      ,1568   ,24.762         ,23.674               ,1.046 
480 ,0     ,127      ,1024   ,15.48          ,15.44                ,1.003 
480 ,1     ,127      ,1024   ,15.387         ,15.449               ,0.996 
480 ,64    ,127      ,1024   ,16.349         ,16.865               ,0.969 
1024,0     ,127      ,480    ,12.006         ,12.999               ,0.924 
1024,1     ,127      ,480    ,12.016         ,12.963               ,0.927 
1024,64    ,127      ,480    ,13.836         ,15.459               ,0.895 
1600,0     ,127      ,1024   ,19.113         ,19.953               ,0.958 
1600,1     ,127      ,1024   ,20.92          ,22.548               ,0.928 
1600,64    ,127      ,1024   ,20.93          ,22.519               ,0.929 
1024,0     ,127      ,1600   ,23.238         ,22.828               ,1.018 
1024,1     ,127      ,1600   ,23.119         ,22.899               ,1.01  
1024,64    ,127      ,1600   ,24.506         ,23.494               ,1.043 
448 ,0     ,127      ,1024   ,15.435         ,15.365               ,1.005 
448 ,1     ,127      ,1024   ,15.326         ,15.217               ,1.007 
448 ,64    ,127      ,1024   ,15.88          ,16.282               ,0.975 
1024,0     ,127      ,448    ,12.03          ,13.062               ,0.921 
1024,1     ,127      ,448    ,12.035         ,13.1                 ,0.919 
1024,64    ,127      ,448    ,12.063         ,13.172               ,0.916 
1632,0     ,127      ,1024   ,19.279         ,20.046               ,0.962 
1632,1     ,127      ,1024   ,20.962         ,22.433               ,0.934 
1632,64    ,127      ,1024   ,20.978         ,22.518               ,0.932 
1024,0     ,127      ,1632   ,23.244         ,22.745               ,1.022 
1024,1     ,127      ,1632   ,23.182         ,22.979               ,1.009 
1024,64    ,127      ,1632   ,24.55          ,23.87                ,1.028 
416 ,0     ,127      ,1024   ,14.611         ,15.199               ,0.961 
416 ,1     ,127      ,1024   ,14.507         ,15.052               ,0.964 
416 ,64    ,127      ,1024   ,15.455         ,15.482               ,0.998 
1024,0     ,127      ,416    ,12.011         ,13.387               ,0.897 
1024,1     ,127      ,416    ,12.027         ,13.228               ,0.909 
1024,64    ,127      ,416    ,13.099         ,14.058               ,0.932 
1664,0     ,127      ,1024   ,19.221         ,20.107               ,0.956 
1664,1     ,127      ,1024   ,20.935         ,22.34                ,0.937 
1664,64    ,127      ,1024   ,20.924         ,22.506               ,0.93  
1024,0     ,127      ,1664   ,23.214         ,22.83                ,1.017 
1024,1     ,127      ,1664   ,23.193         ,22.891               ,1.013 
1024,64    ,127      ,1664   ,24.517         ,23.632               ,1.037 
384 ,0     ,127      ,1024   ,14.051         ,14.399               ,0.976 
384 ,1     ,127      ,1024   ,14.104         ,14.396               ,0.98  
384 ,64    ,127      ,1024   ,15.45          ,15.35                ,1.007 
1024,0     ,127      ,384    ,10.164         ,10.921               ,0.931 
1024,1     ,127      ,384    ,11.979         ,13.684               ,0.875 
1024,64    ,127      ,384    ,11.971         ,13.001               ,0.921 
1696,0     ,127      ,1024   ,19.396         ,20.112               ,0.964 
1696,1     ,127      ,1024   ,20.857         ,22.553               ,0.925 
1696,64    ,127      ,1024   ,20.852         ,22.454               ,0.929 
1024,0     ,127      ,1696   ,23.078         ,22.731               ,1.015 
1024,1     ,127      ,1696   ,23.116         ,22.591               ,1.023 
1024,64    ,127      ,1696   ,24.451         ,23.576               ,1.037 
352 ,0     ,127      ,1024   ,13.459         ,13.652               ,0.986 
352 ,1     ,127      ,1024   ,13.342         ,13.553               ,0.984 
352 ,64    ,127      ,1024   ,14.55          ,15.186               ,0.958 
1024,0     ,127      ,352    ,10.241         ,11.083               ,0.924 
1024,1     ,127      ,352    ,10.192         ,11.374               ,0.896 
1024,64    ,127      ,352    ,12.13          ,13.197               ,0.919 
1728,0     ,127      ,1024   ,19.412         ,19.887               ,0.976 
1728,1     ,127      ,1024   ,20.978         ,22.498               ,0.932 
1728,64    ,127      ,1024   ,21.024         ,22.475               ,0.935 
1024,0     ,127      ,1728   ,23.246         ,22.804               ,1.019 
1024,1     ,127      ,1728   ,23.165         ,22.96                ,1.009 
1024,64    ,127      ,1728   ,24.58          ,23.516               ,1.045 
320 ,0     ,127      ,1024   ,13.569         ,13.767               ,0.986 
320 ,1     ,127      ,1024   ,13.458         ,13.621               ,0.988 
320 ,64    ,127      ,1024   ,14.212         ,14.617               ,0.972 
1024,0     ,127      ,320    ,10.245         ,11.197               ,0.915 
1024,1     ,127      ,320    ,10.178         ,11.285               ,0.902 
1024,64    ,127      ,320    ,10.28          ,11.271               ,0.912 
2048,0     ,127      ,2048   ,31.984         ,34.178               ,0.936 
2048,1     ,127      ,2048   ,35.588         ,35.422               ,1.005 
2048,64    ,127      ,2048   ,37.327         ,36.373               ,1.026 
2080,0     ,127      ,2048   ,32.59          ,34.75                ,0.938 
2080,1     ,127      ,2048   ,39.796         ,37.796               ,1.053 
2080,64    ,127      ,2048   ,39.348         ,37.932               ,1.037 
2048,0     ,127      ,2080   ,36.251         ,35.945               ,1.009 
2048,1     ,127      ,2080   ,36.487         ,36.058               ,1.012 
2048,64    ,127      ,2080   ,38.025         ,36.836               ,1.032 
2016,0     ,127      ,2048   ,36.463         ,36.665               ,0.994 
