combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex ,__strnlen_evex_sunil 
160 ,64    ,127      ,128    ,6.163          ,6.483                ,0.951 
128 ,0     ,127      ,160    ,7.318          ,7.835                ,0.934 
128 ,1     ,127      ,160    ,6.84           ,7.509                ,0.911 
128 ,64    ,127      ,160    ,7.336          ,7.726                ,0.95  
96  ,0     ,127      ,128    ,6.602          ,6.708                ,0.984 
96  ,1     ,127      ,128    ,6.552          ,6.765                ,0.968 
96  ,64    ,127      ,128    ,6.611          ,6.735                ,0.982 
128 ,0     ,127      ,96     ,4.816          ,6.139                ,0.784 
128 ,1     ,127      ,96     ,6.358          ,6.969                ,0.912 
128 ,64    ,127      ,96     ,4.844          ,6.176                ,0.784 
192 ,0     ,127      ,128    ,6.107          ,6.556                ,0.931 
192 ,1     ,127      ,128    ,6.525          ,7.073                ,0.923 
192 ,64    ,127      ,128    ,6.111          ,6.727                ,0.908 
128 ,0     ,127      ,192    ,6.805          ,7.56                 ,0.9   
128 ,1     ,127      ,192    ,6.757          ,7.609                ,0.888 
128 ,64    ,127      ,192    ,6.941          ,7.574                ,0.916 
224 ,0     ,127      ,128    ,6.176          ,6.881                ,0.898 
224 ,1     ,127      ,128    ,6.431          ,6.943                ,0.926 
224 ,64    ,127      ,128    ,6.121          ,6.833                ,0.896 
128 ,0     ,127      ,224    ,6.833          ,7.512                ,0.91  
128 ,1     ,127      ,224    ,6.79           ,7.472                ,0.909 
128 ,64    ,127      ,224    ,6.892          ,7.866                ,0.876 
256 ,0     ,127      ,128    ,6.384          ,6.843                ,0.933 
256 ,1     ,127      ,128    ,6.498          ,7.049                ,0.922 
256 ,64    ,127      ,128    ,6.272          ,6.565                ,0.955 
128 ,0     ,127      ,256    ,6.816          ,7.461                ,0.914 
128 ,1     ,127      ,256    ,6.743          ,7.363                ,0.916 
128 ,64    ,127      ,256    ,6.807          ,7.464                ,0.912 
288 ,0     ,127      ,128    ,6.213          ,6.933                ,0.896 
288 ,1     ,127      ,128    ,6.564          ,7.207                ,0.911 
288 ,64    ,127      ,128    ,6.05           ,6.987                ,0.866 
128 ,0     ,127      ,288    ,6.807          ,7.422                ,0.917 
128 ,1     ,127      ,288    ,6.772          ,7.373                ,0.918 
128 ,64    ,127      ,288    ,6.832          ,7.542                ,0.906 
320 ,0     ,127      ,128    ,6.122          ,6.868                ,0.891 
320 ,1     ,127      ,128    ,6.447          ,6.927                ,0.931 
320 ,64    ,127      ,128    ,6.085          ,6.63                 ,0.918 
128 ,0     ,127      ,320    ,6.815          ,7.528                ,0.905 
128 ,1     ,127      ,320    ,6.77           ,7.508                ,0.902 
128 ,64    ,127      ,320    ,6.8            ,7.568                ,0.898 
352 ,0     ,127      ,128    ,6.096          ,6.691                ,0.911 
352 ,1     ,127      ,128    ,6.536          ,7.048                ,0.927 
352 ,64    ,127      ,128    ,6.094          ,6.906                ,0.882 
128 ,0     ,127      ,352    ,6.809          ,7.381                ,0.922 
128 ,1     ,127      ,352    ,6.767          ,7.553                ,0.896 
128 ,64    ,127      ,352    ,6.834          ,7.522                ,0.908 
