spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen0.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen1.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen2.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen3.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen4.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen5.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen6.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen7.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen8.out
spr-runs/run5-256/bench-strlen-sunil-0//bench-strnlen9.out
spr-runs/run5-256/bench-master-0//bench-strnlen0.out
spr-runs/run5-256/bench-master-0//bench-strnlen1.out
spr-runs/run5-256/bench-master-0//bench-strnlen2.out
spr-runs/run5-256/bench-master-0//bench-strnlen3.out
spr-runs/run5-256/bench-master-0//bench-strnlen4.out
spr-runs/run5-256/bench-master-0//bench-strnlen5.out
spr-runs/run5-256/bench-master-0//bench-strnlen6.out
spr-runs/run5-256/bench-master-0//bench-strnlen7.out
spr-runs/run5-256/bench-master-0//bench-strnlen8.out
spr-runs/run5-256/bench-master-0//bench-strnlen9.out

Results For: strlen-sunil-0//bench-strnlen
align,len  ,max_char ,maxlen ,bench-strlen-sunil-0 ,bench-master-0 ,bench-strlen-sunil-0/bench-master-0 
64   ,128  ,127      ,256    ,7.837                ,8.446          ,0.928                               
64   ,128  ,127      ,288    ,8.005                ,8.298          ,0.965                               
64   ,128  ,127      ,32     ,5.2                  ,6.945          ,0.749                               
64   ,128  ,127      ,320    ,8.005                ,8.273          ,0.968                               
64   ,128  ,127      ,352    ,7.951                ,8.445          ,0.942                               
64   ,128  ,127      ,384    ,7.832                ,8.31           ,0.942                               
64   ,128  ,127      ,416    ,8.175                ,8.172          ,1.0                                 
64   ,128  ,127      ,448    ,8.022                ,8.357          ,0.96                                
64   ,128  ,127      ,480    ,7.752                ,8.445          ,0.918                               
64   ,128  ,127      ,512    ,7.817                ,8.279          ,0.944                               
64   ,128  ,127      ,544    ,7.916                ,8.423          ,0.94                                
64   ,128  ,127      ,576    ,7.924                ,8.341          ,0.95                                
64   ,128  ,127      ,608    ,8.109                ,8.174          ,0.992                               
64   ,128  ,127      ,64     ,5.063                ,6.623          ,0.764                               
64   ,128  ,127      ,640    ,8.039                ,8.225          ,0.977                               
64   ,128  ,127      ,672    ,8.095                ,8.262          ,0.98                                
64   ,128  ,127      ,704    ,7.671                ,8.363          ,0.917                               
64   ,128  ,127      ,736    ,7.692                ,8.308          ,0.926                               
64   ,128  ,127      ,768    ,8.182                ,8.274          ,0.989                               
64   ,128  ,127      ,800    ,8.279                ,8.353          ,0.991                               
64   ,128  ,127      ,832    ,8.041                ,8.181          ,0.983                               
64   ,128  ,127      ,96     ,7.614                ,7.073          ,1.077                               
64   ,1280 ,127      ,1024   ,21.156               ,21.115         ,1.002                               
64   ,1312 ,127      ,1024   ,21.163               ,21.132         ,1.001                               
64   ,1344 ,127      ,1024   ,21.204               ,21.13          ,1.003                               
64   ,1344 ,127      ,2048   ,27.369               ,27.392         ,0.999                               
64   ,1376 ,127      ,1024   ,21.166               ,21.119         ,1.002                               
64   ,1376 ,127      ,2048   ,27.38                ,27.407         ,0.999                               
64   ,1408 ,127      ,1024   ,21.167               ,21.14          ,1.001                               
64   ,1408 ,127      ,2048   ,27.776               ,27.834         ,0.998                               
64   ,144  ,127      ,16     ,5.229                ,7.165          ,0.73                                
64   ,1440 ,127      ,1024   ,21.253               ,21.133         ,1.006                               
64   ,1440 ,127      ,2048   ,27.766               ,27.799         ,0.999                               
64   ,1472 ,127      ,1024   ,21.153               ,21.135         ,1.001                               
64   ,1472 ,127      ,2048   ,27.874               ,27.85          ,1.001                               
64   ,1504 ,127      ,1024   ,21.142               ,21.136         ,1.0                                 
64   ,1504 ,127      ,2048   ,27.865               ,27.867         ,1.0                                 
64   ,1536 ,127      ,1024   ,21.168               ,21.138         ,1.001                               
64   ,1536 ,127      ,2048   ,29.408               ,29.262         ,1.005                               
64   ,1568 ,127      ,1024   ,21.16                ,21.132         ,1.001                               
64   ,1568 ,127      ,2048   ,29.093               ,29.252         ,0.995                               
64   ,16   ,127      ,112    ,5.278                ,4.969          ,1.062                               
64   ,16   ,127      ,144    ,5.234                ,5.279          ,0.992                               
64   ,16   ,127      ,16     ,4.94                 ,4.746          ,1.041                               
64   ,16   ,127      ,176    ,5.224                ,5.171          ,1.01                                
64   ,16   ,127      ,208    ,5.278                ,5.066          ,1.042                               
64   ,16   ,127      ,240    ,5.112                ,5.275          ,0.969                               
64   ,16   ,127      ,272    ,5.241                ,5.2            ,1.008                               
64   ,16   ,127      ,304    ,5.23                 ,5.278          ,0.991                               
64   ,16   ,127      ,336    ,5.257                ,5.09           ,1.033                               
64   ,16   ,127      ,368    ,5.191                ,5.113          ,1.015                               
64   ,16   ,127      ,400    ,5.163                ,5.278          ,0.978                               
64   ,16   ,127      ,432    ,5.229                ,5.279          ,0.991                               
64   ,16   ,127      ,464    ,5.226                ,5.067          ,1.032                               
64   ,16   ,127      ,48     ,5.181                ,5.062          ,1.023                               
64   ,16   ,127      ,496    ,5.233                ,5.279          ,0.991                               
64   ,16   ,127      ,528    ,5.159                ,5.04           ,1.024                               
64   ,16   ,127      ,560    ,5.167                ,5.279          ,0.979                               
64   ,16   ,127      ,592    ,5.09                 ,4.97           ,1.024                               
64   ,16   ,127      ,624    ,5.233                ,5.124          ,1.021                               
64   ,16   ,127      ,656    ,5.225                ,5.157          ,1.013                               
64   ,16   ,127      ,688    ,5.285                ,5.171          ,1.022                               
64   ,16   ,127      ,720    ,5.232                ,4.967          ,1.053                               
64   ,16   ,127      ,80     ,5.283                ,5.281          ,1.001                               
64   ,160  ,127      ,128    ,8.335                ,7.176          ,1.161                               
64   ,160  ,127      ,256    ,7.464                ,8.097          ,0.922                               
64   ,160  ,127      ,32     ,5.181                ,7.276          ,0.712                               
64   ,160  ,127      ,512    ,7.431                ,7.949          ,0.935                               
64   ,160  ,127      ,64     ,5.169                ,6.844          ,0.755                               
64   ,1600 ,127      ,1024   ,21.164               ,21.121         ,1.002                               
64   ,1600 ,127      ,2048   ,30.56                ,30.626         ,0.998                               
64   ,1632 ,127      ,1024   ,21.291               ,21.12          ,1.008                               
64   ,1632 ,127      ,2048   ,30.561               ,30.621         ,0.998                               
64   ,1664 ,127      ,1024   ,21.159               ,21.327         ,0.992                               
64   ,1664 ,127      ,2048   ,31.078               ,31.018         ,1.002                               
64   ,1696 ,127      ,1024   ,21.189               ,21.287         ,0.995                               
64   ,1696 ,127      ,2048   ,31.058               ,31.0           ,1.002                               
64   ,1728 ,127      ,1024   ,21.161               ,21.3           ,0.993                               
64   ,1728 ,127      ,2048   ,31.004               ,30.965         ,1.001                               
64   ,176  ,127      ,16     ,5.234                ,7.279          ,0.719                               
64   ,1760 ,127      ,2048   ,31.013               ,30.976         ,1.001                               
64   ,1792 ,127      ,2048   ,32.429               ,32.357         ,1.002                               
64   ,1824 ,127      ,2048   ,32.486               ,32.369         ,1.004                               
64   ,1856 ,127      ,2048   ,33.875               ,33.84          ,1.001                               
64   ,1888 ,127      ,2048   ,33.868               ,33.855         ,1.0                                 
64   ,192  ,127      ,128    ,8.15                 ,7.057          ,1.155                               
64   ,192  ,127      ,256    ,9.077                ,9.014          ,1.007                               
64   ,192  ,127      ,32     ,5.151                ,7.283          ,0.707                               
64   ,192  ,127      ,512    ,9.14                 ,9.075          ,1.007                               
64   ,192  ,127      ,64     ,5.058                ,6.95           ,0.728                               
64   ,1920 ,127      ,2048   ,34.384               ,34.278         ,1.003                               
64   ,1952 ,127      ,2048   ,34.389               ,34.272         ,1.003                               
64   ,1984 ,127      ,2048   ,34.369               ,34.337         ,1.001                               
64   ,2016 ,127      ,2048   ,34.361               ,34.372         ,1.0                                 
64   ,2048 ,127      ,1344   ,23.822               ,23.769         ,1.002                               
64   ,2048 ,127      ,1376   ,23.838               ,24.065         ,0.991                               
64   ,2048 ,127      ,1408   ,23.802               ,23.965         ,0.993                               
64   ,2048 ,127      ,1440   ,23.886               ,23.762         ,1.005                               
64   ,2048 ,127      ,1472   ,23.784               ,23.762         ,1.001                               
64   ,2048 ,127      ,1504   ,26.483               ,26.535         ,0.998                               
64   ,2048 ,127      ,1536   ,26.47                ,27.113         ,0.976                               
64   ,2048 ,127      ,1568   ,26.443               ,26.525         ,0.997                               
64   ,2048 ,127      ,1600   ,26.433               ,26.542         ,0.996                               
64   ,2048 ,127      ,1632   ,26.537               ,26.519         ,1.001                               
64   ,2048 ,127      ,1664   ,26.446               ,26.535         ,0.997                               
64   ,2048 ,127      ,1696   ,26.546               ,26.521         ,1.001                               
64   ,2048 ,127      ,1728   ,26.439               ,26.535         ,0.996                               
64   ,2048 ,127      ,1760   ,29.233               ,29.183         ,1.002                               
64   ,2048 ,127      ,1792   ,29.319               ,29.182         ,1.005                               
64   ,2048 ,127      ,1824   ,29.295               ,29.208         ,1.003                               
64   ,2048 ,127      ,1856   ,29.222               ,29.186         ,1.001                               
64   ,2048 ,127      ,1888   ,29.222               ,29.187         ,1.001                               
64   ,2048 ,127      ,1920   ,29.319               ,29.188         ,1.004                               
64   ,2048 ,127      ,1952   ,29.228               ,29.187         ,1.001                               
64   ,2048 ,127      ,1984   ,29.215               ,29.188         ,1.001                               
64   ,2048 ,127      ,2016   ,35.735               ,35.753         ,1.0                                 
64   ,2048 ,127      ,2048   ,35.719               ,35.637         ,1.002                               
64   ,2048 ,127      ,2080   ,35.739               ,35.673         ,1.002                               
64   ,2048 ,127      ,2112   ,35.728               ,35.715         ,1.0                                 
64   ,2048 ,127      ,2144   ,35.734               ,35.746         ,1.0                                 
64   ,2048 ,127      ,2176   ,35.737               ,35.704         ,1.001                               
64   ,2048 ,127      ,2208   ,35.74                ,35.712         ,1.001                               
64   ,2048 ,127      ,2240   ,35.743               ,35.746         ,1.0                                 
64   ,2048 ,127      ,2272   ,35.734               ,35.77          ,0.999                               
64   ,2048 ,127      ,2304   ,35.741               ,35.709         ,1.001                               
64   ,2048 ,127      ,2336   ,35.738               ,35.689         ,1.001                               
64   ,2048 ,127      ,2368   ,35.733               ,35.694         ,1.001                               
64   ,2048 ,127      ,2400   ,35.736               ,35.694         ,1.001                               
64   ,2048 ,127      ,2432   ,35.738               ,35.697         ,1.001                               
64   ,2048 ,127      ,2464   ,35.732               ,35.738         ,1.0                                 
64   ,2048 ,127      ,2496   ,35.736               ,35.707         ,1.001                               
64   ,2048 ,127      ,2528   ,35.738               ,35.72          ,1.001                               
64   ,2048 ,127      ,2560   ,35.747               ,35.712         ,1.001                               
64   ,2048 ,127      ,2592   ,35.744               ,35.746         ,1.0                                 
64   ,2048 ,127      ,2624   ,35.72                ,35.717         ,1.0                                 
64   ,2048 ,127      ,2656   ,35.733               ,35.723         ,1.0                                 
64   ,2048 ,127      ,2688   ,35.733               ,35.706         ,1.001                               
64   ,2048 ,127      ,2720   ,35.741               ,35.692         ,1.001                               
64   ,2048 ,127      ,2752   ,35.739               ,35.708         ,1.001                               
64   ,208  ,127      ,16     ,5.278                ,7.28           ,0.725                               
64   ,2080 ,127      ,2048   ,35.693               ,35.728         ,0.999                               
64   ,2112 ,127      ,2048   ,36.768               ,36.886         ,0.997                               
64   ,2144 ,127      ,2048   ,36.765               ,36.862         ,0.997                               
64   ,2176 ,127      ,2048   ,37.115               ,37.324         ,0.994                               
64   ,2208 ,127      ,2048   ,37.114               ,37.314         ,0.995                               
64   ,224  ,127      ,128    ,8.121                ,7.174          ,1.132                               
64   ,224  ,127      ,256    ,8.842                ,8.998          ,0.983                               
64   ,224  ,127      ,32     ,5.138                ,7.282          ,0.706                               
64   ,224  ,127      ,512    ,9.011                ,8.953          ,1.006                               
64   ,224  ,127      ,64     ,4.991                ,6.924          ,0.721                               
64   ,2240 ,127      ,2048   ,31.886               ,32.086         ,0.994                               
64   ,2272 ,127      ,2048   ,31.887               ,32.098         ,0.993                               
64   ,2304 ,127      ,2048   ,31.887               ,32.094         ,0.994                               
64   ,2336 ,127      ,2048   ,31.984               ,32.099         ,0.996                               
64   ,2368 ,127      ,2048   ,31.897               ,32.094         ,0.994                               
64   ,240  ,127      ,16     ,5.175                ,7.173          ,0.721                               
64   ,2400 ,127      ,2048   ,32.073               ,32.087         ,1.0                                 
64   ,2432 ,127      ,2048   ,31.892               ,32.099         ,0.994                               
64   ,2464 ,127      ,2048   ,31.889               ,32.092         ,0.994                               
64   ,2496 ,127      ,2048   ,31.901               ,32.102         ,0.994                               
64   ,2528 ,127      ,2048   ,31.888               ,32.248         ,0.989                               
64   ,256  ,127      ,128    ,7.958                ,7.172          ,1.11                                
64   ,256  ,127      ,160    ,7.658                ,7.597          ,1.008                               
64   ,256  ,127      ,192    ,7.77                 ,7.649          ,1.016                               
64   ,256  ,127      ,224    ,8.92                 ,8.962          ,0.995                               
64   ,256  ,127      ,256    ,8.625                ,8.781          ,0.982                               
64   ,256  ,127      ,288    ,10.56                ,10.391         ,1.016                               
64   ,256  ,127      ,32     ,5.192                ,6.793          ,0.764                               
64   ,256  ,127      ,320    ,10.505               ,10.448         ,1.005                               
64   ,256  ,127      ,352    ,10.468               ,10.453         ,1.001                               
64   ,256  ,127      ,384    ,10.468               ,10.478         ,0.999                               
64   ,256  ,127      ,416    ,10.557               ,10.534         ,1.002                               
64   ,256  ,127      ,448    ,10.435               ,10.434         ,1.0                                 
64   ,256  ,127      ,480    ,10.504               ,10.523         ,0.998                               
64   ,256  ,127      ,512    ,10.402               ,10.461         ,0.994                               
64   ,256  ,127      ,544    ,10.503               ,10.487         ,1.002                               
64   ,256  ,127      ,576    ,10.532               ,10.561         ,0.997                               
64   ,256  ,127      ,608    ,10.549               ,10.459         ,1.009                               
64   ,256  ,127      ,64     ,5.109                ,6.593          ,0.775                               
64   ,256  ,127      ,640    ,10.515               ,10.509         ,1.001                               
64   ,256  ,127      ,672    ,10.551               ,10.532         ,1.002                               
64   ,256  ,127      ,704    ,10.491               ,10.509         ,0.998                               
64   ,256  ,127      ,736    ,10.462               ,10.531         ,0.993                               
64   ,256  ,127      ,768    ,10.569               ,10.449         ,1.012                               
64   ,256  ,127      ,800    ,10.41                ,10.525         ,0.989                               
64   ,256  ,127      ,832    ,10.46                ,10.506         ,0.996                               
64   ,256  ,127      ,864    ,10.408               ,10.522         ,0.989                               
64   ,256  ,127      ,896    ,10.498               ,10.529         ,0.997                               
64   ,256  ,127      ,928    ,10.475               ,10.53          ,0.995                               
64   ,256  ,127      ,96     ,7.701                ,7.058          ,1.091                               
64   ,256  ,127      ,960    ,10.453               ,10.449         ,1.0                                 
64   ,2560 ,127      ,2048   ,31.894               ,32.101         ,0.994                               
64   ,2592 ,127      ,2048   ,31.878               ,32.096         ,0.993                               
64   ,2624 ,127      ,2048   ,31.89                ,32.088         ,0.994                               
64   ,2656 ,127      ,2048   ,31.917               ,32.105         ,0.994                               
64   ,2688 ,127      ,2048   ,31.896               ,32.101         ,0.994                               
64   ,272  ,127      ,16     ,5.297                ,7.169          ,0.739                               
64   ,2720 ,127      ,2048   ,31.916               ,32.108         ,0.994                               
64   ,2752 ,127      ,2048   ,31.896               ,32.098         ,0.994                               
64   ,288  ,127      ,128    ,8.289                ,7.225          ,1.147                               
64   ,288  ,127      ,256    ,8.871                ,8.832          ,1.004                               
64   ,288  ,127      ,32     ,5.185                ,7.278          ,0.712                               
64   ,288  ,127      ,512    ,10.377               ,10.402         ,0.998                               
64   ,288  ,127      ,64     ,5.132                ,6.801          ,0.755                               
64   ,304  ,127      ,16     ,5.229                ,7.165          ,0.73                                
64   ,32   ,127      ,128    ,5.087                ,4.956          ,1.026                               
64   ,32   ,127      ,160    ,5.085                ,5.019          ,1.013                               
64   ,32   ,127      ,192    ,5.085                ,5.175          ,0.983                               
64   ,32   ,127      ,224    ,5.085                ,4.873          ,1.043                               
64   ,32   ,127      ,256    ,5.133                ,4.917          ,1.044                               
64   ,32   ,127      ,288    ,5.085                ,5.174          ,0.983                               
64   ,32   ,127      ,32     ,5.172                ,5.158          ,1.003                               
64   ,32   ,127      ,320    ,5.168                ,5.174          ,0.999                               
64   ,32   ,127      ,352    ,5.085                ,4.863          ,1.046                               
64   ,32   ,127      ,384    ,5.132                ,5.067          ,1.013                               
64   ,32   ,127      ,416    ,5.019                ,4.863          ,1.032                               
64   ,32   ,127      ,448    ,5.181                ,4.964          ,1.044                               
64   ,32   ,127      ,480    ,5.133                ,4.964          ,1.034                               
64   ,32   ,127      ,512    ,5.133                ,5.065          ,1.013                               
