combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex512 ,__strnlen_evex512_orig 
352 ,64    ,127      ,256    ,6.568             ,6.193                  ,1.06  
256 ,0     ,127      ,352    ,6.918             ,7.466                  ,0.927 
256 ,1     ,127      ,352    ,6.901             ,7.617                  ,0.906 
256 ,64    ,127      ,352    ,6.913             ,7.464                  ,0.926 
160 ,0     ,127      ,256    ,5.63              ,6.624                  ,0.85  
160 ,1     ,127      ,256    ,5.712             ,6.592                  ,0.866 
160 ,64    ,127      ,256    ,5.705             ,6.7                    ,0.852 
256 ,0     ,127      ,160    ,4.947             ,5.133                  ,0.964 
256 ,1     ,127      ,160    ,5.181             ,5.419                  ,0.956 
256 ,64    ,127      ,160    ,5.143             ,5.656                  ,0.909 
384 ,0     ,127      ,256    ,7.058             ,6.66                   ,1.06  
384 ,1     ,127      ,256    ,6.516             ,7.329                  ,0.889 
384 ,64    ,127      ,256    ,6.568             ,6.292                  ,1.044 
256 ,0     ,127      ,384    ,6.945             ,7.467                  ,0.93  
256 ,1     ,127      ,384    ,6.937             ,7.597                  ,0.913 
256 ,64    ,127      ,384    ,6.899             ,7.424                  ,0.929 
416 ,0     ,127      ,256    ,6.769             ,6.547                  ,1.034 
416 ,1     ,127      ,256    ,6.539             ,7.369                  ,0.887 
416 ,64    ,127      ,256    ,6.342             ,6.15                   ,1.031 
256 ,0     ,127      ,416    ,7.007             ,7.504                  ,0.934 
256 ,1     ,127      ,416    ,7.087             ,7.623                  ,0.93  
256 ,64    ,127      ,416    ,7.184             ,7.455                  ,0.964 
96  ,0     ,127      ,256    ,4.767             ,5.109                  ,0.933 
96  ,1     ,127      ,256    ,4.947             ,5.319                  ,0.93  
96  ,64    ,127      ,256    ,4.763             ,5.108                  ,0.932 
256 ,0     ,127      ,96     ,4.665             ,4.605                  ,1.013 
256 ,1     ,127      ,96     ,4.815             ,4.637                  ,1.038 
256 ,64    ,127      ,96     ,4.733             ,4.633                  ,1.021 
448 ,0     ,127      ,256    ,6.586             ,6.313                  ,1.043 
448 ,1     ,127      ,256    ,6.521             ,7.003                  ,0.931 
448 ,64    ,127      ,256    ,6.416             ,6.056                  ,1.06  
256 ,0     ,127      ,448    ,6.93              ,7.428                  ,0.933 
256 ,1     ,127      ,448    ,6.962             ,7.586                  ,0.918 
256 ,64    ,127      ,448    ,6.971             ,7.515                  ,0.928 
480 ,0     ,127      ,256    ,6.62              ,6.731                  ,0.984 
480 ,1     ,127      ,256    ,6.465             ,7.13                   ,0.907 
480 ,64    ,127      ,256    ,6.382             ,6.079                  ,1.05  
256 ,0     ,127      ,480    ,6.886             ,7.44                   ,0.926 
256 ,1     ,127      ,480    ,7.151             ,7.658                  ,0.934 
256 ,64    ,127      ,480    ,6.901             ,7.424                  ,0.93  
512 ,0     ,127      ,256    ,6.154             ,6.498                  ,0.947 
512 ,1     ,127      ,256    ,6.364             ,7.226                  ,0.881 
512 ,64    ,127      ,256    ,6.14              ,6.294                  ,0.976 
256 ,0     ,127      ,512    ,6.703             ,7.483                  ,0.896 
256 ,1     ,127      ,512    ,6.804             ,7.642                  ,0.89  
256 ,64    ,127      ,512    ,6.739             ,7.483                  ,0.901 
544 ,0     ,127      ,256    ,6.629             ,6.307                  ,1.051 
544 ,1     ,127      ,256    ,6.507             ,7.477                  ,0.87  
544 ,64    ,127      ,256    ,6.414             ,6.238                  ,1.028 
256 ,0     ,127      ,544    ,6.902             ,7.438                  ,0.928 
