combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex512 ,__strnlen_evex512_orig 
512 ,1     ,127      ,288    ,6.518             ,7.386                  ,0.883 
512 ,64    ,127      ,288    ,6.445             ,7.207                  ,0.894 
768 ,0     ,127      ,512    ,10.34             ,10.025                 ,1.031 
768 ,1     ,127      ,512    ,10.465            ,11.18                  ,0.936 
768 ,64    ,127      ,512    ,10.873            ,11.07                  ,0.982 
512 ,0     ,127      ,768    ,11.89             ,12.028                 ,0.989 
512 ,1     ,127      ,768    ,12.077            ,12.25                  ,0.986 
512 ,64    ,127      ,768    ,12.421            ,12.828                 ,0.968 
800 ,0     ,127      ,512    ,10.16             ,8.982                  ,1.131 
800 ,1     ,127      ,512    ,10.279            ,11.305                 ,0.909 
800 ,64    ,127      ,512    ,10.652            ,10.874                 ,0.98  
512 ,0     ,127      ,800    ,11.884            ,12.042                 ,0.987 
512 ,1     ,127      ,800    ,12.079            ,12.229                 ,0.988 
512 ,64    ,127      ,800    ,12.446            ,12.554                 ,0.991 
224 ,0     ,127      ,512    ,6.447             ,6.793                  ,0.949 
224 ,1     ,127      ,512    ,6.625             ,6.901                  ,0.96  
224 ,64    ,127      ,512    ,6.723             ,6.737                  ,0.998 
512 ,0     ,127      ,224    ,6.792             ,6.16                   ,1.103 
512 ,1     ,127      ,224    ,6.575             ,6.063                  ,1.084 
512 ,64    ,127      ,224    ,6.409             ,6.259                  ,1.024 
832 ,0     ,127      ,512    ,10.296            ,9.057                  ,1.137 
832 ,1     ,127      ,512    ,10.493            ,10.511                 ,0.998 
832 ,64    ,127      ,512    ,10.582            ,10.675                 ,0.991 
512 ,0     ,127      ,832    ,11.866            ,12.087                 ,0.982 
512 ,1     ,127      ,832    ,12.225            ,12.322                 ,0.992 
512 ,64    ,127      ,832    ,12.447            ,12.773                 ,0.974 
192 ,0     ,127      ,512    ,6.668             ,6.711                  ,0.994 
192 ,1     ,127      ,512    ,6.648             ,6.917                  ,0.961 
192 ,64    ,127      ,512    ,6.56              ,6.725                  ,0.975 
512 ,0     ,127      ,192    ,5.224             ,5.584                  ,0.936 
512 ,1     ,127      ,192    ,6.776             ,6.44                   ,1.052 
512 ,64    ,127      ,192    ,4.843             ,5.12                   ,0.946 
864 ,0     ,127      ,512    ,10.12             ,8.762                  ,1.155 
864 ,1     ,127      ,512    ,10.51             ,10.533                 ,0.998 
864 ,64    ,127      ,512    ,10.433            ,10.511                 ,0.993 
512 ,0     ,127      ,864    ,11.898            ,12.087                 ,0.984 
512 ,1     ,127      ,864    ,12.099            ,12.258                 ,0.987 
512 ,64    ,127      ,864    ,12.466            ,12.721                 ,0.98  
160 ,0     ,127      ,512    ,5.627             ,6.728                  ,0.836 
160 ,1     ,127      ,512    ,5.749             ,6.594                  ,0.872 
160 ,64    ,127      ,512    ,5.782             ,6.565                  ,0.881 
512 ,0     ,127      ,160    ,5.263             ,5.833                  ,0.902 
512 ,1     ,127      ,160    ,5.13              ,5.231                  ,0.981 
512 ,64    ,127      ,160    ,4.987             ,5.474                  ,0.911 
896 ,0     ,127      ,512    ,10.336            ,8.889                  ,1.163 
896 ,1     ,127      ,512    ,10.577            ,10.665                 ,0.992 
896 ,64    ,127      ,512    ,10.229            ,10.593                 ,0.966 
512 ,0     ,127      ,896    ,11.928            ,12.045                 ,0.99  
512 ,1     ,127      ,896    ,12.211            ,12.286                 ,0.994 
512 ,64    ,127      ,896    ,12.401            ,12.507                 ,0.992 
928 ,0     ,127      ,512    ,10.124            ,8.955                  ,1.13  
928 ,1     ,127      ,512    ,10.544            ,10.889                 ,0.968 
928 ,64    ,127      ,512    ,10.486            ,11.052                 ,0.949 
512 ,0     ,127      ,928    ,11.877            ,11.964                 ,0.993 
512 ,1     ,127      ,928    ,12.124            ,12.196                 ,0.994 
512 ,64    ,127      ,928    ,12.428            ,12.61                  ,0.986 
96  ,0     ,127      ,512    ,4.799             ,5.133                  ,0.935 
96  ,1     ,127      ,512    ,4.899             ,5.33                   ,0.919 
96  ,64    ,127      ,512    ,4.75              ,5.08                   ,0.935 
512 ,0     ,127      ,96     ,4.781             ,4.524                  ,1.057 
512 ,1     ,127      ,96     ,4.494             ,4.382                  ,1.026 
512 ,64    ,127      ,96     ,4.716             ,4.746                  ,0.994 
960 ,0     ,127      ,512    ,10.51             ,8.872                  ,1.185 
960 ,1     ,127      ,512    ,10.498            ,10.63                  ,0.988 
960 ,64    ,127      ,512    ,10.49             ,10.326                 ,1.016 
512 ,0     ,127      ,960    ,11.946            ,11.993                 ,0.996 
512 ,1     ,127      ,960    ,12.133            ,12.12                  ,1.001 
512 ,64    ,127      ,960    ,12.455            ,12.615                 ,0.987 
992 ,0     ,127      ,512    ,10.223            ,9.177                  ,1.114 
992 ,1     ,127      ,512    ,10.357            ,10.69                  ,0.969 
992 ,64    ,127      ,512    ,10.477            ,10.67                  ,0.982 
512 ,0     ,127      ,992    ,11.937            ,12.072                 ,0.989 
512 ,1     ,127      ,992    ,12.182            ,12.28                  ,0.992 
512 ,64    ,127      ,992    ,12.419            ,12.622                 ,0.984 
1024,0     ,127      ,512    ,9.966             ,9.191                  ,1.084 
1024,1     ,127      ,512    ,10.065            ,10.791                 ,0.933 
1024,64    ,127      ,512    ,9.649             ,10.815                 ,0.892 
512 ,0     ,127      ,1024   ,11.642            ,12.0                   ,0.97  
512 ,1     ,127      ,1024   ,11.894            ,12.156                 ,0.978 
512 ,64    ,127      ,1024   ,12.147            ,12.494                 ,0.972 
1056,0     ,127      ,512    ,10.283            ,9.129                  ,1.126 
1056,1     ,127      ,512    ,11.149            ,11.252                 ,0.991 
1056,64    ,127      ,512    ,10.749            ,10.728                 ,1.002 
512 ,0     ,127      ,1056   ,11.898            ,12.062                 ,0.986 
512 ,1     ,127      ,1056   ,12.128            ,12.201                 ,0.994 
512 ,64    ,127      ,1056   ,12.401            ,12.725                 ,0.975 
1088,0     ,127      ,512    ,10.122            ,9.422                  ,1.074 
1088,1     ,127      ,512    ,10.812            ,10.653                 ,1.015 
1088,64    ,127      ,512    ,10.789            ,10.918                 ,0.988 
512 ,0     ,127      ,1088   ,11.864            ,12.097                 ,0.981 
512 ,1     ,127      ,1088   ,12.071            ,12.19                  ,0.99  
512 ,64    ,127      ,1088   ,12.518            ,12.69                  ,0.986 
1120,0     ,127      ,512    ,10.266            ,9.093                  ,1.129 
1120,1     ,127      ,512    ,10.922            ,10.97                  ,0.996 
1120,64    ,127      ,512    ,10.404            ,11.119                 ,0.936 
512 ,0     ,127      ,1120   ,11.996            ,12.053                 ,0.995 
512 ,1     ,127      ,1120   ,12.153            ,12.316                 ,0.987 
512 ,64    ,127      ,1120   ,12.534            ,12.59                  ,0.996 
1152,0     ,127      ,512    ,10.09             ,9.1                    ,1.109 
1152,1     ,127      ,512    ,10.789            ,11.069                 ,0.975 
1152,64    ,127      ,512    ,10.843            ,10.549                 ,1.028 
512 ,0     ,127      ,1152   ,11.854            ,12.052                 ,0.984 
512 ,1     ,127      ,1152   ,12.15             ,12.176                 ,0.998 
512 ,64    ,127      ,1152   ,12.416            ,12.464                 ,0.996 
1184,0     ,127      ,512    ,10.199            ,9.104                  ,1.12  
1184,1     ,127      ,512    ,11.023            ,10.946                 ,1.007 
1184,64    ,127      ,512    ,10.445            ,10.684                 ,0.978 
512 ,0     ,127      ,1184   ,11.928            ,12.183                 ,0.979 
512 ,1     ,127      ,1184   ,12.195            ,12.256                 ,0.995 
512 ,64    ,127      ,1184   ,12.409            ,12.473                 ,0.995 
1216,0     ,127      ,512    ,10.143            ,8.855                  ,1.145 
1216,1     ,127      ,512    ,10.78             ,10.894                 ,0.99  
1216,64    ,127      ,512    ,11.106            ,10.534                 ,1.054 
512 ,0     ,127      ,1216   ,11.882            ,12.098                 ,0.982 
512 ,1     ,127      ,1216   ,14.682            ,14.181                 ,1.035 
512 ,64    ,127      ,1216   ,14.564            ,13.892                 ,1.048 
1024,0     ,127      ,1024   ,11.105            ,12.361                 ,0.898 
1024,1     ,127      ,1024   ,16.006            ,16.457                 ,0.973 
1024,64    ,127      ,1024   ,16.119            ,16.558                 ,0.973 
1056,0     ,127      ,1024   ,11.812            ,12.572                 ,0.94  
1056,1     ,127      ,1024   ,16.879            ,16.83                  ,1.003 
1056,64    ,127      ,1024   ,16.751            ,16.897                 ,0.991 
1024,0     ,127      ,1056   ,16.534            ,16.178                 ,1.022 
1024,1     ,127      ,1056   ,16.907            ,16.718                 ,1.011 
1024,64    ,127      ,1056   ,16.82             ,17.036                 ,0.987 
992 ,0     ,127      ,1024   ,15.378            ,15.155                 ,1.015 
992 ,1     ,127      ,1024   ,15.81             ,15.64                  ,1.011 
992 ,64    ,127      ,1024   ,16.47             ,16.315                 ,1.01  
1024,0     ,127      ,992    ,11.837            ,13.097                 ,0.904 
1024,1     ,127      ,992    ,11.834            ,12.469                 ,0.949 
1024,64    ,127      ,992    ,16.864            ,16.915                 ,0.997 
1088,0     ,127      ,1024   ,11.844            ,12.883                 ,0.919 
1088,1     ,127      ,1024   ,17.24             ,17.357                 ,0.993 
1088,64    ,127      ,1024   ,17.426            ,16.963                 ,1.027 
1024,0     ,127      ,1088   ,16.329            ,16.468                 ,0.992 
1024,1     ,127      ,1088   ,16.66             ,16.8                   ,0.992 
1024,64    ,127      ,1088   ,16.786            ,17.001                 ,0.987 
960 ,0     ,127      ,1024   ,15.481            ,15.291                 ,1.012 
960 ,1     ,127      ,1024   ,15.792            ,15.608                 ,1.012 
960 ,64    ,127      ,1024   ,16.446            ,16.333                 ,1.007 
1024,0     ,127      ,960    ,13.23             ,14.305                 ,0.925 
1024,1     ,127      ,960    ,13.52             ,14.388                 ,0.94  
1024,64    ,127      ,960    ,13.692            ,14.361                 ,0.953 
1120,0     ,127      ,1024   ,13.348            ,13.795                 ,0.968 
1120,1     ,127      ,1024   ,18.407            ,19.35                  ,0.951 
1120,64    ,127      ,1024   ,19.845            ,19.515                 ,1.017 
1024,0     ,127      ,1120   ,18.304            ,18.299                 ,1.0   
1024,1     ,127      ,1120   ,18.519            ,18.696                 ,0.991 
1024,64    ,127      ,1120   ,17.974            ,18.682                 ,0.962 
928 ,0     ,127      ,1024   ,17.646            ,17.639                 ,1.0   
928 ,1     ,127      ,1024   ,15.524            ,15.471                 ,1.003 
928 ,64    ,127      ,1024   ,15.285            ,15.518                 ,0.985 
1024,0     ,127      ,928    ,11.769            ,12.53                  ,0.939 
1024,1     ,127      ,928    ,11.709            ,13.19                  ,0.888 
1024,64    ,127      ,928    ,11.923            ,13.31                  ,0.896 
1152,0     ,127      ,1024   ,11.731            ,13.345                 ,0.879 
1152,1     ,127      ,1024   ,17.504            ,17.245                 ,1.015 
1152,64    ,127      ,1024   ,17.05             ,17.337                 ,0.983 
1024,0     ,127      ,1152   ,16.392            ,16.385                 ,1.0   
1024,1     ,127      ,1152   ,16.709            ,16.532                 ,1.011 
1024,64    ,127      ,1152   ,16.814            ,16.788                 ,1.002 
896 ,0     ,127      ,1024   ,15.289            ,15.454                 ,0.989 
896 ,1     ,127      ,1024   ,15.502            ,15.769                 ,0.983 
896 ,64    ,127      ,1024   ,15.28             ,15.551                 ,0.983 
1024,0     ,127      ,896    ,11.841            ,12.541                 ,0.944 
1024,1     ,127      ,896    ,11.911            ,13.126                 ,0.907 
1024,64    ,127      ,896    ,11.628            ,12.927                 ,0.9   
1184,0     ,127      ,1024   ,11.794            ,12.434                 ,0.949 
1184,1     ,127      ,1024   ,18.006            ,17.38                  ,1.036 
1184,64    ,127      ,1024   ,17.192            ,17.58                  ,0.978 
1024,0     ,127      ,1184   ,16.416            ,16.384                 ,1.002 
1024,1     ,127      ,1184   ,16.714            ,16.771                 ,0.997 
1024,64    ,127      ,1184   ,16.857            ,16.997                 ,0.992 
864 ,0     ,127      ,1024   ,14.628            ,14.62                  ,1.001 
864 ,1     ,127      ,1024   ,14.818            ,15.106                 ,0.981 
864 ,64    ,127      ,1024   ,15.486            ,15.259                 ,1.015 
1024,0     ,127      ,864    ,11.948            ,12.704                 ,0.94  
1024,1     ,127      ,864    ,11.866            ,12.495                 ,0.95  
1024,64    ,127      ,864    ,11.879            ,12.849                 ,0.925 
1216,0     ,127      ,1024   ,11.811            ,13.165                 ,0.897 
1216,1     ,127      ,1024   ,17.603            ,17.836                 ,0.987 
1216,64    ,127      ,1024   ,13.169            ,15.239                 ,0.864 
1024,0     ,127      ,1216   ,16.556            ,16.421                 ,1.008 
1024,1     ,127      ,1216   ,16.732            ,16.957                 ,0.987 
1024,64    ,127      ,1216   ,16.729            ,17.11                  ,0.978 
832 ,0     ,127      ,1024   ,14.508            ,14.652                 ,0.99  
832 ,1     ,127      ,1024   ,14.895            ,14.815                 ,1.005 
832 ,64    ,127      ,1024   ,15.186            ,15.306                 ,0.992 
1024,0     ,127      ,832    ,11.786            ,12.658                 ,0.931 
1024,1     ,127      ,832    ,11.643            ,12.931                 ,0.9   
1024,64    ,127      ,832    ,11.841            ,12.826                 ,0.923 
1248,0     ,127      ,1024   ,11.795            ,12.828                 ,0.92  
1248,1     ,127      ,1024   ,17.42             ,17.545                 ,0.993 
1248,64    ,127      ,1024   ,13.223            ,14.773                 ,0.895 
1024,0     ,127      ,1248   ,16.343            ,16.464                 ,0.993 
1024,1     ,127      ,1248   ,16.872            ,16.976                 ,0.994 
1024,64    ,127      ,1248   ,16.806            ,16.801                 ,1.0   
800 ,0     ,127      ,1024   ,14.144            ,14.135                 ,1.001 
800 ,1     ,127      ,1024   ,14.121            ,14.343                 ,0.985 
800 ,64    ,127      ,1024   ,14.474            ,14.719                 ,0.983 
1024,0     ,127      ,800    ,11.751            ,12.467                 ,0.943 
1024,1     ,127      ,800    ,11.886            ,13.054                 ,0.911 
1024,64    ,127      ,800    ,11.779            ,12.611                 ,0.934 
1280,0     ,127      ,1024   ,11.775            ,12.685                 ,0.928 
1280,1     ,127      ,1024   ,13.349            ,14.45                  ,0.924 
1280,64    ,127      ,1024   ,13.227            ,15.183                 ,0.871 
1024,0     ,127      ,1280   ,16.35             ,16.161                 ,1.012 
1024,1     ,127      ,1280   ,16.628            ,17.065                 ,0.974 
1024,64    ,127      ,1280   ,16.692            ,17.238                 ,0.968 
768 ,0     ,127      ,1024   ,14.123            ,13.894                 ,1.016 
768 ,1     ,127      ,1024   ,14.119            ,14.016                 ,1.007 
768 ,64    ,127      ,1024   ,14.454            ,14.742                 ,0.98  
1024,0     ,127      ,768    ,10.29             ,10.985                 ,0.937 
1024,1     ,127      ,768    ,12.083            ,12.951                 ,0.933 
1024,64    ,127      ,768    ,11.754            ,13.236                 ,0.888 
1312,0     ,127      ,1024   ,11.853            ,12.926                 ,0.917 
1312,1     ,127      ,1024   ,13.256            ,15.104                 ,0.878 
1312,64    ,127      ,1024   ,13.289            ,14.765                 ,0.9   
1024,0     ,127      ,1312   ,16.44             ,16.752                 ,0.981 
1024,1     ,127      ,1312   ,16.865            ,16.692                 ,1.01  
1024,64    ,127      ,1312   ,16.679            ,17.066                 ,0.977 
736 ,0     ,127      ,1024   ,12.778            ,13.191                 ,0.969 
736 ,1     ,127      ,1024   ,13.083            ,13.287                 ,0.985 
736 ,64    ,127      ,1024   ,13.782            ,13.824                 ,0.997 
1024,0     ,127      ,736    ,10.02             ,10.979                 ,0.913 
1024,1     ,127      ,736    ,10.249            ,11.359                 ,0.902 
1024,64    ,127      ,736    ,11.738            ,13.053                 ,0.899 
1344,0     ,127      ,1024   ,11.871            ,12.677                 ,0.936 
1344,1     ,127      ,1024   ,13.098            ,15.062                 ,0.87  
1344,64    ,127      ,1024   ,13.204            ,14.565                 ,0.907 
1024,0     ,127      ,1344   ,16.39             ,16.405                 ,0.999 
1024,1     ,127      ,1344   ,16.726            ,16.81                  ,0.995 
1024,64    ,127      ,1344   ,16.812            ,17.372                 ,0.968 
704 ,0     ,127      ,1024   ,12.906            ,13.14                  ,0.982 
704 ,1     ,127      ,1024   ,13.284            ,13.295                 ,0.999 
704 ,64    ,127      ,1024   ,13.656            ,13.671                 ,0.999 
1024,0     ,127      ,704    ,10.241            ,11.062                 ,0.926 
1024,1     ,127      ,704    ,10.645            ,11.011                 ,0.967 
1024,64    ,127      ,704    ,9.927             ,10.87                  ,0.913 
1376,0     ,127      ,1024   ,12.253            ,12.984                 ,0.944 
1376,1     ,127      ,1024   ,13.264            ,14.619                 ,0.907 
1376,64    ,127      ,1024   ,13.133            ,14.708                 ,0.893 
1024,0     ,127      ,1376   ,16.233            ,16.646                 ,0.975 
1024,1     ,127      ,1376   ,16.707            ,16.6                   ,1.006 
1024,64    ,127      ,1376   ,16.75             ,16.776                 ,0.998 
672 ,0     ,127      ,1024   ,12.79             ,12.803                 ,0.999 
672 ,1     ,127      ,1024   ,13.105            ,12.838                 ,1.021 
672 ,64    ,127      ,1024   ,12.812            ,13.039                 ,0.983 
1024,0     ,127      ,672    ,10.395            ,10.252                 ,1.014 
1024,1     ,127      ,672    ,10.546            ,11.468                 ,0.92  
1024,64    ,127      ,672    ,10.084            ,10.822                 ,0.932 
1408,0     ,127      ,1024   ,11.759            ,13.066                 ,0.9   
1408,1     ,127      ,1024   ,13.291            ,14.435                 ,0.921 
1408,64    ,127      ,1024   ,13.375            ,14.684                 ,0.911 
1024,0     ,127      ,1408   ,16.268            ,16.389                 ,0.993 
1024,1     ,127      ,1408   ,16.711            ,17.025                 ,0.982 
1024,64    ,127      ,1408   ,16.695            ,17.099                 ,0.976 
640 ,0     ,127      ,1024   ,12.795            ,12.834                 ,0.997 
640 ,1     ,127      ,1024   ,12.999            ,12.818                 ,1.014 
640 ,64    ,127      ,1024   ,12.908            ,13.217                 ,0.977 
1024,0     ,127      ,640    ,10.691            ,10.936                 ,0.978 
1024,1     ,127      ,640    ,10.455            ,11.17                  ,0.936 
1024,64    ,127      ,640    ,10.177            ,11.154                 ,0.912 
1440,0     ,127      ,1024   ,12.004            ,12.942                 ,0.927 
1440,1     ,127      ,1024   ,13.149            ,14.923                 ,0.881 
1440,64    ,127      ,1024   ,13.2              ,14.787                 ,0.893 
1024,0     ,127      ,1440   ,16.192            ,16.606                 ,0.975 
1024,1     ,127      ,1440   ,16.622            ,16.881                 ,0.985 
1024,64    ,127      ,1440   ,16.758            ,16.852                 ,0.994 
608 ,0     ,127      ,1024   ,12.354            ,12.574                 ,0.982 
608 ,1     ,127      ,1024   ,12.627            ,12.681                 ,0.996 
608 ,64    ,127      ,1024   ,12.75             ,12.941                 ,0.985 
1024,0     ,127      ,608    ,10.742            ,11.232                 ,0.956 
1024,1     ,127      ,608    ,10.174            ,10.821                 ,0.94  
1024,64    ,127      ,608    ,10.063            ,10.556                 ,0.953 
1472,0     ,127      ,1024   ,11.662            ,12.641                 ,0.922 
1472,1     ,127      ,1024   ,13.207            ,14.725                 ,0.897 
1472,64    ,127      ,1024   ,13.132            ,14.662                 ,0.896 
1024,0     ,127      ,1472   ,16.502            ,16.52                  ,0.999 
1024,1     ,127      ,1472   ,16.718            ,16.624                 ,1.006 
1024,64    ,127      ,1472   ,16.83             ,17.261                 ,0.975 
576 ,0     ,127      ,1024   ,12.408            ,12.475                 ,0.995 
576 ,1     ,127      ,1024   ,12.644            ,12.781                 ,0.989 
576 ,64    ,127      ,1024   ,12.852            ,12.88                  ,0.998 
1024,0     ,127      ,576    ,10.607            ,10.769                 ,0.985 
1024,1     ,127      ,576    ,10.62             ,10.915                 ,0.973 
1024,64    ,127      ,576    ,10.231            ,11.101                 ,0.922 
1504,0     ,127      ,1024   ,11.579            ,12.793                 ,0.905 
1504,1     ,127      ,1024   ,13.566            ,14.548                 ,0.932 
1504,64    ,127      ,1024   ,13.581            ,14.417                 ,0.942 
1024,0     ,127      ,1504   ,16.307            ,16.576                 ,0.984 
1024,1     ,127      ,1504   ,16.624            ,16.849                 ,0.987 
1024,64    ,127      ,1504   ,16.627            ,16.809                 ,0.989 
544 ,0     ,127      ,1024   ,11.88             ,12.192                 ,0.974 
544 ,1     ,127      ,1024   ,12.124            ,12.126                 ,1.0   
544 ,64    ,127      ,1024   ,12.281            ,12.402                 ,0.99  
1024,0     ,127      ,544    ,10.171            ,10.815                 ,0.94  
1024,1     ,127      ,544    ,10.497            ,11.086                 ,0.947 
1024,64    ,127      ,544    ,10.593            ,10.799                 ,0.981 
1536,0     ,127      ,1024   ,11.547            ,12.842                 ,0.899 
1536,1     ,127      ,1024   ,13.32             ,15.323                 ,0.869 
1536,64    ,127      ,1024   ,13.362            ,14.551                 ,0.918 
1024,0     ,127      ,1536   ,16.084            ,16.573                 ,0.97  
1024,1     ,127      ,1536   ,16.492            ,16.491                 ,1.0   
1024,64    ,127      ,1536   ,16.705            ,16.856                 ,0.991 
1568,0     ,127      ,1024   ,11.677            ,12.519                 ,0.933 
1568,1     ,127      ,1024   ,13.471            ,14.552                 ,0.926 
1568,64    ,127      ,1024   ,13.343            ,14.955                 ,0.892 
1024,0     ,127      ,1568   ,16.377            ,16.332                 ,1.003 
1024,1     ,127      ,1568   ,16.807            ,16.654                 ,1.009 
1024,64    ,127      ,1568   ,16.826            ,16.838                 ,0.999 
480 ,0     ,127      ,1024   ,11.194            ,11.516                 ,0.972 
480 ,1     ,127      ,1024   ,11.444            ,11.72                  ,0.976 
480 ,64    ,127      ,1024   ,11.874            ,11.923                 ,0.996 
1024,0     ,127      ,480    ,9.952             ,9.006                  ,1.105 
1024,1     ,127      ,480    ,9.952             ,8.919                  ,1.116 
1024,64    ,127      ,480    ,10.238            ,10.434                 ,0.981 
1600,0     ,127      ,1024   ,11.536            ,12.814                 ,0.9   
1600,1     ,127      ,1024   ,13.716            ,14.996                 ,0.915 
1600,64    ,127      ,1024   ,13.862            ,14.948                 ,0.927 
1024,0     ,127      ,1600   ,16.417            ,16.299                 ,1.007 
1024,1     ,127      ,1600   ,16.835            ,16.598                 ,1.014 
1024,64    ,127      ,1600   ,16.809            ,16.815                 ,1.0   
448 ,0     ,127      ,1024   ,11.158            ,11.47                  ,0.973 
448 ,1     ,127      ,1024   ,11.373            ,11.665                 ,0.975 
448 ,64    ,127      ,1024   ,11.795            ,11.892                 ,0.992 
1024,0     ,127      ,448    ,8.686             ,8.846                  ,0.982 
1024,1     ,127      ,448    ,10.304            ,8.831                  ,1.167 
1024,64    ,127      ,448    ,8.898             ,9.071                  ,0.981 
1632,0     ,127      ,1024   ,11.65             ,12.84                  ,0.907 
1632,1     ,127      ,1024   ,13.764            ,15.018                 ,0.917 
1632,64    ,127      ,1024   ,13.384            ,14.809                 ,0.904 
1024,0     ,127      ,1632   ,16.282            ,16.654                 ,0.978 
1024,1     ,127      ,1632   ,16.663            ,16.998                 ,0.98  
1024,64    ,127      ,1632   ,16.753            ,17.078                 ,0.981 
416 ,0     ,127      ,1024   ,11.225            ,11.406                 ,0.984 
416 ,1     ,127      ,1024   ,11.399            ,11.491                 ,0.992 
416 ,64    ,127      ,1024   ,11.239            ,11.52                  ,0.976 
1024,0     ,127      ,416    ,8.642             ,8.76                   ,0.986 
1024,1     ,127      ,416    ,8.718             ,8.968                  ,0.972 
1024,64    ,127      ,416    ,9.852             ,8.675                  ,1.136 
1664,0     ,127      ,1024   ,11.701            ,12.391                 ,0.944 
1664,1     ,127      ,1024   ,13.774            ,14.9                   ,0.924 
1664,64    ,127      ,1024   ,13.353            ,14.773                 ,0.904 
1024,0     ,127      ,1664   ,16.326            ,16.582                 ,0.985 
1024,1     ,127      ,1664   ,16.684            ,17.085                 ,0.977 
1024,64    ,127      ,1664   ,16.802            ,17.067                 ,0.984 
384 ,0     ,127      ,1024   ,11.171            ,11.332                 ,0.986 
384 ,1     ,127      ,1024   ,11.381            ,11.497                 ,0.99  
384 ,64    ,127      ,1024   ,11.232            ,11.498                 ,0.977 
1024,0     ,127      ,384    ,8.328             ,8.983                  ,0.927 
1024,1     ,127      ,384    ,8.727             ,8.855                  ,0.986 
1024,64    ,127      ,384    ,8.073             ,8.89                   ,0.908 
1696,0     ,127      ,1024   ,11.749            ,13.315                 ,0.882 
1696,1     ,127      ,1024   ,13.24             ,15.124                 ,0.875 
1696,64    ,127      ,1024   ,13.283            ,16.0                   ,0.83  
1024,0     ,127      ,1696   ,16.236            ,16.424                 ,0.989 
1024,1     ,127      ,1696   ,16.644            ,16.834                 ,0.989 
1024,64    ,127      ,1696   ,16.685            ,17.135                 ,0.974 
352 ,0     ,127      ,1024   ,10.724            ,11.0                   ,0.975 
352 ,1     ,127      ,1024   ,10.945            ,11.222                 ,0.975 
352 ,64    ,127      ,1024   ,11.194            ,11.372                 ,0.984 
1024,0     ,127      ,352    ,8.416             ,8.69                   ,0.968 
1024,1     ,127      ,352    ,8.37              ,9.033                  ,0.927 
1024,64    ,127      ,352    ,8.098             ,8.935                  ,0.906 
1728,0     ,127      ,1024   ,11.719            ,13.349                 ,0.878 
1728,1     ,127      ,1024   ,13.433            ,14.908                 ,0.901 
1728,64    ,127      ,1024   ,13.345            ,14.533                 ,0.918 
1024,0     ,127      ,1728   ,16.277            ,16.466                 ,0.989 
1024,1     ,127      ,1728   ,16.774            ,16.843                 ,0.996 
1024,64    ,127      ,1728   ,16.762            ,17.434                 ,0.961 
320 ,0     ,127      ,1024   ,10.739            ,11.058                 ,0.971 
320 ,1     ,127      ,1024   ,10.989            ,11.306                 ,0.972 
320 ,64    ,127      ,1024   ,11.252            ,11.453                 ,0.982 
1024,0     ,127      ,320    ,6.406             ,6.974                  ,0.919 
1024,1     ,127      ,320    ,8.439             ,10.35                  ,0.815 
1024,64    ,127      ,320    ,6.422             ,7.082                  ,0.907 
2048,0     ,127      ,2048   ,17.51             ,19.468                 ,0.899 
2048,1     ,127      ,2048   ,21.497            ,21.355                 ,1.007 
2048,64    ,127      ,2048   ,22.053            ,22.307                 ,0.989 
2080,0     ,127      ,2048   ,17.88             ,21.028                 ,0.85  
2080,1     ,127      ,2048   ,21.874            ,22.739                 ,0.962 
2080,64    ,127      ,2048   ,22.435            ,23.576                 ,0.952 
2048,0     ,127      ,2080   ,21.964            ,22.452                 ,0.978 
2048,1     ,127      ,2080   ,22.11             ,21.991                 ,1.005 
2048,64    ,127      ,2080   ,22.494            ,23.331                 ,0.964 
2016,0     ,127      ,2048   ,21.582            ,22.81                  ,0.946 
2016,1     ,127      ,2048   ,21.782            ,22.73                  ,0.958 
2016,64    ,127      ,2048   ,21.934            ,22.625                 ,0.969 
2048,0     ,127      ,2016   ,17.91             ,21.627                 ,0.828 
2048,1     ,127      ,2016   ,18.073            ,21.26                  ,0.85  
2048,64    ,127      ,2016   ,22.833            ,23.0                   ,0.993 
2112,0     ,127      ,2048   ,18.026            ,20.109                 ,0.896 
2112,1     ,127      ,2048   ,23.174            ,23.16                  ,1.001 
2112,64    ,127      ,2048   ,23.412            ,24.058                 ,0.973 
2048,0     ,127      ,2112   ,21.97             ,22.202                 ,0.99  
2048,1     ,127      ,2112   ,22.231            ,22.246                 ,0.999 
2048,64    ,127      ,2112   ,22.502            ,23.375                 ,0.963 
1984,0     ,127      ,2048   ,21.217            ,22.322                 ,0.951 
1984,1     ,127      ,2048   ,21.71             ,22.156                 ,0.98  
1984,64    ,127      ,2048   ,22.486            ,22.009                 ,1.022 
2048,0     ,127      ,1984   ,17.934            ,20.025                 ,0.896 
2048,1     ,127      ,1984   ,17.915            ,20.544                 ,0.872 
