Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9996456480425209

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
   2,  2051,    3,        23,          0,       1.0
   2,  2051,    3,         0,          0,     0.996
   2,  4081,    3,        23,          0,     0.993
   2,  4081,    3,         0,          0,     0.996
   4,  4081,    3,        23,          0,     0.997
   4,  4081,    3,         0,          0,     0.999
   5,     0,    4,        23,          0,     0.999
   5,     0,    4,         0,          0,     0.999
   5,     4,    4,        23,          0,       1.0
   5,     4,    4,         0,          0,       1.0
   3,     0,    4,        23,          0,     1.001
   3,     0,    4,         0,          0,     1.001
   3,     4,    4,        23,          0,     1.001
   3,     4,    4,         0,          0,     0.999
   5,  2048,    4,        23,          0,     0.998
   5,  2048,    4,         0,          0,     1.001
   5,  2052,    4,        23,          0,     1.001
   5,  2052,    4,         0,          0,       1.0
   3,  2048,    4,        23,          0,     0.999
   3,  2048,    4,         0,          0,       1.0
   3,  2052,    4,        23,          0,     0.999
   3,  2052,    4,         0,          0,     1.003
   3,  4081,    4,        23,          0,     1.006
   3,  4081,    4,         0,          0,     0.997
   5,  4081,    4,        23,          0,     0.992
   5,  4081,    4,         0,          0,       1.0
   6,     0,    5,        23,          0,     1.001
   6,     0,    5,         0,          0,     1.001
   6,     5,    5,        23,          0,     0.996
   6,     5,    5,         0,          0,     1.002
   4,     0,    5,        23,          0,     1.001
   4,     0,    5,         0,          0,       1.0
   4,     5,    5,        23,          0,     0.999
   4,     5,    5,         0,          0,     0.997
   6,  2048,    5,        23,          0,       1.0
   6,  2048,    5,         0,          0,     1.001
   6,  2053,    5,        23,          0,     1.001
   6,  2053,    5,         0,          0,     1.005
   4,  2048,    5,        23,          0,     1.001
   4,  2048,    5,         0,          0,     1.002
   4,  2053,    5,        23,          0,     1.002
   4,  2053,    5,         0,          0,       1.0
   4,  4081,    5,        23,          0,     1.001
   4,  4081,    5,         0,          0,       1.0
   6,  4081,    5,        23,          0,     0.996
   6,  4081,    5,         0,          0,       1.0
   7,     0,    6,        23,          0,     1.001
   7,     0,    6,         0,          0,     1.001
   7,     6,    6,        23,          0,     1.002
   7,     6,    6,         0,          0,     1.002
   5,     0,    6,        23,          0,     0.998
   5,     0,    6,         0,          0,     1.002
   5,     6,    6,        23,          0,     1.001
   5,     6,    6,         0,          0,     0.996
   7,  2048,    6,        23,          0,       1.0
   7,  2048,    6,         0,          0,     1.001
   7,  2054,    6,        23,          0,       1.0
   7,  2054,    6,         0,          0,     1.001
   5,  2048,    6,        23,          0,     0.999
   5,  2048,    6,         0,          0,     1.001
   5,  2054,    6,        23,          0,     0.999
   5,  2054,    6,         0,          0,     1.001
   5,  4081,    6,        23,          0,     0.999
   5,  4081,    6,         0,          0,     1.001
   7,  4081,    6,        23,          0,     1.002
   7,  4081,    6,         0,          0,     0.998
   8,     0,    7,        23,          0,     0.999
   8,     0,    7,         0,          0,     1.001
   8,     7,    7,        23,          0,     0.998
   8,     7,    7,         0,          0,       1.0
   6,     0,    7,        23,          0,       1.0
   6,     0,    7,         0,          0,     0.996
   6,     7,    7,        23,          0,     0.999
   6,     7,    7,         0,          0,       1.0
   8,  2048,    7,        23,          0,       1.0
   8,  2048,    7,         0,          0,     1.001
   8,  2055,    7,        23,          0,       1.0
   8,  2055,    7,         0,          0,     0.999
   6,  2048,    7,        23,          0,       1.0
   6,  2048,    7,         0,          0,     0.999
   6,  2055,    7,        23,          0,     0.999
   6,  2055,    7,         0,          0,     0.996
   6,  4081,    7,        23,          0,     0.992
   6,  4081,    7,         0,          0,     0.997
   8,  4081,    7,        23,          0,     1.003
   8,  4081,    7,         0,          0,     1.001
   9,     0,    8,        23,          0,     0.998
   9,     0,    8,         0,          0,     0.999
   9,     8,    8,        23,          0,     1.002
   9,     8,    8,         0,          0,     0.999
   7,     0,    8,        23,          0,     0.996
   7,     0,    8,         0,          0,     0.999
   7,     8,    8,        23,          0,     1.005
   7,     8,    8,         0,          0,     1.003
   9,  2048,    8,        23,          0,     0.997
   9,  2048,    8,         0,          0,     0.999
   9,  2056,    8,        23,          0,     1.003
   9,  2056,    8,         0,          0,       1.0
   7,  2048,    8,        23,          0,       1.0
   7,  2048,    8,         0,          0,     0.997
   7,  2056,    8,        23,          0,     0.998
   7,  2056,    8,         0,          0,     0.998
   7,  4081,    8,        23,          0,     1.004
   7,  4081,    8,         0,          0,     1.002
   9,  4081,    8,        23,          0,     1.002
   9,  4081,    8,         0,          0,     1.001
  10,     0,    9,        23,          0,     0.999
  10,     0,    9,         0,          0,     1.001
  10,     9,    9,        23,          0,       1.0
  10,     9,    9,         0,          0,       1.0
   8,     0,    9,        23,          0,       1.0
   8,     0,    9,         0,          0,     1.001
   8,     9,    9,        23,          0,     0.997
   8,     9,    9,         0,          0,     1.002
  10,  2048,    9,        23,          0,     0.999
  10,  2048,    9,         0,          0,     0.996
  10,  2057,    9,        23,          0,     1.005
  10,  2057,    9,         0,          0,     1.002
   8,  2048,    9,        23,          0,      0.99
   8,  2048,    9,         0,          0,     0.997
   8,  2057,    9,        23,          0,     1.003
   8,  2057,    9,         0,          0,     0.999
   8,  4081,    9,        23,          0,     0.999
   8,  4081,    9,         0,          0,     0.995
  10,  4081,    9,        23,          0,     0.998
  10,  4081,    9,         0,          0,     0.998
  11,     0,   10,        23,          0,     0.994
  11,     0,   10,         0,          0,     1.001
  11,    10,   10,        23,          0,     1.006
  11,    10,   10,         0,          0,     1.003
