
Results For: wcsncat
align1,align2 ,len1 ,len2 ,max_char   ,n    ,__wcsncat_avx2 ,__wcsncat_generic 
0     ,0      ,512  ,512  ,1273       ,512  ,63.626         ,89.34             ,0.712 
2     ,4      ,512  ,512  ,1273       ,512  ,114.649        ,100.634           ,1.139 
0     ,0      ,512  ,128  ,1273       ,512  ,59.76          ,80.615            ,0.741 
2     ,4      ,512  ,128  ,1273       ,512  ,82.994         ,98.085            ,0.846 
0     ,0      ,1024 ,256  ,1273       ,512  ,59.458         ,78.563            ,0.757 
1     ,6      ,1024 ,256  ,1273       ,512  ,85.027         ,88.564            ,0.96  
1     ,2      ,16   ,1    ,1273       ,512  ,27.178         ,23.647            ,1.149 
2     ,1      ,16   ,1    ,2147483647 ,512  ,25.837         ,23.347            ,1.107 
1     ,1      ,16   ,10   ,1273       ,512  ,24.408         ,23.266            ,1.049 
2     ,4      ,32   ,1    ,1273       ,512  ,28.04          ,23.272            ,1.205 
4     ,2      ,32   ,1    ,2147483647 ,512  ,26.702         ,23.397            ,1.141 
2     ,2      ,32   ,10   ,1273       ,512  ,25.803         ,26.275            ,0.982 
3     ,6      ,64   ,1    ,1273       ,512  ,28.927         ,28.614            ,1.011 
6     ,3      ,64   ,1    ,2147483647 ,512  ,30.762         ,28.957            ,1.062 
3     ,3      ,64   ,10   ,1273       ,512  ,30.168         ,30.966            ,0.974 
4     ,0      ,128  ,1    ,1273       ,512  ,37.078         ,35.99             ,1.03  
0     ,4      ,128  ,1    ,2147483647 ,512  ,38.232         ,36.836            ,1.038 
4     ,4      ,128  ,10   ,1273       ,512  ,37.51          ,36.956            ,1.015 
5     ,2      ,256  ,1    ,1273       ,512  ,53.702         ,48.467            ,1.108 
2     ,5      ,256  ,1    ,2147483647 ,512  ,55.079         ,52.677            ,1.046 
5     ,5      ,256  ,10   ,1273       ,512  ,53.716         ,52.313            ,1.027 
6     ,4      ,512  ,1    ,1273       ,512  ,77.965         ,76.559            ,1.018 
4     ,6      ,512  ,1    ,2147483647 ,512  ,77.968         ,80.789            ,0.965 
6     ,6      ,512  ,10   ,1273       ,512  ,76.338         ,79.355            ,0.962 
7     ,6      ,1024 ,1    ,1273       ,512  ,47.615         ,64.205            ,0.742 
6     ,7      ,1024 ,1    ,2147483647 ,512  ,76.735         ,73.286            ,1.047 
7     ,7      ,1024 ,10   ,1273       ,512  ,78.99          ,75.189            ,1.051 
1     ,0      ,128  ,128  ,1273       ,64   ,29.391         ,27.548            ,1.067 
0     ,0      ,128  ,128  ,1273       ,64   ,24.463         ,27.348            ,0.895 
1     ,0      ,128  ,64   ,1273       ,128  ,38.841         ,38.256            ,1.015 
0     ,0      ,128  ,64   ,1273       ,128  ,29.135         ,37.088            ,0.786 
1     ,0      ,128  ,128  ,1273       ,96   ,34.38          ,35.625            ,0.965 
0     ,0      ,128  ,128  ,1273       ,96   ,27.417         ,31.766            ,0.863 
1     ,0      ,128  ,96   ,1273       ,128  ,39.419         ,39.306            ,1.003 
0     ,0      ,128  ,96   ,1273       ,128  ,29.992         ,33.332            ,0.9   
1     ,0      ,128  ,128  ,1273       ,128  ,38.487         ,40.455            ,0.951 
1     ,0      ,128  ,128  ,1273       ,160  ,40.373         ,40.664            ,0.993 
0     ,0      ,128  ,128  ,1273       ,160  ,34.41          ,37.384            ,0.92  
1     ,0      ,128  ,160  ,1273       ,128  ,39.411         ,41.358            ,0.953 
0     ,0      ,128  ,160  ,1273       ,128  ,38.82          ,35.003            ,1.109 
1     ,0      ,128  ,128  ,1273       ,192  ,40.033         ,40.238            ,0.995 
0     ,0      ,128  ,128  ,1273       ,192  ,33.802         ,37.34             ,0.905 
1     ,0      ,128  ,192  ,1273       ,128  ,39.71          ,42.168            ,0.942 
0     ,0      ,128  ,192  ,1273       ,128  ,34.752         ,36.932            ,0.941 
1     ,0      ,256  ,256  ,1273       ,192  ,49.654         ,51.378            ,0.966 
0     ,0      ,256  ,256  ,1273       ,192  ,33.781         ,47.265            ,0.715 
1     ,0      ,256  ,192  ,1273       ,256  ,56.877         ,61.172            ,0.93  
0     ,0      ,256  ,192  ,1273       ,256  ,37.685         ,51.807            ,0.727 
1     ,0      ,256  ,256  ,1273       ,224  ,52.271         ,55.286            ,0.945 
0     ,0      ,256  ,256  ,1273       ,224  ,35.201         ,51.453            ,0.684 
1     ,0      ,256  ,224  ,1273       ,256  ,57.7           ,62.326            ,0.926 
0     ,0      ,256  ,224  ,1273       ,256  ,37.875         ,53.641            ,0.706 
1     ,0      ,256  ,256  ,1273       ,256  ,55.551         ,62.931            ,0.883 
0     ,0      ,256  ,256  ,1273       ,256  ,37.137         ,54.84             ,0.677 
1     ,0      ,256  ,256  ,1273       ,288  ,56.807         ,62.957            ,0.902 
