
Results For: wcpcpy
align1,align2 ,len  ,max_char   ,__wcpcpy_avx2 ,__wcpcpy_generic 
1     ,7      ,160  ,1273       ,28.149        ,31.599           ,0.891 
7     ,1      ,160  ,2147483647 ,23.413        ,30.787           ,0.76  
3     ,4      ,160  ,1273       ,25.986        ,32.009           ,0.812 
4     ,3      ,160  ,2147483647 ,24.783        ,31.562           ,0.785 
5     ,7      ,160  ,1273       ,25.939        ,31.724           ,0.818 
7     ,5      ,160  ,1273       ,23.358        ,31.058           ,0.752 
0     ,4      ,164  ,1273       ,25.832        ,43.516           ,0.594 
4     ,0      ,164  ,2147483647 ,24.676        ,31.0             ,0.796 
4     ,4      ,164  ,1273       ,18.99         ,40.653           ,0.467 
2     ,2      ,164  ,2147483647 ,20.953        ,30.712           ,0.682 
2     ,6      ,164  ,1273       ,25.796        ,43.692           ,0.59  
6     ,2      ,164  ,2147483647 ,24.564        ,31.194           ,0.787 
1     ,7      ,164  ,1273       ,25.768        ,43.478           ,0.593 
7     ,1      ,164  ,2147483647 ,24.401        ,31.186           ,0.782 
3     ,4      ,164  ,1273       ,25.035        ,43.234           ,0.579 
4     ,3      ,164  ,2147483647 ,23.959        ,30.866           ,0.776 
5     ,7      ,164  ,1273       ,25.252        ,43.887           ,0.575 
7     ,5      ,164  ,1273       ,24.443        ,34.749           ,0.703 
0     ,4      ,168  ,1273       ,26.581        ,43.72            ,0.608 
4     ,0      ,168  ,2147483647 ,23.487        ,34.606           ,0.679 
4     ,4      ,168  ,1273       ,18.902        ,40.407           ,0.468 
2     ,2      ,168  ,2147483647 ,18.9          ,40.166           ,0.471 
2     ,6      ,168  ,1273       ,26.58         ,43.915           ,0.605 
6     ,2      ,168  ,2147483647 ,23.614        ,34.592           ,0.683 
1     ,7      ,168  ,1273       ,26.611        ,42.3             ,0.629 
7     ,1      ,168  ,2147483647 ,23.522        ,33.951           ,0.693 
3     ,4      ,168  ,1273       ,25.197        ,43.742           ,0.576 
4     ,3      ,168  ,2147483647 ,24.409        ,34.513           ,0.707 
5     ,7      ,168  ,1273       ,25.132        ,42.572           ,0.59  
7     ,5      ,168  ,1273       ,23.333        ,33.905           ,0.688 
0     ,4      ,172  ,1273       ,24.863        ,43.557           ,0.571 
4     ,0      ,172  ,2147483647 ,24.379        ,33.651           ,0.724 
4     ,4      ,172  ,1273       ,21.48         ,41.522           ,0.517 
2     ,2      ,172  ,2147483647 ,18.846        ,40.074           ,0.47  
2     ,6      ,172  ,1273       ,24.921        ,43.827           ,0.569 
6     ,2      ,172  ,2147483647 ,24.466        ,33.927           ,0.721 
1     ,7      ,172  ,1273       ,24.913        ,43.878           ,0.568 
7     ,1      ,172  ,2147483647 ,23.535        ,33.918           ,0.694 
3     ,4      ,172  ,1273       ,24.943        ,43.828           ,0.569 
4     ,3      ,172  ,2147483647 ,24.381        ,33.803           ,0.721 
5     ,7      ,172  ,1273       ,26.762        ,43.556           ,0.614 
7     ,5      ,172  ,1273       ,25.822        ,34.882           ,0.74  
0     ,4      ,176  ,1273       ,28.044        ,43.945           ,0.638 
4     ,0      ,176  ,2147483647 ,25.019        ,34.743           ,0.72  
4     ,4      ,176  ,1273       ,21.462        ,41.431           ,0.518 
2     ,2      ,176  ,2147483647 ,21.529        ,41.443           ,0.519 
2     ,6      ,176  ,1273       ,28.065        ,44.23            ,0.635 
6     ,2      ,176  ,2147483647 ,25.114        ,34.762           ,0.722 
1     ,7      ,176  ,1273       ,28.011        ,43.619           ,0.642 
7     ,1      ,176  ,2147483647 ,24.982        ,34.423           ,0.726 
3     ,4      ,176  ,1273       ,26.875        ,44.273           ,0.607 
4     ,3      ,176  ,2147483647 ,25.68         ,35.006           ,0.734 
5     ,7      ,176  ,1273       ,26.325        ,44.155           ,0.596 
7     ,5      ,176  ,1273       ,24.991        ,34.607           ,0.722 
0     ,4      ,180  ,1273       ,26.249        ,44.845           ,0.585 
4     ,0      ,180  ,2147483647 ,26.555        ,35.037           ,0.758 
4     ,4      ,180  ,1273       ,21.469        ,41.247           ,0.52  
2     ,2      ,180  ,2147483647 ,21.807        ,41.122           ,0.53  
2     ,6      ,180  ,1273       ,26.153        ,44.849           ,0.583 
6     ,2      ,180  ,2147483647 ,26.546        ,34.929           ,0.76  
1     ,7      ,180  ,1273       ,26.017        ,44.593           ,0.583 
7     ,1      ,180  ,2147483647 ,26.198        ,34.934           ,0.75  
3     ,4      ,180  ,1273       ,25.402        ,44.49            ,0.571 
4     ,3      ,180  ,2147483647 ,25.93         ,34.691           ,0.747 
5     ,7      ,180  ,1273       ,25.677        ,44.339           ,0.579 
7     ,5      ,180  ,1273       ,26.047        ,35.487           ,0.734 
0     ,4      ,184  ,1273       ,27.402        ,44.044           ,0.622 
4     ,0      ,184  ,2147483647 ,25.547        ,35.509           ,0.719 
4     ,4      ,184  ,1273       ,21.5          ,41.104           ,0.523 
2     ,2      ,184  ,2147483647 ,21.472        ,41.099           ,0.522 
2     ,6      ,184  ,1273       ,27.614        ,44.388           ,0.622 
6     ,2      ,184  ,2147483647 ,25.391        ,35.56            ,0.714 
1     ,7      ,184  ,1273       ,27.58         ,43.057           ,0.641 
7     ,1      ,184  ,2147483647 ,25.388        ,34.771           ,0.73  
3     ,4      ,184  ,1273       ,25.671        ,44.362           ,0.579 
4     ,3      ,184  ,2147483647 ,26.024        ,35.76            ,0.728 
5     ,7      ,184  ,1273       ,25.782        ,43.383           ,0.594 
7     ,5      ,184  ,1273       ,25.532        ,35.178           ,0.726 
0     ,4      ,188  ,1273       ,25.986        ,44.373           ,0.586 
4     ,0      ,188  ,2147483647 ,26.602        ,34.144           ,0.779 
4     ,4      ,188  ,1273       ,22.996        ,39.57            ,0.581 
2     ,2      ,188  ,2147483647 ,21.64         ,41.46            ,0.522 
2     ,6      ,188  ,1273       ,25.878        ,44.275           ,0.584 
6     ,2      ,188  ,2147483647 ,26.604        ,34.635           ,0.768 
1     ,7      ,188  ,1273       ,25.819        ,44.353           ,0.582 
7     ,1      ,188  ,2147483647 ,25.639        ,34.264           ,0.748 
3     ,4      ,188  ,1273       ,26.207        ,44.097           ,0.594 
4     ,3      ,188  ,2147483647 ,26.317        ,33.981           ,0.774 
5     ,7      ,188  ,1273       ,28.527        ,42.487           ,0.671 
7     ,5      ,188  ,1273       ,27.589        ,35.705           ,0.773 
0     ,4      ,192  ,1273       ,30.717        ,43.053           ,0.713 
4     ,0      ,192  ,2147483647 ,26.825        ,35.175           ,0.763 
4     ,4      ,192  ,1273       ,22.959        ,39.657           ,0.579 
2     ,2      ,192  ,2147483647 ,22.902        ,39.892           ,0.574 
2     ,6      ,192  ,1273       ,30.645        ,42.81            ,0.716 
6     ,2      ,192  ,2147483647 ,26.854        ,35.321           ,0.76  
1     ,7      ,192  ,1273       ,30.518        ,42.835           ,0.712 
7     ,1      ,192  ,2147483647 ,26.73         ,34.558           ,0.773 
3     ,4      ,192  ,1273       ,28.486        ,43.143           ,0.66  
4     ,3      ,192  ,2147483647 ,27.543        ,35.502           ,0.776 
5     ,7      ,192  ,1273       ,28.376        ,42.549           ,0.667 
7     ,5      ,192  ,1273       ,26.729        ,34.669           ,0.771 
0     ,4      ,196  ,1273       ,28.376        ,44.631           ,0.636 
4     ,0      ,196  ,2147483647 ,28.043        ,35.169           ,0.797 
4     ,4      ,196  ,1273       ,21.475        ,42.939           ,0.5   
2     ,2      ,196  ,2147483647 ,23.034        ,39.781           ,0.579 
2     ,6      ,196  ,1273       ,28.389        ,44.99            ,0.631 
6     ,2      ,196  ,2147483647 ,28.038        ,35.225           ,0.796 
1     ,7      ,196  ,1273       ,28.533        ,44.452           ,0.642 
7     ,1      ,196  ,2147483647 ,28.005        ,35.18            ,0.796 
3     ,4      ,196  ,1273       ,27.139        ,44.365           ,0.612 
4     ,3      ,196  ,2147483647 ,27.516        ,34.794           ,0.791 
5     ,7      ,196  ,1273       ,27.238        ,45.092           ,0.604 
7     ,5      ,196  ,1273       ,27.485        ,37.034           ,0.742 
0     ,4      ,200  ,1273       ,27.758        ,44.742           ,0.62  
4     ,0      ,200  ,2147483647 ,27.294        ,36.633           ,0.745 
4     ,4      ,200  ,1273       ,21.253        ,42.119           ,0.505 
2     ,2      ,200  ,2147483647 ,21.349        ,42.588           ,0.501 
2     ,6      ,200  ,1273       ,27.957        ,44.855           ,0.623 
6     ,2      ,200  ,2147483647 ,27.555        ,36.982           ,0.745 
1     ,7      ,200  ,1273       ,28.087        ,45.963           ,0.611 
7     ,1      ,200  ,2147483647 ,27.48         ,36.397           ,0.755 
3     ,4      ,200  ,1273       ,27.349        ,45.715           ,0.598 
4     ,3      ,200  ,2147483647 ,27.62         ,37.379           ,0.739 
5     ,7      ,200  ,1273       ,27.376        ,46.006           ,0.595 
7     ,5      ,200  ,1273       ,27.543        ,36.705           ,0.75  
0     ,4      ,204  ,1273       ,27.849        ,47.375           ,0.588 
4     ,0      ,204  ,2147483647 ,28.13         ,37.799           ,0.744 
4     ,4      ,204  ,1273       ,22.852        ,43.402           ,0.527 
2     ,2      ,204  ,2147483647 ,21.401        ,42.629           ,0.502 
2     ,6      ,204  ,1273       ,27.77         ,47.518           ,0.584 
6     ,2      ,204  ,2147483647 ,28.219        ,38.007           ,0.742 
1     ,7      ,204  ,1273       ,27.767        ,47.541           ,0.584 
7     ,1      ,204  ,2147483647 ,27.775        ,37.972           ,0.731 
3     ,4      ,204  ,1273       ,27.713        ,47.496           ,0.583 
4     ,3      ,204  ,2147483647 ,28.026        ,36.931           ,0.759 
5     ,7      ,204  ,1273       ,29.202        ,49.225           ,0.593 
7     ,5      ,204  ,1273       ,29.15         ,39.309           ,0.742 
0     ,4      ,208  ,1273       ,31.085        ,49.281           ,0.631 
4     ,0      ,208  ,2147483647 ,29.055        ,39.06            ,0.744 
4     ,4      ,208  ,1273       ,22.917        ,43.314           ,0.529 
2     ,2      ,208  ,2147483647 ,22.88         ,43.052           ,0.531 
2     ,6      ,208  ,1273       ,30.877        ,49.285           ,0.626 
6     ,2      ,208  ,2147483647 ,28.678        ,38.934           ,0.737 
1     ,7      ,208  ,1273       ,30.714        ,49.362           ,0.622 
7     ,1      ,208  ,2147483647 ,28.695        ,38.142           ,0.752 
3     ,4      ,208  ,1273       ,29.23         ,48.931           ,0.597 
4     ,3      ,208  ,2147483647 ,28.936        ,38.929           ,0.743 
5     ,7      ,208  ,1273       ,28.647        ,48.953           ,0.585 
7     ,5      ,208  ,1273       ,28.565        ,38.207           ,0.748 
0     ,4      ,212  ,1273       ,28.474        ,47.721           ,0.597 
4     ,0      ,212  ,2147483647 ,29.892        ,38.66            ,0.773 
4     ,4      ,212  ,1273       ,21.696        ,42.967           ,0.505 
2     ,2      ,212  ,2147483647 ,22.644        ,43.008           ,0.527 
2     ,6      ,212  ,1273       ,28.588        ,47.852           ,0.597 
6     ,2      ,212  ,2147483647 ,29.947        ,38.726           ,0.773 
1     ,7      ,212  ,1273       ,28.473        ,47.72            ,0.597 
7     ,1      ,212  ,2147483647 ,30.023        ,38.682           ,0.776 
3     ,4      ,212  ,1273       ,28.328        ,47.245           ,0.6   
4     ,3      ,212  ,2147483647 ,29.406        ,37.989           ,0.774 
