
Results For: wcpcpy
align1,align2 ,len  ,max_char   ,__wcpcpy_avx2 ,__wcpcpy_generic 
2     ,2      ,240  ,2147483647 ,24.13         ,45.123           ,0.535 
2     ,6      ,240  ,1273       ,33.447        ,52.001           ,0.643 
6     ,2      ,240  ,2147483647 ,32.92         ,41.188           ,0.799 
1     ,7      ,240  ,1273       ,33.453        ,52.047           ,0.643 
7     ,1      ,240  ,2147483647 ,32.948        ,40.351           ,0.817 
3     ,4      ,240  ,1273       ,32.915        ,52.065           ,0.632 
4     ,3      ,240  ,2147483647 ,32.861        ,41.241           ,0.797 
5     ,7      ,240  ,1273       ,32.253        ,52.08            ,0.619 
7     ,5      ,240  ,1273       ,32.987        ,40.422           ,0.816 
0     ,4      ,244  ,1273       ,32.284        ,51.923           ,0.622 
4     ,0      ,244  ,2147483647 ,34.238        ,40.49            ,0.846 
4     ,4      ,244  ,1273       ,23.81         ,45.527           ,0.523 
2     ,2      ,244  ,2147483647 ,24.135        ,45.173           ,0.534 
2     ,6      ,244  ,1273       ,32.215        ,51.595           ,0.624 
6     ,2      ,244  ,2147483647 ,34.266        ,40.727           ,0.841 
1     ,7      ,244  ,1273       ,32.212        ,51.498           ,0.625 
7     ,1      ,244  ,2147483647 ,34.178        ,40.626           ,0.841 
3     ,4      ,244  ,1273       ,32.158        ,51.116           ,0.629 
4     ,3      ,244  ,2147483647 ,33.376        ,40.206           ,0.83  
5     ,7      ,244  ,1273       ,32.25         ,51.578           ,0.625 
7     ,5      ,244  ,1273       ,33.528        ,40.93            ,0.819 
0     ,4      ,248  ,1273       ,32.833        ,51.523           ,0.637 
4     ,0      ,248  ,2147483647 ,33.565        ,40.774           ,0.823 
4     ,4      ,248  ,1273       ,23.907        ,45.894           ,0.521 
2     ,2      ,248  ,2147483647 ,23.908        ,45.656           ,0.524 
2     ,6      ,248  ,1273       ,32.777        ,51.258           ,0.639 
6     ,2      ,248  ,2147483647 ,33.604        ,40.985           ,0.82  
1     ,7      ,248  ,1273       ,32.792        ,51.23            ,0.64  
7     ,1      ,248  ,2147483647 ,33.528        ,40.414           ,0.83  
3     ,4      ,248  ,1273       ,32.321        ,51.214           ,0.631 
4     ,3      ,248  ,2147483647 ,33.407        ,40.982           ,0.815 
5     ,7      ,248  ,1273       ,32.323        ,51.192           ,0.631 
7     ,5      ,248  ,1273       ,33.348        ,40.303           ,0.827 
0     ,4      ,252  ,1273       ,33.313        ,51.643           ,0.645 
4     ,0      ,252  ,2147483647 ,33.822        ,40.401           ,0.837 
4     ,4      ,252  ,1273       ,24.242        ,43.859           ,0.553 
2     ,2      ,252  ,2147483647 ,23.788        ,45.388           ,0.524 
2     ,6      ,252  ,1273       ,33.384        ,51.887           ,0.643 
6     ,2      ,252  ,2147483647 ,33.978        ,40.919           ,0.83  
1     ,7      ,252  ,1273       ,33.594        ,51.991           ,0.646 
7     ,1      ,252  ,2147483647 ,34.094        ,41.063           ,0.83  
3     ,4      ,252  ,1273       ,33.589        ,52.058           ,0.645 
4     ,3      ,252  ,2147483647 ,33.897        ,40.54            ,0.836 
5     ,7      ,252  ,1273       ,35.185        ,50.575           ,0.696 
7     ,5      ,252  ,1273       ,35.185        ,41.02            ,0.858 
0     ,4      ,256  ,1273       ,35.048        ,50.377           ,0.696 
4     ,0      ,256  ,2147483647 ,34.914        ,40.384           ,0.865 
4     ,4      ,256  ,1273       ,24.277        ,44.026           ,0.551 
2     ,2      ,256  ,2147483647 ,24.237        ,44.274           ,0.547 
2     ,6      ,256  ,1273       ,34.862        ,50.069           ,0.696 
6     ,2      ,256  ,2147483647 ,34.978        ,40.542           ,0.863 
1     ,7      ,256  ,1273       ,34.894        ,50.204           ,0.695 
7     ,1      ,256  ,2147483647 ,34.953        ,39.934           ,0.875 
3     ,4      ,256  ,1273       ,35.043        ,50.329           ,0.696 
4     ,3      ,256  ,2147483647 ,35.085        ,40.81            ,0.86  
5     ,7      ,256  ,1273       ,34.329        ,50.3             ,0.682 
7     ,5      ,256  ,1273       ,35.001        ,39.876           ,0.878 
0     ,4      ,260  ,1273       ,34.256        ,52.53            ,0.652 
4     ,0      ,260  ,2147483647 ,36.419        ,41.032           ,0.888 
4     ,4      ,260  ,1273       ,24.116        ,44.678           ,0.54  
2     ,2      ,260  ,2147483647 ,24.507        ,44.585           ,0.55  
2     ,6      ,260  ,1273       ,34.497        ,52.541           ,0.657 
6     ,2      ,260  ,2147483647 ,36.42         ,41.084           ,0.886 
1     ,7      ,260  ,1273       ,34.297        ,52.356           ,0.655 
7     ,1      ,260  ,2147483647 ,36.375        ,41.081           ,0.885 
3     ,4      ,260  ,1273       ,34.287        ,52.203           ,0.657 
4     ,3      ,260  ,2147483647 ,35.549        ,40.647           ,0.875 
5     ,7      ,260  ,1273       ,34.688        ,52.019           ,0.667 
7     ,5      ,260  ,1273       ,35.806        ,42.898           ,0.835 
0     ,4      ,264  ,1273       ,34.725        ,51.897           ,0.669 
4     ,0      ,264  ,2147483647 ,35.761        ,42.298           ,0.845 
4     ,4      ,264  ,1273       ,24.095        ,44.815           ,0.538 
2     ,2      ,264  ,2147483647 ,24.196        ,44.63            ,0.542 
2     ,6      ,264  ,1273       ,34.898        ,52.343           ,0.667 
6     ,2      ,264  ,2147483647 ,35.925        ,42.61            ,0.843 
1     ,7      ,264  ,1273       ,34.712        ,52.03            ,0.667 
7     ,1      ,264  ,2147483647 ,35.81         ,41.866           ,0.855 
3     ,4      ,264  ,1273       ,34.593        ,52.065           ,0.664 
4     ,3      ,264  ,2147483647 ,35.689        ,42.563           ,0.839 
5     ,7      ,264  ,1273       ,34.571        ,51.931           ,0.666 
7     ,5      ,264  ,1273       ,35.684        ,41.818           ,0.853 
0     ,4      ,268  ,1273       ,35.556        ,51.936           ,0.685 
4     ,0      ,268  ,2147483647 ,36.141        ,44.67            ,0.809 
4     ,4      ,268  ,1273       ,25.728        ,47.202           ,0.545 
2     ,2      ,268  ,2147483647 ,24.074        ,44.621           ,0.54  
2     ,6      ,268  ,1273       ,35.615        ,51.901           ,0.686 
6     ,2      ,268  ,2147483647 ,35.925        ,44.943           ,0.799 
1     ,7      ,268  ,1273       ,35.53         ,52.067           ,0.682 
7     ,1      ,268  ,2147483647 ,36.11         ,45.178           ,0.799 
3     ,4      ,268  ,1273       ,35.586        ,52.107           ,0.683 
4     ,3      ,268  ,2147483647 ,35.915        ,45.108           ,0.796 
5     ,7      ,268  ,1273       ,37.043        ,55.146           ,0.672 
7     ,5      ,268  ,1273       ,37.005        ,45.069           ,0.821 
0     ,4      ,272  ,1273       ,36.988        ,55.013           ,0.672 
4     ,0      ,272  ,2147483647 ,37.095        ,44.832           ,0.827 
4     ,4      ,272  ,1273       ,25.67         ,47.081           ,0.545 
2     ,2      ,272  ,2147483647 ,25.597        ,47.317           ,0.541 
2     ,6      ,272  ,1273       ,37.077        ,55.335           ,0.67  
6     ,2      ,272  ,2147483647 ,37.292        ,45.271           ,0.824 
1     ,7      ,272  ,1273       ,36.67         ,55.294           ,0.663 
7     ,1      ,272  ,2147483647 ,37.089        ,44.093           ,0.841 
3     ,4      ,272  ,1273       ,36.939        ,55.086           ,0.671 
4     ,3      ,272  ,2147483647 ,36.896        ,44.969           ,0.82  
5     ,7      ,272  ,1273       ,36.28         ,55.255           ,0.657 
7     ,5      ,272  ,1273       ,37.087        ,44.112           ,0.841 
0     ,4      ,276  ,1273       ,36.392        ,55.357           ,0.657 
4     ,0      ,276  ,2147483647 ,38.245        ,44.273           ,0.864 
4     ,4      ,276  ,1273       ,24.299        ,47.513           ,0.511 
2     ,2      ,276  ,2147483647 ,25.655        ,47.201           ,0.544 
2     ,6      ,276  ,1273       ,36.362        ,55.49            ,0.655 
6     ,2      ,276  ,2147483647 ,38.336        ,44.783           ,0.856 
1     ,7      ,276  ,1273       ,36.222        ,55.218           ,0.656 
7     ,1      ,276  ,2147483647 ,38.355        ,44.672           ,0.859 
3     ,4      ,276  ,1273       ,36.356        ,54.92            ,0.662 
4     ,3      ,276  ,2147483647 ,37.876        ,45.003           ,0.842 
5     ,7      ,276  ,1273       ,36.458        ,54.969           ,0.663 
7     ,5      ,276  ,1273       ,37.557        ,44.437           ,0.845 
0     ,4      ,280  ,1273       ,36.291        ,54.709           ,0.663 
4     ,0      ,280  ,2147483647 ,37.67         ,44.171           ,0.853 
4     ,4      ,280  ,1273       ,24.187        ,47.363           ,0.511 
2     ,2      ,280  ,2147483647 ,24.323        ,47.513           ,0.512 
2     ,6      ,280  ,1273       ,36.429        ,54.81            ,0.665 
6     ,2      ,280  ,2147483647 ,37.782        ,44.621           ,0.847 
1     ,7      ,280  ,1273       ,36.43         ,54.742           ,0.665 
7     ,1      ,280  ,2147483647 ,37.89         ,43.969           ,0.862 
3     ,4      ,280  ,1273       ,36.534        ,54.576           ,0.669 
4     ,3      ,280  ,2147483647 ,37.624        ,44.558           ,0.844 
5     ,7      ,280  ,1273       ,36.457        ,54.948           ,0.663 
7     ,5      ,280  ,1273       ,37.779        ,43.808           ,0.862 
0     ,4      ,284  ,1273       ,37.698        ,55.184           ,0.683 
4     ,0      ,284  ,2147483647 ,38.122        ,43.603           ,0.874 
4     ,4      ,284  ,1273       ,26.316        ,45.648           ,0.576 
2     ,2      ,284  ,2147483647 ,24.243        ,47.339           ,0.512 
2     ,6      ,284  ,1273       ,37.608        ,55.134           ,0.682 
6     ,2      ,284  ,2147483647 ,38.026        ,44.139           ,0.862 
1     ,7      ,284  ,1273       ,37.711        ,55.042           ,0.685 
7     ,1      ,284  ,2147483647 ,38.246        ,44.202           ,0.865 
3     ,4      ,284  ,1273       ,37.771        ,55.221           ,0.684 
4     ,3      ,284  ,2147483647 ,38.055        ,44.053           ,0.864 
5     ,7      ,284  ,1273       ,39.038        ,54.093           ,0.722 
7     ,5      ,284  ,1273       ,39.008        ,43.938           ,0.888 
0     ,4      ,288  ,1273       ,39.129        ,54.149           ,0.723 
4     ,0      ,288  ,2147483647 ,39.373        ,43.924           ,0.896 
4     ,4      ,288  ,1273       ,26.502        ,46.636           ,0.568 
2     ,2      ,288  ,2147483647 ,26.612        ,46.171           ,0.576 
2     ,6      ,288  ,1273       ,39.006        ,53.913           ,0.723 
6     ,2      ,288  ,2147483647 ,39.293        ,44.243           ,0.888 
1     ,7      ,288  ,1273       ,38.498        ,54.177           ,0.711 
7     ,1      ,288  ,2147483647 ,39.04         ,42.902           ,0.91  
3     ,4      ,288  ,1273       ,38.998        ,53.901           ,0.724 
4     ,3      ,288  ,2147483647 ,38.846        ,43.927           ,0.884 
5     ,7      ,288  ,1273       ,38.312        ,53.987           ,0.71  
7     ,5      ,288  ,1273       ,39.082        ,42.933           ,0.91  
0     ,4      ,292  ,1273       ,38.385        ,56.216           ,0.683 
4     ,0      ,292  ,2147483647 ,40.638        ,43.801           ,0.928 
4     ,4      ,292  ,1273       ,24.729        ,47.119           ,0.525 
2     ,2      ,292  ,2147483647 ,26.452        ,46.123           ,0.574 
2     ,6      ,292  ,1273       ,38.3          ,55.872           ,0.685 
6     ,2      ,292  ,2147483647 ,40.702        ,44.035           ,0.924 
1     ,7      ,292  ,1273       ,38.616        ,56.41            ,0.685 
7     ,1      ,292  ,2147483647 ,40.764        ,44.084           ,0.925 
3     ,4      ,292  ,1273       ,38.638        ,56.179           ,0.688 
4     ,3      ,292  ,2147483647 ,39.881        ,44.175           ,0.903 
5     ,7      ,292  ,1273       ,38.609        ,55.229           ,0.699 
7     ,5      ,292  ,1273       ,39.745        ,45.553           ,0.873 
0     ,4      ,296  ,1273       ,38.826        ,56.67            ,0.685 
4     ,0      ,296  ,2147483647 ,40.088        ,45.727           ,0.877 
4     ,4      ,296  ,1273       ,25.036        ,47.594           ,0.526 
2     ,2      ,296  ,2147483647 ,25.277        ,47.203           ,0.536 
2     ,6      ,296  ,1273       ,39.186        ,56.757           ,0.69  
6     ,2      ,296  ,2147483647 ,39.919        ,45.578           ,0.876 
1     ,7      ,296  ,1273       ,38.94         ,56.663           ,0.687 
7     ,1      ,296  ,2147483647 ,39.825        ,44.992           ,0.885 
3     ,4      ,296  ,1273       ,39.283        ,55.494           ,0.708 
4     ,3      ,296  ,2147483647 ,39.939        ,45.765           ,0.873 
5     ,7      ,296  ,1273       ,38.795        ,55.583           ,0.698 
7     ,5      ,296  ,1273       ,39.915        ,45.002           ,0.887 
0     ,4      ,300  ,1273       ,39.882        ,55.463           ,0.719 
4     ,0      ,300  ,2147483647 ,40.406        ,47.499           ,0.851 
4     ,4      ,300  ,1273       ,27.146        ,49.656           ,0.547 
2     ,2      ,300  ,2147483647 ,24.932        ,46.885           ,0.532 
2     ,6      ,300  ,1273       ,39.695        ,55.172           ,0.719 
6     ,2      ,300  ,2147483647 ,40.352        ,47.978           ,0.841 
1     ,7      ,300  ,1273       ,39.962        ,55.449           ,0.721 
7     ,1      ,300  ,2147483647 ,40.375        ,47.942           ,0.842 
3     ,4      ,300  ,1273       ,40.036        ,55.456           ,0.722 
4     ,3      ,300  ,2147483647 ,40.26         ,47.867           ,0.841 
5     ,7      ,300  ,1273       ,41.275        ,58.366           ,0.707 
7     ,5      ,300  ,1273       ,41.244        ,47.547           ,0.867 
0     ,4      ,304  ,1273       ,41.044        ,58.044           ,0.707 
4     ,0      ,304  ,2147483647 ,41.219        ,47.3             ,0.871 
4     ,4      ,304  ,1273       ,26.821        ,49.172           ,0.545 
2     ,2      ,304  ,2147483647 ,26.983        ,49.325           ,0.547 
2     ,6      ,304  ,1273       ,40.992        ,58.469           ,0.701 
6     ,2      ,304  ,2147483647 ,41.233        ,47.577           ,0.867 
1     ,7      ,304  ,1273       ,40.565        ,58.306           ,0.696 
7     ,1      ,304  ,2147483647 ,41.144        ,46.395           ,0.887 
3     ,4      ,304  ,1273       ,41.168        ,58.258           ,0.707 
4     ,3      ,304  ,2147483647 ,41.143        ,47.594           ,0.864 
5     ,7      ,304  ,1273       ,40.529        ,58.07            ,0.698 
7     ,5      ,304  ,1273       ,41.167        ,46.27            ,0.89  
0     ,4      ,308  ,1273       ,40.321        ,58.011           ,0.695 
4     ,0      ,308  ,2147483647 ,42.588        ,46.456           ,0.917 
4     ,4      ,308  ,1273       ,25.988        ,49.283           ,0.527 
2     ,2      ,308  ,2147483647 ,27.022        ,49.474           ,0.546 
2     ,6      ,308  ,1273       ,40.24         ,58.089           ,0.693 
6     ,2      ,308  ,2147483647 ,42.493        ,46.863           ,0.907 
1     ,7      ,308  ,1273       ,40.568        ,58.542           ,0.693 
7     ,1      ,308  ,2147483647 ,42.747        ,46.954           ,0.91  
3     ,4      ,308  ,1273       ,40.595        ,58.56            ,0.693 
4     ,3      ,308  ,2147483647 ,41.67         ,47.015           ,0.886 
5     ,7      ,308  ,1273       ,40.664        ,58.48            ,0.695 
7     ,5      ,308  ,1273       ,41.789        ,46.696           ,0.895 
0     ,4      ,312  ,1273       ,40.481        ,58.243           ,0.695 
4     ,0      ,312  ,2147483647 ,41.807        ,46.396           ,0.901 
4     ,4      ,312  ,1273       ,26.153        ,49.212           ,0.531 
2     ,2      ,312  ,2147483647 ,26.048        ,49.248           ,0.529 
2     ,6      ,312  ,1273       ,40.473        ,58.388           ,0.693 
6     ,2      ,312  ,2147483647 ,42.0          ,46.919           ,0.895 
1     ,7      ,312  ,1273       ,40.664        ,58.552           ,0.695 
7     ,1      ,312  ,2147483647 ,42.111        ,46.474           ,0.906 
3     ,4      ,312  ,1273       ,40.664        ,58.4             ,0.696 
4     ,3      ,312  ,2147483647 ,41.643        ,46.66            ,0.892 
5     ,7      ,312  ,1273       ,40.664        ,58.273           ,0.698 
7     ,5      ,312  ,1273       ,41.876        ,46.336           ,0.904 
0     ,4      ,316  ,1273       ,41.578        ,57.684           ,0.721 
4     ,0      ,316  ,2147483647 ,42.166        ,46.451           ,0.908 
4     ,4      ,316  ,1273       ,27.413        ,48.126           ,0.57  
2     ,2      ,316  ,2147483647 ,25.932        ,49.327           ,0.526 
2     ,6      ,316  ,1273       ,41.672        ,58.051           ,0.718 
6     ,2      ,316  ,2147483647 ,42.442        ,47.279           ,0.898 
1     ,7      ,316  ,1273       ,41.977        ,58.212           ,0.721 
7     ,1      ,316  ,2147483647 ,42.462        ,47.254           ,0.899 
3     ,4      ,316  ,1273       ,42.012        ,58.035           ,0.724 
4     ,3      ,316  ,2147483647 ,42.161        ,47.263           ,0.892 
5     ,7      ,316  ,1273       ,43.24         ,57.201           ,0.756 
7     ,5      ,316  ,1273       ,43.152        ,46.927           ,0.92  
0     ,4      ,320  ,1273       ,43.119        ,57.051           ,0.756 
4     ,0      ,320  ,2147483647 ,43.206        ,46.571           ,0.928 
4     ,4      ,320  ,1273       ,27.561        ,48.01            ,0.574 
2     ,2      ,320  ,2147483647 ,27.614        ,48.051           ,0.575 
2     ,6      ,320  ,1273       ,43.276        ,57.203           ,0.757 
6     ,2      ,320  ,2147483647 ,43.346        ,47.161           ,0.919 
1     ,7      ,320  ,1273       ,42.526        ,57.296           ,0.742 
7     ,1      ,320  ,2147483647 ,43.352        ,45.858           ,0.945 
3     ,4      ,320  ,1273       ,43.323        ,57.293           ,0.756 
4     ,3      ,320  ,2147483647 ,43.234        ,47.161           ,0.917 
5     ,7      ,320  ,1273       ,42.534        ,57.19            ,0.744 
7     ,5      ,320  ,1273       ,43.431        ,45.902           ,0.946 
0     ,4      ,324  ,1273       ,42.601        ,59.372           ,0.718 
4     ,0      ,324  ,2147483647 ,44.885        ,46.187           ,0.972 
4     ,4      ,324  ,1273       ,27.095        ,49.286           ,0.55  
2     ,2      ,324  ,2147483647 ,27.783        ,48.142           ,0.577 
2     ,6      ,324  ,1273       ,42.598        ,59.44            ,0.717 
6     ,2      ,324  ,2147483647 ,44.855        ,46.626           ,0.962 
1     ,7      ,324  ,1273       ,42.876        ,59.515           ,0.72  
7     ,1      ,324  ,2147483647 ,45.046        ,46.874           ,0.961 
3     ,4      ,324  ,1273       ,42.674        ,58.578           ,0.729 
4     ,3      ,324  ,2147483647 ,43.786        ,46.553           ,0.941 
5     ,7      ,324  ,1273       ,42.884        ,58.596           ,0.732 
7     ,5      ,324  ,1273       ,44.31         ,48.707           ,0.91  
0     ,4      ,328  ,1273       ,42.991        ,58.358           ,0.737 
4     ,0      ,328  ,2147483647 ,43.799        ,47.468           ,0.923 
4     ,4      ,328  ,1273       ,26.852        ,48.986           ,0.548 
2     ,2      ,328  ,2147483647 ,27.196        ,49.007           ,0.555 
2     ,6      ,328  ,1273       ,42.814        ,58.396           ,0.733 
6     ,2      ,328  ,2147483647 ,44.158        ,48.599           ,0.909 
1     ,7      ,328  ,1273       ,43.013        ,58.577           ,0.734 
7     ,1      ,328  ,2147483647 ,44.08         ,47.782           ,0.923 
3     ,4      ,328  ,1273       ,42.868        ,58.634           ,0.731 
4     ,3      ,328  ,2147483647 ,44.02         ,48.626           ,0.905 
5     ,7      ,328  ,1273       ,43.005        ,58.383           ,0.737 
7     ,5      ,328  ,1273       ,43.966        ,47.83            ,0.919 
0     ,4      ,332  ,1273       ,43.948        ,58.015           ,0.758 
4     ,0      ,332  ,2147483647 ,44.378        ,49.787           ,0.891 
4     ,4      ,332  ,1273       ,28.252        ,51.91            ,0.544 
2     ,2      ,332  ,2147483647 ,27.095        ,49.119           ,0.552 
2     ,6      ,332  ,1273       ,44.16         ,58.228           ,0.758 
6     ,2      ,332  ,2147483647 ,44.66         ,51.304           ,0.87  
1     ,7      ,332  ,1273       ,44.419        ,58.503           ,0.759 
7     ,1      ,332  ,2147483647 ,44.642        ,51.053           ,0.874 
3     ,4      ,332  ,1273       ,44.117        ,58.318           ,0.756 
4     ,3      ,332  ,2147483647 ,44.306        ,51.228           ,0.865 
5     ,7      ,332  ,1273       ,45.423        ,61.389           ,0.74  
7     ,5      ,332  ,1273       ,45.32         ,51.012           ,0.888 
0     ,4      ,336  ,1273       ,45.286        ,61.214           ,0.74  
4     ,0      ,336  ,2147483647 ,45.332        ,49.684           ,0.912 
4     ,4      ,336  ,1273       ,28.241        ,51.901           ,0.544 
2     ,2      ,336  ,2147483647 ,28.055        ,51.7             ,0.543 
2     ,6      ,336  ,1273       ,45.076        ,60.925           ,0.74  
6     ,2      ,336  ,2147483647 ,45.212        ,50.833           ,0.889 
1     ,7      ,336  ,1273       ,44.466        ,61.233           ,0.726 
7     ,1      ,336  ,2147483647 ,45.322        ,49.427           ,0.917 
3     ,4      ,336  ,1273       ,45.301        ,61.355           ,0.738 
4     ,3      ,336  ,2147483647 ,45.41         ,51.179           ,0.887 
5     ,7      ,336  ,1273       ,44.661        ,61.269           ,0.729 
7     ,5      ,336  ,1273       ,45.32         ,49.396           ,0.917 
0     ,4      ,340  ,1273       ,44.715        ,61.61            ,0.726 
4     ,0      ,340  ,2147483647 ,46.987        ,48.801           ,0.963 
4     ,4      ,340  ,1273       ,27.9          ,51.266           ,0.544 
2     ,2      ,340  ,2147483647 ,28.101        ,52.034           ,0.54  
2     ,6      ,340  ,1273       ,44.888        ,61.749           ,0.727 
6     ,2      ,340  ,2147483647 ,46.976        ,49.346           ,0.952 
1     ,7      ,340  ,1273       ,44.586        ,61.379           ,0.726 
7     ,1      ,340  ,2147483647 ,46.793        ,49.347           ,0.948 
3     ,4      ,340  ,1273       ,44.684        ,61.335           ,0.729 
4     ,3      ,340  ,2147483647 ,45.711        ,49.249           ,0.928 
5     ,7      ,340  ,1273       ,44.683        ,61.1             ,0.731 
7     ,5      ,340  ,1273       ,45.993        ,49.334           ,0.932 
0     ,4      ,344  ,1273       ,44.781        ,61.145           ,0.732 
4     ,0      ,344  ,2147483647 ,45.916        ,48.472           ,0.947 
4     ,4      ,344  ,1273       ,27.835        ,51.099           ,0.545 
2     ,2      ,344  ,2147483647 ,27.448        ,51.048           ,0.538 
2     ,6      ,344  ,1273       ,44.579        ,61.005           ,0.731 
6     ,2      ,344  ,2147483647 ,46.294        ,49.581           ,0.934 
1     ,7      ,344  ,1273       ,44.981        ,61.465           ,0.732 
7     ,1      ,344  ,2147483647 ,46.014        ,49.45            ,0.931 
3     ,4      ,344  ,1273       ,44.582        ,60.991           ,0.731 
4     ,3      ,344  ,2147483647 ,45.675        ,49.112           ,0.93  
5     ,7      ,344  ,1273       ,44.489        ,60.668           ,0.733 
7     ,5      ,344  ,1273       ,45.742        ,49.17            ,0.93  
0     ,4      ,348  ,1273       ,45.751        ,60.571           ,0.755 
4     ,0      ,348  ,2147483647 ,46.305        ,51.267           ,0.903 
4     ,4      ,348  ,1273       ,29.233        ,50.655           ,0.577 
2     ,2      ,348  ,2147483647 ,27.589        ,51.336           ,0.537 
2     ,6      ,348  ,1273       ,45.851        ,60.765           ,0.755 
6     ,2      ,348  ,2147483647 ,46.416        ,52.193           ,0.889 
1     ,7      ,348  ,1273       ,45.952        ,60.74            ,0.757 
7     ,1      ,348  ,2147483647 ,46.164        ,51.939           ,0.889 
3     ,4      ,348  ,1273       ,45.9          ,60.735           ,0.756 
4     ,3      ,348  ,2147483647 ,46.091        ,52.322           ,0.881 
5     ,7      ,348  ,1273       ,47.777        ,60.057           ,0.796 
7     ,5      ,348  ,1273       ,47.562        ,52.259           ,0.91  
0     ,4      ,352  ,1273       ,47.678        ,59.968           ,0.795 
4     ,0      ,352  ,2147483647 ,47.248        ,50.954           ,0.927 
4     ,4      ,352  ,1273       ,28.941        ,50.894           ,0.569 
2     ,2      ,352  ,2147483647 ,29.078        ,50.848           ,0.572 
2     ,6      ,352  ,1273       ,47.777        ,60.133           ,0.795 
6     ,2      ,352  ,2147483647 ,47.496        ,52.385           ,0.907 
1     ,7      ,352  ,1273       ,47.197        ,60.455           ,0.781 
7     ,1      ,352  ,2147483647 ,47.544        ,49.824           ,0.954 
3     ,4      ,352  ,1273       ,47.934        ,60.472           ,0.793 
4     ,3      ,352  ,2147483647 ,47.433        ,52.428           ,0.905 
5     ,7      ,352  ,1273       ,47.22         ,60.133           ,0.785 
7     ,5      ,352  ,1273       ,47.478        ,49.546           ,0.958 
0     ,4      ,356  ,1273       ,46.573        ,62.197           ,0.749 
4     ,0      ,356  ,2147483647 ,48.726        ,49.885           ,0.977 
4     ,4      ,356  ,1273       ,26.868        ,53.94            ,0.498 
2     ,2      ,356  ,2147483647 ,29.153        ,50.836           ,0.573 
2     ,6      ,356  ,1273       ,47.021        ,62.589           ,0.751 
6     ,2      ,356  ,2147483647 ,48.965        ,51.357           ,0.953 
1     ,7      ,356  ,1273       ,47.031        ,62.66            ,0.751 
7     ,1      ,356  ,2147483647 ,49.129        ,51.466           ,0.955 
3     ,4      ,356  ,1273       ,47.186        ,62.903           ,0.75  
4     ,3      ,356  ,2147483647 ,48.235        ,51.374           ,0.939 
5     ,7      ,356  ,1273       ,46.894        ,62.361           ,0.752 
7     ,5      ,356  ,1273       ,48.214        ,53.326           ,0.904 
0     ,4      ,360  ,1273       ,46.881        ,62.529           ,0.75  
4     ,0      ,360  ,2147483647 ,48.199        ,52.594           ,0.916 
4     ,4      ,360  ,1273       ,26.909        ,53.947           ,0.499 
2     ,2      ,360  ,2147483647 ,28.238        ,54.031           ,0.523 
2     ,6      ,360  ,1273       ,46.882        ,62.1             ,0.755 
6     ,2      ,360  ,2147483647 ,48.285        ,53.485           ,0.903 
1     ,7      ,360  ,1273       ,47.095        ,62.621           ,0.752 
7     ,1      ,360  ,2147483647 ,48.53         ,52.645           ,0.922 
3     ,4      ,360  ,1273       ,46.986        ,62.26            ,0.755 
4     ,3      ,360  ,2147483647 ,47.818        ,53.085           ,0.901 
5     ,7      ,360  ,1273       ,46.895        ,61.982           ,0.757 
7     ,5      ,360  ,1273       ,48.19         ,52.494           ,0.918 
0     ,4      ,364  ,1273       ,48.151        ,61.416           ,0.784 
4     ,0      ,364  ,2147483647 ,48.539        ,55.562           ,0.874 
4     ,4      ,364  ,1273       ,29.399        ,56.517           ,0.52  
2     ,2      ,364  ,2147483647 ,27.744        ,53.585           ,0.518 
2     ,6      ,364  ,1273       ,48.153        ,61.224           ,0.787 
6     ,2      ,364  ,2147483647 ,48.527        ,56.158           ,0.864 
1     ,7      ,364  ,1273       ,48.176        ,61.426           ,0.784 
7     ,1      ,364  ,2147483647 ,48.507        ,56.189           ,0.863 
3     ,4      ,364  ,1273       ,48.049        ,61.307           ,0.784 
4     ,3      ,364  ,2147483647 ,48.56         ,56.293           ,0.863 
5     ,7      ,364  ,1273       ,49.635        ,64.844           ,0.765 
7     ,5      ,364  ,1273       ,49.373        ,55.841           ,0.884 
0     ,4      ,368  ,1273       ,49.422        ,64.564           ,0.765 
4     ,0      ,368  ,2147483647 ,49.362        ,55.24            ,0.894 
4     ,4      ,368  ,1273       ,29.835        ,56.523           ,0.528 
2     ,2      ,368  ,2147483647 ,29.177        ,56.576           ,0.516 
2     ,6      ,368  ,1273       ,49.403        ,64.56            ,0.765 
6     ,2      ,368  ,2147483647 ,49.657        ,56.238           ,0.883 
1     ,7      ,368  ,1273       ,48.867        ,64.655           ,0.756 
7     ,1      ,368  ,2147483647 ,49.575        ,54.755           ,0.905 
3     ,4      ,368  ,1273       ,49.63         ,64.715           ,0.767 
4     ,3      ,368  ,2147483647 ,49.417        ,56.12            ,0.881 
5     ,7      ,368  ,1273       ,48.841        ,64.724           ,0.755 
7     ,5      ,368  ,1273       ,49.672        ,54.782           ,0.907 
0     ,4      ,372  ,1273       ,48.822        ,64.693           ,0.755 
4     ,0      ,372  ,2147483647 ,50.683        ,54.365           ,0.932 
4     ,4      ,372  ,1273       ,28.697        ,56.455           ,0.508 
2     ,2      ,372  ,2147483647 ,29.42         ,56.462           ,0.521 
2     ,6      ,372  ,1273       ,48.711        ,64.682           ,0.753 
6     ,2      ,372  ,2147483647 ,51.041        ,55.302           ,0.923 
1     ,7      ,372  ,1273       ,48.71         ,64.835           ,0.751 
