
Results For: strncat
align1,align2 ,len1 ,len2 ,max_char ,n    ,new    ,old    ,new/old 
1     ,2      ,16   ,1    ,127      ,8    ,19.85  ,20.001 ,0.992   
1     ,6      ,1024 ,1024 ,127      ,128  ,32.169 ,27.969 ,1.15    
1     ,6      ,1024 ,1024 ,127      ,2    ,18.835 ,21.442 ,0.878   
1     ,6      ,1024 ,1024 ,127      ,2048 ,55.3   ,51.621 ,1.071   
1     ,6      ,1024 ,1024 ,127      ,32   ,21.597 ,21.085 ,1.024   
1     ,6      ,1024 ,1024 ,127      ,512  ,41.882 ,39.315 ,1.065   
1     ,6      ,1024 ,1024 ,127      ,8    ,18.738 ,21.051 ,0.89    
1     ,6      ,1024 ,256  ,127      ,128  ,28.634 ,27.268 ,1.05    
1     ,6      ,1024 ,256  ,127      ,2    ,19.35  ,20.354 ,0.951   
1     ,6      ,1024 ,256  ,127      ,2048 ,57.533 ,54.419 ,1.057   
1     ,6      ,1024 ,256  ,127      ,32   ,19.378 ,21.281 ,0.911   
1     ,6      ,1024 ,256  ,127      ,512  ,39.879 ,39.55  ,1.008   
1     ,6      ,1024 ,256  ,127      ,8    ,19.207 ,20.728 ,0.927   
2     ,1      ,16   ,1    ,127      ,128  ,20.138 ,20.026 ,1.006   
2     ,1      ,16   ,1    ,127      ,2    ,19.945 ,19.804 ,1.007   
2     ,1      ,16   ,1    ,127      ,2048 ,20.819 ,20.547 ,1.013   
2     ,1      ,16   ,1    ,127      ,32   ,19.927 ,19.609 ,1.016   
2     ,1      ,16   ,1    ,127      ,512  ,20.889 ,20.553 ,1.016   
2     ,1      ,16   ,1    ,127      ,8    ,19.798 ,19.877 ,0.996   
2     ,2      ,32   ,10   ,127      ,128  ,20.334 ,19.888 ,1.022   
2     ,2      ,32   ,10   ,127      ,2    ,19.308 ,19.289 ,1.001   
2     ,2      ,32   ,10   ,127      ,2048 ,20.699 ,20.3   ,1.02    
2     ,2      ,32   ,10   ,127      ,32   ,19.487 ,19.165 ,1.017   
2     ,2      ,32   ,10   ,127      ,512  ,20.735 ,20.339 ,1.019   
2     ,2      ,32   ,10   ,127      ,8    ,19.356 ,19.215 ,1.007   
2     ,4      ,32   ,1    ,127      ,128  ,20.504 ,20.232 ,1.013   
2     ,4      ,32   ,1    ,127      ,2    ,19.544 ,19.346 ,1.01    
2     ,4      ,32   ,1    ,127      ,2048 ,21.049 ,20.728 ,1.016   
2     ,4      ,32   ,1    ,127      ,32   ,19.683 ,19.293 ,1.02    
2     ,4      ,32   ,1    ,127      ,512  ,21.096 ,20.634 ,1.022   
2     ,4      ,32   ,1    ,127      ,8    ,19.608 ,19.415 ,1.01    
2     ,4      ,512  ,128  ,127      ,128  ,27.046 ,27.616 ,0.979   
2     ,4      ,512  ,128  ,127      ,2    ,19.266 ,20.009 ,0.963   
2     ,4      ,512  ,128  ,127      ,2048 ,38.255 ,39.026 ,0.98    
2     ,4      ,512  ,128  ,127      ,32   ,18.703 ,20.211 ,0.925   
2     ,4      ,512  ,128  ,127      ,512  ,38.281 ,39.185 ,0.977   
2     ,4      ,512  ,128  ,127      ,8    ,18.72  ,19.816 ,0.945   
