
Results For: stpncpy
align1,align2 ,len  ,max_char ,n    ,new    ,old    ,new/old 
1     ,0      ,960  ,127      ,1024 ,35.085 ,29.998 ,1.17    
1     ,0      ,992  ,127      ,1024 ,35.665 ,29.432 ,1.212   
1     ,1      ,16   ,127      ,16   ,4.708  ,7.789  ,0.604   
1     ,2      ,16   ,127      ,16   ,5.005  ,6.987  ,0.716   
1     ,6      ,128  ,127      ,256  ,11.309 ,15.302 ,0.739   
1     ,6      ,2048 ,127      ,1024 ,36.141 ,30.646 ,1.179   
1     ,6      ,512  ,127      ,1024 ,27.356 ,25.374 ,1.078   
2     ,1      ,16   ,127      ,16   ,4.802  ,7.037  ,0.682   
2     ,2      ,16   ,127      ,16   ,4.721  ,6.926  ,0.682   
2     ,3      ,64   ,127      ,32   ,4.869  ,6.478  ,0.752   
2     ,4      ,1024 ,127      ,512  ,20.842 ,22.336 ,0.933   
2     ,4      ,16   ,127      ,16   ,4.962  ,7.192  ,0.69    
2     ,4      ,256  ,127      ,512  ,18.816 ,21.914 ,0.859   
2     ,4      ,64   ,127      ,128  ,8.508  ,12.782 ,0.666   
2     ,5      ,16   ,127      ,16   ,4.972  ,7.018  ,0.708   
2     ,7      ,4    ,127      ,2    ,6.243  ,6.901  ,0.905   
3     ,2      ,128  ,127      ,256  ,10.238 ,13.921 ,0.735   
3     ,2      ,32   ,127      ,64   ,9.068  ,9.208  ,0.985   
3     ,2      ,512  ,127      ,256  ,12.95  ,17.365 ,0.746   
3     ,3      ,16   ,127      ,16   ,4.76   ,6.934  ,0.686   
3     ,6      ,16   ,127      ,16   ,4.977  ,6.981  ,0.713   
4     ,0      ,16   ,127      ,16   ,4.807  ,6.962  ,0.69    
4     ,0      ,16   ,127      ,32   ,5.829  ,11.568 ,0.504   
4     ,0      ,256  ,127      ,128  ,9.224  ,10.786 ,0.855   
4     ,0      ,64   ,127      ,128  ,7.086  ,12.036 ,0.589   
4     ,2      ,128  ,127      ,64   ,8.349  ,8.852  ,0.943   
4     ,2      ,16   ,127      ,16   ,4.841  ,6.997  ,0.692   
4     ,4      ,16   ,127      ,16   ,4.786  ,6.968  ,0.687   
4     ,6      ,16   ,127      ,16   ,4.971  ,6.998  ,0.71    
4     ,6      ,8    ,127      ,4    ,5.166  ,6.859  ,0.753   
5     ,2      ,16   ,127      ,16   ,4.799  ,6.998  ,0.686   
5     ,5      ,16   ,127      ,16   ,4.767  ,6.99   ,0.682   
5     ,6      ,128  ,127      ,64   ,9.245  ,8.938  ,1.034   
5     ,6      ,32   ,127      ,64   ,8.52   ,10.52  ,0.81    
5     ,6      ,8    ,127      ,16   ,5.898  ,10.976 ,0.537   
6     ,1      ,256  ,127      ,128  ,9.756  ,10.845 ,0.9     
6     ,3      ,16   ,127      ,16   ,4.806  ,6.995  ,0.687   
6     ,4      ,16   ,127      ,16   ,4.882  ,7.008  ,0.697   
6     ,4      ,16   ,127      ,32   ,5.813  ,11.563 ,0.503   
6     ,4      ,4    ,127      ,8    ,5.885  ,11.74  ,0.501   
6     ,4      ,64   ,127      ,32   ,4.64   ,6.339  ,0.732   
6     ,5      ,16   ,127      ,8    ,5.103  ,7.5    ,0.68    
6     ,6      ,16   ,127      ,16   ,4.84   ,7.035  ,0.688   
6     ,7      ,16   ,127      ,16   ,5.032  ,7.011  ,0.718   
7     ,2      ,2    ,127      ,4    ,4.642  ,9.342  ,0.497   
7     ,2      ,32   ,127      ,16   ,4.806  ,6.316  ,0.761   
7     ,2      ,8    ,127      ,16   ,5.865  ,11.207 ,0.523   
7     ,6      ,16   ,127      ,16   ,4.83   ,6.985  ,0.691   
7     ,7      ,16   ,127      ,16   ,4.875  ,7.081  ,0.688   
0.7797931180868668
