
Results For: stpcpy
align1,align2 ,len  ,max_char ,new    ,old    ,new/old 
4     ,0      ,296  ,127      ,14.902 ,17.368 ,0.858   
4     ,0      ,300  ,127      ,14.872 ,17.449 ,0.852   
4     ,0      ,304  ,127      ,14.813 ,17.231 ,0.86    
4     ,0      ,308  ,127      ,14.916 ,17.278 ,0.863   
4     ,0      ,312  ,127      ,14.093 ,17.321 ,0.814   
4     ,0      ,316  ,127      ,15.102 ,16.734 ,0.902   
4     ,0      ,32   ,127      ,6.137  ,5.863  ,1.047   
4     ,0      ,320  ,127      ,16.65  ,17.889 ,0.931   
4     ,0      ,324  ,127      ,16.494 ,18.227 ,0.905   
4     ,0      ,328  ,127      ,16.513 ,17.98  ,0.918   
4     ,0      ,332  ,127      ,16.583 ,18.373 ,0.903   
4     ,0      ,336  ,127      ,16.555 ,17.963 ,0.922   
4     ,0      ,340  ,127      ,16.536 ,17.763 ,0.931   
4     ,0      ,344  ,127      ,15.083 ,17.818 ,0.847   
4     ,0      ,348  ,127      ,16.107 ,18.103 ,0.89    
4     ,0      ,352  ,127      ,16.018 ,18.507 ,0.866   
4     ,0      ,356  ,127      ,15.988 ,18.424 ,0.868   
4     ,0      ,36   ,127      ,6.184  ,7.169  ,0.863   
4     ,0      ,360  ,127      ,16.041 ,18.359 ,0.874   
4     ,0      ,364  ,127      ,15.925 ,18.196 ,0.875   
4     ,0      ,368  ,127      ,15.945 ,18.324 ,0.87    
4     ,0      ,372  ,127      ,16.088 ,18.03  ,0.892   
4     ,0      ,376  ,127      ,15.18  ,18.284 ,0.83    
4     ,0      ,380  ,127      ,17.109 ,17.364 ,0.985   
4     ,0      ,384  ,127      ,18.464 ,18.291 ,1.009   
4     ,0      ,388  ,127      ,18.406 ,19.002 ,0.969   
4     ,0      ,392  ,127      ,18.486 ,18.361 ,1.007   
4     ,0      ,396  ,127      ,18.511 ,18.883 ,0.98    
4     ,0      ,4    ,127      ,4.547  ,5.511  ,0.825   
4     ,0      ,40   ,127      ,6.152  ,9.471  ,0.65    
4     ,0      ,400  ,127      ,18.442 ,18.318 ,1.007   
4     ,0      ,404  ,127      ,18.394 ,18.359 ,1.002   
4     ,0      ,408  ,127      ,17.071 ,18.371 ,0.929   
4     ,0      ,412  ,127      ,18.42  ,18.324 ,1.005   
4     ,0      ,416  ,127      ,17.892 ,18.61  ,0.961   
4     ,0      ,420  ,127      ,18.032 ,18.881 ,0.955   
4     ,0      ,424  ,127      ,17.895 ,18.696 ,0.957   
4     ,0      ,428  ,127      ,18.032 ,18.893 ,0.954   
4     ,0      ,432  ,127      ,17.966 ,18.792 ,0.956   
4     ,0      ,436  ,127      ,17.959 ,18.64  ,0.963   
4     ,0      ,44   ,127      ,6.137  ,8.81   ,0.697   
4     ,0      ,440  ,127      ,17.081 ,18.785 ,0.909   
4     ,0      ,444  ,127      ,18.103 ,19.2   ,0.943   
4     ,0      ,448  ,127      ,19.87  ,19.694 ,1.009   
4     ,0      ,452  ,127      ,20.069 ,20.01  ,1.003   
4     ,0      ,456  ,127      ,19.793 ,19.477 ,1.016   
4     ,0      ,460  ,127      ,19.735 ,19.885 ,0.992   
4     ,0      ,464  ,127      ,19.81  ,19.368 ,1.023   
4     ,0      ,468  ,127      ,19.742 ,19.359 ,1.02    
4     ,0      ,472  ,127      ,18.212 ,19.325 ,0.942   
4     ,0      ,476  ,127      ,19.923 ,19.665 ,1.013   
4     ,0      ,48   ,127      ,6.175  ,9.555  ,0.646   
4     ,0      ,480  ,127      ,19.664 ,20.139 ,0.976   
4     ,0      ,484  ,127      ,19.636 ,20.182 ,0.973   
4     ,0      ,488  ,127      ,19.493 ,19.967 ,0.976   
4     ,0      ,492  ,127      ,19.616 ,19.946 ,0.983   
