
Results For: wcscpy
align1,align2 ,len  ,max_char   ,__wcscpy_avx2 ,__wcscpy_ssse3 
7     ,1      ,464  ,2147483647 ,51.149        ,112.008        ,0.457 
3     ,4      ,464  ,1273       ,52.116        ,95.357         ,0.547 
4     ,3      ,464  ,2147483647 ,51.194        ,111.689        ,0.458 
5     ,7      ,464  ,1273       ,51.664        ,96.879         ,0.533 
7     ,5      ,464  ,1273       ,50.774        ,111.459        ,0.456 
0     ,4      ,468  ,1273       ,51.753        ,99.41          ,0.521 
4     ,0      ,468  ,2147483647 ,52.2          ,93.159         ,0.56  
4     ,4      ,468  ,1273       ,36.266        ,76.118         ,0.476 
2     ,2      ,468  ,2147483647 ,35.249        ,93.856         ,0.376 
2     ,6      ,468  ,1273       ,52.289        ,101.387        ,0.516 
6     ,2      ,468  ,2147483647 ,52.349        ,94.6           ,0.553 
1     ,7      ,468  ,1273       ,52.094        ,119.058        ,0.438 
7     ,1      ,468  ,2147483647 ,52.479        ,113.132        ,0.464 
3     ,4      ,468  ,1273       ,51.867        ,97.204         ,0.534 
4     ,3      ,468  ,2147483647 ,51.758        ,112.472        ,0.46  
5     ,7      ,468  ,1273       ,50.873        ,97.879         ,0.52  
7     ,5      ,468  ,1273       ,51.579        ,113.026        ,0.456 
0     ,4      ,472  ,1273       ,50.77         ,100.204        ,0.507 
4     ,0      ,472  ,2147483647 ,51.177        ,93.637         ,0.547 
4     ,4      ,472  ,1273       ,34.085        ,77.389         ,0.44  
2     ,2      ,472  ,2147483647 ,34.415        ,94.327         ,0.365 
2     ,6      ,472  ,1273       ,50.928        ,101.109        ,0.504 
6     ,2      ,472  ,2147483647 ,51.981        ,94.987         ,0.547 
1     ,7      ,472  ,1273       ,50.689        ,118.309        ,0.428 
7     ,1      ,472  ,2147483647 ,51.23         ,112.72         ,0.454 
3     ,4      ,472  ,1273       ,50.757        ,98.01          ,0.518 
4     ,3      ,472  ,2147483647 ,51.478        ,112.406        ,0.458 
5     ,7      ,472  ,1273       ,50.544        ,98.485         ,0.513 
7     ,5      ,472  ,1273       ,51.625        ,113.016        ,0.457 
0     ,4      ,476  ,1273       ,52.179        ,101.057        ,0.516 
4     ,0      ,476  ,2147483647 ,51.603        ,94.764         ,0.545 
4     ,4      ,476  ,1273       ,34.879        ,78.049         ,0.447 
2     ,2      ,476  ,2147483647 ,34.248        ,94.814         ,0.361 
2     ,6      ,476  ,1273       ,52.015        ,102.219        ,0.509 
6     ,2      ,476  ,2147483647 ,51.945        ,95.636         ,0.543 
1     ,7      ,476  ,1273       ,52.312        ,118.114        ,0.443 
7     ,1      ,476  ,2147483647 ,51.824        ,114.754        ,0.452 
3     ,4      ,476  ,1273       ,52.329        ,99.209         ,0.527 
4     ,3      ,476  ,2147483647 ,51.487        ,114.612        ,0.449 
5     ,7      ,476  ,1273       ,53.015        ,101.382        ,0.523 
7     ,5      ,476  ,1273       ,52.297        ,114.366        ,0.457 
0     ,4      ,480  ,1273       ,53.195        ,102.737        ,0.518 
4     ,0      ,480  ,2147483647 ,52.91         ,95.889         ,0.552 
4     ,4      ,480  ,1273       ,36.427        ,78.601         ,0.463 
2     ,2      ,480  ,2147483647 ,37.005        ,95.57          ,0.387 
2     ,6      ,480  ,1273       ,52.862        ,103.144        ,0.513 
6     ,2      ,480  ,2147483647 ,52.94         ,96.591         ,0.548 
1     ,7      ,480  ,1273       ,53.267        ,118.719        ,0.449 
7     ,1      ,480  ,2147483647 ,52.057        ,114.308        ,0.455 
3     ,4      ,480  ,1273       ,52.601        ,99.169         ,0.53  
4     ,3      ,480  ,2147483647 ,52.606        ,115.206        ,0.457 
5     ,7      ,480  ,1273       ,52.786        ,101.81         ,0.518 
7     ,5      ,480  ,1273       ,52.527        ,115.231        ,0.456 
0     ,4      ,484  ,1273       ,52.924        ,102.035        ,0.519 
4     ,0      ,484  ,2147483647 ,53.617        ,95.764         ,0.56  
4     ,4      ,484  ,1273       ,36.045        ,78.75          ,0.458 
2     ,2      ,484  ,2147483647 ,36.503        ,96.101         ,0.38  
2     ,6      ,484  ,1273       ,53.443        ,103.173        ,0.518 
6     ,2      ,484  ,2147483647 ,53.881        ,96.879         ,0.556 
1     ,7      ,484  ,1273       ,52.865        ,120.529        ,0.439 
7     ,1      ,484  ,2147483647 ,53.584        ,115.779        ,0.463 
3     ,4      ,484  ,1273       ,52.772        ,111.311        ,0.474 
4     ,3      ,484  ,2147483647 ,52.854        ,114.901        ,0.46  
5     ,7      ,484  ,1273       ,51.809        ,102.302        ,0.506 
7     ,5      ,484  ,1273       ,52.625        ,115.154        ,0.457 
0     ,4      ,488  ,1273       ,51.992        ,102.759        ,0.506 
4     ,0      ,488  ,2147483647 ,53.33         ,96.943         ,0.55  
4     ,4      ,488  ,1273       ,38.523        ,79.7           ,0.483 
2     ,2      ,488  ,2147483647 ,36.367        ,97.03          ,0.375 
2     ,6      ,488  ,1273       ,51.846        ,103.178        ,0.502 
6     ,2      ,488  ,2147483647 ,53.277        ,97.091         ,0.549 
1     ,7      ,488  ,1273       ,52.004        ,121.828        ,0.427 
7     ,1      ,488  ,2147483647 ,53.076        ,115.618        ,0.459 
3     ,4      ,488  ,1273       ,51.879        ,110.112        ,0.471 
4     ,3      ,488  ,2147483647 ,53.107        ,115.601        ,0.459 
5     ,7      ,488  ,1273       ,51.75         ,105.763        ,0.489 
7     ,5      ,488  ,1273       ,52.73         ,116.027        ,0.454 
0     ,4      ,492  ,1273       ,55.352        ,103.165        ,0.537 
4     ,0      ,492  ,2147483647 ,55.485        ,97.219         ,0.571 
4     ,4      ,492  ,1273       ,36.642        ,80.163         ,0.457 
2     ,2      ,492  ,2147483647 ,41.463        ,100.69         ,0.412 
2     ,6      ,492  ,1273       ,53.64         ,103.901        ,0.516 
6     ,2      ,492  ,2147483647 ,53.102        ,98.299         ,0.54  
1     ,7      ,492  ,1273       ,53.15         ,121.544        ,0.437 
7     ,1      ,492  ,2147483647 ,53.148        ,117.546        ,0.452 
3     ,4      ,492  ,1273       ,53.17         ,108.706        ,0.489 
4     ,3      ,492  ,2147483647 ,53.322        ,117.721        ,0.453 
5     ,7      ,492  ,1273       ,54.262        ,107.45         ,0.505 
7     ,5      ,492  ,1273       ,54.011        ,117.068        ,0.461 
0     ,4      ,496  ,1273       ,54.118        ,104.082        ,0.52  
4     ,0      ,496  ,2147483647 ,54.245        ,97.474         ,0.557 
4     ,4      ,496  ,1273       ,36.007        ,80.275         ,0.449 
2     ,2      ,496  ,2147483647 ,36.689        ,97.894         ,0.375 
2     ,6      ,496  ,1273       ,54.226        ,104.849        ,0.517 
6     ,2      ,496  ,2147483647 ,54.34         ,98.278         ,0.553 
1     ,7      ,496  ,1273       ,53.688        ,123.789        ,0.434 
7     ,1      ,496  ,2147483647 ,53.975        ,117.527        ,0.459 
3     ,4      ,496  ,1273       ,54.046        ,106.686        ,0.507 
4     ,3      ,496  ,2147483647 ,53.879        ,117.494        ,0.459 
5     ,7      ,496  ,1273       ,53.347        ,111.098        ,0.48  
7     ,5      ,496  ,1273       ,54.145        ,117.981        ,0.459 
0     ,4      ,500  ,1273       ,53.556        ,103.993        ,0.515 
4     ,0      ,500  ,2147483647 ,55.24         ,98.158         ,0.563 
4     ,4      ,500  ,1273       ,37.656        ,81.113         ,0.464 
2     ,2      ,500  ,2147483647 ,36.674        ,97.855         ,0.375 
2     ,6      ,500  ,1273       ,53.683        ,105.596        ,0.508 
6     ,2      ,500  ,2147483647 ,55.656        ,99.092         ,0.562 
1     ,7      ,500  ,1273       ,53.801        ,123.658        ,0.435 
7     ,1      ,500  ,2147483647 ,54.977        ,117.774        ,0.467 
3     ,4      ,500  ,1273       ,53.183        ,113.217        ,0.47  
4     ,3      ,500  ,2147483647 ,54.414        ,117.521        ,0.463 
5     ,7      ,500  ,1273       ,53.344        ,114.232        ,0.467 
7     ,5      ,500  ,1273       ,54.491        ,117.883        ,0.462 
0     ,4      ,504  ,1273       ,53.865        ,104.791        ,0.514 
4     ,0      ,504  ,2147483647 ,54.893        ,98.514         ,0.557 
4     ,4      ,504  ,1273       ,36.781        ,81.545         ,0.451 
2     ,2      ,504  ,2147483647 ,35.926        ,98.8           ,0.364 
2     ,6      ,504  ,1273       ,53.899        ,106.641        ,0.505 
6     ,2      ,504  ,2147483647 ,54.932        ,99.242         ,0.554 
1     ,7      ,504  ,1273       ,53.684        ,124.129        ,0.432 
7     ,1      ,504  ,2147483647 ,54.54         ,118.544        ,0.46  
3     ,4      ,504  ,1273       ,53.294        ,112.343        ,0.474 
4     ,3      ,504  ,2147483647 ,54.54         ,117.891        ,0.463 
5     ,7      ,504  ,1273       ,53.687        ,112.978        ,0.475 
7     ,5      ,504  ,1273       ,54.684        ,118.537        ,0.461 
0     ,4      ,508  ,1273       ,54.342        ,104.909        ,0.518 
4     ,0      ,508  ,2147483647 ,54.431        ,99.068         ,0.549 
4     ,4      ,508  ,1273       ,37.658        ,83.767         ,0.45  
2     ,2      ,508  ,2147483647 ,35.673        ,98.979         ,0.36  
2     ,6      ,508  ,1273       ,54.965        ,106.66         ,0.515 
6     ,2      ,508  ,2147483647 ,54.822        ,99.972         ,0.548 
1     ,7      ,508  ,1273       ,54.665        ,122.964        ,0.445 
7     ,1      ,508  ,2147483647 ,54.662        ,120.559        ,0.453 
3     ,4      ,508  ,1273       ,55.034        ,115.655        ,0.476 
4     ,3      ,508  ,2147483647 ,54.663        ,119.809        ,0.456 
5     ,7      ,508  ,1273       ,55.544        ,123.694        ,0.449 
7     ,5      ,508  ,1273       ,55.869        ,120.052        ,0.465 
0     ,4      ,512  ,1273       ,55.668        ,105.44         ,0.528 
4     ,0      ,512  ,2147483647 ,55.411        ,98.558         ,0.562 
4     ,4      ,512  ,1273       ,37.259        ,81.885         ,0.455 
2     ,2      ,512  ,2147483647 ,36.295        ,100.693        ,0.36  
2     ,6      ,512  ,1273       ,56.043        ,106.655        ,0.525 
6     ,2      ,512  ,2147483647 ,55.871        ,100.211        ,0.558 
1     ,7      ,512  ,1273       ,55.216        ,126.216        ,0.437 
7     ,1      ,512  ,2147483647 ,55.537        ,120.323        ,0.462 
3     ,4      ,512  ,1273       ,55.692        ,124.611        ,0.447 
4     ,3      ,512  ,2147483647 ,56.192        ,121.309        ,0.463 
5     ,7      ,512  ,1273       ,54.878        ,121.348        ,0.452 
7     ,5      ,512  ,1273       ,55.311        ,119.55         ,0.463 
1     ,0      ,1    ,1273       ,3.374         ,3.366          ,1.002 
1     ,1      ,1    ,1273       ,3.677         ,3.636          ,1.011 
1     ,0      ,2    ,1273       ,5.028         ,4.773          ,1.053 
2     ,2      ,2    ,1273       ,5.374         ,4.774          ,1.126 
1     ,0      ,4    ,1273       ,5.315         ,7.306          ,0.728 
4     ,4      ,4    ,1273       ,5.325         ,6.685          ,0.797 
1     ,0      ,8    ,1273       ,5.294         ,8.761          ,0.604 
1     ,0      ,16   ,1273       ,7.315         ,11.19          ,0.654 
1     ,0      ,32   ,1273       ,8.668         ,18.829         ,0.46  
1     ,0      ,64   ,1273       ,14.575        ,22.782         ,0.64  
1     ,0      ,128  ,1273       ,21.103        ,32.792         ,0.644 
1     ,0      ,256  ,1273       ,35.266        ,55.979         ,0.63  
1     ,0      ,512  ,1273       ,56.583        ,120.65         ,0.469 
1     ,0      ,1024 ,1273       ,135.649       ,212.013        ,0.64  
0.591314026447588
