
Results For: wcscpy
align1,align2 ,len  ,max_char   ,__wcscpy_avx2 ,__wcscpy_ssse3 
2     ,1      ,16   ,2147483647 ,7.564         ,11.968         ,0.632 
1     ,1      ,16   ,1273       ,7.581         ,9.954          ,0.762 
1     ,1      ,16   ,2147483647 ,7.573         ,9.955          ,0.761 
2     ,4      ,32   ,1273       ,9.586         ,18.719         ,0.512 
4     ,2      ,32   ,2147483647 ,8.858         ,20.151         ,0.44  
2     ,2      ,32   ,1273       ,8.359         ,14.744         ,0.567 
2     ,2      ,32   ,2147483647 ,8.377         ,14.799         ,0.566 
3     ,6      ,64   ,1273       ,15.928        ,23.749         ,0.671 
6     ,3      ,64   ,2147483647 ,13.547        ,25.227         ,0.537 
3     ,3      ,64   ,1273       ,12.4          ,17.797         ,0.697 
3     ,3      ,64   ,2147483647 ,12.374        ,17.839         ,0.694 
0     ,4      ,128  ,2147483647 ,24.649        ,26.881         ,0.917 
4     ,4      ,128  ,1273       ,18.292        ,27.093         ,0.675 
4     ,4      ,128  ,2147483647 ,18.174        ,26.904         ,0.676 
5     ,2      ,256  ,1273       ,35.263        ,60.576         ,0.582 
2     ,5      ,256  ,2147483647 ,35.167        ,55.871         ,0.629 
5     ,5      ,256  ,1273       ,24.472        ,47.001         ,0.521 
5     ,5      ,256  ,2147483647 ,24.64         ,45.358         ,0.543 
6     ,4      ,512  ,1273       ,56.545        ,126.67         ,0.446 
4     ,6      ,512  ,2147483647 ,56.454        ,121.983        ,0.463 
6     ,6      ,512  ,1273       ,37.879        ,88.79          ,0.427 
6     ,6      ,512  ,2147483647 ,38.849        ,101.846        ,0.381 
7     ,6      ,1024 ,1273       ,125.173       ,214.107        ,0.585 
6     ,7      ,1024 ,2147483647 ,169.618       ,211.759        ,0.801 
7     ,7      ,1024 ,1273       ,91.086        ,171.868        ,0.53  
7     ,7      ,1024 ,2147483647 ,90.617        ,170.959        ,0.53  
0     ,4      ,16   ,1273       ,8.434         ,8.905          ,0.947 
4     ,0      ,16   ,2147483647 ,6.351         ,9.07           ,0.7   
4     ,4      ,16   ,1273       ,7.433         ,9.162          ,0.811 
2     ,2      ,16   ,2147483647 ,7.445         ,10.02          ,0.743 
2     ,6      ,16   ,1273       ,8.428         ,8.829          ,0.955 
6     ,2      ,16   ,2147483647 ,6.597         ,9.927          ,0.665 
1     ,7      ,16   ,1273       ,7.859         ,12.519         ,0.628 
7     ,1      ,16   ,2147483647 ,6.189         ,10.804         ,0.573 
3     ,4      ,16   ,1273       ,7.971         ,11.656         ,0.684 
4     ,3      ,16   ,2147483647 ,7.416         ,12.804         ,0.579 
5     ,7      ,16   ,1273       ,8.738         ,12.908         ,0.677 
7     ,5      ,16   ,1273       ,6.423         ,11.631         ,0.552 
0     ,4      ,20   ,1273       ,7.726         ,9.778          ,0.79  
4     ,0      ,20   ,2147483647 ,7.166         ,9.817          ,0.73  
4     ,4      ,20   ,1273       ,7.146         ,9.751          ,0.733 
2     ,2      ,20   ,2147483647 ,7.456         ,10.779         ,0.692 
2     ,6      ,20   ,1273       ,7.677         ,9.876          ,0.777 
6     ,2      ,20   ,2147483647 ,7.703         ,10.828         ,0.711 
1     ,7      ,20   ,1273       ,7.928         ,20.289         ,0.391 
7     ,1      ,20   ,2147483647 ,7.198         ,12.145         ,0.593 
3     ,4      ,20   ,1273       ,7.646         ,12.539         ,0.61  
4     ,3      ,20   ,2147483647 ,7.151         ,20.584         ,0.347 
5     ,7      ,20   ,1273       ,8.296         ,21.811         ,0.38  
7     ,5      ,20   ,1273       ,7.914         ,12.831         ,0.617 
0     ,4      ,24   ,1273       ,8.637         ,10.133         ,0.852 
4     ,0      ,24   ,2147483647 ,6.501         ,10.572         ,0.615 
4     ,4      ,24   ,1273       ,7.175         ,10.407         ,0.689 
2     ,2      ,24   ,2147483647 ,7.461         ,11.726         ,0.636 
2     ,6      ,24   ,1273       ,8.637         ,10.243         ,0.843 
6     ,2      ,24   ,2147483647 ,7.062         ,11.017         ,0.641 
1     ,7      ,24   ,1273       ,8.496         ,22.28          ,0.381 
7     ,1      ,24   ,2147483647 ,7.078         ,21.289         ,0.332 
3     ,4      ,24   ,1273       ,8.229         ,19.666         ,0.418 
4     ,3      ,24   ,2147483647 ,7.479         ,21.278         ,0.351 
5     ,7      ,24   ,1273       ,8.142         ,22.248         ,0.366 
7     ,5      ,24   ,1273       ,7.181         ,21.551         ,0.333 
0     ,4      ,28   ,1273       ,8.128         ,10.818         ,0.751 
4     ,0      ,28   ,2147483647 ,8.639         ,11.371         ,0.76  
4     ,4      ,28   ,1273       ,8.376         ,11.16          ,0.751 
2     ,2      ,28   ,2147483647 ,7.262         ,12.138         ,0.598 
2     ,6      ,28   ,1273       ,8.063         ,11.012         ,0.732 
6     ,2      ,28   ,2147483647 ,9.179         ,11.883         ,0.772 
1     ,7      ,28   ,1273       ,8.123         ,24.183         ,0.336 
7     ,1      ,28   ,2147483647 ,8.249         ,19.513         ,0.423 
3     ,4      ,28   ,1273       ,8.269         ,21.318         ,0.388 
4     ,3      ,28   ,2147483647 ,9.122         ,19.752         ,0.462 
5     ,7      ,28   ,1273       ,9.738         ,20.821         ,0.468 
7     ,5      ,28   ,1273       ,9.172         ,19.835         ,0.462 
0     ,4      ,32   ,1273       ,10.019        ,14.53          ,0.69  
4     ,0      ,32   ,2147483647 ,8.058         ,15.435         ,0.522 
4     ,4      ,32   ,1273       ,8.394         ,15.526         ,0.541 
2     ,6      ,32   ,1273       ,10.054        ,14.94          ,0.673 
6     ,2      ,32   ,2147483647 ,8.418         ,16.104         ,0.523 
1     ,7      ,32   ,1273       ,9.89          ,21.821         ,0.453 
7     ,1      ,32   ,2147483647 ,8.169         ,20.677         ,0.395 
3     ,4      ,32   ,1273       ,9.71          ,19.069         ,0.509 
4     ,3      ,32   ,2147483647 ,8.91          ,20.868         ,0.427 
5     ,7      ,32   ,1273       ,9.571         ,21.946         ,0.436 
7     ,5      ,32   ,1273       ,8.228         ,20.994         ,0.392 
0     ,4      ,36   ,1273       ,9.324         ,15.408         ,0.605 
4     ,0      ,36   ,2147483647 ,11.823        ,15.951         ,0.741 
4     ,4      ,36   ,1273       ,10.957        ,16.522         ,0.663 
2     ,2      ,36   ,2147483647 ,8.419         ,15.462         ,0.544 
2     ,6      ,36   ,1273       ,9.315         ,15.931         ,0.585 
6     ,2      ,36   ,2147483647 ,12.05         ,16.268         ,0.741 
1     ,7      ,36   ,1273       ,9.298         ,23.296         ,0.399 
7     ,1      ,36   ,2147483647 ,10.728        ,21.587         ,0.497 
3     ,4      ,36   ,1273       ,9.24          ,20.487         ,0.451 
4     ,3      ,36   ,2147483647 ,11.663        ,21.487         ,0.543 
5     ,7      ,36   ,1273       ,13.063        ,22.453         ,0.582 
7     ,5      ,36   ,1273       ,11.973        ,21.913         ,0.546 
0     ,4      ,40   ,1273       ,13.45         ,16.284         ,0.826 
4     ,0      ,40   ,2147483647 ,10.395        ,16.698         ,0.623 
4     ,4      ,40   ,1273       ,10.929        ,17.271         ,0.633 
2     ,2      ,40   ,2147483647 ,10.9          ,15.879         ,0.686 
2     ,6      ,40   ,1273       ,13.387        ,16.702         ,0.802 
6     ,2      ,40   ,2147483647 ,10.442        ,16.823         ,0.621 
1     ,7      ,40   ,1273       ,13.319        ,24.407         ,0.546 
7     ,1      ,40   ,2147483647 ,10.5          ,22.273         ,0.471 
3     ,4      ,40   ,1273       ,13.092        ,21.636         ,0.605 
4     ,3      ,40   ,2147483647 ,11.83         ,22.373         ,0.529 
5     ,7      ,40   ,1273       ,12.971        ,23.349         ,0.556 
7     ,5      ,40   ,1273       ,10.464        ,22.464         ,0.466 
0     ,4      ,44   ,1273       ,12.583        ,16.849         ,0.747 
4     ,0      ,44   ,2147483647 ,12.119        ,16.163         ,0.75  
4     ,4      ,44   ,1273       ,11.624        ,16.446         ,0.707 
2     ,2      ,44   ,2147483647 ,10.928        ,16.471         ,0.663 
2     ,6      ,44   ,1273       ,12.548        ,16.881         ,0.743 
6     ,2      ,44   ,2147483647 ,12.191        ,16.296         ,0.748 
1     ,7      ,44   ,1273       ,12.515        ,25.506         ,0.491 
7     ,1      ,44   ,2147483647 ,11.446        ,21.6           ,0.53  
3     ,4      ,44   ,1273       ,13.035        ,22.718         ,0.574 
4     ,3      ,44   ,2147483647 ,11.921        ,21.646         ,0.551 
5     ,7      ,44   ,1273       ,12.881        ,22.72          ,0.567 
7     ,5      ,44   ,1273       ,12.402        ,22.052         ,0.562 
0     ,4      ,48   ,1273       ,15.155        ,17.076         ,0.888 
