
Results For: wcpcpy
align1,align2 ,len  ,max_char   ,__wcpcpy_evex ,__wcpcpy_generic 
2     ,2      ,348  ,2147483647 ,26.752        ,51.336           ,0.521 
2     ,6      ,348  ,1273       ,45.85         ,60.765           ,0.755 
6     ,2      ,348  ,2147483647 ,46.386        ,52.193           ,0.889 
1     ,7      ,348  ,1273       ,45.978        ,60.74            ,0.757 
7     ,1      ,348  ,2147483647 ,46.302        ,51.939           ,0.891 
3     ,4      ,348  ,1273       ,45.809        ,60.735           ,0.754 
4     ,3      ,348  ,2147483647 ,46.273        ,52.322           ,0.884 
5     ,7      ,348  ,1273       ,47.666        ,60.057           ,0.794 
7     ,5      ,348  ,1273       ,47.442        ,52.259           ,0.908 
0     ,4      ,352  ,1273       ,47.566        ,59.968           ,0.793 
4     ,0      ,352  ,2147483647 ,47.268        ,50.954           ,0.928 
4     ,4      ,352  ,1273       ,28.286        ,50.894           ,0.556 
2     ,2      ,352  ,2147483647 ,28.128        ,50.848           ,0.553 
2     ,6      ,352  ,1273       ,47.623        ,60.133           ,0.792 
6     ,2      ,352  ,2147483647 ,47.453        ,52.385           ,0.906 
1     ,7      ,352  ,1273       ,47.187        ,60.455           ,0.781 
7     ,1      ,352  ,2147483647 ,47.708        ,49.824           ,0.958 
3     ,4      ,352  ,1273       ,47.938        ,60.472           ,0.793 
4     ,3      ,352  ,2147483647 ,47.628        ,52.428           ,0.908 
5     ,7      ,352  ,1273       ,47.108        ,60.133           ,0.783 
7     ,5      ,352  ,1273       ,47.412        ,49.546           ,0.957 
0     ,4      ,356  ,1273       ,46.571        ,62.197           ,0.749 
4     ,0      ,356  ,2147483647 ,48.711        ,49.885           ,0.976 
4     ,4      ,356  ,1273       ,26.617        ,53.94            ,0.493 
2     ,2      ,356  ,2147483647 ,28.23         ,50.836           ,0.555 
2     ,6      ,356  ,1273       ,46.962        ,62.589           ,0.75  
6     ,2      ,356  ,2147483647 ,48.979        ,51.357           ,0.954 
1     ,7      ,356  ,1273       ,47.204        ,62.66            ,0.753 
7     ,1      ,356  ,2147483647 ,49.072        ,51.466           ,0.953 
3     ,4      ,356  ,1273       ,46.651        ,62.903           ,0.742 
4     ,3      ,356  ,2147483647 ,48.357        ,51.374           ,0.941 
5     ,7      ,356  ,1273       ,46.893        ,62.361           ,0.752 
7     ,5      ,356  ,1273       ,48.176        ,53.326           ,0.903 
0     ,4      ,360  ,1273       ,47.045        ,62.529           ,0.752 
4     ,0      ,360  ,2147483647 ,48.177        ,52.594           ,0.916 
4     ,4      ,360  ,1273       ,26.654        ,53.947           ,0.494 
