
Results For: wcpcpy
align1,align2 ,len  ,max_char   ,__wcpcpy_evex ,__wcpcpy_generic 
5     ,7      ,424  ,1273       ,53.125        ,68.303           ,0.778 
7     ,5      ,424  ,1273       ,55.085        ,59.131           ,0.932 
0     ,4      ,428  ,1273       ,53.912        ,68.967           ,0.782 
4     ,0      ,428  ,2147483647 ,53.253        ,61.902           ,0.86  
4     ,4      ,428  ,1273       ,29.557        ,61.673           ,0.479 
2     ,2      ,428  ,2147483647 ,28.559        ,59.214           ,0.482 
2     ,6      ,428  ,1273       ,53.882        ,69.166           ,0.779 
6     ,2      ,428  ,2147483647 ,53.726        ,62.854           ,0.855 
1     ,7      ,428  ,1273       ,53.834        ,68.65            ,0.784 
7     ,1      ,428  ,2147483647 ,53.179        ,62.493           ,0.851 
3     ,4      ,428  ,1273       ,54.034        ,68.947           ,0.784 
4     ,3      ,428  ,2147483647 ,53.436        ,62.563           ,0.854 
5     ,7      ,428  ,1273       ,53.968        ,71.167           ,0.758 
7     ,5      ,428  ,1273       ,54.35         ,62.076           ,0.876 
0     ,4      ,432  ,1273       ,53.851        ,71.171           ,0.757 
4     ,0      ,432  ,2147483647 ,54.375        ,61.533           ,0.884 
4     ,4      ,432  ,1273       ,29.44         ,61.181           ,0.481 
2     ,2      ,432  ,2147483647 ,29.454        ,61.271           ,0.481 
2     ,6      ,432  ,1273       ,53.652        ,71.725           ,0.748 
6     ,2      ,432  ,2147483647 ,54.575        ,62.627           ,0.871 
1     ,7      ,432  ,1273       ,53.828        ,71.63            ,0.751 
7     ,1      ,432  ,2147483647 ,54.156        ,60.772           ,0.891 
3     ,4      ,432  ,1273       ,53.578        ,70.949           ,0.755 
4     ,3      ,432  ,2147483647 ,54.422        ,62.029           ,0.877 
5     ,7      ,432  ,1273       ,52.957        ,71.028           ,0.746 
7     ,5      ,432  ,1273       ,53.909        ,60.503           ,0.891 
0     ,4      ,436  ,1273       ,53.141        ,71.754           ,0.741 
4     ,0      ,436  ,2147483647 ,52.838        ,60.952           ,0.867 
4     ,4      ,436  ,1273       ,29.272        ,61.065           ,0.479 
2     ,2      ,436  ,2147483647 ,30.473        ,61.542           ,0.495 
2     ,6      ,436  ,1273       ,53.384        ,71.924           ,0.742 
6     ,2      ,436  ,2147483647 ,52.918        ,61.76            ,0.857 
1     ,7      ,436  ,1273       ,53.128        ,71.596           ,0.742 
7     ,1      ,436  ,2147483647 ,52.692        ,61.767           ,0.853 
3     ,4      ,436  ,1273       ,53.121        ,71.23            ,0.746 
4     ,3      ,436  ,2147483647 ,52.617        ,62.311           ,0.844 
5     ,7      ,436  ,1273       ,51.031        ,71.625           ,0.712 
7     ,5      ,436  ,1273       ,53.805        ,61.938           ,0.869 
0     ,4      ,440  ,1273       ,50.831        ,71.435           ,0.712 
4     ,0      ,440  ,2147483647 ,52.469        ,61.622           ,0.851 
4     ,4      ,440  ,1273       ,28.94         ,61.519           ,0.47  
2     ,2      ,440  ,2147483647 ,28.898        ,61.521           ,0.47  
2     ,6      ,440  ,1273       ,51.192        ,71.58            ,0.715 
6     ,2      ,440  ,2147483647 ,52.824        ,62.338           ,0.847 
1     ,7      ,440  ,1273       ,51.161        ,72.026           ,0.71  
7     ,1      ,440  ,2147483647 ,52.677        ,60.939           ,0.864 
3     ,4      ,440  ,1273       ,51.192        ,71.79            ,0.713 
4     ,3      ,440  ,2147483647 ,54.167        ,62.175           ,0.871 
5     ,7      ,440  ,1273       ,50.648        ,71.39            ,0.709 
7     ,5      ,440  ,1273       ,52.324        ,60.721           ,0.862 
0     ,4      ,444  ,1273       ,51.463        ,70.92            ,0.726 
4     ,0      ,444  ,2147483647 ,51.701        ,61.277           ,0.844 
4     ,4      ,444  ,1273       ,30.697        ,61.437           ,0.5   
2     ,2      ,444  ,2147483647 ,28.786        ,61.17            ,0.471 
2     ,6      ,444  ,1273       ,51.138        ,71.284           ,0.717 
6     ,2      ,444  ,2147483647 ,52.136        ,62.536           ,0.834 
1     ,7      ,444  ,1273       ,51.683        ,71.481           ,0.723 
7     ,1      ,444  ,2147483647 ,51.72         ,62.161           ,0.832 
3     ,4      ,444  ,1273       ,51.581        ,71.28            ,0.724 
4     ,3      ,444  ,2147483647 ,51.863        ,62.259           ,0.833 
5     ,7      ,444  ,1273       ,51.765        ,70.983           ,0.729 
7     ,5      ,444  ,1273       ,52.304        ,61.969           ,0.844 
0     ,4      ,448  ,1273       ,51.967        ,70.625           ,0.736 
4     ,0      ,448  ,2147483647 ,51.919        ,61.473           ,0.845 
4     ,4      ,448  ,1273       ,30.753        ,61.651           ,0.499 
2     ,2      ,448  ,2147483647 ,30.825        ,61.825           ,0.499 
2     ,6      ,448  ,1273       ,52.342        ,71.112           ,0.736 
6     ,2      ,448  ,2147483647 ,52.238        ,62.536           ,0.835 
1     ,7      ,448  ,1273       ,52.135        ,71.537           ,0.729 
7     ,1      ,448  ,2147483647 ,52.023        ,60.534           ,0.859 
3     ,4      ,448  ,1273       ,51.66         ,71.046           ,0.727 
4     ,3      ,448  ,2147483647 ,52.276        ,62.1             ,0.842 
5     ,7      ,448  ,1273       ,51.326        ,71.032           ,0.723 
7     ,5      ,448  ,1273       ,51.887        ,60.404           ,0.859 
0     ,4      ,452  ,1273       ,51.383        ,73.343           ,0.701 
4     ,0      ,452  ,2147483647 ,51.877        ,61.874           ,0.838 
4     ,4      ,452  ,1273       ,30.575        ,62.178           ,0.492 
2     ,2      ,452  ,2147483647 ,30.774        ,61.7             ,0.499 
2     ,6      ,452  ,1273       ,51.262        ,73.468           ,0.698 
6     ,2      ,452  ,2147483647 ,51.956        ,62.662           ,0.829 
1     ,7      ,452  ,1273       ,51.652        ,73.778           ,0.7   
7     ,1      ,452  ,2147483647 ,51.98         ,62.723           ,0.829 
3     ,4      ,452  ,1273       ,51.398        ,73.308           ,0.701 
4     ,3      ,452  ,2147483647 ,51.515        ,62.728           ,0.821 
5     ,7      ,452  ,1273       ,50.435        ,72.626           ,0.694 
7     ,5      ,452  ,1273       ,51.829        ,65.025           ,0.797 
0     ,4      ,456  ,1273       ,50.047        ,72.277           ,0.692 
4     ,0      ,456  ,2147483647 ,51.085        ,64.264           ,0.795 
4     ,4      ,456  ,1273       ,30.283        ,62.224           ,0.487 
2     ,2      ,456  ,2147483647 ,30.177        ,62.003           ,0.487 
2     ,6      ,456  ,1273       ,50.355        ,72.614           ,0.693 
6     ,2      ,456  ,2147483647 ,51.409        ,65.205           ,0.788 
1     ,7      ,456  ,1273       ,50.216        ,72.23            ,0.695 
7     ,1      ,456  ,2147483647 ,51.417        ,64.027           ,0.803 
3     ,4      ,456  ,1273       ,50.153        ,72.517           ,0.692 
4     ,3      ,456  ,2147483647 ,51.708        ,65.385           ,0.791 
5     ,7      ,456  ,1273       ,50.448        ,72.577           ,0.695 
7     ,5      ,456  ,1273       ,51.731        ,64.327           ,0.804 
0     ,4      ,460  ,1273       ,51.292        ,73.61            ,0.697 
4     ,0      ,460  ,2147483647 ,50.588        ,65.998           ,0.767 
4     ,4      ,460  ,1273       ,31.215        ,64.76            ,0.482 
2     ,2      ,460  ,2147483647 ,30.37         ,62.69            ,0.484 
2     ,6      ,460  ,1273       ,51.613        ,73.622           ,0.701 
6     ,2      ,460  ,2147483647 ,50.75         ,66.8             ,0.76  
1     ,7      ,460  ,1273       ,51.474        ,73.708           ,0.698 
7     ,1      ,460  ,2147483647 ,50.71         ,66.573           ,0.762 
3     ,4      ,460  ,1273       ,50.937        ,73.13            ,0.697 
4     ,3      ,460  ,2147483647 ,50.66         ,66.38            ,0.763 
5     ,7      ,460  ,1273       ,51.396        ,75.642           ,0.679 
7     ,5      ,460  ,1273       ,51.107        ,65.927           ,0.775 
0     ,4      ,464  ,1273       ,51.451        ,75.533           ,0.681 
4     ,0      ,464  ,2147483647 ,51.136        ,65.242           ,0.784 
4     ,4      ,464  ,1273       ,31.123        ,64.601           ,0.482 
2     ,2      ,464  ,2147483647 ,31.144        ,64.468           ,0.483 
2     ,6      ,464  ,1273       ,51.57         ,75.472           ,0.683 
6     ,2      ,464  ,2147483647 ,51.126        ,65.992           ,0.775 
1     ,7      ,464  ,1273       ,51.333        ,76.052           ,0.675 
7     ,1      ,464  ,2147483647 ,51.274        ,65.388           ,0.784 
3     ,4      ,464  ,1273       ,51.659        ,76.039           ,0.679 
4     ,3      ,464  ,2147483647 ,51.321        ,66.022           ,0.777 
5     ,7      ,464  ,1273       ,50.958        ,75.644           ,0.674 
7     ,5      ,464  ,1273       ,50.775        ,64.872           ,0.783 
0     ,4      ,468  ,1273       ,50.684        ,75.61            ,0.67  
4     ,0      ,468  ,2147483647 ,51.811        ,65.194           ,0.795 
4     ,4      ,468  ,1273       ,30.182        ,63.955           ,0.472 
2     ,2      ,468  ,2147483647 ,31.136        ,64.545           ,0.482 
2     ,6      ,468  ,1273       ,51.038        ,75.846           ,0.673 
6     ,2      ,468  ,2147483647 ,52.286        ,66.561           ,0.786 
1     ,7      ,468  ,1273       ,50.86         ,75.017           ,0.678 
7     ,1      ,468  ,2147483647 ,51.532        ,65.466           ,0.787 
3     ,4      ,468  ,1273       ,50.635        ,75.419           ,0.671 
4     ,3      ,468  ,2147483647 ,51.382        ,65.874           ,0.78  
5     ,7      ,468  ,1273       ,50.516        ,75.063           ,0.673 
7     ,5      ,468  ,1273       ,51.211        ,65.571           ,0.781 
0     ,4      ,472  ,1273       ,50.411        ,74.737           ,0.675 
4     ,0      ,472  ,2147483647 ,51.074        ,65.128           ,0.784 
4     ,4      ,472  ,1273       ,30.196        ,64.016           ,0.472 
2     ,2      ,472  ,2147483647 ,30.474        ,63.787           ,0.478 
2     ,6      ,472  ,1273       ,50.785        ,75.57            ,0.672 
6     ,2      ,472  ,2147483647 ,51.44         ,66.135           ,0.778 
1     ,7      ,472  ,1273       ,50.847        ,75.568           ,0.673 
7     ,1      ,472  ,2147483647 ,51.33         ,65.205           ,0.787 
3     ,4      ,472  ,1273       ,50.439        ,75.438           ,0.669 
4     ,3      ,472  ,2147483647 ,51.421        ,65.923           ,0.78  
5     ,7      ,472  ,1273       ,50.451        ,75.003           ,0.673 
7     ,5      ,472  ,1273       ,51.082        ,64.889           ,0.787 
0     ,4      ,476  ,1273       ,51.618        ,75.676           ,0.682 
4     ,0      ,476  ,2147483647 ,51.507        ,65.167           ,0.79  
4     ,4      ,476  ,1273       ,32.179        ,64.134           ,0.502 
2     ,2      ,476  ,2147483647 ,30.55         ,64.477           ,0.474 
2     ,6      ,476  ,1273       ,52.17         ,75.424           ,0.692 
6     ,2      ,476  ,2147483647 ,51.625        ,65.808           ,0.784 
1     ,7      ,476  ,1273       ,51.718        ,75.422           ,0.686 
7     ,1      ,476  ,2147483647 ,51.439        ,65.795           ,0.782 
3     ,4      ,476  ,1273       ,52.097        ,75.284           ,0.692 
4     ,3      ,476  ,2147483647 ,51.482        ,65.719           ,0.783 
5     ,7      ,476  ,1273       ,52.806        ,75.075           ,0.703 
7     ,5      ,476  ,1273       ,52.611        ,66.19            ,0.795 
0     ,4      ,480  ,1273       ,52.743        ,74.594           ,0.707 
4     ,0      ,480  ,2147483647 ,52.183        ,64.729           ,0.806 
4     ,4      ,480  ,1273       ,32.147        ,63.893           ,0.503 
2     ,2      ,480  ,2147483647 ,32.346        ,64.338           ,0.503 
2     ,6      ,480  ,1273       ,53.206        ,75.556           ,0.704 
6     ,2      ,480  ,2147483647 ,53.115        ,66.416           ,0.8   
1     ,7      ,480  ,1273       ,52.678        ,75.285           ,0.7   
7     ,1      ,480  ,2147483647 ,52.7          ,65.165           ,0.809 
3     ,4      ,480  ,1273       ,52.962        ,75.304           ,0.703 
4     ,3      ,480  ,2147483647 ,52.825        ,65.795           ,0.803 
5     ,7      ,480  ,1273       ,52.238        ,75.123           ,0.695 
7     ,5      ,480  ,1273       ,52.608        ,65.294           ,0.806 
0     ,4      ,484  ,1273       ,52.461        ,77.839           ,0.674 
4     ,0      ,484  ,2147483647 ,53.698        ,65.8             ,0.816 
4     ,4      ,484  ,1273       ,31.97         ,66.228           ,0.483 
2     ,2      ,484  ,2147483647 ,32.128        ,64.104           ,0.501 
2     ,6      ,484  ,1273       ,52.301        ,78.249           ,0.668 
6     ,2      ,484  ,2147483647 ,53.9          ,67.012           ,0.804 
1     ,7      ,484  ,1273       ,52.58         ,78.164           ,0.673 
7     ,1      ,484  ,2147483647 ,53.922        ,66.68            ,0.809 
3     ,4      ,484  ,1273       ,52.366        ,77.612           ,0.675 
4     ,3      ,484  ,2147483647 ,53.151        ,66.287           ,0.802 
5     ,7      ,484  ,1273       ,52.003        ,76.331           ,0.681 
7     ,5      ,484  ,1273       ,53.072        ,69.279           ,0.766 
0     ,4      ,488  ,1273       ,52.27         ,76.835           ,0.68  
4     ,0      ,488  ,2147483647 ,53.331        ,69.037           ,0.773 
4     ,4      ,488  ,1273       ,32.02         ,66.2             ,0.484 
2     ,2      ,488  ,2147483647 ,31.904        ,66.135           ,0.482 
2     ,6      ,488  ,1273       ,52.112        ,76.88            ,0.678 
6     ,2      ,488  ,2147483647 ,53.48         ,69.63            ,0.768 
1     ,7      ,488  ,1273       ,52.386        ,76.668           ,0.683 
7     ,1      ,488  ,2147483647 ,53.107        ,67.798           ,0.783 
3     ,4      ,488  ,1273       ,51.854        ,76.434           ,0.678 
4     ,3      ,488  ,2147483647 ,52.894        ,68.884           ,0.768 
5     ,7      ,488  ,1273       ,52.008        ,76.728           ,0.678 
7     ,5      ,488  ,1273       ,53.269        ,67.977           ,0.784 
0     ,4      ,492  ,1273       ,53.224        ,76.9             ,0.692 
4     ,0      ,492  ,2147483647 ,53.033        ,72.201           ,0.735 
4     ,4      ,492  ,1273       ,32.609        ,68.178           ,0.478 
2     ,2      ,492  ,2147483647 ,34.244        ,66.677           ,0.514 
2     ,6      ,492  ,1273       ,54.261        ,77.029           ,0.704 
6     ,2      ,492  ,2147483647 ,53.501        ,72.64            ,0.737 
1     ,7      ,492  ,1273       ,53.452        ,77.71            ,0.688 
7     ,1      ,492  ,2147483647 ,53.375        ,70.557           ,0.756 
3     ,4      ,492  ,1273       ,53.62         ,77.066           ,0.696 
4     ,3      ,492  ,2147483647 ,53.12         ,70.414           ,0.754 
5     ,7      ,492  ,1273       ,54.306        ,79.435           ,0.684 
7     ,5      ,492  ,1273       ,54.186        ,70.289           ,0.771 
0     ,4      ,496  ,1273       ,54.241        ,79.732           ,0.68  
4     ,0      ,496  ,2147483647 ,54.413        ,69.81            ,0.779 
4     ,4      ,496  ,1273       ,32.563        ,68.202           ,0.477 
2     ,2      ,496  ,2147483647 ,32.572        ,68.088           ,0.478 
2     ,6      ,496  ,1273       ,54.369        ,79.37            ,0.685 
6     ,2      ,496  ,2147483647 ,54.378        ,70.375           ,0.773 
1     ,7      ,496  ,1273       ,53.93         ,79.31            ,0.68  
7     ,1      ,496  ,2147483647 ,54.125        ,69.186           ,0.782 
3     ,4      ,496  ,1273       ,53.896        ,79.175           ,0.681 
4     ,3      ,496  ,2147483647 ,53.734        ,69.802           ,0.77  
5     ,7      ,496  ,1273       ,53.095        ,78.752           ,0.674 
7     ,5      ,496  ,1273       ,53.855        ,68.803           ,0.783 
0     ,4      ,500  ,1273       ,52.962        ,79.224           ,0.669 
4     ,0      ,500  ,2147483647 ,55.074        ,69.208           ,0.796 
4     ,4      ,500  ,1273       ,32.33         ,67.558           ,0.479 
2     ,2      ,500  ,2147483647 ,32.54         ,68.067           ,0.478 
2     ,6      ,500  ,1273       ,53.499        ,79.751           ,0.671 
6     ,2      ,500  ,2147483647 ,54.995        ,69.905           ,0.787 
1     ,7      ,500  ,1273       ,53.201        ,79.217           ,0.672 
7     ,1      ,500  ,2147483647 ,54.824        ,69.547           ,0.788 
3     ,4      ,500  ,1273       ,53.093        ,79.264           ,0.67  
4     ,3      ,500  ,2147483647 ,54.415        ,70.109           ,0.776 
5     ,7      ,500  ,1273       ,53.385        ,79.032           ,0.675 
7     ,5      ,500  ,1273       ,54.178        ,69.772           ,0.777 
0     ,4      ,504  ,1273       ,53.067        ,78.933           ,0.672 
4     ,0      ,504  ,2147483647 ,54.342        ,69.104           ,0.786 
4     ,4      ,504  ,1273       ,31.796        ,67.539           ,0.471 
2     ,2      ,504  ,2147483647 ,32.323        ,67.801           ,0.477 
2     ,6      ,504  ,1273       ,53.478        ,79.78            ,0.67  
6     ,2      ,504  ,2147483647 ,54.912        ,70.478           ,0.779 
1     ,7      ,504  ,1273       ,53.727        ,79.185           ,0.678 
7     ,1      ,504  ,2147483647 ,54.418        ,68.889           ,0.79  
3     ,4      ,504  ,1273       ,53.607        ,79.649           ,0.673 
4     ,3      ,504  ,2147483647 ,54.736        ,70.004           ,0.782 
5     ,7      ,504  ,1273       ,53.691        ,79.219           ,0.678 
7     ,5      ,504  ,1273       ,54.601        ,69.162           ,0.789 
0     ,4      ,508  ,1273       ,54.678        ,79.408           ,0.689 
4     ,0      ,508  ,2147483647 ,54.926        ,69.348           ,0.792 
4     ,4      ,508  ,1273       ,34.137        ,67.425           ,0.506 
2     ,2      ,508  ,2147483647 ,31.817        ,67.81            ,0.469 
2     ,6      ,508  ,1273       ,54.462        ,79.003           ,0.689 
6     ,2      ,508  ,2147483647 ,54.912        ,70.153           ,0.783 
1     ,7      ,508  ,1273       ,54.977        ,79.242           ,0.694 
7     ,1      ,508  ,2147483647 ,54.585        ,69.285           ,0.788 
3     ,4      ,508  ,1273       ,54.326        ,78.818           ,0.689 
4     ,3      ,508  ,2147483647 ,54.513        ,69.513           ,0.784 
5     ,7      ,508  ,1273       ,55.709        ,78.139           ,0.713 
7     ,5      ,508  ,1273       ,55.672        ,69.928           ,0.796 
0     ,4      ,512  ,1273       ,55.753        ,78.387           ,0.711 
4     ,0      ,512  ,2147483647 ,55.694        ,68.863           ,0.809 
4     ,4      ,512  ,1273       ,33.596        ,67.135           ,0.5   
2     ,2      ,512  ,2147483647 ,33.449        ,67.681           ,0.494 
2     ,6      ,512  ,1273       ,55.865        ,78.692           ,0.71  
6     ,2      ,512  ,2147483647 ,56.196        ,70.14            ,0.801 
1     ,7      ,512  ,1273       ,55.696        ,78.626           ,0.708 
7     ,1      ,512  ,2147483647 ,55.886        ,69.226           ,0.807 
3     ,4      ,512  ,1273       ,55.862        ,78.35            ,0.713 
4     ,3      ,512  ,2147483647 ,55.703        ,69.306           ,0.804 
5     ,7      ,512  ,1273       ,55.176        ,78.178           ,0.706 
7     ,5      ,512  ,1273       ,55.663        ,69.023           ,0.806 
1     ,0      ,1    ,1273       ,2.939         ,9.245            ,0.318 
1     ,1      ,1    ,1273       ,3.839         ,9.123            ,0.421 
1     ,0      ,2    ,1273       ,4.953         ,9.115            ,0.543 
2     ,2      ,2    ,1273       ,5.238         ,9.218            ,0.568 
1     ,0      ,4    ,1273       ,5.234         ,9.064            ,0.577 
4     ,4      ,4    ,1273       ,5.241         ,9.024            ,0.581 
1     ,0      ,8    ,1273       ,5.574         ,9.137            ,0.61  
1     ,0      ,16   ,1273       ,7.575         ,11.742           ,0.645 
1     ,0      ,32   ,1273       ,8.591         ,15.403           ,0.558 
1     ,0      ,64   ,1273       ,14.627        ,19.062           ,0.767 
1     ,0      ,128  ,1273       ,21.162        ,27.51            ,0.769 
1     ,0      ,256  ,1273       ,35.217        ,40.808           ,0.863 
1     ,0      ,512  ,1273       ,56.434        ,69.835           ,0.808 
1     ,0      ,1024 ,1273       ,136.207       ,146.259          ,0.931 
0.6955039091244063
