
Results For: strcpy
align1,align2 ,len  ,max_char ,new    ,old    ,new/old 
7     ,1      ,336  ,127      ,15.984 ,17.408 ,0.918   
7     ,1      ,340  ,127      ,14.983 ,17.531 ,0.855   
7     ,1      ,344  ,127      ,14.379 ,17.371 ,0.828   
7     ,1      ,348  ,127      ,15.866 ,17.794 ,0.892   
7     ,1      ,352  ,127      ,15.659 ,18.064 ,0.867   
7     ,1      ,356  ,127      ,15.683 ,17.574 ,0.892   
7     ,1      ,36   ,127      ,6.333  ,6.23   ,1.017   
7     ,1      ,360  ,127      ,15.563 ,17.578 ,0.885   
7     ,1      ,364  ,127      ,15.667 ,17.814 ,0.879   
7     ,1      ,368  ,127      ,15.615 ,17.587 ,0.888   
7     ,1      ,372  ,127      ,14.93  ,17.693 ,0.844   
7     ,1      ,376  ,127      ,14.836 ,17.714 ,0.838   
7     ,1      ,380  ,127      ,17.169 ,17.033 ,1.008   
7     ,1      ,384  ,127      ,18.726 ,18.199 ,1.029   
7     ,1      ,388  ,127      ,18.722 ,19.011 ,0.985   
7     ,1      ,392  ,127      ,18.692 ,18.881 ,0.99    
7     ,1      ,396  ,127      ,18.76  ,19.589 ,0.958   
7     ,1      ,40   ,127      ,6.35   ,9.635  ,0.659   
7     ,1      ,400  ,127      ,18.751 ,19.215 ,0.976   
7     ,1      ,404  ,127      ,16.811 ,18.536 ,0.907   
7     ,1      ,408  ,127      ,16.143 ,18.708 ,0.863   
7     ,1      ,412  ,127      ,18.284 ,17.963 ,1.018   
7     ,1      ,416  ,127      ,18.297 ,18.659 ,0.981   
7     ,1      ,420  ,127      ,18.212 ,18.842 ,0.967   
7     ,1      ,424  ,127      ,18.437 ,18.858 ,0.978   
7     ,1      ,428  ,127      ,18.295 ,18.953 ,0.965   
7     ,1      ,432  ,127      ,18.382 ,18.723 ,0.982   
7     ,1      ,436  ,127      ,16.953 ,18.741 ,0.905   
7     ,1      ,44   ,127      ,6.478  ,8.681  ,0.746   
7     ,1      ,440  ,127      ,16.949 ,18.83  ,0.9     
7     ,1      ,444  ,127      ,18.408 ,18.563 ,0.992   
7     ,1      ,448  ,127      ,19.519 ,19.336 ,1.009   
7     ,1      ,452  ,127      ,19.546 ,19.763 ,0.989   
7     ,1      ,456  ,127      ,19.459 ,19.302 ,1.008   
7     ,1      ,460  ,127      ,19.549 ,19.449 ,1.005   
7     ,1      ,464  ,127      ,19.548 ,19.165 ,1.02    
7     ,1      ,468  ,127      ,18.187 ,19.116 ,0.951   
7     ,1      ,472  ,127      ,17.646 ,19.234 ,0.917   
7     ,1      ,476  ,127      ,20.007 ,19.251 ,1.039   
7     ,1      ,48   ,127      ,6.38   ,9.757  ,0.654   
7     ,1      ,480  ,127      ,19.945 ,19.829 ,1.006   
7     ,1      ,484  ,127      ,19.995 ,19.926 ,1.003   
