
Results For: wcsncat
align1,align2 ,len1 ,len2 ,max_char   ,n    ,__wcsncat_evex ,__wcsncat_generic 
3     ,2      ,256  ,64   ,1273       ,8    ,19.479         ,21.848            ,0.892 
0     ,0      ,512  ,512  ,1273       ,8    ,42.696         ,32.558            ,1.311 
2     ,4      ,512  ,512  ,1273       ,8    ,32.142         ,33.224            ,0.967 
0     ,0      ,512  ,128  ,1273       ,8    ,19.446         ,22.445            ,0.866 
2     ,4      ,512  ,128  ,1273       ,8    ,19.975         ,22.502            ,0.888 
0     ,0      ,1024 ,256  ,1273       ,8    ,19.56          ,24.878            ,0.786 
1     ,6      ,1024 ,256  ,1273       ,8    ,21.858         ,24.754            ,0.883 
1     ,2      ,16   ,1    ,1273       ,8    ,20.596         ,21.521            ,0.957 
2     ,1      ,16   ,1    ,2147483647 ,8    ,20.663         ,21.432            ,0.964 
1     ,1      ,16   ,10   ,1273       ,8    ,23.5           ,25.668            ,0.916 
2     ,4      ,32   ,1    ,1273       ,8    ,20.3           ,20.986            ,0.967 
4     ,2      ,32   ,1    ,2147483647 ,8    ,19.848         ,21.202            ,0.936 
2     ,2      ,32   ,10   ,1273       ,8    ,19.596         ,25.002            ,0.784 
3     ,6      ,64   ,1    ,1273       ,8    ,19.716         ,20.528            ,0.96  
6     ,3      ,64   ,1    ,2147483647 ,8    ,19.492         ,20.736            ,0.94  
3     ,3      ,64   ,10   ,1273       ,8    ,21.262         ,24.535            ,0.867 
4     ,0      ,128  ,1    ,1273       ,8    ,19.352         ,20.638            ,0.938 
0     ,4      ,128  ,1    ,2147483647 ,8    ,19.403         ,20.191            ,0.961 
4     ,4      ,128  ,10   ,1273       ,8    ,21.19          ,24.317            ,0.871 
5     ,2      ,256  ,1    ,1273       ,8    ,19.155         ,20.461            ,0.936 
2     ,5      ,256  ,1    ,2147483647 ,8    ,19.299         ,20.058            ,0.962 
5     ,5      ,256  ,10   ,1273       ,8    ,20.904         ,24.174            ,0.865 
6     ,4      ,512  ,1    ,1273       ,8    ,19.006         ,20.242            ,0.939 
4     ,6      ,512  ,1    ,2147483647 ,8    ,19.13          ,19.913            ,0.961 
6     ,6      ,512  ,10   ,1273       ,8    ,18.266         ,20.377            ,0.896 
7     ,6      ,1024 ,1    ,1273       ,8    ,19.131         ,19.938            ,0.96  
6     ,7      ,1024 ,1    ,2147483647 ,8    ,18.302         ,19.887            ,0.92  
7     ,7      ,1024 ,10   ,1273       ,8    ,18.276         ,20.365            ,0.897 
0     ,2      ,2    ,2    ,1273       ,32   ,18.915         ,19.77             ,0.957 
0     ,0      ,4    ,4    ,1273       ,32   ,18.852         ,19.777            ,0.953 
4     ,0      ,4    ,4    ,2147483647 ,32   ,18.877         ,19.895            ,0.949 
0     ,0      ,8    ,8    ,1273       ,32   ,24.261         ,20.577            ,1.179 
0     ,0      ,16   ,16   ,1273       ,32   ,24.318         ,20.449            ,1.189 
7     ,2      ,16   ,16   ,1273       ,32   ,24.355         ,22.711            ,1.072 
0     ,0      ,16   ,4    ,1273       ,32   ,26.193         ,22.139            ,1.183 
7     ,2      ,16   ,4    ,1273       ,32   ,24.716         ,22.689            ,1.089 
0     ,0      ,32   ,32   ,1273       ,32   ,20.651         ,21.59             ,0.957 
6     ,4      ,32   ,32   ,1273       ,32   ,26.461         ,22.876            ,1.157 
0     ,0      ,32   ,8    ,1273       ,32   ,21.517         ,22.969            ,0.937 
6     ,4      ,32   ,8    ,1273       ,32   ,25.372         ,25.874            ,0.981 
0     ,0      ,64   ,64   ,1273       ,32   ,21.298         ,22.259            ,0.957 
5     ,6      ,64   ,64   ,1273       ,32   ,27.896         ,23.795            ,1.172 
0     ,0      ,64   ,16   ,1273       ,32   ,21.81          ,22.263            ,0.98  
5     ,6      ,64   ,16   ,1273       ,32   ,27.996         ,23.638            ,1.184 
0     ,0      ,128  ,128  ,1273       ,32   ,21.718         ,22.461            ,0.967 
4     ,0      ,128  ,128  ,1273       ,32   ,26.158         ,22.828            ,1.146 
0     ,0      ,128  ,32   ,1273       ,32   ,21.277         ,22.359            ,0.952 
4     ,0      ,128  ,32   ,1273       ,32   ,26.25          ,22.485            ,1.167 
0     ,0      ,256  ,256  ,1273       ,32   ,22.631         ,27.372            ,0.827 
3     ,2      ,256  ,256  ,1273       ,32   ,29.144         ,27.112            ,1.075 
0     ,0      ,256  ,64   ,1273       ,32   ,21.95          ,22.969            ,0.956 
3     ,2      ,256  ,64   ,1273       ,32   ,26.764         ,24.536            ,1.091 
0     ,0      ,512  ,512  ,1273       ,32   ,36.258         ,36.099            ,1.004 
2     ,4      ,512  ,512  ,1273       ,32   ,36.067         ,36.681            ,0.983 
0     ,0      ,512  ,128  ,1273       ,32   ,22.65          ,23.174            ,0.977 
2     ,4      ,512  ,128  ,1273       ,32   ,29.434         ,25.739            ,1.144 
0     ,0      ,1024 ,256  ,1273       ,32   ,23.629         ,27.843            ,0.849 
1     ,6      ,1024 ,256  ,1273       ,32   ,32.888         ,27.555            ,1.194 
1     ,2      ,16   ,1    ,1273       ,32   ,28.188         ,23.911            ,1.179 
2     ,1      ,16   ,1    ,2147483647 ,32   ,26.806         ,23.561            ,1.138 
1     ,1      ,16   ,10   ,1273       ,32   ,25.479         ,23.565            ,1.081 
2     ,4      ,32   ,1    ,1273       ,32   ,29.396         ,23.383            ,1.257 
4     ,2      ,32   ,1    ,2147483647 ,32   ,27.763         ,23.642            ,1.174 
2     ,2      ,32   ,10   ,1273       ,32   ,26.507         ,26.531            ,0.999 
3     ,6      ,64   ,1    ,1273       ,32   ,28.982         ,22.943            ,1.263 
6     ,3      ,64   ,1    ,2147483647 ,32   ,27.218         ,22.945            ,1.186 
3     ,3      ,64   ,10   ,1273       ,32   ,26.045         ,25.906            ,1.005 
4     ,0      ,128  ,1    ,1273       ,32   ,27.289         ,22.953            ,1.189 
0     ,4      ,128  ,1    ,2147483647 ,32   ,26.413         ,22.828            ,1.157 
4     ,4      ,128  ,10   ,1273       ,32   ,25.844         ,25.64             ,1.008 
5     ,2      ,256  ,1    ,1273       ,32   ,27.052         ,22.748            ,1.189 
2     ,5      ,256  ,1    ,2147483647 ,32   ,28.289         ,22.424            ,1.262 
5     ,5      ,256  ,10   ,1273       ,32   ,25.809         ,25.654            ,1.006 
6     ,4      ,512  ,1    ,1273       ,32   ,26.974         ,22.842            ,1.181 
4     ,6      ,512  ,1    ,2147483647 ,32   ,28.112         ,22.473            ,1.251 
6     ,6      ,512  ,10   ,1273       ,32   ,25.499         ,22.153            ,1.151 
7     ,6      ,1024 ,1    ,1273       ,32   ,26.024         ,22.492            ,1.157 
6     ,7      ,1024 ,1    ,2147483647 ,32   ,25.494         ,22.449            ,1.136 
7     ,7      ,1024 ,10   ,1273       ,32   ,26.446         ,23.27             ,1.136 
0     ,2      ,2    ,2    ,1273       ,128  ,19.267         ,20.11             ,0.958 
0     ,0      ,4    ,4    ,1273       ,128  ,19.148         ,20.115            ,0.952 
4     ,0      ,4    ,4    ,2147483647 ,128  ,19.299         ,20.199            ,0.955 
0     ,0      ,8    ,8    ,1273       ,128  ,24.459         ,20.742            ,1.179 
0     ,0      ,16   ,16   ,1273       ,128  ,24.624         ,20.737            ,1.187 
7     ,2      ,16   ,16   ,1273       ,128  ,24.584         ,22.738            ,1.081 
0     ,0      ,16   ,4    ,1273       ,128  ,26.082         ,22.138            ,1.178 
7     ,2      ,16   ,4    ,1273       ,128  ,24.692         ,22.58             ,1.094 
0     ,0      ,32   ,32   ,1273       ,128  ,24.915         ,22.232            ,1.121 
6     ,4      ,32   ,32   ,1273       ,128  ,26.154         ,22.98             ,1.138 
0     ,0      ,32   ,8    ,1273       ,128  ,22.543         ,23.533            ,0.958 
6     ,4      ,32   ,8    ,1273       ,128  ,25.677         ,25.874            ,0.992 
0     ,0      ,64   ,64   ,1273       ,128  ,27.646         ,27.019            ,1.023 
5     ,6      ,64   ,64   ,1273       ,128  ,31.039         ,29.769            ,1.043 
0     ,0      ,64   ,16   ,1273       ,128  ,27.751         ,26.932            ,1.03  
5     ,6      ,64   ,16   ,1273       ,128  ,31.937         ,29.143            ,1.096 
0     ,0      ,128  ,128  ,1273       ,128  ,35.235         ,34.132            ,1.032 
4     ,0      ,128  ,128  ,1273       ,128  ,36.951         ,38.866            ,0.951 
0     ,0      ,128  ,32   ,1273       ,128  ,28.443         ,32.385            ,0.878 
4     ,0      ,128  ,32   ,1273       ,128  ,37.615         ,36.518            ,1.03  
0     ,0      ,256  ,256  ,1273       ,128  ,31.402         ,37.868            ,0.829 
3     ,2      ,256  ,256  ,1273       ,128  ,41.437         ,42.673            ,0.971 
0     ,0      ,256  ,64   ,1273       ,128  ,30.062         ,37.23             ,0.807 
3     ,2      ,256  ,64   ,1273       ,128  ,40.334         ,41.403            ,0.974 
0     ,0      ,512  ,512  ,1273       ,128  ,43.268         ,48.647            ,0.889 
2     ,4      ,512  ,512  ,1273       ,128  ,44.332         ,51.751            ,0.857 
0     ,0      ,512  ,128  ,1273       ,128  ,35.41          ,34.267            ,1.033 
2     ,4      ,512  ,128  ,1273       ,128  ,39.384         ,39.268            ,1.003 
