
Results For: strcat
align1,align2 ,len1 ,len2 ,max_char ,new    ,old    ,new/old 
1     ,0      ,32   ,31   ,127      ,20.172 ,19.87  ,1.015   
1     ,0      ,320  ,31   ,127      ,29.892 ,31.623 ,0.945   
1     ,0      ,384  ,31   ,127      ,31.707 ,32.896 ,0.964   
1     ,0      ,448  ,31   ,127      ,33.125 ,34.886 ,0.95    
1     ,0      ,512  ,31   ,127      ,35.35  ,36.495 ,0.969   
1     ,0      ,64   ,31   ,127      ,23.244 ,23.94  ,0.971   
1     ,0      ,640  ,31   ,127      ,38.156 ,39.116 ,0.975   
1     ,0      ,768  ,31   ,127      ,41.152 ,42.352 ,0.972   
1     ,0      ,896  ,31   ,127      ,46.453 ,46.016 ,1.009   
1     ,0      ,9    ,9    ,127      ,18.813 ,18.868 ,0.997   
1     ,0      ,96   ,31   ,127      ,24.42  ,25.691 ,0.951   
1     ,1      ,16   ,10   ,127      ,19.351 ,19.024 ,1.017   
1     ,2      ,16   ,1    ,127      ,20.033 ,19.502 ,1.027   
1     ,6      ,1024 ,1024 ,127      ,52.802 ,50.718 ,1.041   
1     ,6      ,1024 ,256  ,127      ,54.482 ,52.929 ,1.029   
2     ,0      ,10   ,10   ,127      ,18.803 ,18.79  ,1.001   
2     ,0      ,2    ,2    ,127      ,19.22  ,18.797 ,1.023   
2     ,1      ,16   ,1    ,127      ,19.512 ,19.128 ,1.02    
2     ,2      ,32   ,10   ,127      ,19.835 ,19.475 ,1.018   
2     ,4      ,32   ,1    ,127      ,19.855 ,19.594 ,1.013   
2     ,4      ,512  ,128  ,127      ,37.913 ,39.376 ,0.963   
2     ,4      ,512  ,512  ,127      ,38.121 ,38.213 ,0.998   
2     ,5      ,256  ,1    ,127      ,30.676 ,30.988 ,0.99    
3     ,0      ,11   ,11   ,127      ,18.819 ,18.809 ,1.001   
3     ,0      ,3    ,3    ,127      ,18.882 ,18.195 ,1.038   
3     ,2      ,256  ,256  ,127      ,30.558 ,31.956 ,0.956   
3     ,2      ,256  ,64   ,127      ,30.084 ,32.034 ,0.939   
3     ,3      ,64   ,10   ,127      ,24.979 ,24.144 ,1.035   
3     ,6      ,64   ,1    ,127      ,24.96  ,24.149 ,1.034   
4     ,0      ,12   ,12   ,127      ,18.791 ,18.75  ,1.002   
4     ,0      ,128  ,1    ,127      ,25.783 ,27.219 ,0.947   
4     ,0      ,128  ,128  ,127      ,25.701 ,27.397 ,0.938   
4     ,0      ,128  ,32   ,127      ,24.761 ,29.058 ,0.852   
4     ,0      ,4    ,4    ,127      ,19.037 ,19.791 ,0.962   
4     ,2      ,32   ,1    ,127      ,19.715 ,19.516 ,1.01    
4     ,4      ,128  ,10   ,127      ,27.026 ,27.889 ,0.969   
4     ,6      ,512  ,1    ,127      ,37.776 ,38.659 ,0.977   
5     ,0      ,13   ,13   ,127      ,18.807 ,18.794 ,1.001   
5     ,0      ,5    ,5    ,127      ,19.091 ,19.73  ,0.968   
5     ,2      ,256  ,1    ,127      ,30.203 ,28.828 ,1.048   
5     ,5      ,256  ,10   ,127      ,30.541 ,31.562 ,0.968   
5     ,6      ,64   ,16   ,127      ,24.962 ,26.168 ,0.954   
5     ,6      ,64   ,64   ,127      ,24.461 ,26.133 ,0.936   
6     ,0      ,14   ,14   ,127      ,18.826 ,18.836 ,0.999   
6     ,0      ,6    ,6    ,127      ,18.975 ,19.825 ,0.957   
6     ,3      ,64   ,1    ,127      ,24.019 ,24.219 ,0.992   
6     ,4      ,32   ,32   ,127      ,23.198 ,22.169 ,1.046   
6     ,4      ,32   ,8    ,127      ,19.755 ,19.427 ,1.017   
6     ,4      ,512  ,1    ,127      ,36.872 ,35.457 ,1.04    
6     ,6      ,512  ,10   ,127      ,37.144 ,38.059 ,0.976   
6     ,7      ,1024 ,1    ,127      ,54.039 ,53.749 ,1.005   
7     ,0      ,15   ,15   ,127      ,18.778 ,18.788 ,1.0     
7     ,0      ,7    ,7    ,127      ,18.979 ,19.082 ,0.995   
7     ,2      ,16   ,16   ,127      ,19.049 ,18.746 ,1.016   
7     ,2      ,16   ,4    ,127      ,18.891 ,18.872 ,1.001   
7     ,6      ,1024 ,1    ,127      ,35.746 ,35.415 ,1.009   
7     ,7      ,1024 ,10   ,127      ,53.65  ,53.227 ,1.008   
0.9952811501094087
