
Results For: wcscpy
align1,align2 ,len  ,max_char   ,__wcscpy_evex ,__wcscpy_ssse3 
2     ,5      ,256  ,2147483647 ,35.181        ,55.871         ,0.63  
5     ,5      ,256  ,1273       ,24.591        ,47.001         ,0.523 
5     ,5      ,256  ,2147483647 ,24.716        ,45.358         ,0.545 
6     ,4      ,512  ,1273       ,56.553        ,126.67         ,0.446 
4     ,6      ,512  ,2147483647 ,56.491        ,121.983        ,0.463 
6     ,6      ,512  ,1273       ,33.5          ,88.79          ,0.377 
6     ,6      ,512  ,2147483647 ,33.539        ,101.846        ,0.329 
7     ,6      ,1024 ,1273       ,125.131       ,214.107        ,0.584 
6     ,7      ,1024 ,2147483647 ,169.963       ,211.759        ,0.803 
7     ,7      ,1024 ,1273       ,83.314        ,171.868        ,0.485 
7     ,7      ,1024 ,2147483647 ,82.82         ,170.959        ,0.484 
0     ,4      ,16   ,1273       ,8.598         ,8.905          ,0.966 
4     ,0      ,16   ,2147483647 ,6.422         ,9.07           ,0.708 
4     ,4      ,16   ,1273       ,7.384         ,9.162          ,0.806 
2     ,2      ,16   ,2147483647 ,7.357         ,10.02          ,0.734 
2     ,6      ,16   ,1273       ,8.601         ,8.829          ,0.974 
6     ,2      ,16   ,2147483647 ,6.705         ,9.927          ,0.675 
1     ,7      ,16   ,1273       ,7.881         ,12.519         ,0.63  
7     ,1      ,16   ,2147483647 ,6.253         ,10.804         ,0.579 
3     ,4      ,16   ,1273       ,7.975         ,11.656         ,0.684 
4     ,3      ,16   ,2147483647 ,7.316         ,12.804         ,0.571 
5     ,7      ,16   ,1273       ,8.231         ,12.908         ,0.638 
7     ,5      ,16   ,1273       ,6.443         ,11.631         ,0.554 
0     ,4      ,20   ,1273       ,7.656         ,9.778          ,0.783 
4     ,0      ,20   ,2147483647 ,7.205         ,9.817          ,0.734 
4     ,4      ,20   ,1273       ,7.135         ,9.751          ,0.732 
2     ,2      ,20   ,2147483647 ,7.38          ,10.779         ,0.685 
2     ,6      ,20   ,1273       ,7.512         ,9.876          ,0.761 
6     ,2      ,20   ,2147483647 ,7.639         ,10.828         ,0.705 
1     ,7      ,20   ,1273       ,8.039         ,20.289         ,0.396 
7     ,1      ,20   ,2147483647 ,7.124         ,12.145         ,0.587 
3     ,4      ,20   ,1273       ,7.64          ,12.539         ,0.609 
4     ,3      ,20   ,2147483647 ,7.093         ,20.584         ,0.345 
5     ,7      ,20   ,1273       ,8.237         ,21.811         ,0.378 
7     ,5      ,20   ,1273       ,7.882         ,12.831         ,0.614 
0     ,4      ,24   ,1273       ,8.635         ,10.133         ,0.852 
4     ,0      ,24   ,2147483647 ,6.495         ,10.572         ,0.614 
4     ,4      ,24   ,1273       ,7.17          ,10.407         ,0.689 
2     ,2      ,24   ,2147483647 ,7.33          ,11.726         ,0.625 
2     ,6      ,24   ,1273       ,8.633         ,10.243         ,0.843 
6     ,2      ,24   ,2147483647 ,7.09          ,11.017         ,0.644 
1     ,7      ,24   ,1273       ,8.486         ,22.28          ,0.381 
7     ,1      ,24   ,2147483647 ,7.108         ,21.289         ,0.334 
3     ,4      ,24   ,1273       ,8.234         ,19.666         ,0.419 
4     ,3      ,24   ,2147483647 ,7.423         ,21.278         ,0.349 
5     ,7      ,24   ,1273       ,8.15          ,22.248         ,0.366 
7     ,5      ,24   ,1273       ,7.141         ,21.551         ,0.331 
0     ,4      ,28   ,1273       ,7.864         ,10.818         ,0.727 
4     ,0      ,28   ,2147483647 ,8.608         ,11.371         ,0.757 
4     ,4      ,28   ,1273       ,8.355         ,11.16          ,0.749 
2     ,2      ,28   ,2147483647 ,7.256         ,12.138         ,0.598 
2     ,6      ,28   ,1273       ,7.892         ,11.012         ,0.717 
6     ,2      ,28   ,2147483647 ,9.023         ,11.883         ,0.759 
1     ,7      ,28   ,1273       ,7.849         ,24.183         ,0.325 
7     ,1      ,28   ,2147483647 ,8.356         ,19.513         ,0.428 
3     ,4      ,28   ,1273       ,8.302         ,21.318         ,0.389 
4     ,3      ,28   ,2147483647 ,9.123         ,19.752         ,0.462 
