
Results For: strncpy
align1,align2 ,len  ,max_char ,n    ,new    ,old    ,new/old 
4     ,0      ,256  ,127      ,128  ,9.116  ,10.854 ,0.84    
4     ,0      ,64   ,127      ,128  ,7.092  ,11.644 ,0.609   
4     ,2      ,128  ,127      ,64   ,8.316  ,7.927  ,1.049   
4     ,2      ,16   ,127      ,16   ,5.237  ,6.974  ,0.751   
4     ,4      ,16   ,127      ,16   ,5.21   ,6.941  ,0.751   
4     ,6      ,16   ,127      ,16   ,5.242  ,6.957  ,0.754   
4     ,6      ,8    ,127      ,4    ,4.937  ,6.91   ,0.714   
5     ,2      ,16   ,127      ,16   ,5.231  ,6.947  ,0.753   
5     ,5      ,16   ,127      ,16   ,5.226  ,6.947  ,0.752   
5     ,6      ,128  ,127      ,64   ,9.253  ,8.8    ,1.051   
5     ,6      ,32   ,127      ,64   ,7.892  ,9.937  ,0.794   
5     ,6      ,8    ,127      ,16   ,6.132  ,10.552 ,0.581   
6     ,1      ,256  ,127      ,128  ,9.765  ,11.042 ,0.884   
6     ,3      ,16   ,127      ,16   ,5.217  ,6.949  ,0.751   
6     ,4      ,16   ,127      ,16   ,5.246  ,6.963  ,0.753   
6     ,4      ,16   ,127      ,32   ,4.812  ,9.649  ,0.499   
6     ,4      ,4    ,127      ,8    ,5.914  ,10.807 ,0.547   
6     ,4      ,64   ,127      ,32   ,4.657  ,6.984  ,0.667   
6     ,5      ,16   ,127      ,8    ,4.891  ,7.469  ,0.655   
6     ,6      ,16   ,127      ,16   ,5.267  ,7.014  ,0.751   
6     ,7      ,16   ,127      ,16   ,5.243  ,6.948  ,0.755   
7     ,2      ,2    ,127      ,4    ,5.837  ,9.901  ,0.59    
7     ,2      ,32   ,127      ,16   ,5.213  ,6.292  ,0.829   
7     ,2      ,8    ,127      ,16   ,6.015  ,10.529 ,0.571   
7     ,6      ,16   ,127      ,16   ,5.262  ,6.973  ,0.755   
7     ,7      ,16   ,127      ,16   ,5.287  ,7.027  ,0.752   
0.7930778330852035
