
Results For: wcsncpy
align1,align2 ,len  ,max_char   ,n    ,__wcsncpy_evex ,__wcsncpy_generic 
1     ,6      ,512  ,1273       ,1024 ,108.897        ,123.553           ,0.881 
1     ,0      ,128  ,1273       ,64   ,12.092         ,15.998            ,0.756 
1     ,0      ,64   ,1273       ,128  ,17.214         ,24.268            ,0.709 
1     ,0      ,128  ,1273       ,96   ,17.91          ,22.335            ,0.802 
0     ,0      ,128  ,1273       ,96   ,14.259         ,20.998            ,0.679 
1     ,0      ,96   ,1273       ,128  ,18.493         ,27.953            ,0.662 
0     ,0      ,96   ,1273       ,128  ,15.64          ,27.614            ,0.566 
1     ,0      ,128  ,1273       ,128  ,20.831         ,27.391            ,0.761 
0     ,0      ,128  ,1273       ,128  ,16.409         ,23.315            ,0.704 
1     ,0      ,128  ,1273       ,160  ,21.635         ,32.255            ,0.671 
0     ,0      ,128  ,1273       ,160  ,17.731         ,31.816            ,0.557 
1     ,0      ,160  ,1273       ,128  ,20.999         ,26.1              ,0.805 
0     ,0      ,160  ,1273       ,128  ,16.444         ,23.299            ,0.706 
1     ,0      ,128  ,1273       ,192  ,23.466         ,35.895            ,0.654 
0     ,0      ,128  ,1273       ,192  ,19.011         ,37.192            ,0.511 
1     ,0      ,192  ,1273       ,128  ,20.58          ,25.965            ,0.793 
0     ,0      ,192  ,1273       ,128  ,16.343         ,23.245            ,0.703 
1     ,0      ,256  ,1273       ,192  ,27.101         ,32.803            ,0.826 
0     ,0      ,256  ,1273       ,192  ,19.253         ,30.353            ,0.634 
1     ,0      ,192  ,1273       ,256  ,32.405         ,44.017            ,0.736 
0     ,0      ,192  ,1273       ,256  ,21.548         ,44.378            ,0.486 
1     ,0      ,256  ,1273       ,224  ,31.548         ,35.729            ,0.883 
0     ,0      ,256  ,1273       ,224  ,20.798         ,34.097            ,0.61  
1     ,0      ,224  ,1273       ,256  ,34.272         ,45.169            ,0.759 
0     ,0      ,224  ,1273       ,256  ,23.048         ,45.625            ,0.505 
1     ,0      ,256  ,1273       ,256  ,36.605         ,42.736            ,0.857 
0     ,0      ,256  ,1273       ,256  ,23.463         ,37.554            ,0.625 
1     ,0      ,256  ,1273       ,288  ,38.486         ,47.926            ,0.803 
0     ,0      ,256  ,1273       ,288  ,24.042         ,48.03             ,0.501 
1     ,0      ,288  ,1273       ,256  ,36.371         ,39.526            ,0.92  
0     ,0      ,288  ,1273       ,256  ,23.45          ,37.621            ,0.623 
1     ,0      ,256  ,1273       ,320  ,41.006         ,49.089            ,0.835 
0     ,0      ,256  ,1273       ,320  ,24.624         ,49.16             ,0.501 
1     ,0      ,320  ,1273       ,256  ,36.385         ,38.584            ,0.943 
0     ,0      ,320  ,1273       ,256  ,23.434         ,37.639            ,0.623 
1     ,0      ,512  ,1273       ,448  ,53.391         ,58.791            ,0.908 
0     ,0      ,512  ,1273       ,448  ,35.07          ,55.163            ,0.636 
1     ,0      ,448  ,1273       ,512  ,54.751         ,67.841            ,0.807 
0     ,0      ,448  ,1273       ,512  ,36.435         ,66.881            ,0.545 
1     ,0      ,512  ,1273       ,480  ,54.838         ,62.181            ,0.882 
0     ,0      ,512  ,1273       ,480  ,36.873         ,57.748            ,0.639 
1     ,0      ,480  ,1273       ,512  ,56.815         ,69.9              ,0.813 
0     ,0      ,480  ,1273       ,512  ,37.671         ,67.882            ,0.555 
1     ,0      ,512  ,1273       ,512  ,58.321         ,69.883            ,0.835 
0     ,0      ,512  ,1273       ,512  ,38.635         ,60.548            ,0.638 
1     ,0      ,512  ,1273       ,544  ,60.304         ,73.213            ,0.824 
0     ,0      ,512  ,1273       ,544  ,39.606         ,70.781            ,0.56  
1     ,0      ,544  ,1273       ,512  ,58.207         ,66.541            ,0.875 
0     ,0      ,544  ,1273       ,512  ,38.677         ,60.475            ,0.64  
1     ,0      ,512  ,1273       ,576  ,61.451         ,74.356            ,0.826 
0     ,0      ,512  ,1273       ,576  ,40.983         ,71.974            ,0.569 
1     ,0      ,576  ,1273       ,512  ,58.187         ,66.945            ,0.869 
0     ,0      ,576  ,1273       ,512  ,38.88          ,60.633            ,0.641 
1     ,0      ,1024 ,1273       ,960  ,104.385        ,109.603           ,0.952 
0     ,0      ,1024 ,1273       ,960  ,79.061         ,99.437            ,0.795 
1     ,0      ,960  ,1273       ,1024 ,105.885        ,116.097           ,0.912 
0     ,0      ,960  ,1273       ,1024 ,87.365         ,103.248           ,0.846 
1     ,0      ,1024 ,1273       ,992  ,106.511        ,111.018           ,0.959 
0     ,0      ,1024 ,1273       ,992  ,80.558         ,105.45            ,0.764 
1     ,0      ,992  ,1273       ,1024 ,108.145        ,121.306           ,0.892 
0     ,0      ,992  ,1273       ,1024 ,83.036         ,104.87            ,0.792 
1     ,0      ,1024 ,1273       ,1024 ,123.885        ,122.647           ,1.01  
0     ,0      ,1024 ,1273       ,1024 ,81.893         ,105.384           ,0.777 
1     ,0      ,1024 ,1273       ,1056 ,134.933        ,121.728           ,1.108 
0     ,0      ,1024 ,1273       ,1056 ,84.493         ,108.781           ,0.777 
1     ,0      ,1056 ,1273       ,1024 ,124.931        ,113.767           ,1.098 
0     ,0      ,1056 ,1273       ,1024 ,81.756         ,106.904           ,0.765 
1     ,0      ,1024 ,1273       ,1088 ,136.037        ,122.077           ,1.114 
0     ,0      ,1024 ,1273       ,1088 ,91.657         ,108.439           ,0.845 
1     ,0      ,1088 ,1273       ,1024 ,123.911        ,112.882           ,1.098 
0     ,0      ,1088 ,1273       ,1024 ,81.866         ,107.297           ,0.763 
0.7192023344430188
