
Results For: wcscat
align1,align2 ,len1 ,len2 ,max_char   ,__wcscat_avx2 ,__wcscat_generic 
2     ,4      ,512  ,512  ,1273       ,107.146       ,109.039          ,0.983 
0     ,0      ,512  ,128  ,1273       ,62.238        ,63.004           ,0.988 
2     ,4      ,512  ,128  ,1273       ,80.552        ,80.144           ,1.005 
0     ,0      ,1024 ,256  ,1273       ,98.284        ,116.715          ,0.842 
1     ,6      ,1024 ,256  ,1273       ,163.853       ,172.121          ,0.952 
1     ,2      ,16   ,1    ,1273       ,25.152        ,24.633           ,1.021 
2     ,1      ,16   ,1    ,2147483647 ,23.669        ,23.403           ,1.011 
1     ,1      ,16   ,10   ,1273       ,21.929        ,22.885           ,0.958 
1     ,1      ,16   ,10   ,2147483647 ,22.008        ,23.084           ,0.953 
2     ,4      ,32   ,1    ,1273       ,25.913        ,25.472           ,1.017 
4     ,2      ,32   ,1    ,2147483647 ,24.863        ,24.314           ,1.023 
2     ,2      ,32   ,10   ,1273       ,23.418        ,24.521           ,0.955 
2     ,2      ,32   ,10   ,2147483647 ,23.394        ,24.516           ,0.954 
3     ,6      ,64   ,1    ,1273       ,27.12         ,27.401           ,0.99  
6     ,3      ,64   ,1    ,2147483647 ,29.138        ,29.18            ,0.999 
3     ,3      ,64   ,10   ,1273       ,27.973        ,29.292           ,0.955 
3     ,3      ,64   ,10   ,2147483647 ,28.055        ,29.251           ,0.959 
4     ,0      ,128  ,1    ,1273       ,35.723        ,36.109           ,0.989 
0     ,4      ,128  ,1    ,2147483647 ,36.225        ,36.471           ,0.993 
4     ,4      ,128  ,10   ,1273       ,35.073        ,36.556           ,0.959 
4     ,4      ,128  ,10   ,2147483647 ,35.04         ,36.563           ,0.958 
5     ,2      ,256  ,1    ,1273       ,52.414        ,52.456           ,0.999 
2     ,5      ,256  ,1    ,2147483647 ,52.471        ,52.488           ,1.0   
5     ,5      ,256  ,10   ,1273       ,51.592        ,52.618           ,0.98  
5     ,5      ,256  ,10   ,2147483647 ,51.758        ,52.713           ,0.982 
6     ,4      ,512  ,1    ,1273       ,75.223        ,74.745           ,1.006 
4     ,6      ,512  ,1    ,2147483647 ,72.679        ,72.735           ,0.999 
6     ,6      ,512  ,10   ,1273       ,77.768        ,77.275           ,1.006 
6     ,6      ,512  ,10   ,2147483647 ,78.622        ,77.292           ,1.017 
7     ,6      ,1024 ,1    ,1273       ,95.971        ,96.063           ,0.999 
6     ,7      ,1024 ,1    ,2147483647 ,177.427       ,179.391          ,0.989 
7     ,7      ,1024 ,10   ,1273       ,176.591       ,180.069          ,0.981 
7     ,7      ,1024 ,10   ,2147483647 ,176.611       ,179.853          ,0.982 
1     ,0      ,32   ,31   ,1273       ,24.707        ,25.329           ,0.975 
0     ,0      ,32   ,31   ,1273       ,24.261        ,24.935           ,0.973 
1     ,0      ,64   ,31   ,1273       ,28.609        ,29.167           ,0.981 
0     ,0      ,64   ,31   ,1273       ,28.851        ,29.251           ,0.986 
1     ,0      ,96   ,31   ,1273       ,31.848        ,32.66            ,0.975 
0     ,0      ,96   ,31   ,1273       ,32.24         ,32.87            ,0.981 
1     ,0      ,128  ,31   ,1273       ,35.622        ,36.337           ,0.98  
0     ,0      ,128  ,31   ,1273       ,35.634        ,36.369           ,0.98  
1     ,0      ,160  ,31   ,1273       ,38.982        ,39.52            ,0.986 
0     ,0      ,160  ,31   ,1273       ,38.683        ,39.454           ,0.98  
1     ,0      ,192  ,31   ,1273       ,42.635        ,43.124           ,0.989 
0     ,0      ,192  ,31   ,1273       ,42.803        ,43.094           ,0.993 
1     ,0      ,224  ,31   ,1273       ,47.981        ,48.037           ,0.999 
0     ,0      ,224  ,31   ,1273       ,47.968        ,48.13            ,0.997 
1     ,0      ,256  ,31   ,1273       ,52.215        ,52.882           ,0.987 
0     ,0      ,256  ,31   ,1273       ,52.523        ,52.966           ,0.992 
1     ,0      ,320  ,31   ,1273       ,59.694        ,59.546           ,1.002 
0     ,0      ,320  ,31   ,1273       ,59.588        ,58.904           ,1.012 
1     ,0      ,384  ,31   ,1273       ,62.214        ,63.306           ,0.983 
0     ,0      ,384  ,31   ,1273       ,61.73         ,62.735           ,0.984 
1     ,0      ,448  ,31   ,1273       ,68.523        ,69.518           ,0.986 
0     ,0      ,448  ,31   ,1273       ,68.466        ,69.108           ,0.991 
1     ,0      ,512  ,31   ,1273       ,78.728        ,77.559           ,1.015 
0     ,0      ,512  ,31   ,1273       ,78.983        ,77.962           ,1.013 
1     ,0      ,640  ,31   ,1273       ,95.19         ,92.163           ,1.033 
0     ,0      ,640  ,31   ,1273       ,95.348        ,92.204           ,1.034 
