
Results For: wcpncpy
align1,align2 ,len  ,max_char   ,n    ,__wcpncpy_evex ,__wcpncpy_generic 
1     ,6      ,512  ,1273       ,1024 ,95.244         ,116.395           ,0.818 
1     ,0      ,128  ,1273       ,64   ,11.392         ,15.442            ,0.738 
1     ,0      ,64   ,1273       ,128  ,17.252         ,25.795            ,0.669 
1     ,0      ,128  ,1273       ,96   ,18.276         ,23.384            ,0.782 
0     ,0      ,128  ,1273       ,96   ,14.658         ,20.757            ,0.706 
1     ,0      ,96   ,1273       ,128  ,17.945         ,29.31             ,0.612 
0     ,0      ,96   ,1273       ,128  ,15.11          ,29.09             ,0.519 
1     ,0      ,128  ,1273       ,128  ,19.781         ,28.503            ,0.694 
0     ,0      ,128  ,1273       ,128  ,16.537         ,23.314            ,0.709 
1     ,0      ,128  ,1273       ,160  ,21.047         ,33.274            ,0.633 
0     ,0      ,128  ,1273       ,160  ,17.262         ,34.227            ,0.504 
1     ,0      ,160  ,1273       ,128  ,19.671         ,26.696            ,0.737 
0     ,0      ,160  ,1273       ,128  ,16.492         ,22.891            ,0.72  
1     ,0      ,128  ,1273       ,192  ,22.083         ,34.695            ,0.636 
0     ,0      ,128  ,1273       ,192  ,19.207         ,35.698            ,0.538 
1     ,0      ,192  ,1273       ,128  ,19.519         ,26.61             ,0.734 
0     ,0      ,192  ,1273       ,128  ,16.648         ,23.174            ,0.718 
1     ,0      ,256  ,1273       ,192  ,24.321         ,33.074            ,0.735 
0     ,0      ,256  ,1273       ,192  ,20.146         ,31.214            ,0.645 
1     ,0      ,192  ,1273       ,256  ,32.312         ,40.114            ,0.805 
0     ,0      ,192  ,1273       ,256  ,22.361         ,42.795            ,0.523 
1     ,0      ,256  ,1273       ,224  ,29.014         ,35.03             ,0.828 
0     ,0      ,256  ,1273       ,224  ,22.572         ,35.032            ,0.644 
1     ,0      ,224  ,1273       ,256  ,33.452         ,41.395            ,0.808 
0     ,0      ,224  ,1273       ,256  ,23.408         ,46.267            ,0.506 
1     ,0      ,256  ,1273       ,256  ,34.058         ,43.41             ,0.785 
0     ,0      ,256  ,1273       ,256  ,24.596         ,37.796            ,0.651 
1     ,0      ,256  ,1273       ,288  ,37.555         ,43.856            ,0.856 
0     ,0      ,256  ,1273       ,288  ,25.631         ,49.702            ,0.516 
1     ,0      ,288  ,1273       ,256  ,34.228         ,39.423            ,0.868 
0     ,0      ,288  ,1273       ,256  ,24.889         ,38.108            ,0.653 
1     ,0      ,256  ,1273       ,320  ,40.135         ,44.639            ,0.899 
0     ,0      ,256  ,1273       ,320  ,26.572         ,51.428            ,0.517 
1     ,0      ,320  ,1273       ,256  ,34.229         ,39.263            ,0.872 
0     ,0      ,320  ,1273       ,256  ,24.695         ,37.776            ,0.654 
1     ,0      ,512  ,1273       ,448  ,52.38          ,61.268            ,0.855 
0     ,0      ,512  ,1273       ,448  ,38.637         ,54.987            ,0.703 
1     ,0      ,448  ,1273       ,512  ,53.379         ,65.261            ,0.818 
0     ,0      ,448  ,1273       ,512  ,40.261         ,69.016            ,0.583 
1     ,0      ,512  ,1273       ,480  ,52.05          ,64.125            ,0.812 
0     ,0      ,512  ,1273       ,480  ,40.752         ,57.919            ,0.704 
1     ,0      ,480  ,1273       ,512  ,55.898         ,68.106            ,0.821 
0     ,0      ,480  ,1273       ,512  ,41.435         ,70.065            ,0.591 
1     ,0      ,512  ,1273       ,512  ,55.736         ,71.648            ,0.778 
0     ,0      ,512  ,1273       ,512  ,43.061         ,60.86             ,0.708 
1     ,0      ,512  ,1273       ,544  ,59.1           ,71.304            ,0.829 
0     ,0      ,512  ,1273       ,544  ,43.763         ,72.248            ,0.606 
1     ,0      ,544  ,1273       ,512  ,55.482         ,69.2              ,0.802 
0     ,0      ,544  ,1273       ,512  ,43.408         ,60.749            ,0.715 
1     ,0      ,512  ,1273       ,576  ,60.382         ,72.01             ,0.839 
0     ,0      ,512  ,1273       ,576  ,44.953         ,73.653            ,0.61  
1     ,0      ,576  ,1273       ,512  ,55.584         ,68.817            ,0.808 
0     ,0      ,576  ,1273       ,512  ,43.322         ,60.884            ,0.712 
1     ,0      ,1024 ,1273       ,960  ,101.939        ,115.544           ,0.882 
0     ,0      ,1024 ,1273       ,960  ,85.807         ,103.293           ,0.831 
1     ,0      ,960  ,1273       ,1024 ,104.93         ,118.265           ,0.887 
0     ,0      ,960  ,1273       ,1024 ,92.083         ,108.884           ,0.846 
1     ,0      ,1024 ,1273       ,992  ,104.513        ,120.891           ,0.865 
0     ,0      ,1024 ,1273       ,992  ,87.577         ,103.885           ,0.843 
1     ,0      ,992  ,1273       ,1024 ,107.057        ,120.812           ,0.886 
0     ,0      ,992  ,1273       ,1024 ,89.663         ,108.969           ,0.823 
1     ,0      ,1024 ,1273       ,1024 ,123.165        ,125.177           ,0.984 
0     ,0      ,1024 ,1273       ,1024 ,89.807         ,105.728           ,0.849 
1     ,0      ,1024 ,1273       ,1056 ,134.051        ,124.533           ,1.076 
0     ,0      ,1024 ,1273       ,1056 ,91.146         ,116.485           ,0.782 
1     ,0      ,1056 ,1273       ,1024 ,123.559        ,124.737           ,0.991 
0     ,0      ,1056 ,1273       ,1024 ,90.111         ,106.287           ,0.848 
1     ,0      ,1024 ,1273       ,1088 ,135.345        ,129.789           ,1.043 
0     ,0      ,1024 ,1273       ,1088 ,96.817         ,124.345           ,0.779 
1     ,0      ,1088 ,1273       ,1024 ,125.242        ,124.121           ,1.009 
0     ,0      ,1088 ,1273       ,1024 ,90.83          ,107.49            ,0.845 
0.6949334794572628
