                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   64, n  128, alignment  4/ 0:	17.0822	14.4328	13.4854	16.4084	16.4581
Length  256, n  128, alignment  4/ 0:	16.4456	13.4385	12.7112	19.1213	15.764
Length  128, n  256, alignment  0/ 0:	20.3968	16.694	16.3321	23.5729	19.3375
Length  512, n  256, alignment  0/ 0:	19.2058	15.4967	15.0924	19.3032	19.1844
Length  128, n  256, alignment  3/ 2:	21.6781	17.8671	16.4956	24.0139	20.362
Length  512, n  256, alignment  3/ 2:	24.2659	21.1602	20.6973	23.5485	24.7405
Length  256, n  512, alignment  0/ 0:	27.8231	24.5731	23.4637	29.6463	27.7364
Length 1024, n  512, alignment  0/ 0:	29.6362	19.7031	19.7571	30.2797	32.3022
Length  256, n  512, alignment  2/ 4:	35.1599	27.0031	26.192	30.9136	30.1019
Length 1024, n  512, alignment  2/ 4:	32.6779	26.2543	26.7013	34.3854	33.3851
Length  512, n 1024, alignment  0/ 0:	43.6802	30.6844	29.6785	45.4276	43.6149
Length 2048, n 1024, alignment  0/ 0:	52.2102	28.4156	29.6376	52.7919	54.4271
Length  512, n 1024, alignment  1/ 6:	51.1072	33.311	29.9367	45.8891	51.2501
Length 2048, n 1024, alignment  1/ 6:	55.2265	40.723	36.6491	57.3662	57.8279
