                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	24.1881	22.1423	23.0321	20.4067	13.4299
Length    0/   0, alignment  0/ 0:	22.4324	21.0948	21.9852	19.8579	13.0407
Length    0/   0, alignment  0/ 0:	22.2827	20.6044	21.4965	19.4305	12.6421
Length    0/   0, alignment  0/ 0:	22.2344	20.6046	21.4964	32.3477	13.3258
Length    1/   1, alignment  0/ 0:	21.7481	20.6829	21.5901	19.1083	13.4383
Length    1/   1, alignment  0/ 0:	21.5962	20.8293	21.504	19.4507	13.736
Length    1/   1, alignment  0/ 1:	21.8532	20.6427	21.2291	19.4451	6.48827
Length    1/   1, alignment  1/ 0:	21.8525	21.3526	21.3773	19.4747	13.7367
Length    2/   2, alignment  0/ 0:	22.0515	21.229	21.8537	20.1138	14.4123
Length    2/   2, alignment  0/ 0:	22.2353	21.6044	22.1778	20.1138	14.7322
Length    2/   2, alignment  0/ 2:	22.2624	21.7118	22.1398	20.1569	9.21169
Length    2/   2, alignment  2/ 0:	21.8533	21.7099	22.4476	20.6339	14.4154
Length    3/   3, alignment  0/ 0:	22.0873	20.6045	21.2652	19.4559	14.5357
Length    3/   3, alignment  0/ 0:	22.0318	21.3059	21.7116	19.8931	14.6047
Length    3/   3, alignment  0/ 3:	21.9982	20.6452	21.2291	19.4284	10.6805
Length    3/   3, alignment  3/ 0:	22.1303	20.6045	21.2292	19.5306	16.2901
Length    4/   4, alignment  0/ 0:	22.0562	21.2672	22.4696	20.2521	16.4115
Length    4/   4, alignment  0/ 0:	22.9282	21.2696	22.5064	20.3572	16.3988
Length    4/   4, alignment  0/ 4:	22.2514	21.5736	22.3863	20.0871	13.752
Length    4/   4, alignment  4/ 0:	22.2807	21.4603	22.5777	20.5719	17.6769
Length    5/   5, alignment  0/ 0:	22.8521	21.7042	22.5778	20.1929	17.2486
Length    5/   5, alignment  0/ 0:	22.1819	21.7527	22.5781	20.1982	17.2279
Length    5/   5, alignment  0/ 5:	22.7882	21.5615	22.5715	20.141	14.9899
Length    5/   5, alignment  5/ 0:	22.3617	21.2577	22.1016	20.1492	17.7695
Length    6/   6, alignment  0/ 0:	22.0109	21.4229	22.578	20.5502	18.272
Length    6/   6, alignment  0/ 0:	22.3297	21.2605	22.1755	20.8547	18.2911
Length    6/   6, alignment  0/ 6:	22.4767	21.712	22.5779	26.3325	17.0536
Length    6/   6, alignment  6/ 0:	22.7991	21.3613	25.1143	20.1469	21.7988
Length    7/   7, alignment  0/ 0:	73.3436	29.0095	29.0364	21.2373	17.173
Length    7/   7, alignment  0/ 0:	28.1156	27.8508	28.2151	21.2307	17.7746
Length    7/   7, alignment  0/ 7:	24.0624	23.105	23.759	21.5457	17.9892
Length    7/   7, alignment  7/ 0:	24.0827	23.1077	23.8155	20.9573	18.1267
Length    8/   8, alignment  0/ 0:	23.9212	22.5139	23.647	21.3765	14.9859
Length    8/   8, alignment  0/ 0:	24.2112	22.4775	23.1054	21.2363	15.022
Length    8/   8, alignment  0/ 0:	23.8589	22.4777	23.1158	21.5635	14.6879
Length    8/   8, alignment  0/ 0:	23.8503	22.7665	23.1572	21.2364	14.9849
Length    9/   9, alignment  0/ 0:	23.9377	22.8	23.6095	21.3611	14.9875
Length    9/   9, alignment  0/ 0:	23.9054	22.478	23.5077	21.461	15.0368
Length    9/   9, alignment  0/ 1:	23.8772	22.4777	23.1044	21.2674	15.623
Length    9/   9, alignment  1/ 0:	23.9396	22.4775	23.4581	21.7313	22.1512
Length   10/  10, alignment  0/ 0:	23.9392	22.9889	23.6429	21.2752	15.6888
Length   10/  10, alignment  0/ 0:	23.9512	22.9203	23.2186	21.2542	15.7239
Length   10/  10, alignment  0/ 2:	23.8749	22.5148	23.6485	21.2939	16.2676
Length   10/  10, alignment  2/ 0:	24.281	23.0061	23.1996	21.2622	21.3009
Length   11/  11, alignment  0/ 0:	23.9523	22.9888	23.5548	21.2343	16.2638
Length   11/  11, alignment  0/ 0:	24.0178	22.991	23.4861	21.2515	16.2544
Length   11/  11, alignment  0/ 3:	23.8759	22.4776	23.1342	21.2344	17.1106
Length   11/  11, alignment  3/ 0:	23.9911	23.033	23.4453	21.2348	21.2254
Length   12/  12, alignment  0/ 0:	23.8784	22.7991	23.641	21.7282	17.0426
Length   12/  12, alignment  0/ 0:	24.2133	22.9884	23.6712	21.7276	17.0292
Length   12/  12, alignment  0/ 4:	23.9341	22.9289	23.5021	21.229	16.234
Length   12/  12, alignment  4/ 0:	23.9484	22.9832	23.6416	21.7063	18.7597
Length   13/  13, alignment  0/ 0:	23.9075	22.9889	23.568	21.2518	17.6349
Length   13/  13, alignment  0/ 0:	23.8732	22.7955	23.6567	21.4031	17.6281
Length   13/  13, alignment  0/ 5:	24.0649	23.0102	23.4615	21.2292	16.859
Length   13/  13, alignment  5/ 0:	23.9003	22.7305	23.4147	21.2587	19.0428
Length   14/  14, alignment  0/ 0:	23.9368	22.7532	23.6315	21.7402	18.607
Length   14/  14, alignment  0/ 0:	23.9037	23.0074	23.2136	21.2387	18.4143
Length   14/  14, alignment  0/ 6:	23.9788	22.9884	23.6274	21.689	17.5648
Length   14/  14, alignment  6/ 0:	24.3849	22.9883	23.6303	21.5258	19.2947
Length   15/  15, alignment  0/ 0:	23.8812	22.8062	23.4801	21.2322	17.8802
Length   15/  15, alignment  0/ 0:	23.7451	22.5033	23.1169	21.2317	17.9259
Length   15/  15, alignment  0/ 7:	23.9123	22.4777	23.1023	21.2291	18.1576
Length   15/  15, alignment  7/ 0:	23.4929	22.4541	23.105	21.2525	18.4952
Length   16/  16, alignment  0/ 0:	23.8399	22.8281	23.3185	23.1028	15.6103
Length   16/  16, alignment  7/ 2:	23.5527	23.007	23.6434	23.1927	20.875
Length   16/   4, alignment  0/ 0:	23.3193	22.99	23.6427	23.0816	16.8826
Length   16/   4, alignment  7/ 2:	23.9647	22.9031	23.1302	22.4983	16.2348
Length   32/  32, alignment  0/ 0:	24.9047	24.3105	24.9641	35.4869	17.5021
Length   32/  32, alignment  6/ 4:	27.2214	25.5429	26.278	35.1257	28.9993
Length   32/   8, alignment  0/ 0:	25.0246	23.6357	24.2706	29.7193	16.8827
Length   32/   8, alignment  6/ 4:	25.1582	24.2678	24.9426	30.6823	25.6252
Length   64/  64, alignment  0/ 0:	39.1613	38.2672	38.9393	35.6306	25.768
Length   64/  64, alignment  5/ 6:	40.7365	38.9553	39.9292	35.6879	36.3489
