                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.3241	5.66589	6.18079	5.49768	5.48828
Length    0, alignments in bytes  0/ 0:	10.9742	5.6698	6.17493	5.48828	5.49304
Length    0, alignments in bytes  0/ 0:	10.9713	5.65576	6.17932	5.48486	5.49146
Length    0, alignments in bytes  0/ 0:	10.9696	6.17932	6.85339	5.49365	5.4856
Length    1, alignments in bytes  0/ 0:	10.7241	6.23132	6.87	5.49243	6.87048
Length    1, alignments in bytes  0/ 0:	10.6945	6.18298	6.86084	5.49268	6.86426
Length    1, alignments in bytes  0/ 1:	10.5616	6.17078	6.86401	5.48901	6.85669
Length    1, alignments in bytes  1/ 0:	10.2861	6.18079	6.85852	5.48499	5.16248
Length    2, alignments in bytes  0/ 0:	10.2927	6.8772	6.93286	6.62646	6.86804
Length    2, alignments in bytes  0/ 0:	10.302	6.86523	6.86438	6.57471	6.86633
Length    2, alignments in bytes  0/ 2:	10.2909	6.87195	6.85693	6.59338	6.8634
Length    2, alignments in bytes  2/ 0:	10.2972	6.85852	6.85938	5.49341	6.1792
Length    3, alignments in bytes  0/ 0:	10.981	6.18408	6.86768	5.52612	6.88733
Length    3, alignments in bytes  0/ 0:	10.9716	6.17908	6.85486	5.49597	6.86353
Length    3, alignments in bytes  0/ 3:	10.9731	6.17041	6.86487	5.4917	6.86829
Length    3, alignments in bytes  3/ 0:	10.9716	6.18188	6.85706	5.48828	8.25269
Length    4, alignments in bytes  0/ 0:	10.9718	8.57812	8.53491	6.29993	8.93188
Length    4, alignments in bytes  0/ 0:	10.9703	8.57495	8.53333	6.27771	8.22839
Length    4, alignments in bytes  0/ 4:	10.9728	6.50879	6.86609	6.26904	8.91528
Length    4, alignments in bytes  4/ 0:	10.9716	6.17871	6.85828	5.48364	9.63672
Length    5, alignments in bytes  0/ 0:	10.9722	8.57275	8.52429	7.12219	9.90271
Length    5, alignments in bytes  0/ 0:	10.9723	8.57104	8.52185	7.10889	9.88647
Length    5, alignments in bytes  0/ 5:	10.9703	6.50342	6.85486	6.1759	8.29065
Length    5, alignments in bytes  5/ 0:	10.9756	6.17029	6.85315	6.18164	10.6614
Length    6, alignments in bytes  0/ 0:	10.9716	8.5752	8.53564	7.88489	12.3639
Length    6, alignments in bytes  0/ 0:	12.8043	8.57495	8.51733	7.87695	12.3445
Length    6, alignments in bytes  0/ 6:	10.9735	6.49902	6.86584	6.12573	12.3433
Length    6, alignments in bytes  6/ 0:	11.0305	6.17126	6.85535	5.49268	11.3269
Length    7, alignments in bytes  0/ 0:	10.9783	7.54248	7.48877	5.51135	12.358
Length    7, alignments in bytes  0/ 0:	10.9821	7.54663	7.44031	5.48438	12.3475
Length    7, alignments in bytes  0/ 7:	10.9733	6.50012	6.86658	5.48206	12.3431
Length    7, alignments in bytes  7/ 0:	10.972	6.1665	6.86328	5.48523	11.684
Length    8, alignments in bytes  0/ 0:	10.9714	8.75598	8.60022	6.29077	6.20728
Length    8, alignments in bytes  0/ 0:	10.9713	8.74463	8.59973	6.27368	6.18408
Length    8, alignments in bytes  0/ 0:	10.9713	8.74133	8.58936	6.28406	6.1792
Length    8, alignments in bytes  0/ 0:	10.9724	8.75146	8.57996	6.27197	6.18311
Length    9, alignments in bytes  0/ 0:	10.9718	8.72864	8.59546	7.11255	7.33508
Length    9, alignments in bytes  0/ 0:	10.984	8.74646	8.59521	7.10193	6.36353
Length    9, alignments in bytes  0/ 1:	10.9718	8.76013	8.60498	7.53235	7.13538
Length    9, alignments in bytes  1/ 0:	10.9714	8.72876	8.61438	7.46924	14.5168
Length   10, alignments in bytes  0/ 0:	10.9718	8.75867	8.599	7.88757	7.56421
Length   10, alignments in bytes  0/ 0:	10.9714	8.71265	8.58923	7.86194	7.55566
Length   10, alignments in bytes  0/ 2:	10.9718	8.75366	8.59668	7.71497	8.23291
Length   10, alignments in bytes  2/ 0:	10.9716	8.75488	8.6178	7.62354	15.7792
Length   11, alignments in bytes  0/ 0:	10.9712	8.75671	8.60059	7.19873	8.17273
Length   11, alignments in bytes  0/ 0:	10.9718	8.74548	8.59473	7.1958	8.16235
Length   11, alignments in bytes  0/ 3:	10.9713	8.72253	8.58142	7.72717	8.91638
Length   11, alignments in bytes  3/ 0:	10.9753	8.74731	8.62134	7.62683	15.4709
Length   12, alignments in bytes  0/ 0:	10.9709	8.73657	8.59924	7.88635	9.6084
Length   12, alignments in bytes  0/ 0:	10.9716	8.76062	8.5918	7.85767	9.60254
Length   12, alignments in bytes  0/ 4:	10.9724	8.41089	8.26086	7.9198	9.60205
Length   12, alignments in bytes  4/ 0:	10.9701	8.43628	8.23438	7.62402	11.6478
Length   13, alignments in bytes  0/ 0:	10.9713	8.73364	8.59998	7.90491	11.9756
Length   13, alignments in bytes  0/ 0:	10.9708	8.73962	8.59644	7.88049	11.9744
Length   13, alignments in bytes  0/ 5:	10.9711	9.23169	8.27942	7.90649	10.578
Length   13, alignments in bytes  5/ 0:	10.9713	8.4519	8.22949	7.62451	12.6781
Length   14, alignments in bytes  0/ 0:	10.9711	8.7334	8.59851	7.90149	13.2882
Length   14, alignments in bytes  0/ 0:	10.9703	8.7373	8.60693	7.87476	13.2764
Length   14, alignments in bytes  0/ 6:	10.9706	8.43799	8.32007	7.91602	13.0283
Length   14, alignments in bytes  6/ 0:	10.9718	8.41772	8.22473	7.61902	12.9409
Length   15, alignments in bytes  0/ 0:	10.9774	7.61499	7.75464	5.49817	13.048
Length   15, alignments in bytes  0/ 0:	10.9802	7.62354	7.74866	5.49243	13.0272
Length   15, alignments in bytes  0/ 7:	10.9701	8.4801	8.30969	5.48303	13.0299
Length   15, alignments in bytes  7/ 0:	10.972	8.42773	8.2207	5.49023	13.7272
Length   16, alignments in bytes  0/ 0:	10.9718	8.74011	8.61658	6.18579	6.98389
Length   16, alignments in bytes  7/ 2:	10.9723	8.71436	8.62805	6.17981	13.7576
Length   32, alignments in bytes  0/ 0:	10.9941	6.87573	6.88049	7.5658	9.94214
Length   32, alignments in bytes  6/ 4:	10.9741	6.86731	7.55542	11.4575	16.0244
Length   64, alignments in bytes  0/ 0:	13.1234	7.66602	8.45398	8.67896	15.3915
Length   64, alignments in bytes  5/ 6:	15.5044	13.9813	14.3317	12.5211	25.3462
Length  128, alignments in bytes  0/ 0:	17.0413	9.65991	10.5874	13.6465	26.0653
Length  128, alignments in bytes  4/ 0:	19.1567	10.6193	12.3033	15.1937	36.6481
Length  256, alignments in bytes  0/ 0:	31.6958	15.1301	17.0883	19.2305	52.0282
Length  256, alignments in bytes  3/ 2:	25.1882	15.2527	18.2654	19.9766	59.2501
Length  512, alignments in bytes  0/ 0:	30.589	19.5531	21.2808	27.874	103.217
Length  512, alignments in bytes  2/ 4:	34.3016	22.4678	24.1522	30.183	147.913
Length 1024, alignments in bytes  0/ 0:	56.3466	28.4443	28.7909	51.4249	227.602
Length 1024, alignments in bytes  1/ 6:	66.6293	40.4512	35.5415	48.1541	310.011
Length   16, alignments in bytes  1/ 2:	13.9344	8.74536	8.63318	6.18604	17.6289
Length   16, alignments in bytes  2/ 1:	10.9722	8.72302	8.63464	6.17908	17.6245
Length   16, alignments in bytes  1/ 1:	10.9725	8.77148	8.62	6.17932	15.1056
Length   16, alignments in bytes  1/ 1:	10.9855	8.7207	8.62183	6.17712	14.9458
Length   32, alignments in bytes  2/ 4:	10.9872	8.2644	8.37646	10.3627	21.4911
Length   32, alignments in bytes  4/ 2:	10.9739	6.87561	7.54065	11.3617	16.9623
Length   32, alignments in bytes  2/ 2:	10.9915	6.86853	6.86694	9.85742	16.5625
Length   32, alignments in bytes  2/ 2:	10.9761	6.86621	6.86157	9.92322	16.613
Length   64, alignments in bytes  3/ 6:	15.5697	9.87488	9.96436	11.0817	28.4718
Length   64, alignments in bytes  6/ 3:	15.4536	11.5768	11.6926	12.6957	19.6107
Length   64, alignments in bytes  3/ 3:	15.1797	8.6106	9.11365	9.84705	21.5281
Length   64, alignments in bytes  3/ 3:	15.2063	8.62769	9.10156	9.77649	21.5103
Length  128, alignments in bytes  4/ 0:	19.2651	10.6165	12.0687	15.1855	33.7761
Length  128, alignments in bytes  0/ 4:	20.7654	11.2065	12.8561	14.5483	35.4374
